SA4_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
101,76349,193104,4994,8396,3039,5905,8034,14299,3525,5743,767,1328,981,1707,82,138,121,250,5476,9170,258,447,413,642,25,40,176,411,872,1538,342,662,91076,218779,18463,..,109540,218779
102,103225,275889,9627,15994,6113,12175,15743,28170,6473,10951,1519,2669,2473,4411,600,1076,423,883,11486,19989,345,501,487,756,8,16,148,291,983,1563,280,538,131713,326143,14532,..,146248,326143
103,71378,179131,4700,7546,774,1294,5467,8833,2119,3048,94,129,4,7,3,9,56,101,2273,3290,153,228,107,175,15,28,354,838,627,1266,293,627,80039,193151,10752,..,90793,193151
104,45287,114904,3038,5242,2018,4140,5051,9385,3136,5283,480,856,286,450,115,187,133,238,4150,7012,304,567,657,972,21,34,184,420,1162,1992,235,470,55888,133769,6577,..,62464,133769
105,37014,92513,2023,3348,94,182,2120,3528,1650,2494,10,18,0,3,0,0,29,60,1690,2573,112,215,29,61,220,362,97,221,462,863,420,860,41704,100345,6750,..,48454,100345
106,92959,248127,7346,12640,3139,5994,10485,18635,1578,2303,250,395,466,804,0,0,190,408,2490,3913,440,590,377,663,22,53,139,274,980,1582,277,551,107191,272805,13028,..,120220,272805
107,83681,233930,6171,11183,8809,18872,14978,30058,6957,12115,3305,5653,4236,7583,2075,3959,411,952,16984,30256,309,430,242,362,3,4,378,764,929,1565,209,436,116785,296236,8496,..,125277,296236
108,74159,182214,6850,11297,1908,3664,8754,14964,4224,6422,1202,1880,1370,2185,213,369,96,229,7108,11083,359,558,722,1084,18,41,214,428,1322,2111,317,570,91662,210942,12492,..,104151,210942
109,41057,100791,5165,7903,465,720,5636,8625,385,557,75,114,32,45,0,0,10,17,501,741,112,198,100,135,12,27,74,166,295,524,206,403,47684,111084,6322,..,54003,111084
110,61453,152634,4530,7218,736,1231,5263,8452,1253,1890,72,123,26,44,3,4,40,79,1395,2140,195,295,137,191,37,52,111,255,478,795,303,564,68894,164579,9473,..,78367,164579
111,117250,308764,9796,16485,8885,18180,18679,34670,5651,8636,2618,4234,2619,4371,1638,2691,488,969,13011,20896,98,163,243,331,8,19,312,597,653,1108,257,441,149852,365880,11079,..,160934,365880
112,73590,189487,8849,16046,5947,12186,14791,28229,4255,6948,1909,3335,693,1203,552,955,349,679,7760,13114,487,735,1232,1752,53,91,209,420,1986,3002,356,636,98479,234468,10386,..,108861,234468
113,52498,135497,2215,3524,346,587,2562,4108,3639,6144,164,242,40,54,3,6,43,83,3892,6531,77,116,68,129,23,50,229,499,394,783,225,515,59571,147434,6104,..,65670,147434
114,55428,136493,3568,5778,1182,2029,4749,7808,1094,1775,50,85,11,20,0,3,174,338,1330,2220,143,216,728,1071,15,26,109,231,992,1546,293,463,62790,148527,14971,..,77759,148527
115,69009,223385,1300,2387,5674,15839,6977,18230,1333,2320,1171,2601,2721,5768,1024,2237,278,689,6517,13618,48,77,97,142,9,27,32,89,181,336,173,407,82862,255969,4556,..,87417,255969
116,98799,315872,4312,11005,10384,31674,14701,42683,1142,1889,574,1178,6271,14691,224,573,706,1797,8917,20132,0,0,5,6,10,23,81,246,100,275,213,579,122728,379545,6456,..,129179,379545
117,14445,42010,10160,23607,17833,43047,27999,66653,7489,13579,15031,26516,37465,68374,40037,77553,311,620,100334,186647,0,0,0,0,4,13,1277,2603,1282,2612,556,917,144616,298843,23862,..,168478,298843
118,23204,71588,6256,16408,12777,34609,19029,51015,11107,22384,26766,50921,15159,28090,6224,11634,243,578,59501,113609,0,0,0,0,0,0,1097,2159,1097,2159,185,335,103014,238708,13673,..,116685,238708
119,101700,325168,9491,22798,19166,57634,28653,80432,14316,32065,18821,43839,23160,53716,11339,26861,1331,3667,68968,160153,69,94,3,5,0,0,1043,2414,1112,2509,424,975,200853,569239,16283,..,217135,569239
120,39660,117787,7874,19446,10438,27251,18317,46699,12092,23359,15385,31453,19617,42083,10054,22647,282,634,57425,120174,0,0,5,11,0,0,1103,2322,1105,2337,276,535,116784,287525,12216,..,129001,287525
121,73621,227120,3509,8561,8515,20866,12023,29428,9870,19269,20877,40040,24641,50796,17750,35606,411,935,73552,146642,0,6,24,40,0,0,402,845,428,893,228,417,159847,404495,15792,..,175641,404495
122,54040,168808,2097,4335,6201,14234,8299,18570,6758,13272,13756,27541,8541,16559,1906,3642,513,1247,31478,62252,20,53,50,58,6,6,310,693,388,813,177,377,94377,250828,7647,..,102024,250828
123,80800,249972,5081,10647,5605,13531,10684,24176,1298,2218,501,833,1600,3111,184,341,521,1223,4107,7719,20,33,96,117,12,14,55,96,179,265,145,266,95914,282400,4408,..,100320,282400
124,96097,271398,5131,10018,7261,17202,12396,27226,2628,3967,1827,3052,2360,4171,831,1480,456,1048,8104,13714,30,48,91,122,9,24,107,235,241,426,207,403,117044,313171,8162,..,125212,313171
