SA4_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
101,9,142,0,145,..,70,6,78,0,78,..,188,8,199,4,207,..,58,0,59,0,62,..,459,32,481,6,488,..,291,32,320,0,321,..,61,0,61,0,65,..,83,12,93,4,98,..,42,5,47,0,47,..,97,21,125,0,124,..,1070,139,1209,21,1231,..,7226,824,8054,100,8151,..,299,35,333,8088,8424,102517,7529,857,8385,8192,119088,103774,..,..,..,..,103774,..,106,5,112,0,110,..,278,45,322,9,328,..,124,0,124,0,131,..,137,24,167,0,167,..,330,103,432,12,440,..,14,3,19,0,19,..,478,139,613,12,625,..,176,24,206,5,204,..,221,4,228,6,229,..,372,12,383,5,394,..,245,31,271,5,277,..,110,7,124,0,124,..,57,6,60,0,60,..,197,14,209,3,212,..,372,25,400,5,399,..,415,47,459,3,459,..,64,5,69,0,73,..,121,16,136,0,135,..,44,5,47
102,3,228,4,233,..,157,15,175,0,175,..,298,9,302,0,301,..,81,15,92,6,99,..,752,42,798,13,810,..,758,81,839,9,844,..,93,4,98,0,100,..,188,38,231,0,231,..,73,4,74,0,78,..,177,40,214,3,215,..,1781,251,2024,78,2107,..,9909,1278,11187,174,11364,..,521,58,579,8027,8604,148011,10435,1335,11767,8202,167980,156001,..,..,..,..,156001,..,274,4,278,0,277,..,318,26,346,3,351,..,118,0,117,0,122,..,347,120,466,0,469,..,799,349,1154,6,1161,..,35,10,42,0,42,..,1183,480,1660,11,1670,..,109,16,120,0,120,..,333,20,349,5,355,..,428,20,446,7,446,..,325,47,367,6,373,..,65,17,82,0,82,..,73,6,72,0,72,..,248,13,263,4,266,..,236,10,247,0,245,..,263,34,292,8,301,..,55,3,54,0,54,..,80,13,95,0,99,..,57,3,59
103,0,119,6,123,..,40,3,41,0,45,..,187,9,197,0,197,..,36,0,41,0,41,..,384,13,396,0,403,..,131,13,148,0,151,..,84,3,85,0,85,..,51,31,80,0,79,..,14,6,15,0,15,..,85,20,105,0,105,..,803,110,910,34,946,..,4080,516,4600,76,4681,..,257,27,280,8360,8645,92880,4341,542,4880,8434,106203,94819,..,..,..,..,94819,..,138,0,138,0,138,..,130,14,144,3,144,..,161,10,172,0,173,..,95,53,147,3,154,..,195,67,261,0,263,..,14,3,20,0,20,..,306,122,428,3,431,..,52,8,60,0,59,..,67,4,73,4,70,..,164,4,169,0,167,..,76,7,86,6,88,..,68,6,72,3,77,..,39,7,48,0,48,..,112,10,122,0,122,..,258,13,268,4,279,..,177,14,195,7,200,..,50,5,48,0,48,..,93,18,115,3,118,..,11,0,13
104,3,37,0,37,..,30,4,34,0,34,..,53,8,62,0,67,..,57,19,75,0,70,..,171,33,204,0,208,..,161,14,174,0,178,..,17,0,17,0,17,..,44,0,46,0,46,..,12,0,12,0,12,..,41,16,59,0,54,..,1009,334,1346,26,1375,..,3468,743,4211,67,4286,..,212,24,240,5336,5572,61643,3679,770,4447,5406,71497,64968,..,..,..,..,64968,..,64,0,64,0,64,..,81,20,100,0,100,..,190,3,189,4,199,..,57,29,81,3,86,..,175,96,272,5,279,..,14,0,19,0,19,..,250,127,376,5,378,..,7,0,11,0,11,..,125,4,127,0,128,..,254,9,268,5,271,..,38,6,42,0,42,..,6,0,6,0,6,..,14,0,14,0,14,..,50,0,48,0,48,..,51,11,53,0,56,..,774,170,944,9,948,..,13,0,15,0,15,..,12,0,14,0,14,..,9,0,13
105,4,105,0,105,..,15,0,19,0,19,..,102,9,111,0,111,..,16,6,27,0,27,..,241,15,257,0,257,..,60,5,71,0,67,..,47,8,52,0,54,..,19,6,31,0,31,..,4,0,4,0,4,..,32,3,39,0,39,..,478,50,527,8,538,..,2649,258,2908,31,2940,..,178,14,191,6995,7188,47185,2831,274,3103,7027,57315,48768,..,..,..,..,48768,..,63,0,63,0,63,..,53,3,54,0,54,..,176,6,182,5,183,..,45,24,71,0,71,..,112,30,141,0,141,..,7,3,7,0,6,..,165,57,220,0,219,..,11,3,12,0,12,..,27,0,27,0,25,..,63,4,61,0,61,..,37,8,46,0,46,..,74,11,81,0,81,..,73,4,77,0,76,..,78,5,81,0,83,..,367,24,395,4,402,..,167,14,178,3,189,..,64,0,64,0,64,..,74,11,92,0,92,..,13,0,13
106,0,134,0,132,..,34,7,38,0,38,..,191,3,197,0,197,..,52,14,63,0,63,..,404,28,429,0,430,..,215,25,240,0,243,..,52,7,58,0,61,..,110,39,147,0,147,..,31,4,34,0,34,..,114,53,167,0,169,..,968,165,1132,30,1160,..,4754,721,5469,71,5543,..,380,31,409,8715,9126,130472,5132,752,5883,8784,145140,133638,..,..,..,..,133638,..,249,7,252,0,252,..,133,11,138,4,146,..,109,7,109,0,111,..,139,58,198,0,200,..,272,111,380,3,387,..,22,16,34,0,34,..,426,181,610,6,612,..,55,5,61,0,62,..,159,5,167,3,170,..,206,9,214,5,218,..,106,15,120,0,120,..,51,3,53,0,57,..,45,3,46,0,46,..,122,11,138,0,138,..,118,10,121,0,122,..,199,34,233,0,236,..,31,6,32,0,32,..,90,9,100,0,103,..,29,3,29
107,9,141,0,145,..,114,3,119,0,120,..,222,9,236,0,240,..,64,3,60,0,60,..,534,27,554,3,560,..,999,111,1113,14,1126,..,140,5,146,0,146,..,168,59,224,5,231,..,530,116,652,5,657,..,469,127,602,4,603,..,2063,374,2431,55,2484,..,17297,2704,19997,199,20197,..,523,57,570,6449,7023,126844,17812,2756,20568,6650,154066,130424,..,..,..,..,130424,..,112,0,115,0,119,..,1357,282,1637,6,1644,..,58,0,61,0,66,..,284,86,366,4,371,..,1025,266,1289,12,1303,..,50,11,59,0,68,..,1355,363,1717,18,1736,..,411,75,490,0,490,..,246,10,259,0,260,..,476,10,488,0,490,..,896,157,1048,10,1056,..,123,3,125,0,130,..,60,0,64,0,64,..,286,16,300,0,302,..,169,10,178,0,178,..,141,8,154,0,160,..,114,8,117,0,117,..,233,28,261,0,265,..,61,6,65
108,0,72,0,75,..,47,3,47,0,47,..,84,3,89,0,89,..,33,0,35,0,35,..,232,10,240,6,237,..,136,13,151,0,152,..,29,3,34,0,33,..,67,17,83,0,83,..,24,5,21,0,21,..,58,9,67,0,67,..,720,87,808,25,832,..,3162,364,3520,53,3574,..,298,27,325,7492,7820,99944,3454,392,3850,7547,111336,106152,..,..,..,..,106152,..,84,0,87,0,87,..,104,3,106,0,108,..,221,14,231,18,240,..,95,29,130,0,127,..,148,62,207,4,211,..,11,3,12,0,12,..,255,91,343,7,349,..,42,3,36,0,36,..,160,4,161,4,164,..,275,10,288,0,289,..,78,7,80,0,80,..,26,0,26,0,26,..,34,10,37,0,37,..,52,4,60,0,60,..,144,7,151,0,152,..,86,14,99,0,99,..,28,0,25,0,25,..,35,0,35,5,39,..,16,5,19
109,4,71,0,74,..,13,4,24,0,24,..,125,8,131,0,131,..,32,16,48,0,48,..,242,36,275,0,279,..,71,12,72,0,72,..,34,0,38,0,38,..,39,11,48,0,48,..,13,4,12,0,12,..,46,13,52,0,54,..,526,94,620,23,649,..,2869,483,3353,63,3421,..,143,29,174,4551,4729,52769,3019,517,3536,4613,60918,54653,..,..,..,..,54653,..,44,0,44,0,44,..,40,3,45,0,48,..,55,0,52,0,52,..,50,12,64,3,66,..,141,50,192,4,199,..,4,4,10,0,10,..,197,73,263,7,268,..,39,0,41,0,41,..,42,4,48,4,47,..,102,0,102,3,108,..,72,11,82,0,84,..,35,7,38,0,38,..,32,3,37,0,37,..,87,11,96,0,96,..,218,179,398,0,398,..,338,37,379,4,383,..,36,5,41,0,41,..,42,0,43,0,43,..,20,0,18
110,7,156,4,160,..,40,5,43,0,43,..,208,9,215,3,221,..,44,0,47,0,53,..,446,17,462,8,469,..,104,3,110,4,113,..,42,4,46,0,45,..,52,9,63,0,63,..,15,3,20,0,20,..,166,84,253,0,253,..,969,212,1178,31,1206,..,3860,671,4529,77,4612,..,252,27,279,8633,8915,77738,4105,700,4804,8712,91262,80708,..,..,..,..,80708,..,80,5,85,0,85,..,97,20,114,0,114,..,270,10,275,3,277,..,102,36,135,4,139,..,272,129,392,5,401,..,3,0,7,0,7,..,374,160,535,10,544,..,6,0,12,0,12,..,96,0,96,3,96,..,134,4,137,0,137,..,40,3,40,0,39,..,69,8,71,0,71,..,35,0,38,0,38,..,83,7,82,0,89,..,284,15,301,0,299,..,169,12,180,5,184,..,71,0,69,0,75,..,43,9,53,0,54,..,13,3,11
