SA4_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101,332,1691,8380,31585,25835,5836,1574,1106,76349,27,478,2507,1697,154,13,15,113,4994,7,238,1340,1232,151,11,9,57,3039,25,710,3845,2926,302,28,21,165,8034,56,870,1828,588,65,12,19,86,3525,12,185,483,67,8,0,0,12,767,0,219,692,54,0,0,0,15,981,0,17,56,7,0,0,0,0,82,0,28,37,36,12,6,3,3,121,69,1321,3097,749,90,16,24,112,5476,89,283,305,103,38,11,18,31,872,15,58,89,69,37,12,13,41,342,534,4073,15714,35432,26303,5903,1649,1462,91076
102,253,1780,12232,40424,36190,9043,2046,1258,103225,64,635,4561,3874,189,31,17,266,9627,19,467,1665,3435,368,32,12,116,6113,77,1098,6228,7305,553,69,30,381,15743,88,970,3067,1948,199,31,14,164,6473,21,107,953,388,22,0,0,23,1519,36,265,1695,423,21,4,4,34,2473,0,68,364,157,6,0,0,3,600,12,65,193,80,37,19,4,9,423,153,1480,6276,3000,279,46,24,230,11486,63,278,414,145,27,11,0,48,983,23,70,64,54,22,5,8,27,280,558,4711,25220,50924,37077,9167,2106,1950,131713
103,197,1119,7700,30575,24393,5041,1201,1146,71378,34,591,2495,1239,163,22,7,139,4700,5,215,256,220,45,7,0,27,774,38,806,2753,1456,212,24,15,164,5467,52,501,1212,211,45,4,9,79,2119,0,27,57,3,0,0,0,7,94,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,18,14,10,7,0,0,7,56,52,548,1284,229,53,6,10,87,2273,49,145,100,118,100,35,12,66,627,12,49,43,74,53,12,13,37,293,353,2660,11879,32461,24811,5125,1256,1499,80039
104,215,1062,5214,20450,14093,2848,700,711,45287,15,288,1609,936,79,12,5,88,3038,9,109,691,993,154,25,4,26,2018,19,390,2298,1927,238,37,16,126,5051,28,465,1858,641,49,10,4,85,3136,7,66,308,77,3,4,0,13,480,0,61,147,72,10,0,0,3,286,5,0,68,43,0,0,0,0,115,3,56,37,18,11,5,0,7,133,40,641,2415,853,68,17,4,104,4150,103,404,317,185,72,15,4,69,1162,15,58,64,53,23,4,4,23,235,387,2551,10301,23473,14493,2923,725,1037,55888
105,101,694,4328,16634,11845,2126,526,768,37014,6,273,1221,360,78,14,6,68,2023,0,11,48,24,5,0,6,0,94,6,282,1263,389,81,15,6,70,2120,25,500,928,110,21,0,3,52,1650,0,5,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,0,0,0,29,25,510,945,116,24,3,3,54,1690,41,127,123,89,30,9,6,44,462,15,69,85,93,63,30,15,49,420,188,1680,6750,17321,12049,2179,555,977,41704
106,162,1089,8389,37491,36942,6407,1403,1077,92959,6,563,3712,2597,286,19,7,143,7346,3,336,891,1453,359,27,16,57,3139,11,901,4604,4054,644,46,23,202,10485,17,510,756,192,31,6,3,54,1578,0,21,142,76,3,0,0,5,250,0,28,278,147,13,0,0,3,466,0,0,0,0,0,0,0,0,0,4,28,80,42,29,7,6,0,190,22,586,1259,455,74,20,9,63,2490,85,358,340,116,27,3,5,42,980,13,60,72,72,37,14,3,16,277,292,2986,14656,42189,37722,6496,1439,1403,107191
107,88,771,6005,37648,29995,6904,1422,858,83681,40,554,2890,2308,225,31,5,117,6171,13,596,2640,4781,594,44,17,116,8809,54,1147,5530,7092,821,77,22,232,14978,63,1379,3963,1208,149,34,16,133,6957,18,390,2273,535,26,3,0,56,3305,27,561,2535,1015,35,0,3,61,4236,12,242,1103,657,37,0,0,23,2075,7,79,139,89,61,20,8,7,411,131,2647,10012,3502,314,65,30,278,16984,26,245,451,125,38,18,6,27,929,10,40,58,58,11,4,9,19,209,310,4844,22060,48419,31176,7062,1492,1422,116785
108,277,1394,9217,34107,22571,4235,981,1372,74159,29,493,3387,2464,177,20,6,275,6850,3,168,653,884,139,25,5,29,1908,34,660,4041,3346,318,39,10,311,8754,52,969,2381,632,42,12,10,133,4224,8,103,864,192,9,0,0,28,1202,14,164,823,326,14,0,0,31,1370,0,15,103,93,0,0,0,4,213,5,15,23,11,30,3,0,0,96,72,1263,4192,1266,92,11,9,188,7108,92,397,454,129,37,8,5,205,1322,8,63,100,62,20,3,6,58,317,485,3781,18001,38911,23041,4299,1014,2131,91662
109,68,472,4578,19397,13335,2061,432,713,41057,13,634,3560,745,53,5,7,142,5165,0,126,194,111,18,6,0,7,465,10,759,3758,861,75,16,7,148,5636,5,112,196,39,3,0,3,25,385,4,9,64,0,0,0,0,0,75,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,11,123,283,44,7,0,3,25,501,17,80,81,55,19,5,3,36,295,3,12,47,50,40,11,4,41,206,116,1449,8740,20407,13476,2089,449,960,47684
110,207,1125,6682,27873,19528,3925,997,1117,61453,45,696,2667,812,108,23,15,165,4530,5,156,401,128,20,3,0,16,736,49,846,3071,940,132,29,15,182,5263,25,401,632,122,22,4,3,41,1253,0,7,53,7,0,0,0,0,72,0,0,23,3,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,14,15,9,3,3,4,0,40,25,420,719,146,23,8,5,43,1395,77,157,86,63,32,5,12,50,478,20,70,59,72,30,14,21,29,303,368,2619,10620,29087,19751,3975,1047,1432,68894
