SA4_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
603,0,3,0,3,..,26,5,33,0,33,..,8,5,8,0,11,..,14,7,16,0,16,..,253,19,271,0,275,..,1435,83,1514,22,1538,..,89,3,96,2878,2980,37212,1528,87,1610,2902,41734
604,0,41,0,41,..,85,20,105,0,105,..,3,0,5,0,5,..,82,28,108,0,113,..,761,117,878,28,904,..,4134,418,4547,58,4604,..,267,6,277,6347,6625,104929,4400,428,4826,6403,116156
697,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,11,0,0,0,3,19
699,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,27,0,23,..,63,11,73,3,74,..,4,0,4,314,325,978,70,11,77,318,1377
701,39,487,6,488,..,694,183,873,5,878,..,37,5,45,0,45,..,992,319,1312,3,1319,..,4116,581,4703,136,4836,..,29227,3351,32576,399,32976,..,870,135,1002,12647,13650,93277,30097,3486,33584,13042,139902
702,3,48,0,48,..,131,17,153,0,153,..,15,3,16,0,16,..,161,83,244,0,250,..,29999,4782,34777,838,35618,..,35503,5352,40855,937,41795,..,749,163,911,8079,8992,38314,36256,5514,41773,9019,89103
797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,11,0,11,..,0,0,0,24,24,63,7,4,11,24,99
799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,310,41,349,36,392,..,454,56,514,42,551,..,109,11,125,1214,1343,1605,567,70,636,1259,3500
801,102,2387,25,2417,..,1059,224,1280,11,1291,..,348,30,384,11,391,..,4036,950,4985,41,5029,..,14222,1746,15964,307,16266,..,99394,11083,110476,1104,111578,..,1775,256,2034,16824,18854,323454,101167,11334,112504,17932,453890
897,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
901,0,4,0,4,..,5,5,6,0,6,..,0,0,0,0,0,..,0,4,4,0,4,..,708,20,730,8,740,..,1560,347,1912,30,1944,..,15,10,24,859,889,1948,1575,360,1936,891,4778
997,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,3,3,5,3,3,5,3,11
