SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
10102,6789,13553,134,745,751,3412,213,973,4763,18295,5857,23426,410,1709,634,2160,1444,4627,2488,8494,8352,31923,30,124,147,466,83,282,989,2501,1247,3376,81,259,192,407,830,1799,1101,2461,2352,5839,228,465,17710,51778
10103,2438,4826,29,162,208,952,53,247,1090,4272,1381,5633,76,308,147,467,351,1088,571,1858,1954,7494,5,44,42,141,22,53,265,713,334,952,21,76,74,162,265,557,365,785,699,1736,49,102,5138,14160
10104,11774,23464,98,545,622,2868,268,1259,3202,12571,4189,17246,234,937,386,1249,1367,4240,1984,6419,6178,23671,54,238,223,780,120,446,1215,3270,1611,4737,80,246,224,481,1235,2626,1542,3355,3151,8089,217,437,21316,55665
10105,4494,8996,91,508,331,1535,190,883,2002,7956,2615,10876,142,612,237,778,801,2550,1179,3935,3798,14814,24,111,78,282,88,324,667,1873,859,2583,46,152,122,263,617,1317,785,1733,1647,4312,122,265,10055,28385
10106,4450,8874,92,496,447,2090,144,660,2281,9232,2963,12473,193,783,333,1095,814,2582,1339,4470,4306,16938,25,118,100,337,56,197,559,1573,742,2230,59,186,124,261,492,1054,682,1498,1422,3732,119,240,10296,29788
10201,19880,39941,352,1935,1979,9101,502,2332,10563,41270,13395,54642,1047,4430,1697,5843,4014,12948,6765,23218,20157,77854,128,588,608,2014,251,910,2938,7779,3925,11291,328,1050,788,1726,3320,7241,4433,10018,8354,21316,574,1199,48969,140313
10202,17657,35559,366,2056,1634,7596,728,3399,9219,36177,11946,49230,879,3739,1144,3869,3776,12255,5803,19863,17746,69096,141,674,590,2056,451,1653,3806,10458,4978,14841,368,1166,710,1584,3787,8362,4859,11113,9840,25955,654,1356,45892,131971
10301,5239,10445,113,605,498,2353,181,837,2709,10675,3494,14466,224,948,374,1233,874,2727,1468,4907,4963,19372,34,165,179,622,99,367,966,2623,1282,3778,71,234,179,378,770,1622,1025,2236,2302,6007,173,365,12676,36188
10302,6413,12757,124,693,542,2500,200,922,2774,11178,3641,15290,163,659,338,1057,951,2943,1455,4654,5094,19946,37,185,160,574,125,480,1033,3024,1356,4262,46,141,167,345,847,1821,1055,2307,2412,6571,222,468,14142,39749
10303,5559,11105,110,609,440,2021,183,834,2543,10147,3265,13608,163,670,305,957,951,3006,1419,4638,4685,18244,25,121,121,451,112,404,854,2380,1110,3357,53,162,126,272,828,1778,1012,2205,2122,5564,173,358,12536,35273
