SA3_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
10102,357,88,784,11405,16769,6769,4123,10112,2972,52153
10103,246,52,474,3652,4957,2140,1472,3528,1617,17367
10104,1213,370,2586,11043,18550,10278,7157,13392,5242,65655
10105,554,108,1034,5889,8376,3998,3045,7530,2797,31629
10106,485,101,902,5896,8666,4279,3161,6488,2266,30759
10201,2553,1104,5769,28182,42179,20877,14663,32850,8481,147240
10202,2183,1070,4781,24720,35344,17447,13771,36517,9206,137009
10301,646,99,1156,7603,10998,5074,3538,9229,3565,40011
10302,895,217,1757,7732,10853,5492,4578,11404,4185,44247
10303,622,129,1178,6587,10179,5190,4265,9483,3439,39139
10304,690,186,1414,9415,13536,6325,4360,11365,3206,48201
10401,883,205,1754,7196,11382,6318,4937,10762,4510,45096
10402,1222,472,2720,13968,21117,10797,7124,17606,5588,76197
10501,213,97,451,2758,3689,1650,1421,4647,3107,17273
10502,299,135,618,2463,3820,1790,1482,5121,1790,16461
10503,909,303,1794,10396,14793,6817,5233,14609,7086,58936
10601,965,180,1710,13373,20437,10352,8303,19634,6138,78236
10602,666,197,1452,13386,19701,9132,6472,16627,3110,68430
10603,937,352,2101,11194,17560,8896,6710,15585,3963,63908
10604,336,103,659,4369,6421,2925,2481,6177,2095,24478
10701,1151,288,2249,11634,16544,8266,6699,18041,3463,64634
10702,0,0,0,0,0,4,0,0,0,4
10703,1060,536,2471,14996,22377,11151,8200,19790,4343,80850
10704,1560,578,3503,23268,32813,15069,9832,25573,5672,112228
10801,756,315,1599,4500,7381,4096,3129,7333,2427,28862
10802,818,199,1579,6613,10538,5689,4808,10740,4473,42862
10803,8,0,15,81,115,58,34,50,34,379
10804,1622,520,3414,13631,20743,10246,7030,17069,4191,72918
10805,941,267,1926,7529,12259,6968,5608,12010,3806,48177
10901,811,175,1611,10844,15080,6848,4579,13191,3733,54274
10902,156,41,288,1814,2451,1303,1045,2552,1469,10636
10903,725,257,1514,6437,9247,4646,3725,8895,3387,36343
11001,343,164,897,5817,8653,4039,2635,6559,3130,30827
11002,589,178,1176,5050,7738,4164,3615,8087,3467,32125
11003,231,76,457,3120,4467,2063,1741,4916,3348,19647
11004,1038,346,2144,12014,17339,8537,6328,17320,5917,67450
