SA3_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
10102,3,13,3,9,0,0,29,0,29,4,6,3,0,43,20,158,13,35,13,5,241,52,102,58,74,4,0,292,153,44,30,80,12,0,319,434,55,29,125,100,0,748,618,55,16,192,160,3,1045,804,59,12,277,180,3,1336,717,26,0,209,34,0,985,337,5,0,90,13,0,443,241,0,0,38,13,0,295,100,0,0,22,9,0,133,18,0,0,0,0,0,23,13,0,0,3,0,0,20,49,28,5,62,31,12,184,3555,582,168,1232,570,28,6141
10103,0,0,0,14,8,0,26,3,0,3,9,10,0,25,22,9,10,35,16,0,83,65,21,16,55,15,4,177,50,3,8,53,9,0,120,156,10,11,86,29,0,291,219,13,12,90,13,0,345,221,0,0,74,15,0,311,105,0,0,41,8,0,156,48,0,0,19,0,0,71,27,0,0,4,4,0,40,13,0,0,14,3,0,29,0,0,0,9,0,0,9,21,0,0,17,40,0,85,36,0,6,40,44,8,133,983,62,57,569,215,18,1901
10104,3,15,0,21,16,0,57,4,12,8,11,5,0,39,29,209,34,90,36,7,404,83,110,58,187,32,3,473,164,59,34,184,30,4,470,405,70,61,266,38,3,845,881,59,25,390,45,11,1407,1340,38,18,457,56,9,1918,494,4,0,142,9,0,657,110,0,0,46,6,0,162,15,0,0,10,0,0,27,4,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,11,0,0,15,45,45,26,115,34,25,278,3578,611,260,1933,302,67,6760
10105,5,14,0,8,4,0,25,0,38,3,14,0,0,55,23,192,16,43,10,4,297,81,102,58,63,14,0,323,78,25,4,81,13,0,199,245,34,13,98,14,0,404,647,66,5,163,24,5,909,875,16,10,173,20,4,1092,219,3,0,31,11,0,264,33,0,0,8,5,0,43,13,0,0,3,0,0,15,3,0,0,0,0,0,3,3,0,0,0,0,0,3,8,0,0,0,0,0,3,39,33,7,55,28,12,171,2263,519,130,734,140,22,3813
10106,0,6,3,17,20,0,45,5,9,9,12,4,0,34,26,10,36,55,14,0,145,115,48,38,93,12,0,308,100,22,13,96,20,0,253,312,39,27,109,20,0,514,393,21,18,136,20,0,589,271,3,6,108,9,0,398,93,0,0,47,6,0,146,29,0,0,20,0,0,57,20,0,0,14,0,0,41,5,0,0,3,0,0,16,3,0,0,3,0,0,6,4,0,0,9,0,0,13,32,11,0,66,52,11,172,1421,161,140,790,179,18,2714
10201,16,41,8,27,8,0,96,5,114,9,16,0,0,145,20,728,56,67,39,6,912,73,267,174,112,83,9,712,115,125,68,135,30,12,487,350,133,66,210,35,9,805,1351,88,51,474,57,4,2030,4584,139,41,810,68,7,5644,3199,20,14,474,16,9,3731,1420,4,3,195,9,4,1630,617,0,0,68,5,0,688,287,0,0,40,4,0,340,139,0,0,25,0,0,160,141,0,0,19,4,0,168,194,106,34,134,46,40,560,12513,1761,519,2813,402,110,18107
10202,9,43,7,15,7,0,85,3,68,6,7,7,0,96,21,577,51,43,31,3,730,83,268,152,127,140,5,771,137,118,73,168,53,4,555,433,154,111,246,73,6,1021,1784,128,68,607,62,9,2669,5236,91,63,925,93,16,6424,3128,15,13,401,31,5,3593,927,3,0,124,11,0,1069,259,4,4,38,0,0,310,59,0,0,22,4,0,89,22,0,0,6,0,0,26,19,0,0,8,11,0,42,225,99,41,113,62,45,590,12346,1570,589,2857,595,98,18062
10301,7,19,12,9,3,0,41,0,36,8,5,4,0,51,49,161,30,44,13,0,297,161,81,13,66,14,0,336,163,69,14,95,9,0,351,412,39,14,125,7,5,604,1049,58,25,247,19,0,1398,1215,20,9,155,10,3,1410,413,4,0,49,9,0,468,42,0,0,8,0,0,56,3,0,0,4,0,0,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,30,7,52,37,24,207,3565,518,126,874,122,31,5242
10302,15,34,29,41,44,0,163,13,49,12,29,11,7,116,76,226,67,164,50,8,597,387,157,64,262,58,21,954,248,77,22,261,35,7,652,557,55,17,299,58,9,996,566,17,3,258,37,5,883,286,5,4,95,24,0,419,41,4,0,21,3,0,68,0,0,0,8,0,0,14,4,0,0,0,0,0,4,3,0,0,3,0,0,4,0,0,0,3,0,0,5,3,0,0,6,0,0,13,43,44,14,107,91,15,311,2243,669,225,1554,409,79,5182
10303,3,15,0,15,22,0,62,3,32,4,10,3,0,55,44,173,24,59,19,4,318,112,123,33,101,21,0,389,157,44,14,110,9,4,335,397,69,16,139,16,3,641,780,90,10,159,20,4,1056,757,22,4,126,14,8,924,358,0,0,35,8,0,402,65,0,0,8,0,0,71,17,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,0,0,10,4,0,11,49,35,3,54,26,11,184,2754,603,111,824,165,27,4482
10304,4,25,4,15,21,0,68,5,42,8,6,4,0,63,33,230,50,62,13,8,386,113,176,52,83,14,8,446,169,53,25,128,11,4,389,502,89,32,178,23,0,812,1024,69,24,222,32,5,1377,1366,26,13,184,22,7,1610,636,4,0,60,14,0,714,131,0,3,21,0,0,160,19,0,0,5,0,0,27,0,0,0,5,0,0,7,0,0,0,0,0,0,3,12,0,0,9,3,0,19,75,71,16,70,39,14,283,4079,794,233,1036,188,40,6366
10401,0,5,3,8,4,0,24,0,7,3,8,4,0,24,12,96,20,66,31,4,230,79,60,82,113,51,8,397,101,30,25,133,23,4,314,327,38,32,221,40,12,668,730,23,18,380,37,10,1198,969,0,27,270,31,10,1310,332,0,0,69,5,0,409,81,0,0,17,4,0,105,21,0,0,5,0,0,26,3,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,0,7,3,0,14,44,27,13,81,28,12,198,2721,297,219,1379,257,54,4931
10402,5,6,6,25,6,0,53,0,13,10,9,9,0,42,22,88,43,84,49,0,286,40,266,171,122,48,6,649,50,78,41,140,39,4,348,334,121,78,235,45,11,822,1106,99,43,460,62,8,1779,2059,101,40,646,56,14,2910,1386,22,16,291,37,5,1754,510,6,0,90,15,0,620,159,4,0,30,0,0,192,32,0,0,14,3,0,54,6,0,0,5,0,0,12,9,0,0,7,7,0,26,79,61,34,110,61,30,371,5809,861,493,2269,413,81,9921
10501,8,57,15,20,145,0,243,7,30,17,9,54,6,118,24,75,38,71,71,5,293,90,130,135,109,74,8,541,76,55,41,80,35,3,301,119,60,38,107,28,3,357,100,6,8,73,10,7,202,14,12,0,26,8,0,65,3,4,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,4,12,22,20,55,76,8,188,455,452,325,553,509,37,2329
10502,5,24,5,8,60,0,96,7,12,10,8,27,0,65,32,18,13,81,27,4,169,159,54,45,138,35,0,427,125,25,28,117,28,0,310,215,29,13,116,22,0,394,151,15,9,73,10,0,255,77,9,0,26,6,0,123,11,0,6,0,0,0,18,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,39,34,6,110,791,200,123,602,250,22,1980
10503,7,33,4,22,22,3,90,3,47,12,25,10,0,91,69,245,52,141,47,11,561,305,173,91,212,46,14,852,289,98,42,212,13,6,657,773,104,30,254,32,13,1205,1234,47,24,344,50,12,1710,1245,22,28,256,47,4,1601,274,6,4,59,5,3,352,53,0,0,14,0,0,62,13,0,0,5,0,0,16,9,0,0,0,0,0,12,0,0,0,0,0,0,7,5,0,0,3,3,0,12,83,54,4,112,92,21,370,4368,827,305,1654,376,74,7610
10601,9,13,3,17,8,0,42,3,11,4,8,7,0,31,29,85,17,64,15,3,214,94,235,65,103,40,3,538,156,73,9,138,27,0,410,535,140,30,177,62,7,954,1637,105,28,372,75,8,2233,2413,116,26,319,34,0,2911,797,11,0,83,8,0,901,112,0,0,19,0,0,135,36,0,0,10,3,0,50,12,0,0,5,0,0,15,0,0,0,4,0,0,5,7,0,0,3,4,0,16,89,43,11,110,47,23,327,5943,835,199,1430,327,54,8782
10602,0,6,0,12,0,0,25,0,12,3,5,8,0,29,21,98,36,26,19,5,206,80,248,128,55,24,0,533,101,100,36,79,10,0,327,293,143,68,106,241,3,851,919,149,75,287,60,0,1496,2790,104,39,381,29,12,3351,1645,7,3,107,18,0,1782,299,4,0,24,3,0,330,49,0,0,3,0,0,56,9,0,0,3,0,0,11,0,0,0,0,0,0,4,7,0,0,4,0,0,13,108,69,27,68,42,19,330,6327,946,419,1163,460,41,9356
10603,5,8,3,11,5,0,30,0,7,0,5,3,0,17,14,46,57,38,38,0,200,37,133,78,71,71,0,384,72,47,26,84,13,3,254,200,113,54,114,236,7,733,875,122,49,289,89,3,1427,1796,55,19,322,63,7,2264,973,3,4,136,21,0,1138,282,0,0,36,5,0,321,96,0,0,11,0,0,111,17,0,0,3,0,0,23,5,0,0,0,0,0,4,5,0,0,5,3,0,21,86,26,18,73,43,16,256,4460,562,307,1206,592,49,7173
10604,4,0,0,11,12,0,32,3,3,6,8,0,0,16,27,43,22,41,20,0,155,122,113,37,72,23,0,373,130,40,7,79,15,0,274,340,49,18,106,24,4,542,527,57,20,159,31,0,796,651,26,8,103,19,0,803,122,3,0,32,7,0,162,9,0,0,3,0,0,17,8,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,11,0,0,10,36,20,3,51,82,9,194,1976,354,123,672,238,13,3376
10701,8,71,0,7,0,0,89,0,129,5,0,0,0,136,16,750,27,17,22,9,838,47,374,30,60,27,7,540,93,155,22,76,11,3,359,221,159,25,104,8,3,522,516,100,22,176,24,9,843,1382,226,17,327,41,6,1999,1195,37,0,190,22,5,1450,470,11,3,51,5,0,542,89,0,0,9,0,0,105,22,4,0,4,3,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0,3,56,124,14,70,26,21,306,4123,2126,157,1101,198,56,7760
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,10,30,9,6,0,0,56,5,58,6,12,0,0,76,5,521,19,35,10,0,586,30,337,39,43,14,0,472,38,160,24,76,6,0,309,122,147,21,83,4,6,384,437,117,52,189,15,3,814,1396,140,24,367,27,5,1951,1809,53,9,333,15,0,2218,1088,9,0,117,4,0,1223,326,0,0,31,0,0,363,62,0,0,8,0,0,77,12,0,0,5,0,0,19,27,3,0,12,0,0,41,86,89,19,79,22,19,308,5450,1654,222,1393,130,40,8891
10704,10,94,13,15,0,0,129,0,163,10,8,0,0,181,34,1309,59,78,30,11,1520,84,423,106,113,17,9,763,112,213,33,137,13,0,513,403,227,55,209,23,0,930,1588,137,38,359,31,9,2156,3110,149,33,518,29,4,3847,2720,89,12,418,26,9,3266,1717,18,8,223,17,4,1985,679,4,4,108,9,0,802,286,5,0,42,0,0,334,141,0,0,18,0,0,156,112,0,0,35,0,0,154,136,164,16,111,31,28,487,11140,2996,390,2391,233,74,17217
10801,3,0,3,10,3,0,26,0,3,4,4,3,0,18,10,13,11,29,9,0,82,41,74,75,45,26,9,262,75,22,22,64,7,0,190,214,28,20,94,12,0,368,516,12,19,170,18,0,734,642,13,12,186,14,3,867,325,0,0,61,3,3,393,68,0,0,15,0,0,88,20,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,24,16,6,33,10,6,110,1941,183,181,715,117,23,3161
10802,12,0,3,18,5,0,42,0,9,4,7,7,0,28,14,26,40,64,24,0,166,89,97,176,103,39,9,512,154,34,71,118,34,4,412,332,47,56,175,36,3,653,779,35,35,277,23,9,1155,867,28,37,190,25,3,1137,194,0,6,35,6,0,241,35,5,4,12,0,0,53,8,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,0,5,40,32,18,64,19,15,191,2528,313,450,1067,222,48,4629
10803,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,5,5,0,3,0,0,0,3,4,0,10,0,0,0,5,0,0,5,0,0,0,8,6,0,15,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,5,0,41,17,0,60
10804,4,10,11,11,9,0,39,3,4,4,7,10,0,35,4,41,55,59,31,8,198,46,163,223,76,57,4,574,78,43,35,94,16,0,271,361,72,97,164,21,10,720,1066,44,69,306,32,10,1533,2263,38,89,520,50,7,2969,1459,9,13,201,15,3,1691,410,3,0,60,4,0,477,126,0,0,20,3,0,156,31,0,0,8,0,0,37,19,0,0,4,0,0,19,9,0,3,6,4,0,27,72,41,40,83,29,23,287,5969,462,644,1629,283,59,9045
10805,5,7,0,12,0,0,26,0,6,8,4,3,3,26,25,38,33,56,14,0,171,136,115,103,106,40,6,510,189,39,27,120,22,4,409,491,77,39,175,22,4,812,995,55,28,257,17,5,1362,1071,36,37,184,31,5,1365,272,8,3,61,3,0,340,59,0,0,9,0,0,66,7,0,0,4,0,0,12,9,0,0,0,0,0,6,0,0,0,0,0,0,3,11,0,0,0,0,0,12,60,24,27,62,29,16,213,3316,420,303,1060,183,47,5331
10901,13,18,4,8,6,0,46,9,59,13,14,10,0,100,121,265,43,96,15,8,545,797,143,87,181,27,13,1246,500,45,14,171,15,4,749,1037,84,26,237,42,6,1432,1534,37,8,255,25,6,1864,1183,11,11,155,16,0,1369,277,0,3,35,5,0,322,66,3,0,8,7,0,76,16,0,0,0,0,0,20,4,0,0,0,0,0,6,0,0,0,0,0,0,7,7,0,0,0,0,0,11,111,52,14,62,41,20,300,5660,720,213,1232,206,55,8088
10902,3,11,9,9,31,0,63,0,3,0,7,4,0,15,43,20,10,39,26,4,134,90,34,22,88,13,0,254,64,7,13,70,24,0,179,62,10,7,62,12,0,151,58,4,0,20,3,0,91,32,0,0,10,12,0,52,3,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,0,6,16,33,3,64,370,95,63,327,153,16,1020
10903,6,12,21,26,31,3,95,13,5,16,11,13,0,65,134,23,33,140,54,7,389,283,37,36,219,49,7,628,200,11,8,127,20,0,369,421,23,5,138,25,3,623,527,7,8,117,18,0,673,258,6,0,64,8,3,328,69,4,0,19,4,0,93,11,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,16,21,11,3,64,85,16,199,1943,145,126,936,304,43,3492
11001,0,3,5,15,12,0,42,6,17,0,7,3,0,39,51,48,21,61,24,0,197,186,95,69,95,17,8,470,227,38,41,106,15,0,437,521,70,43,128,25,0,789,769,50,23,144,16,0,1008,720,15,8,124,11,0,888,170,0,0,17,0,0,191,33,0,0,8,0,0,39,8,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,31,16,12,57,57,9,179,2728,361,225,764,201,21,4300
11002,5,8,28,28,28,0,92,10,3,13,11,0,0,36,64,37,56,113,19,8,296,264,67,54,169,32,0,588,228,29,23,134,13,6,431,478,57,37,183,30,3,791,581,12,8,141,16,7,763,250,3,0,39,6,5,305,25,0,0,5,0,0,36,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,9,34,14,15,52,66,18,193,1948,225,235,887,218,49,3562
11003,5,12,4,20,41,0,78,0,21,15,4,15,0,54,33,55,18,62,33,4,213,210,118,67,88,37,6,524,145,61,21,91,20,3,349,163,69,23,88,17,0,351,242,17,8,78,21,0,366,275,4,3,74,29,4,387,50,0,0,13,0,0,68,11,5,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,5,29,15,24,51,80,18,217,1170,377,197,567,292,33,2634
11004,11,16,8,15,27,0,79,15,19,11,20,8,0,82,62,78,45,122,24,4,344,348,197,115,174,51,14,904,372,88,45,240,30,13,786,968,170,60,289,30,21,1540,1908,128,46,488,34,8,2613,1719,26,16,286,50,6,2107,378,3,0,50,11,0,451,76,0,0,16,5,0,92,24,0,0,12,0,0,33,7,0,0,7,0,0,10,0,0,0,3,0,0,3,9,0,0,9,0,0,20,101,57,23,107,103,28,418,6004,788,377,1848,388,95,9482
11101,0,43,7,11,5,0,76,3,83,5,7,0,0,103,17,767,37,38,16,3,882,70,445,128,93,29,6,772,111,148,34,108,9,8,414,316,196,43,177,9,7,737,807,224,40,348,27,7,1455,2703,113,26,656,50,8,3566,1613,18,6,287,19,0,1939,625,4,0,91,8,0,730,253,0,0,36,0,0,291,69,0,0,11,0,0,83,27,0,0,0,0,0,25,26,0,0,6,3,0,37,126,121,28,85,31,24,418,6760,2164,363,1965,204,61,11520
11102,3,14,3,11,4,0,36,0,27,3,3,7,0,41,7,266,33,43,32,5,386,37,184,86,72,36,9,416,68,67,22,80,49,4,287,173,76,30,121,49,5,447,561,99,31,286,39,4,1011,1705,63,14,374,26,3,2187,1219,6,8,168,12,4,1411,408,5,0,38,3,0,455,68,0,0,7,0,0,80,15,0,0,7,0,0,21,9,0,0,0,0,0,9,4,0,0,0,0,0,11,100,56,13,65,25,8,269,4377,856,240,1276,283,36,7070
11103,12,106,16,25,5,0,168,3,198,26,12,3,0,248,56,1399,88,140,23,11,1720,240,438,183,224,46,12,1140,255,174,78,233,28,4,770,624,236,114,340,83,6,1399,1891,192,96,668,87,6,2937,5467,158,72,1205,106,12,7019,4499,29,25,691,57,6,5304,1894,11,9,260,17,0,2188,677,0,0,86,10,0,771,284,0,0,50,5,0,344,126,5,0,26,0,0,152,161,0,0,44,6,3,209,216,180,36,205,60,53,747,16413,3132,747,4194,527,112,25125
11201,7,9,3,17,16,0,45,6,13,3,9,6,0,36,13,253,35,50,36,9,403,31,119,118,86,57,5,419,38,44,30,133,50,0,296,135,54,39,211,74,6,526,438,42,29,390,80,7,991,1017,32,25,600,59,6,1744,1031,12,17,463,32,6,1552,882,3,5,347,13,12,1253,595,0,3,191,5,0,799,268,0,3,139,8,0,419,173,0,0,58,4,0,233,219,0,0,111,9,0,339,89,51,12,129,42,21,345,4933,640,323,2943,490,75,9396
11202,7,16,10,20,13,3,70,0,20,0,19,4,0,40,21,251,45,112,25,7,465,161,129,103,184,46,6,628,198,43,49,211,68,10,577,514,55,46,331,58,11,1012,1012,48,25,510,44,8,1649,1108,14,19,445,22,5,1608,327,4,3,122,8,4,470,110,0,0,41,0,0,152,31,5,0,12,0,0,49,10,0,0,9,0,0,17,7,0,0,0,0,0,5,5,0,0,9,0,0,12,55,51,16,68,37,18,248,3559,646,319,2095,323,71,7006
11203,4,17,3,11,8,0,45,4,33,4,10,4,0,52,10,355,28,59,27,4,481,22,114,54,111,80,0,390,37,58,17,143,27,5,294,134,82,30,211,82,5,537,538,46,41,378,64,6,1070,1464,40,32,621,145,8,2305,1206,13,12,420,84,3,1736,778,7,0,172,20,7,976,402,0,3,77,3,3,486,184,0,0,30,0,0,215,92,0,0,10,4,0,108,92,0,0,29,0,0,116,86,40,24,109,34,19,314,5033,812,242,2384,580,59,9117
11301,0,19,11,21,25,0,83,5,16,3,21,16,0,63,80,128,16,122,54,10,403,217,130,40,211,64,10,680,281,65,17,177,40,0,588,513,56,16,255,61,0,906,740,14,11,240,57,3,1064,641,9,0,157,37,0,850,97,0,0,37,11,0,149,18,0,0,9,3,0,33,6,0,0,0,0,0,9,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,24,9,89,89,22,289,2671,471,121,1337,468,59,5127
