SA3_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
40403,4,6,5,27,15,7,4,0,0,62,0,19,23,52,29,11,3,12,0,146,0,9,10,74,14,4,0,0,0,112,0,4,4,37,5,0,0,4,0,51,3,6,18,38,7,8,0,0,0,77,0,0,0,3,5,5,3,0,0,17,0,11,11,33,13,10,10,0,0,92,0,5,27,56,26,51,21,3,7,200,0,0,0,13,4,6,6,7,0,35,0,0,0,18,5,5,0,0,0,27,8,71,100,380,144,102,98,66,43,1010,35,86,102,385,143,143,80,79,43,1094,1638,3203,4000,10464,3915,3632,2570,1612,897,31927,0,0,12,30,10,3,5,0,0,55,1444,2533,3026,5582,2773,2500,1805,1204,795,21662,0,7,6,53,4,0,0,0,0,79,0,0,0,29,21,20,8,6,3,80,0,0,0,79,3,0,0,0,0,92,0,0,7,24,20,23,9,5,3,84,0,4,4,30,11,11,0,3,0,68
40501,0,0,0,0,0,0,0,0,0,3,0,3,5,16,7,9,0,3,0,53,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,11,12,7,5,0,0,43,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,3,5,6,0,14,0,0,0,9,0,4,0,0,0,9,0,6,12,72,22,36,38,19,8,214,31,121,94,253,164,158,128,78,38,1072,975,2638,2134,4066,2500,2768,2353,1165,353,18939,0,0,0,0,0,0,0,0,0,0,870,2219,1763,3654,2145,2097,1714,901,367,15733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,9,0,0,0,10,6,4,3,0,0,25
40502,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,18,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,8,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,9,0,0,0,4,3,3,0,0,0,9,0,0,0,9,5,13,13,11,6,68,16,70,72,164,110,148,133,77,20,816,579,1382,1077,2121,1405,1875,1774,899,261,11372,0,0,0,0,0,0,0,0,0,0,499,1239,899,1835,1204,1370,1247,711,334,9345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12
40503,0,0,0,0,0,0,0,0,0,0,0,8,0,10,11,4,0,0,0,40,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,12,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,3,3,3,0,8,0,0,0,0,0,0,3,0,0,5,5,0,0,17,10,16,24,9,7,90,39,103,91,190,140,154,124,101,34,976,714,1628,1493,2627,1649,2128,1868,1060,332,13495,0,0,0,0,0,0,0,0,0,0,636,1440,1193,2349,1446,1702,1517,919,384,11590,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
40504,0,0,0,3,0,0,0,0,0,6,0,0,0,11,0,5,3,0,0,25,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,5,0,3,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,20,32,17,8,86,36,89,79,180,132,202,220,156,51,1134,539,1357,1067,2184,1438,2292,2664,1487,391,13421,0,0,0,0,0,0,0,0,0,0,534,1138,836,1926,1267,1811,1951,1034,410,10906,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,14
40601,0,0,0,4,6,0,0,0,0,0,6,12,12,24,35,9,11,7,0,120,0,0,0,10,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,8,5,6,3,0,0,35,0,0,0,5,6,0,0,0,0,14,0,0,0,5,5,16,9,8,3,41,0,5,0,9,4,0,0,0,0,22,5,7,8,40,29,65,65,46,13,273,95,247,213,515,345,324,274,165,65,2242,1626,3792,3039,6554,3822,4210,3420,1780,566,28810,0,0,0,0,0,0,0,0,0,0,1495,3212,2498,5486,3033,2961,2330,1314,548,22872,0,3,0,5,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,12,0,4,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,4,4,0,0,25
40602,0,0,0,0,0,0,0,0,0,0,0,3,8,11,6,3,4,0,0,34,0,8,0,43,7,0,0,0,0,58,0,0,0,6,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,12,0,4,3,13,3,0,0,0,0,19,0,0,0,0,0,0,6,7,0,10,0,0,0,4,6,0,0,0,0,13,5,4,12,101,13,22,33,35,10,235,48,131,162,439,196,199,133,86,24,1421,799,1594,1551,3975,1635,1784,1212,662,161,13365,0,0,0,0,0,0,0,0,0,0,740,1439,1183,2620,1260,1198,859,418,151,9869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
40701,0,0,0,0,0,0,0,0,0,11,0,8,12,17,18,17,16,8,0,90,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,4,8,4,0,0,0,0,28,0,0,0,4,0,0,0,0,0,8,0,11,0,10,17,16,23,16,0,91,0,0,0,6,4,3,0,0,0,16,0,0,0,9,6,7,15,12,0,58,0,0,0,8,5,6,5,3,0,23,0,6,12,41,32,48,85,51,20,303,53,117,91,250,202,295,282,215,86,1599,1121,2808,2245,4302,3095,4116,5199,3236,906,27030,0,0,0,0,0,0,0,0,0,0,963,2480,1921,3847,2488,3339,3991,2091,771,21895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,5,0,0,0,19,4,12,12,0,0,41
40702,0,0,0,3,3,0,0,0,0,10,0,10,8,39,24,19,7,3,0,108,0,0,4,21,6,0,0,0,0,35,0,0,0,6,0,0,0,0,0,3,0,30,48,20,5,0,0,0,0,107,0,0,0,0,0,0,0,0,0,4,6,3,5,13,7,7,11,4,0,65,0,6,3,20,3,5,4,0,0,39,0,0,0,3,7,11,4,0,5,22,0,4,4,20,11,6,3,0,0,38,0,20,32,120,38,60,61,36,16,380,69,212,245,514,362,355,339,200,75,2372,1721,4258,3807,7678,4410,4731,4322,2139,676,33741,0,4,10,26,14,0,0,0,0,54,1640,3558,2915,6038,3539,3734,3165,1804,753,27141,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,3,13,0,3,0,0,0,20,0,0,0,9,0,5,4,0,0,29
40703,0,0,0,0,4,0,0,0,0,5,0,10,17,28,13,17,9,3,0,113,0,4,0,23,0,0,0,0,0,25,0,0,0,14,0,0,0,0,0,14,0,4,4,13,0,0,0,0,0,19,0,0,0,3,14,10,8,4,0,38,0,3,4,15,5,4,6,9,0,49,0,12,6,45,17,10,6,0,0,98,0,0,0,0,3,4,8,0,3,26,0,0,11,4,8,8,3,0,0,36,5,16,52,179,48,44,67,54,14,470,92,278,261,611,363,453,435,251,105,2845,1767,4087,3912,7894,4535,5296,5143,2744,851,36221,0,0,0,10,0,0,0,0,0,19,1562,3597,2943,5745,3611,4125,3696,2072,892,28248,0,3,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,22,0,0,4,7,3,7,5,0,0,26
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,4,3,0,0,49,15,24,31,108,56,70,42,0,0,340,77,128,182,613,299,311,214,40,7,1873,0,0,0,0,0,0,0,0,0,0,43,101,146,348,124,133,95,13,3,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,0,0,0,3,6,8,0,0,0,23,0,20,24,85,70,50,42,13,10,314,0,4,0,9,5,0,0,0,0,28,0,0,0,14,0,0,0,0,0,22,0,7,6,5,4,0,0,0,0,23,0,0,0,3,0,0,0,0,0,6,0,14,8,27,24,23,35,12,0,152,0,5,3,14,9,0,0,0,0,37,0,0,0,15,9,18,21,11,0,69,0,0,0,13,22,21,14,3,0,75,5,21,25,141,70,62,61,43,11,441,81,208,140,599,379,258,232,137,61,2093,1521,4106,2627,6322,3940,3580,3640,1829,520,28080,0,0,5,7,5,0,0,0,0,19,1391,3443,1959,4713,2839,2657,2524,1167,542,21242,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,26,11,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,65,22,14,12,0,0,118
50102,0,3,4,9,6,13,9,4,0,55,8,63,133,218,192,139,54,27,6,850,0,3,3,14,5,4,0,0,0,31,0,0,5,59,0,0,0,0,0,64,0,15,14,7,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,5,10,24,17,23,32,7,5,120,0,0,3,16,12,7,9,0,0,45,0,0,5,14,12,21,22,9,0,91,0,14,27,57,62,54,38,5,3,261,6,42,32,206,95,118,90,51,10,649,120,327,303,894,538,509,386,189,113,3377,3167,7610,6043,12780,6976,7002,5962,2880,857,53276,0,0,0,4,0,0,0,0,0,4,2758,6277,4890,9587,5248,5032,4183,2079,807,40866,0,0,5,14,3,0,0,0,0,24,0,0,0,5,0,0,0,0,0,4,0,0,3,18,8,0,0,0,0,26,0,0,0,5,0,4,0,0,0,12,0,3,6,43,14,19,6,0,3,93
50103,0,0,0,0,3,0,3,0,0,11,0,0,3,12,11,11,18,5,0,73,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,6,4,3,0,32,0,0,0,3,0,0,0,0,0,10,0,0,0,0,4,9,4,3,0,27,0,0,0,7,3,10,8,3,0,32,0,5,9,66,17,29,35,18,5,182,35,111,78,209,192,164,164,97,20,1070,565,1469,1097,2195,1601,1929,1900,942,226,11911,0,0,0,14,3,0,0,0,0,14,528,1212,856,1747,1151,1386,1167,542,176,8767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,7,0,0,35
50201,0,3,5,7,11,11,7,11,0,68,0,53,106,175,180,150,63,33,5,776,0,8,6,7,10,5,4,4,0,50,0,0,0,16,0,0,0,0,0,16,0,25,27,21,8,0,0,0,0,79,0,0,0,0,0,0,4,0,0,10,0,12,11,31,15,37,22,18,7,153,6,10,11,20,0,7,3,0,0,58,0,10,19,47,30,41,32,42,9,239,0,12,15,52,40,35,14,16,0,182,3,37,57,163,114,131,141,101,23,773,141,284,304,931,558,479,421,314,154,3586,2866,6601,5634,10823,6312,6760,7166,4504,1301,51979,0,0,0,6,0,0,0,0,0,9,2664,5666,4282,8045,4061,4497,4779,2642,1031,37662,0,0,0,3,3,0,3,0,0,10,0,0,0,3,0,0,0,0,0,12,0,8,3,25,6,0,0,0,0,42,0,0,3,15,0,5,0,0,0,21,4,12,6,32,16,23,23,9,0,119
50301,9,53,89,97,55,42,48,32,7,425,0,39,132,175,169,130,85,39,8,772,0,13,16,30,32,23,20,11,8,151,0,4,0,11,13,4,3,0,0,44,3,9,7,16,7,0,0,0,0,45,0,0,0,0,3,4,0,0,0,13,15,76,84,75,44,41,41,25,14,407,0,10,4,34,26,3,7,0,0,85,0,3,0,18,16,9,23,15,3,94,0,0,10,32,28,34,24,3,0,135,11,105,118,310,174,187,129,62,22,1120,39,97,150,386,169,168,155,129,84,1374,1518,4879,5598,7071,4747,4270,3601,2355,865,34905,0,0,0,0,0,4,0,0,0,4,1296,3738,4105,4128,3024,2579,2319,1595,797,23588,0,0,0,20,0,0,0,0,0,27,0,0,0,11,4,4,0,0,0,18,4,11,3,52,17,10,6,0,0,96,0,0,0,7,0,0,0,0,0,10,4,14,24,74,52,38,22,6,3,230
50302,9,36,38,234,79,31,34,18,0,478,3,14,65,345,116,91,48,22,6,712,0,8,16,97,16,8,13,12,0,170,0,6,4,96,8,0,5,0,0,121,0,19,31,98,16,7,0,0,0,167,0,6,0,32,0,8,4,0,0,54,12,44,39,158,53,56,44,15,0,418,3,12,44,127,93,85,71,19,11,463,0,5,6,42,20,23,19,12,5,129,0,0,12,101,25,24,25,6,0,186,25,200,200,1759,302,222,162,97,42,3005,93,144,337,1637,457,381,271,144,65,3529,2716,4959,5770,21714,6826,5852,4417,2083,778,55115,0,0,0,3,0,0,0,0,0,14,2221,3847,4187,9515,3645,3144,2318,1120,625,30617,0,0,5,25,0,4,0,0,0,31,0,0,0,37,6,22,15,4,4,94,0,14,19,298,23,9,6,0,0,376,0,0,3,17,5,7,0,0,0,31,3,9,24,160,41,38,22,10,0,308
50401,0,5,3,69,33,46,40,17,3,223,0,16,39,157,70,61,55,8,3,413,0,13,18,114,26,22,20,15,0,231,0,7,3,47,5,3,0,0,0,62,0,17,24,30,13,4,0,0,0,91,0,3,3,29,10,7,4,0,0,52,9,15,16,63,23,26,16,0,0,161,0,29,60,228,176,226,120,45,27,900,0,0,0,24,14,18,11,9,0,83,0,3,12,39,24,15,13,4,0,107,8,83,132,608,244,198,161,123,34,1595,77,170,190,733,268,236,175,136,67,2060,2589,4578,4555,13250,5369,4775,3832,2142,698,41790,0,0,6,20,7,0,0,0,0,27,2313,3606,3251,7045,3091,2439,2000,1046,524,25312,0,0,0,23,3,7,10,0,0,38,0,0,0,39,14,32,28,3,3,125,0,5,4,78,10,6,0,0,0,100,0,0,0,15,15,8,0,0,0,46,0,9,5,53,23,8,6,6,3,117
50402,0,5,0,4,5,9,4,0,0,31,0,17,24,75,60,26,23,5,4,231,0,0,0,6,7,9,4,0,0,22,0,0,0,5,0,0,0,0,0,5,0,6,4,8,3,0,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,8,3,23,11,25,16,8,5,106,0,0,3,19,15,11,3,0,0,54,0,0,4,5,8,16,7,12,0,55,0,0,8,14,28,23,12,4,3,87,0,18,25,101,69,97,71,47,17,438,35,113,104,330,189,200,102,75,34,1168,1121,2729,2697,5698,3173,3139,2451,1284,356,22643,0,0,0,0,0,0,0,0,0,6,1016,2261,1903,3445,2040,1796,1480,715,260,14910,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,13,9,0,0,39
50403,0,16,45,74,73,61,32,17,5,319,3,49,142,349,221,162,77,35,3,1049,0,10,29,94,52,29,40,15,5,275,0,0,3,27,3,0,0,0,0,39,0,38,37,77,12,6,0,0,0,175,0,0,0,9,5,3,0,0,0,20,0,21,19,53,15,42,22,9,4,190,4,32,60,312,238,199,102,20,8,977,0,4,4,25,31,30,25,6,4,135,4,16,71,166,98,74,29,7,0,459,13,125,331,1080,422,315,204,108,28,2640,182,420,367,1262,591,436,240,155,86,3738,5705,11064,9582,21903,9382,7946,5074,2345,678,73672,0,18,37,181,45,24,6,6,0,312,4973,8852,6471,12245,5180,3969,2501,1180,401,45787,0,3,0,38,5,9,11,0,0,67,0,0,0,72,39,39,30,7,5,201,0,3,0,51,9,3,5,0,0,74,0,3,3,42,22,18,15,5,0,105,5,8,11,37,12,18,11,4,0,110
50501,3,26,28,63,49,49,61,24,6,318,9,182,456,774,631,435,214,56,15,2771,0,5,14,49,3,11,19,9,0,110,0,3,4,23,3,3,3,0,0,39,0,12,24,25,3,0,0,0,0,71,0,0,0,10,0,5,3,0,0,27,13,56,56,89,51,46,36,15,8,366,0,7,14,37,50,23,32,5,3,181,3,19,42,91,115,72,89,43,10,479,0,0,55,152,150,171,71,22,8,632,9,112,187,572,358,414,361,169,35,2222,65,185,256,820,493,401,269,151,73,2718,4418,11018,10188,18572,11225,10433,8847,3747,1044,79502,0,0,0,15,3,5,7,5,0,36,3980,8845,6557,10880,5648,5217,4547,1833,818,48327,0,0,3,4,0,0,0,6,0,18,0,0,0,12,11,23,6,0,0,51,0,6,7,138,20,15,6,0,0,187,0,3,0,7,5,5,6,0,0,22,3,22,27,118,48,41,22,8,9,303
50502,9,34,32,164,80,60,85,27,11,498,10,63,198,698,327,280,206,88,22,1886,0,14,43,157,57,32,33,19,12,367,0,9,6,88,16,10,3,4,0,136,12,57,61,60,23,5,3,0,0,227,0,7,6,45,18,16,3,0,0,104,14,30,58,129,81,65,43,15,9,436,5,64,105,393,393,371,211,59,27,1622,0,3,5,66,36,34,29,20,5,200,0,3,25,183,71,75,39,14,0,411,48,427,521,2436,765,540,401,226,70,5436,233,439,480,1994,686,495,366,313,179,5190,6456,11814,11221,32198,12859,10723,8413,5257,2093,101037,4,11,17,76,15,11,9,5,0,152,5604,9232,7823,16023,7025,5854,4902,3405,1678,61540,0,3,5,28,6,4,7,0,0,53,0,0,5,115,58,120,37,14,5,362,7,26,26,557,43,12,4,0,0,680,0,3,0,28,10,19,3,5,0,69,0,5,22,158,72,37,30,15,6,339
50503,3,16,41,103,76,74,55,12,4,367,20,256,560,1055,781,372,166,65,11,3276,6,7,11,59,29,21,23,10,0,161,3,5,0,30,6,4,4,0,0,44,7,78,119,83,8,10,3,0,0,304,0,4,9,21,13,4,0,0,0,46,6,17,45,77,50,43,27,15,4,275,4,60,87,494,391,362,178,56,18,1644,0,17,65,134,81,60,47,27,12,442,0,13,102,238,178,157,49,18,5,759,10,196,506,1375,763,610,363,166,40,4030,236,559,545,1585,797,571,287,186,82,4852,7469,16146,13944,28742,14029,10647,6962,3570,1024,102522,0,26,58,161,65,34,21,4,0,369,6883,12552,8291,15082,5682,4182,3079,1622,618,57983,0,0,3,35,9,6,6,4,0,64,0,0,8,63,45,30,23,3,0,175,0,12,11,126,24,10,0,0,0,176,0,4,7,68,38,26,19,0,5,164,0,12,16,79,38,22,10,4,0,190
50601,3,35,45,150,57,54,38,5,4,395,9,37,120,277,166,117,42,13,3,780,0,40,38,185,85,32,11,4,0,400,0,0,0,25,0,0,0,0,0,35,3,52,69,34,0,0,0,0,0,161,0,0,0,0,8,6,0,0,0,16,5,13,7,27,29,23,29,12,0,127,0,3,0,19,12,12,4,0,0,47,0,3,0,19,22,22,15,6,4,90,0,19,63,102,86,17,17,0,0,303,7,115,159,550,202,172,112,70,10,1397,135,341,287,844,361,282,140,111,52,2554,3850,7481,5390,14416,5572,4577,3306,1589,426,46604,0,4,23,54,14,10,0,0,0,104,3436,5747,3618,7633,2700,2076,1739,653,202,27807,0,4,4,34,5,5,0,0,0,45,0,0,4,9,0,0,0,0,0,16,0,0,0,17,3,6,0,0,0,29,0,0,0,15,4,4,4,0,0,30,3,3,9,34,6,17,5,0,0,90
50602,0,10,21,130,39,51,34,10,6,316,0,8,31,153,70,51,22,10,0,340,4,6,17,164,32,25,21,10,0,282,0,4,7,100,5,0,0,0,0,114,0,19,32,64,14,4,7,0,0,134,0,0,0,23,10,17,3,0,0,57,3,8,12,55,20,21,15,6,0,145,3,16,26,98,51,22,26,7,0,257,0,0,0,18,8,13,10,7,5,63,0,13,12,80,20,17,11,0,0,157,23,140,171,875,190,146,89,58,26,1723,82,179,301,1051,368,289,166,95,66,2610,2174,3661,4467,14372,4720,4138,2823,1330,499,38172,0,12,18,57,17,7,5,3,0,114,2000,2697,2908,5806,2161,1875,1508,690,355,20003,5,27,18,106,5,8,0,0,0,166,0,0,0,14,3,3,3,0,0,29,0,8,8,94,16,3,3,0,0,130,0,3,3,12,6,0,5,0,0,37,5,4,5,68,12,13,9,0,3,116
50603,4,76,162,226,150,140,100,44,8,907,0,20,85,151,70,84,63,24,4,510,7,56,141,273,148,88,44,19,10,779,0,4,6,124,12,8,4,6,0,160,0,10,34,50,17,0,3,0,0,116,0,6,4,52,37,27,4,3,6,143,6,32,34,42,19,17,18,4,0,175,5,29,44,106,50,36,25,13,3,306,0,0,6,13,11,13,19,14,5,74,0,5,26,49,41,30,21,7,0,180,16,239,303,973,281,203,149,99,36,2318,90,143,285,783,271,216,129,127,99,2140,2805,6324,7391,15041,5985,4934,3918,2186,809,49396,0,5,16,52,14,10,10,0,0,107,2371,4285,3581,4423,2153,2138,1873,1151,589,22559,0,27,16,103,31,4,4,0,0,182,0,0,0,8,4,3,0,0,0,18,0,8,4,53,5,10,3,0,0,78,0,4,10,21,3,7,9,0,0,44,0,6,13,33,14,7,3,3,4,81
