SA3_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10102,138,383,543,367,358,415,407,222,69,2900,107,525,895,604,564,553,404,169,27,3841,57,520,1238,842,794,838,461,147,23,4916,16,395,1144,841,772,695,333,74,14,4288,11,208,1214,978,920,733,271,48,6,4387,7,72,836,893,850,606,168,34,3,3454,3,50,1210,2082,2058,1135,228,56,7,6822,0,10,159,403,461,275,64,6,3,1378,6,4,158,565,890,525,119,22,4,2286,195,203,613,496,458,511,376,210,125,3193,3517,3457,9502,9210,9411,8276,5446,2548,784,52153
10103,64,205,283,176,185,238,188,105,35,1474,34,204,394,218,271,246,169,71,17,1623,15,125,377,269,297,342,152,54,21,1655,4,70,256,217,275,250,104,15,8,1194,3,29,207,208,239,221,61,34,15,1018,0,19,132,166,227,171,51,17,8,795,0,11,160,266,315,250,79,13,7,1099,0,0,27,64,80,42,12,9,0,234,0,0,30,71,145,116,21,12,4,402,100,108,322,253,262,238,213,155,70,1722,1151,1122,2702,2325,2878,3034,2362,1311,474,17367
10104,133,383,677,655,739,1120,1229,564,177,5676,75,410,857,773,979,1250,899,422,104,5766,23,273,853,855,1102,1353,949,301,63,5771,9,131,522,632,799,819,485,155,35,3585,0,30,423,507,602,635,396,104,45,2760,0,12,248,356,454,486,206,52,14,1838,0,16,261,527,690,660,228,56,24,2465,0,3,38,93,124,134,53,24,3,469,4,13,64,149,203,216,134,56,20,846,410,246,518,558,757,971,979,731,546,5731,3666,2636,6219,6911,9128,13323,14074,7112,2586,65655
10105,112,270,384,331,296,398,395,158,60,2400,70,310,536,415,415,510,277,123,35,2706,28,236,641,496,525,587,318,89,21,2947,10,143,477,420,400,361,166,42,9,2030,4,74,377,362,396,352,133,38,12,1763,6,29,263,279,334,257,77,11,6,1257,0,32,297,483,546,434,107,18,3,1923,0,0,33,75,88,87,25,7,0,319,0,5,30,106,142,132,65,26,3,516,198,179,483,421,434,426,377,279,172,2962,2119,1944,4603,4324,4786,5458,4723,2637,1034,31629
10106,110,200,304,267,328,398,346,211,60,2221,64,282,437,412,408,418,306,146,35,2511,41,235,496,472,520,567,328,97,26,2777,14,130,381,355,384,377,161,61,17,1874,4,61,383,405,423,335,160,53,13,1834,0,30,224,357,388,275,95,28,11,1414,0,27,294,610,800,461,132,29,3,2353,0,6,37,132,199,105,41,9,6,538,0,5,57,177,331,190,89,32,5,886,166,128,277,291,354,411,415,321,177,2544,2329,1719,3720,4355,5242,5281,4660,2550,902,30759
10201,334,1401,1499,1489,1530,1746,1874,1072,341,11285,175,1255,2048,1745,1896,2103,1550,717,207,11690,80,926,2492,2171,2443,2382,1412,533,166,12611,26,524,2066,2010,2012,1780,883,256,75,9630,9,198,1661,1855,1911,1486,604,207,84,8020,0,86,1154,1684,1668,1321,418,110,19,6465,10,60,1534,3189,3252,2092,528,137,32,10831,3,9,246,765,790,448,154,45,16,2479,0,18,245,1193,1462,955,326,148,54,4399,509,484,1121,1090,1139,1142,1258,1345,1338,9433,10231,9075,18308,21730,23351,23708,21460,13606,5769,147240
10202,403,1385,1880,1516,1645,1679,1525,876,237,11139,196,1470,2536,1997,2045,2043,1129,460,170,12043,93,1031,2903,2370,2564,2366,978,283,82,12671,32,491,2150,2009,1881,1527,571,125,37,8828,10,209,1582,1723,1702,1151,376,133,39,6930,5,95,1074,1395,1320,850,216,49,9,5016,4,72,1135,2097,2075,1294,289,58,9,7017,0,5,137,370,374,257,65,16,4,1240,0,18,126,401,522,404,113,63,24,1671,665,567,1240,1236,1233,1122,1327,1521,1244,10151,10045,9408,19816,19628,20839,21178,19226,12096,4781,137009
10301,140,370,513,362,398,434,460,241,74,2992,93,497,761,534,604,531,402,151,38,3615,49,356,817,663,684,637,354,102,18,3683,13,227,700,552,527,475,238,44,9,2784,7,110,509,508,538,430,168,57,12,2348,3,44,371,412,457,359,106,14,11,1782,0,29,424,741,826,535,140,31,5,2733,0,3,52,85,131,88,28,0,0,394,0,5,55,134,166,159,62,19,0,603,243,378,727,665,547,451,423,304,163,3898,3169,3134,6227,5738,6121,6162,5343,2957,1156,40011
10302,135,356,540,465,493,552,536,286,79,3441,106,413,671,588,641,704,420,172,59,3761,46,326,758,649,703,778,369,139,26,3802,11,185,536,479,496,460,218,63,10,2464,10,106,428,370,430,403,152,82,14,2004,5,51,311,326,357,260,82,19,11,1415,0,37,409,592,585,436,100,19,4,2181,0,5,61,87,112,75,28,0,0,378,6,11,51,132,164,141,82,38,12,643,377,276,572,589,618,708,656,592,307,4691,3118,2675,5763,5694,6437,7563,6926,4311,1757,44247
10303,129,279,444,410,427,508,437,258,44,2932,75,332,563,447,530,563,321,140,36,2994,34,252,622,489,569,599,303,99,18,2986,16,135,436,367,409,447,179,50,6,2049,5,80,380,334,380,345,120,66,8,1724,0,51,279,283,360,288,84,17,0,1375,3,60,512,648,660,477,88,16,3,2484,0,11,112,175,158,97,25,16,3,597,3,7,98,192,260,170,75,30,10,845,262,215,549,535,518,557,570,468,200,3872,2613,2149,5353,5237,6090,6873,6035,3604,1178,39139
10304,134,394,591,502,471,488,504,271,91,3442,98,486,814,640,682,676,429,175,48,4046,39,382,1031,852,862,848,442,125,37,4610,15,222,882,714,662,553,237,60,14,3345,11,138,676,655,644,490,207,70,21,2916,0,65,501,537,555,374,132,31,14,2213,3,81,763,1085,1069,653,161,38,15,3863,0,11,147,223,207,124,32,19,6,773,4,6,98,318,367,235,102,39,10,1177,274,235,493,490,486,491,486,375,267,3587,3796,3212,7524,7452,7551,7318,6343,3612,1414,48201
10401,81,336,488,471,527,615,674,370,95,3668,39,351,621,573,688,770,484,225,49,3806,23,204,635,578,714,785,447,119,29,3533,9,100,361,405,465,470,213,45,18,2085,3,30,276,338,397,384,158,71,13,1682,0,14,183,220,302,270,86,23,7,1098,0,11,187,402,492,348,85,29,8,1554,0,0,17,50,70,66,19,10,0,243,0,6,38,77,127,94,63,26,3,443,265,325,837,768,655,659,576,430,312,4838,2715,2356,5158,5351,6459,8325,8287,4693,1754,45096
10402,181,599,1042,918,910,1072,1087,547,158,6516,95,578,1340,1223,1236,1284,851,338,92,7037,36,397,1282,1303,1439,1360,797,266,45,6930,5,184,863,955,980,803,393,100,41,4329,0,85,677,763,864,693,311,112,35,3534,0,22,401,573,708,554,166,45,9,2471,0,27,444,949,1172,707,224,55,18,3600,0,8,63,164,205,145,53,21,0,660,3,7,75,241,340,242,107,38,24,1072,415,311,810,779,808,781,825,799,623,6149,5235,4012,9868,10621,11650,12929,12358,6806,2720,76197
10501,44,110,176,144,179,167,149,54,22,1038,40,127,274,166,207,235,145,55,26,1281,39,111,275,215,236,248,106,45,5,1275,12,81,246,147,178,187,65,17,6,932,6,52,217,172,142,157,42,16,6,815,3,34,151,110,124,112,36,7,0,585,0,31,229,221,216,180,30,3,0,922,0,6,34,40,46,61,12,4,0,202,3,5,40,51,81,76,41,9,3,313,276,207,485,458,475,541,446,329,119,3338,1209,1114,2771,2273,2620,3117,2353,1362,451,17273
10502,48,121,183,141,146,180,169,103,28,1117,22,116,218,186,183,219,132,52,23,1146,18,103,276,193,224,244,119,35,3,1210,5,68,210,180,165,167,56,21,0,881,8,44,196,157,139,148,55,14,4,778,3,30,149,135,141,135,37,8,3,639,0,19,260,223,250,227,43,3,0,1025,0,0,26,45,41,41,12,0,0,156,0,0,19,52,64,54,22,8,3,224,164,132,286,267,244,261,232,211,142,1943,1105,1011,2451,2139,2321,2889,2510,1405,618,16461
10503,199,491,816,569,542,620,542,324,99,4200,120,603,1322,890,839,892,459,198,48,5371,60,486,1528,1059,951,1028,453,144,30,5737,25,264,1017,744,738,685,299,77,10,3852,8,121,824,686,624,552,187,83,29,3113,6,58,525,517,567,376,127,40,12,2234,0,57,589,943,887,636,180,29,10,3335,0,3,83,133,163,139,29,9,0,552,5,13,113,200,220,155,74,43,10,837,538,502,1386,1161,1039,980,921,760,437,7735,4228,3849,10267,8568,8515,9219,7765,4733,1794,58936
10601,346,772,1139,864,906,773,793,359,71,6030,214,947,1429,1069,1163,989,563,181,34,6583,92,668,1670,1256,1353,1117,489,138,23,6811,25,361,1190,1000,962,733,263,67,8,4619,12,179,962,864,807,640,219,56,8,3752,0,84,751,715,687,492,140,30,5,2905,4,113,1212,1608,1431,927,164,40,4,5511,3,11,217,361,344,229,50,17,5,1234,3,13,154,365,439,377,112,36,15,1510,473,565,1216,1071,965,821,724,500,231,6552,6037,5789,13192,12058,12364,12270,10008,4808,1710,78236
10602,221,730,1048,784,671,644,617,321,80,5122,106,862,1473,1100,989,863,530,184,46,6145,54,652,1813,1451,1219,988,437,133,20,6766,12,359,1396,1131,945,707,253,46,8,4855,3,165,1187,1038,893,612,166,49,15,4137,0,97,804,932,750,498,101,20,6,3220,4,64,1093,1694,1521,828,165,19,3,5396,0,7,168,314,308,179,50,12,5,1041,0,8,137,360,402,262,65,21,6,1274,262,268,622,553,430,407,382,323,232,3478,5332,5291,12511,11711,10592,9515,7868,4163,1452,68430
10603,159,511,699,617,690,873,1019,587,152,5316,83,531,791,747,884,979,733,348,77,5168,48,370,996,902,1069,1129,739,270,48,5567,11,195,682,700,746,814,382,122,22,3685,6,78,503,653,755,666,296,109,32,3109,0,20,310,494,627,498,150,62,11,2172,0,16,449,778,1061,791,205,66,25,3393,0,0,53,155,173,157,57,15,0,610,3,7,52,165,309,256,130,64,18,1001,269,238,434,433,537,590,712,746,438,4401,4341,3549,6854,7634,9372,11303,11681,7066,2101,63908
