SA3_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
20202,93,128,70,35,77,22,6,428,162,237,154,91,113,35,13,799,149,192,105,65,66,15,8,601,1613,1935,1118,708,927,302,100,6701,10,10,3,4,5,0,0,39,2027,2501,1455,905,1179,367,128,8564,4,10,12,4,12,4,0,48,18,52,43,33,40,14,3,205,8,21,29,20,29,9,0,113,188,354,246,178,212,73,24,1282,13,10,4,7,4,0,0,36,228,449,331,243,302,96,35,1679,2248,2952,1785,1151,1482,464,166,10241
20203,10,25,12,10,12,0,0,70,5,12,7,0,0,6,0,33,24,13,23,11,7,0,0,76,389,429,325,188,252,72,15,1670,4,0,4,4,0,0,0,14,442,484,357,215,276,79,15,1874,3,3,6,5,0,0,0,14,6,6,4,5,3,0,0,28,0,0,3,0,0,3,3,11,52,87,57,40,44,12,0,288,3,0,0,0,0,0,0,9,66,94,74,43,51,14,6,344,506,577,434,262,324,96,19,2217
20301,23,32,33,28,36,13,3,167,71,102,50,35,49,18,16,333,66,74,47,24,37,13,4,269,1129,1304,667,449,572,169,59,4352,3,3,0,0,0,0,0,16,1287,1519,801,533,693,215,81,5136,0,0,4,3,3,0,0,15,3,7,5,4,6,3,0,33,5,5,10,4,12,5,0,36,89,138,104,74,100,36,8,544,6,7,6,3,5,0,0,31,112,157,122,89,122,39,8,649,1398,1674,925,619,817,260,88,5782
20302,1648,1504,732,507,586,360,162,5499,746,734,400,248,322,166,83,2699,804,709,395,213,272,126,63,2576,7028,6557,3585,2413,3033,1258,545,24422,30,29,22,13,8,3,0,111,10258,9536,5136,3389,4224,1914,858,35303,121,195,128,109,166,99,62,880,132,216,153,127,143,61,16,837,62,117,98,63,88,37,25,484,1124,1802,1165,897,1182,388,177,6729,65,68,39,25,21,8,0,222,1497,2393,1580,1217,1590,597,278,9151,11758,11926,6707,4600,5809,2512,1137,44454
20303,295,308,182,128,152,67,25,1149,387,422,249,146,188,73,22,1481,431,477,235,123,144,65,23,1503,3339,3654,2169,1368,1582,590,245,12951,21,18,9,15,11,3,0,74,4474,4879,2848,1775,2074,793,319,17164,8,25,31,22,18,11,8,124,44,104,91,50,53,27,16,380,21,40,52,26,42,6,12,198,298,602,448,348,437,139,57,2333,15,14,5,9,3,5,0,51,385,786,629,450,556,186,92,3084,4858,5667,3477,2228,2633,977,413,20250
20401,132,136,86,49,67,27,15,504,100,132,102,59,64,26,10,492,133,168,93,59,56,15,3,529,1805,1858,1177,768,933,259,72,6876,9,9,8,6,7,0,0,38,2176,2307,1468,946,1127,319,98,8439,11,23,19,5,13,6,0,73,36,42,33,20,29,13,0,183,4,20,19,13,23,3,3,83,335,480,349,233,310,67,27,1801,18,12,12,8,5,0,0,56,402,582,423,281,378,97,36,2197,2585,2883,1891,1226,1505,412,137,10638
20402,104,92,34,16,40,10,4,299,55,68,54,39,39,11,0,273,102,87,56,43,39,6,3,340,1585,1593,1063,704,910,210,43,6112,4,16,6,0,3,0,0,38,1851,1860,1218,802,1028,242,50,7049,4,10,3,9,16,0,3,43,13,23,20,16,22,4,3,111,13,21,9,13,12,0,0,70,312,461,370,248,285,55,16,1742,24,13,17,6,0,3,0,62,361,531,422,286,334,69,23,2026,2214,2389,1643,1092,1359,315,73,9082
20403,262,302,162,111,123,37,15,1016,166,170,150,91,89,27,11,701,190,216,135,70,87,21,3,717,2722,2777,1682,1205,1400,283,89,10162,15,22,13,4,5,4,0,67,3362,3484,2137,1485,1710,374,119,12663,18,27,24,24,35,15,9,142,26,47,49,30,36,12,3,188,17,39,17,21,38,0,4,138,510,838,555,390,463,108,28,2891,22,20,8,10,4,0,0,65,589,969,652,470,567,138,45,3427,3952,4449,2788,1954,2279,509,166,16095
20501,186,229,104,72,95,57,16,769,149,158,97,81,77,32,13,600,166,142,82,66,70,26,6,560,2316,2150,1344,886,1018,317,146,8171,10,19,10,8,0,0,0,56,2835,2706,1643,1105,1257,427,180,10152,4,18,17,9,17,8,0,86,38,50,34,31,43,12,9,214,21,25,24,21,28,10,0,129,381,537,367,317,338,86,34,2058,15,26,9,5,4,0,0,68,461,654,452,388,430,122,46,2551,3298,3356,2093,1489,1690,555,224,12701
20502,90,115,65,33,37,12,6,358,79,84,52,39,53,5,5,315,100,94,72,42,30,4,5,352,1362,1412,849,578,674,129,27,5022,5,14,7,5,6,0,0,39,1645,1721,1046,688,806,144,38,6085,0,13,4,4,8,5,0,31,15,37,16,21,10,0,0,106,3,17,18,16,9,5,4,66,316,470,306,241,270,41,9,1642,15,19,15,11,5,0,0,61,359,551,357,286,300,44,11,1911,2001,2273,1405,975,1101,191,53,7998
20503,157,151,83,45,51,16,9,510,180,231,132,93,104,18,5,763,217,204,124,75,104,19,7,735,2035,2270,1385,952,1141,318,97,8199,17,28,16,13,8,0,0,78,2604,2874,1741,1176,1406,368,114,10287,7,23,17,13,15,8,8,89,31,72,46,49,23,7,4,225,8,36,27,23,30,13,3,145,349,552,390,295,354,81,23,2045,20,29,25,16,14,0,0,99,415,716,504,395,432,104,34,2608,3021,3584,2249,1571,1842,473,152,12896
20504,261,278,143,93,99,41,11,919,104,120,78,66,101,26,13,505,157,144,80,56,68,24,9,529,2460,2477,1510,1012,1159,356,113,9078,19,18,11,8,0,0,0,63,2995,3029,1816,1227,1433,449,145,11092,37,41,39,26,41,18,4,204,51,55,44,34,39,7,5,240,25,43,25,12,31,6,0,143,753,994,651,413,459,111,34,3421,46,54,30,20,16,4,0,158,919,1187,791,492,579,148,50,4171,3911,4221,2608,1722,2011,595,196,15265
20505,103,109,69,38,58,10,7,400,76,86,57,30,55,9,0,319,112,102,56,34,40,13,5,359,1561,1575,988,654,780,196,43,5799,7,12,8,6,0,0,0,31,1858,1886,1167,762,938,227,62,6901,9,13,3,12,13,6,3,56,14,24,31,16,21,0,0,118,5,18,10,10,13,3,0,53,294,427,272,227,223,49,23,1506,7,19,10,11,6,0,0,52,333,490,326,271,276,65,22,1786,2191,2380,1494,1030,1215,293,82,8687
20601,654,581,287,139,197,145,82,2091,495,438,236,126,199,118,61,1666,561,428,242,140,166,105,47,1687,1977,1788,1056,715,844,543,208,7135,13,10,3,0,0,0,0,38,3707,3248,1829,1114,1412,902,401,12609,42,75,57,28,59,66,43,358,52,80,73,32,76,39,22,374,23,56,40,21,27,20,19,216,111,246,169,133,201,113,64,1035,10,7,7,3,3,5,4,43,239,471,349,220,364,238,141,2022,3942,3718,2178,1336,1771,1142,541,14632
20602,344,248,131,78,105,64,49,1025,332,315,199,128,173,97,59,1299,341,326,163,104,109,71,23,1144,1305,1309,824,582,772,433,199,5428,0,0,3,0,0,0,0,10,2328,2203,1324,891,1158,669,330,8908,14,29,36,21,35,32,11,168,37,52,43,27,51,15,24,247,14,40,28,25,30,15,9,164,67,146,130,106,165,83,41,737,9,3,4,7,0,0,0,19,134,270,245,184,275,145,82,1331,2468,2478,1569,1070,1434,812,408,10244
20603,700,654,306,218,225,169,92,2365,325,272,128,109,163,118,61,1176,381,354,162,77,99,97,54,1221,1478,1669,1020,706,972,732,351,6918,7,12,6,4,3,0,0,30,2894,2960,1622,1112,1457,1110,554,11707,129,160,105,67,117,79,46,702,24,40,39,30,36,27,13,213,21,33,32,30,30,19,6,175,79,154,139,117,160,88,62,806,21,22,10,3,4,3,0,61,274,411,324,251,345,215,138,1952,3172,3371,1949,1355,1798,1328,690,13664
20604,1997,1314,517,283,341,247,129,4833,278,171,107,68,71,39,19,754,478,287,105,64,77,41,22,1078,782,515,289,203,238,167,72,2268,9,18,5,4,0,0,0,34,3554,2298,1019,616,734,495,249,8964,212,310,198,178,264,256,168,1582,45,46,24,31,37,16,8,206,54,66,33,29,46,30,12,266,79,115,73,55,86,72,36,517,32,29,13,8,9,0,3,85,414,565,349,299,432,371,236,2663,3966,2867,1361,915,1163,867,482,11629
20605,958,780,345,202,221,136,71,2713,474,418,246,166,186,95,49,1631,559,451,225,135,166,89,29,1649,1572,1307,801,517,687,419,197,5508,9,8,7,0,0,0,0,33,3578,2958,1622,1021,1266,740,342,11534,96,142,101,80,106,71,42,637,61,88,62,53,58,50,27,404,40,88,73,35,62,28,18,345,106,221,173,152,176,133,59,1028,19,15,5,3,8,3,0,57,321,554,411,325,406,291,148,2462,3899,3515,2030,1355,1673,1032,485,13996
20606,446,401,173,86,142,99,57,1407,189,134,80,70,92,72,26,661,272,192,81,50,66,44,26,719,885,590,344,293,362,284,154,2916,0,5,0,0,0,5,0,15,1790,1325,677,498,654,501,268,5716,43,79,66,54,72,62,46,425,28,35,14,18,35,26,14,169,19,37,18,22,20,15,8,137,60,97,90,58,112,91,62,565,17,11,3,4,0,0,0,34,163,255,193,164,241,188,133,1336,1958,1584,872,662,901,689,397,7052
20607,615,503,252,135,191,114,72,1886,386,287,159,101,109,59,33,1133,492,367,177,94,98,60,28,1316,1587,1166,644,418,576,366,148,4899,12,18,7,0,3,0,0,40,3091,2340,1231,757,977,599,287,9279,167,220,169,108,133,116,53,958,51,57,40,52,35,29,20,282,25,54,39,17,25,18,8,178,90,170,130,84,124,74,50,721,38,32,17,9,9,0,0,102,369,533,385,260,324,237,128,2239,3452,2875,1622,1012,1299,840,412,11513
20701,2020,3028,1730,1199,1444,1014,633,11069,633,681,525,343,513,350,197,3246,758,887,578,402,531,353,193,3695,2540,3088,2504,1951,2980,2216,1175,16455,22,29,21,7,3,5,0,86,5971,7711,5362,3906,5470,3932,2200,34551,146,412,364,300,477,342,209,2261,64,86,98,67,94,102,53,556,43,93,73,61,92,70,37,473,117,275,324,278,416,313,170,1895,23,13,9,6,0,7,4,72,393,878,867,709,1086,835,481,5249,6363,8589,6231,4615,6559,4769,2682,39805
20702,2423,3064,1471,855,1032,850,607,10309,280,253,157,100,167,107,72,1139,409,351,181,114,164,127,57,1408,987,1142,880,628,957,578,313,5480,17,18,4,8,4,3,0,58,4111,4833,2692,1711,2325,1659,1059,18392,120,382,251,207,293,247,184,1674,28,73,46,33,63,33,26,303,23,61,48,36,57,25,18,256,90,174,157,138,228,124,64,980,8,15,5,7,4,0,0,38,267,704,505,415,636,437,292,3258,4379,5539,3197,2131,2968,2095,1349,21652
20703,2099,2355,1124,737,860,620,369,8149,278,348,225,147,258,151,96,1500,409,438,268,173,216,143,81,1736,1244,1667,1259,903,1400,957,465,7896,15,7,7,0,0,0,3,39,4043,4819,2880,1959,2734,1864,1018,19319,136,294,213,216,307,244,179,1594,51,59,48,40,65,45,27,318,32,53,46,29,48,30,25,264,100,182,184,167,250,166,113,1155,7,17,7,10,4,0,0,49,324,603,491,460,673,489,337,3381,4363,5420,3374,2420,3411,2350,1355,22699
20801,913,1160,793,516,662,453,252,4745,510,636,414,300,384,258,129,2637,565,698,464,315,382,229,126,2777,2044,2556,1891,1324,1900,1308,659,11681,10,12,14,3,5,0,0,46,4040,5067,3566,2460,3334,2251,1168,21881,42,120,148,113,146,106,69,749,38,84,71,66,108,71,39,471,24,69,76,41,58,53,33,351,113,228,212,181,308,236,124,1408,12,12,10,12,9,0,0,50,227,515,516,412,633,470,265,3035,4269,5578,4085,2871,3966,2721,1428,24916
20802,2386,2876,1507,900,1184,735,476,10069,976,1021,630,398,496,317,153,3992,1048,1073,598,353,467,267,164,3972,2955,3149,2082,1444,2006,1208,665,13512,25,31,21,15,5,3,3,102,7394,8156,4839,3118,4151,2527,1457,31645,122,288,248,202,262,218,117,1463,88,131,113,92,141,91,51,701,55,109,81,65,86,51,36,483,171,317,326,282,377,257,142,1859,19,12,10,15,6,3,0,62,435,864,775,655,874,614,351,4571,7831,9016,5618,3770,5031,3143,1811,36220
20803,1287,1513,855,547,701,458,249,5611,716,707,424,275,348,181,72,2724,808,738,393,244,306,155,81,2729,3238,3192,1899,1316,1725,861,447,12685,23,25,9,6,4,4,0,66,6069,6175,3575,2387,3090,1663,850,23812,62,171,107,106,149,130,69,791,74,144,101,78,107,58,33,593,52,113,71,54,76,48,32,442,248,510,413,297,430,234,113,2254,16,26,9,5,11,0,0,70,459,959,709,539,775,473,252,4159,6532,7136,4283,2924,3866,2136,1099,27966
20804,382,382,161,98,135,120,74,1352,211,201,130,88,101,80,43,861,191,216,138,92,123,99,45,903,879,1033,786,564,880,598,328,5066,6,0,0,4,0,0,0,12,1668,1829,1226,850,1245,893,489,8193,21,45,35,27,38,34,25,229,20,27,23,20,29,24,15,158,10,17,25,11,22,7,8,92,36,98,100,81,130,95,56,589,0,11,5,0,3,0,0,15,95,190,180,139,220,162,98,1097,1766,2022,1402,986,1464,1058,594,9293
20901,1490,1664,801,433,560,410,243,5600,603,678,380,249,308,177,119,2514,668,688,316,206,246,135,77,2337,3518,3605,2136,1434,1894,1081,565,14229,24,23,13,4,3,5,0,68,6304,6661,3654,2319,3010,1802,1006,24756,89,179,129,99,161,95,85,841,79,93,87,77,89,48,26,503,34,74,47,37,62,44,26,329,272,495,425,369,472,231,127,2389,19,13,9,11,3,0,0,54,494,857,697,591,790,416,267,4109,6799,7512,4355,2914,3801,2221,1272,28861
20902,1442,1221,507,311,444,329,209,4456,552,436,202,158,202,121,70,1729,537,418,208,129,136,74,35,1536,2007,1653,1013,704,874,471,226,6940,20,11,13,3,5,0,0,51,4552,3734,1935,1303,1656,988,539,14708,96,179,143,94,124,94,79,811,71,109,74,46,75,33,21,429,36,50,30,37,32,22,15,217,260,368,223,188,250,109,63,1459,14,24,12,14,5,3,0,71,479,736,478,383,483,257,169,2986,5034,4469,2416,1680,2143,1247,709,17696
20903,313,386,226,186,231,149,75,1564,307,369,290,169,222,96,50,1507,292,358,192,131,174,122,63,1334,2220,2495,1636,1188,1620,922,449,10519,8,22,0,3,4,0,0,42,3136,3629,2352,1678,2244,1293,637,14971,14,20,27,19,33,25,25,166,23,42,50,29,44,23,16,225,15,41,26,24,36,22,18,182,137,259,222,191,292,127,76,1299,4,5,7,5,3,0,0,20,196,365,331,271,411,199,127,1900,3338,3989,2684,1950,2652,1491,763,16867
20904,7130,7197,3382,1958,2496,1579,959,24692,1276,1172,606,361,523,272,141,4342,1134,989,491,273,350,178,88,3501,6548,6226,3363,2082,2599,1125,478,22416,73,88,37,20,18,3,4,246,16162,15666,7871,4698,5977,3149,1661,55189,344,624,423,344,478,312,189,2702,202,307,209,149,206,88,56,1222,112,184,114,82,124,67,30,712,989,1508,1052,738,975,369,178,5812,52,70,41,27,11,4,0,208,1697,2690,1832,1333,1796,839,456,10645,17860,18359,9714,6031,7774,3987,2121,65832
21001,484,615,354,226,324,249,143,2397,247,280,166,140,175,121,52,1187,314,317,145,101,116,79,37,1105,1786,1881,1138,742,1036,576,285,7442,9,15,7,4,3,0,0,32,2833,3101,1821,1213,1658,1024,518,12164,40,53,49,31,60,44,38,322,30,51,43,46,56,25,15,274,11,50,26,24,34,20,7,166,155,234,187,160,203,154,64,1162,5,10,12,6,4,0,0,40,243,394,319,266,357,249,127,1968,3074,3500,2137,1481,2014,1277,640,14131
21002,71,99,57,33,58,23,11,344,145,162,106,76,102,36,18,647,143,179,64,61,63,26,17,564,1365,1643,956,600,838,339,117,5857,5,0,0,0,0,0,0,14,1726,2090,1184,777,1063,429,158,7424,4,4,6,10,13,12,0,54,13,29,16,16,18,12,7,107,8,11,13,8,17,8,4,77,116,216,146,111,164,54,21,830,5,6,8,5,0,0,0,26,155,274,189,155,210,84,31,1094,1885,2363,1367,931,1275,513,192,8524
21003,2017,1768,787,449,559,404,249,6242,533,442,233,167,188,108,45,1713,503,376,180,95,107,51,33,1346,1809,1448,746,515,648,312,158,5636,19,27,12,9,5,0,0,69,4883,4054,1962,1233,1508,881,483,15016,95,149,114,109,142,85,53,738,74,116,86,62,77,34,19,470,26,60,59,40,50,27,12,271,188,288,164,106,190,112,52,1104,18,16,9,9,6,0,0,65,397,622,427,328,465,264,140,2650,5281,4683,2392,1563,1974,1145,624,17662
21004,390,376,176,102,139,85,49,1326,230,206,111,73,125,56,21,820,246,199,79,67,71,39,13,719,1600,1563,860,571,690,300,175,5761,13,4,8,0,0,0,0,27,2478,2351,1231,818,1025,486,260,8653,17,27,22,11,17,11,3,107,46,63,45,33,37,8,11,237,8,33,21,17,26,7,5,115,231,387,246,171,258,87,48,1436,8,10,11,6,4,0,0,38,308,518,346,233,343,121,72,1938,2782,2864,1583,1051,1366,609,336,10589
21005,8280,8399,4435,2690,3463,2218,1358,30840,1333,1199,660,401,490,240,125,4445,864,768,367,222,256,158,73,2709,3510,2745,1415,884,1072,534,258,10416,103,71,47,34,17,3,0,285,14089,13192,6919,4229,5297,3150,1818,48694,525,798,582,437,655,457,275,3731,228,329,197,142,161,91,48,1199,97,171,110,73,95,57,21,621,669,871,496,383,478,153,94,3145,44,76,44,31,24,4,4,230,1569,2251,1432,1067,1408,766,435,8925,15661,15445,8352,5296,6708,3920,2249,57617
21101,2765,3219,1588,989,1418,1159,729,11878,503,520,348,229,308,159,103,2163,706,674,342,247,281,168,90,2506,3391,3383,2112,1435,1888,1005,471,13687,21,25,18,12,11,4,3,89,7387,7820,4403,2905,3914,2497,1398,30325,130,231,165,121,214,170,127,1151,92,132,101,80,120,59,29,620,51,83,73,55,90,38,28,420,461,774,559,438,661,274,148,3316,23,19,17,6,4,4,0,77,749,1244,918,707,1087,543,340,5586,8141,9067,5327,3617,4998,3036,1734,35916
21102,250,336,205,133,199,136,81,1337,95,96,74,58,96,65,34,523,94,129,101,55,81,68,41,574,471,785,565,431,630,408,230,3522,8,3,3,0,0,0,0,14,921,1355,952,676,1003,673,396,5978,10,22,27,19,25,30,19,154,5,14,27,13,23,11,7,105,4,12,12,8,17,10,3,58,30,62,50,50,79,40,19,320,0,0,6,0,0,0,0,3,47,107,123,89,142,96,50,644,963,1456,1069,763,1147,766,439,6618
21103,1732,1697,812,481,581,377,201,5891,448,444,247,178,226,126,62,1725,512,497,263,163,180,103,52,1768,3401,3315,1963,1284,1744,851,415,12976,7,27,5,3,4,0,0,43,6103,5977,3295,2106,2738,1462,728,22401,107,176,119,92,128,107,54,783,83,141,86,46,79,41,18,497,29,52,50,40,60,20,26,271,255,575,434,343,487,276,121,2486,15,10,5,11,4,5,0,46,484,950,693,530,762,449,217,4084,6584,6929,3987,2631,3501,1907,949,26482
21104,1582,1822,778,466,609,409,275,5936,201,209,145,99,136,90,35,908,323,284,160,96,127,69,43,1103,914,1109,805,548,800,453,212,4843,10,13,3,5,0,8,0,30,3021,3425,1890,1208,1673,1028,563,12821,62,149,105,76,134,123,84,728,29,38,29,33,31,22,9,196,10,36,28,19,38,19,11,160,58,130,124,84,170,108,51,724,10,3,3,7,3,0,0,29,169,357,295,212,383,268,153,1835,3189,3790,2186,1418,2053,1298,716,14653
21105,735,816,499,309,438,244,140,3178,562,681,382,299,362,181,105,2579,646,689,387,240,316,147,67,2494,6171,5808,3319,2155,2742,1069,485,21745,26,26,16,6,12,0,0,84,8138,8012,4601,3015,3871,1646,798,30081,39,72,63,50,73,45,29,367,95,128,113,102,136,40,27,641,39,76,69,48,91,30,25,380,533,991,745,550,743,296,128,3982,24,24,16,15,13,0,8,97,727,1291,1004,763,1050,414,212,5465,8861,9300,5602,3784,4922,2064,1014,35544
21201,2242,2162,1044,593,755,406,195,7396,551,552,298,199,237,107,42,1996,509,459,244,148,166,77,39,1631,4366,4134,2312,1438,1838,641,260,14979,38,41,19,8,4,0,3,116,7704,7349,3914,2382,3009,1228,540,26127,145,225,143,98,135,62,42,853,119,153,99,72,82,42,15,583,48,85,60,44,72,26,11,356,660,1002,578,426,529,190,104,3493,39,36,21,9,10,3,0,112,1003,1503,903,649,828,329,182,5393,8707,8852,4813,3030,3838,1562,716,31520
21202,3621,4080,2396,1559,2049,1375,884,15960,556,529,313,216,321,168,95,2197,514,535,315,208,257,118,68,2013,2219,2263,1430,973,1335,584,294,9095,36,35,16,14,13,6,0,108,6944,7438,4465,2970,3969,2243,1348,29377,230,416,257,210,300,216,131,1753,107,168,105,76,100,36,24,616,49,91,66,47,53,39,17,364,436,604,398,303,386,166,73,2365,41,42,14,16,11,9,0,129,852,1317,836,654,850,465,255,5227,7796,8761,5297,3624,4822,2707,1602,34603
21203,10103,10390,5460,3123,3940,2329,1380,36732,1082,927,460,294,343,135,57,3296,922,877,408,268,306,131,53,2961,4671,3955,2064,1341,1669,583,252,14534,67,67,35,21,19,5,4,223,16840,16215,8425,5054,6278,3179,1755,57745,552,820,538,419,522,332,248,3436,228,236,130,107,140,48,34,923,115,168,113,88,107,32,14,634,971,1148,727,517,648,201,83,4288,65,73,34,30,20,5,4,228,1927,2445,1537,1161,1434,620,379,9509,18770,18660,9971,6213,7719,3798,2133,67259
21204,6682,6424,3410,2289,2888,2161,1314,25167,569,486,286,168,223,108,63,1905,803,634,279,164,189,103,49,2218,1430,1184,659,444,582,304,136,4747,73,52,27,27,12,6,0,189,9562,8775,4666,3093,3896,2682,1564,34226,632,1034,713,561,855,618,430,4839,155,175,105,69,84,37,34,658,110,178,68,54,94,39,31,570,265,365,240,177,258,105,49,1453,76,96,42,16,21,8,9,270,1237,1840,1165,880,1316,800,552,7789,10796,10622,5826,3970,5209,3482,2110,42020
21205,4436,5632,3123,1891,2364,1819,1204,20458,535,507,292,207,288,170,85,2084,639,663,378,244,309,181,100,2521,1551,1700,1335,921,1435,836,425,8196,28,37,15,12,12,0,0,109,7196,8535,5140,3275,4401,3008,1810,33363,241,563,458,349,544,480,323,2961,69,98,73,73,97,58,46,521,39,88,60,53,93,60,23,414,168,279,256,227,337,188,91,1542,19,21,14,14,4,6,0,86,539,1043,871,710,1082,800,480,5522,7733,9580,6012,3986,5479,3804,2293,38889
21301,4839,5175,2819,1798,2489,1775,1127,20022,689,628,311,204,314,151,107,2406,830,625,258,168,217,141,65,2304,2065,1731,937,697,869,509,235,7040,57,48,25,24,4,5,5,163,8474,8205,4349,2892,3887,2591,1538,31939,672,1208,807,637,908,669,411,5317,145,210,123,73,99,55,23,728,138,189,123,82,110,43,31,710,399,604,387,266,350,150,92,2248,76,93,47,33,40,17,11,303,1428,2305,1482,1093,1500,942,553,9304,9904,10512,5835,3986,5387,3531,2089,41244
21302,1149,1171,548,322,378,237,146,3956,620,571,348,210,258,132,65,2201,661,575,279,156,205,131,50,2055,2347,2218,1274,776,973,575,306,8459,16,10,4,0,3,0,0,35,4790,4541,2451,1466,1820,1073,568,16707,94,157,101,81,98,65,40,634,66,123,88,67,89,47,31,509,49,61,61,42,40,34,15,303,178,349,290,212,269,140,92,1528,25,27,8,11,3,8,4,83,415,719,555,414,496,286,176,3051,5204,5258,3002,1881,2315,1359,745,19758
21303,1385,1222,626,407,528,400,238,4804,508,422,224,111,151,68,34,1512,632,435,194,94,120,52,27,1566,1793,1474,758,449,515,267,115,5355,10,8,7,6,8,5,0,46,4326,3560,1805,1070,1327,781,413,13280,140,246,178,137,195,181,107,1181,56,94,59,45,52,15,16,341,41,54,33,19,43,23,10,224,119,227,177,115,151,63,35,888,18,27,14,12,0,6,0,72,380,647,458,327,445,282,165,2708,4704,4209,2266,1398,1768,1064,580,15987
21304,6004,6348,3183,1859,2283,1429,783,21896,977,868,506,357,428,183,100,3420,813,848,435,286,303,147,73,2902,5052,4961,2883,1909,2226,882,376,18289,48,69,25,17,12,0,0,179,12899,13094,7040,4438,5250,2647,1325,46691,513,801,511,339,441,252,182,3034,201,251,170,126,171,55,26,1000,117,132,107,98,121,46,30,644,1070,1450,964,634,773,264,125,5287,60,62,36,30,19,7,5,219,1958,2699,1784,1224,1525,626,362,10179,14849,15790,8822,5660,6777,3276,1693,56870
21305,16558,16311,7430,3608,4128,2306,1166,51498,1193,1124,570,345,452,181,92,3964,1145,1056,522,309,374,169,85,3661,3566,3505,2186,1454,1768,764,338,13589,116,124,47,25,13,14,0,341,22577,22119,10763,5744,6737,3435,1678,73055,1049,1520,937,666,875,475,312,5841,293,324,210,119,197,74,41,1257,128,252,129,126,147,53,30,863,888,1250,812,600,743,257,116,4667,96,150,70,46,29,6,8,396,2455,3498,2155,1555,1990,872,503,13025,25029,25620,12921,7296,8724,4313,2177,86085
21401,876,1071,639,413,586,316,171,4074,726,648,373,243,316,120,64,2485,767,693,375,218,288,103,56,2498,4562,4033,2110,1367,1629,646,286,14633,32,32,17,12,0,3,0,94,6964,6475,3514,2241,2819,1192,585,23786,85,132,114,104,181,80,50,738,143,191,154,131,164,56,16,858,73,154,85,54,103,52,25,549,819,1301,854,610,704,259,115,4651,41,44,33,20,17,0,0,154,1164,1820,1229,914,1169,450,212,6957,8123,8294,4746,3159,3986,1643,797,30742
