SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED49494,19,19,38,96,79,169,0,0,0,12,10,21,0,0,0,135,142,274,0,0,0,12,6,19,4,3,8,5,0,5,14,22,35,0,0,0,6,5,5,14,16,26,6,14,15,0,5,6,3,11,18,52,53,106,33,39,74,0,3,8,407,395,796,6,10,18,19,16,33,0,0,0,0,0,0,0,3,10,15,19,31,18,21,34,836,682,1521,7,5,19,9,12,24,857,700,1560,550,342,893,1873,1506,3377
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
SED50106,109,196,300,1991,2599,4594,0,0,0,591,603,1195,51,53,100,1864,2185,4048,87,101,190,38,35,73,74,117,194,30,32,62,43,76,121,0,0,4,100,128,229,129,158,284,440,505,943,31,48,79,75,80,158,427,599,1032,841,1001,1844,12,17,26,6831,8340,15174,67,50,121,53,50,95,12,8,19,6,0,6,18,15,28,61,119,187,84,136,218,9938,9486,19430,63,39,102,33,63,94,10032,9590,19624,1845,1364,3207,19033,19732,38763
SED50202,319,465,783,2088,2606,4692,0,0,0,655,692,1345,40,32,74,3265,3701,6968,39,56,96,61,57,116,114,143,258,55,76,131,52,54,105,46,50,97,138,157,300,419,533,949,663,739,1402,32,42,71,167,174,341,200,286,490,1209,1374,2585,40,56,98,9280,10840,20122,605,574,1173,721,691,1414,10,7,18,5,3,12,223,171,394,103,184,284,337,348,687,11385,10643,22025,91,63,152,39,50,89,11516,10752,22266,2376,2050,4419,25162,25722,50888
SED50304,902,1235,2138,972,1365,2338,0,0,0,211,278,492,0,0,0,6022,6845,12865,37,52,89,999,1078,2081,118,165,281,17,19,40,26,40,70,48,50,101,112,151,266,179,232,415,151,190,338,7,12,26,28,40,72,149,236,383,649,767,1416,9,15,30,9751,11546,21292,1204,1085,2293,788,758,1548,45,46,86,0,0,0,262,239,505,122,150,271,383,389,774,7108,6861,13968,65,49,111,38,51,97,7212,6958,14176,1574,1411,2985,21855,23438,45295
SED50405,200,358,565,2343,2943,5291,0,0,0,424,469,886,0,0,0,4267,4863,9126,60,74,127,127,127,252,185,229,412,153,161,314,43,71,117,36,45,78,204,225,427,390,443,829,397,416,813,25,49,73,77,73,152,300,400,699,1260,1503,2762,56,78,139,10336,12168,22508,570,584,1153,322,310,630,9,6,19,3,0,7,413,364,778,68,117,187,487,484,973,13809,13591,27404,76,70,147,27,66,101,13918,13730,27650,2159,1700,3860,28004,29342,57344
SED50502,726,1022,1748,1567,1959,3533,0,0,0,317,349,669,0,0,0,4414,4915,9322,76,99,177,319,289,609,81,89,172,23,44,68,27,53,85,33,40,79,151,138,289,212,240,453,173,182,357,38,56,98,29,43,71,211,294,504,703,776,1484,27,32,56,8411,9606,18019,521,503,1022,1082,964,2043,30,23,51,0,0,4,163,141,307,90,129,218,256,271,524,8845,7891,16736,83,57,137,25,42,66,8950,7988,16940,1572,1290,2865,21551,21674,43217
SED50605,648,942,1593,1995,2547,4545,0,0,0,478,540,1022,34,36,75,4862,5518,10382,36,59,97,201,219,419,31,43,80,20,24,47,45,62,113,15,17,35,137,139,276,275,320,593,506,591,1093,7,10,20,24,37,61,483,665,1151,737,894,1633,12,19,33,9906,11750,21656,439,425,858,372,383,751,31,24,60,0,0,4,83,87,168,133,149,281,223,233,455,8748,7880,16631,61,33,102,32,51,82,8838,7972,16809,1044,972,2019,21497,22696,44195
SED50702,790,1019,1813,1700,2001,3708,0,0,0,237,267,499,0,0,0,4659,5161,9819,38,37,73,166,159,325,75,91,159,59,65,120,33,45,82,23,23,53,127,171,297,204,273,481,232,252,482,22,44,66,61,77,133,267,335,602,706,874,1576,25,30,52,8633,9901,18529,765,603,1367,1835,1605,3443,14,14,27,0,0,0,233,150,378,83,123,208,318,266,587,9797,8511,18313,93,66,159,35,34,65,9926,8611,18538,2228,1884,4106,24501,23909,48411
SED50805,122,262,383,1900,2495,4399,0,0,0,180,240,421,15,15,27,4617,5816,10437,20,23,46,122,163,283,59,56,117,4,7,13,39,52,83,11,9,13,64,71,133,91,120,211,203,274,472,3,10,17,11,15,21,328,433,764,287,399,682,3,10,20,7943,10214,18159,76,82,159,86,87,176,10,13,20,0,0,0,20,17,36,59,96,160,82,116,196,8874,8852,17719,81,62,145,25,41,64,8983,8953,17930,1132,1072,2203,18427,20794,39223
SED50906,131,251,380,2373,3141,5506,0,0,0,421,433,848,0,0,0,3570,4232,7808,40,67,101,83,98,189,95,153,252,98,131,230,49,64,113,11,10,25,86,103,196,151,181,330,232,258,491,37,60,100,58,73,131,338,483,827,653,800,1453,40,48,88,8351,10341,18694,143,135,278,193,186,384,4,10,17,3,0,5,48,42,92,72,110,181,121,156,276,10385,9901,20280,73,41,116,28,50,82,10486,9990,20478,2247,1492,3742,21678,22567,44242
SED51004,203,318,524,2730,3274,6007,0,0,0,513,515,1026,0,0,0,3787,4335,8119,21,32,57,158,157,314,73,106,178,74,80,148,29,36,66,61,56,117,149,183,334,309,350,660,358,401,759,12,25,38,11,27,42,228,306,537,769,878,1652,29,16,43,9317,10778,20096,229,224,453,361,391,746,11,26,42,0,0,0,95,93,194,80,120,199,181,213,393,10743,9837,20581,66,37,100,22,45,69,10832,9914,20745,1465,1135,2598,22594,23003,45594
SED51104,179,335,517,2865,3615,6482,9,7,12,482,566,1051,0,3,8,3802,4604,8405,38,53,95,148,142,286,138,170,308,230,234,464,50,42,88,48,52,100,162,199,362,412,494,911,336,382,713,24,37,54,56,65,122,203,297,502,1058,1327,2383,31,39,69,10086,12331,22421,273,271,547,327,308,631,23,23,52,0,0,0,116,95,208,71,90,163,187,191,374,14095,13741,27834,74,59,133,30,47,80,14197,13844,28043,2189,1713,3897,27465,29017,56481
SED51205,1331,1518,2852,1323,1628,2957,0,0,0,419,511,926,16,19,27,4409,4848,9258,66,77,141,127,142,272,98,143,238,42,49,93,38,41,78,77,83,158,195,231,427,272,307,582,427,426,847,13,24,36,47,76,131,267,336,605,938,1050,1989,39,39,79,8807,10028,18839,1682,1364,3051,2874,2652,5529,4,8,12,3,0,3,1300,1118,2416,105,115,221,1407,1234,2641,8522,7625,16147,63,39,103,26,41,72,8618,7697,16316,2015,1669,3686,26739,26175,52916
SED51304,139,238,380,2618,3240,5858,0,0,0,263,318,586,0,4,7,4423,5064,9488,83,89,169,298,319,621,52,72,122,42,56,103,60,83,146,12,19,29,122,152,278,140,153,290,251,313,566,10,10,18,9,16,30,510,684,1187,481,581,1064,20,19,41,9415,11191,20609,178,182,358,115,131,240,28,40,71,0,0,0,16,25,44,51,68,121,69,94,159,9810,8839,18655,69,56,123,20,35,57,9903,8927,18835,979,869,1846,20828,21667,42494
SED51401,61,101,161,2749,2994,5743,0,0,0,206,227,434,117,124,249,2615,2847,5463,164,176,342,36,41,82,108,152,266,15,16,33,30,68,100,9,8,19,68,63,132,58,62,118,232,251,477,54,71,118,103,133,239,582,677,1258,449,518,966,17,9,27,7620,8452,16072,47,45,95,56,47,104,6,8,10,7,3,10,12,11,26,42,68,112,65,86,144,8497,7155,15650,51,27,80,26,58,83,8574,7239,15811,2900,2163,5056,19318,18135,37453
SED51504,963,1117,2079,2260,2777,5036,0,0,0,182,199,379,0,0,0,4502,5199,9699,84,102,182,358,448,806,33,44,79,7,15,23,42,63,101,35,19,51,102,131,228,116,165,281,221,243,467,9,21,40,12,8,20,359,527,890,436,621,1053,11,13,23,8776,10595,19371,657,636,1292,198,207,400,65,60,125,0,0,0,57,45,102,89,102,199,151,154,301,9819,8821,18635,81,49,134,23,56,78,9927,8923,18851,1040,895,1933,21770,22583,44359
SED51605,338,512,846,1684,2112,3797,0,0,0,336,393,725,7,7,12,6480,6998,13475,26,28,57,277,305,590,61,67,125,19,16,28,40,53,89,17,27,37,151,170,315,287,310,595,298,299,589,14,22,35,34,37,68,207,292,492,746,874,1624,26,31,55,10690,12023,22717,383,391,776,335,369,703,11,17,26,0,0,0,111,81,188,69,109,180,180,187,364,10386,9606,19982,75,55,128,24,60,85,10482,9715,20196,1377,1158,2540,23802,24366,48164
SED51706,95,164,259,2565,3216,5785,0,0,0,351,375,723,0,0,0,3463,3906,7368,52,76,128,34,48,82,124,162,286,62,58,118,53,45,94,0,3,4,99,109,213,107,131,230,251,269,526,31,45,75,78,96,176,410,512,923,630,700,1329,21,29,52,8324,9782,18106,71,65,137,124,127,246,4,5,10,5,0,7,31,28,60,47,96,148,83,127,209,11357,10464,21818,55,47,102,31,44,74,11437,10556,21994,1917,1575,3490,22058,22398,44451
SED51804,260,365,619,3437,4235,7671,0,0,0,137,159,294,0,0,0,3785,4637,8418,45,52,94,271,306,582,7,15,20,5,6,10,52,71,120,19,21,41,55,95,150,78,82,158,273,370,643,6,8,12,5,15,18,465,666,1135,326,413,740,12,15,28,8981,11153,20135,157,176,339,115,129,247,104,88,197,3,0,3,20,20,46,91,91,186,121,115,231,9942,9358,19302,92,74,162,33,56,92,10068,9490,19554,1431,1373,2802,21235,22899,44128
SED51902,195,239,438,2487,2973,5465,0,0,0,384,438,819,82,78,155,3157,3429,6584,41,58,99,60,62,122,101,116,214,52,65,120,33,54,88,9,4,13,110,114,224,249,287,531,663,715,1375,19,20,41,68,94,170,255,330,586,1011,1090,2100,32,26,60,8825,9952,18774,249,264,515,245,232,473,5,12,21,0,0,3,259,245,501,58,115,174,316,360,681,11973,11455,23434,73,49,130,32,42,76,12085,11555,23640,1932,1284,3210,23843,23904,47752
SED52006,124,262,383,3332,4036,7369,0,0,0,361,401,763,3,4,14,3251,3849,7099,23,33,57,71,91,157,134,184,314,52,53,105,51,84,132,0,0,4,88,104,196,147,205,356,351,355,701,31,42,72,19,25,51,335,540,874,539,661,1197,7,13,22,8817,10688,19504,53,75,126,56,78,135,9,11,20,0,0,0,28,21,46,47,86,133,71,108,179,9953,9547,19495,54,49,102,30,79,115,10041,9668,19708,1513,1192,2699,20686,22076,42755
SED52102,295,426,723,1856,2306,4162,0,0,0,429,463,896,44,44,92,3548,3979,7531,38,67,105,74,87,159,47,74,128,48,41,85,30,55,89,30,39,69,106,136,241,200,224,425,229,284,520,30,28,58,128,163,287,232,346,576,823,954,1776,70,73,142,7975,9372,17344,558,523,1079,845,790,1639,8,6,18,0,3,3,157,145,306,56,95,148,216,239,453,9694,8469,18169,62,45,109,20,26,47,9784,8539,18319,1549,1240,2788,21236,21136,42371
SED52205,241,367,606,1459,1702,3161,0,0,0,130,198,329,0,0,0,4590,5144,9740,14,26,43,192,206,402,47,72,119,17,23,41,32,38,71,7,5,14,69,78,145,90,120,219,188,206,386,17,7,29,9,12,18,155,263,415,379,499,880,13,14,34,7410,8618,16028,86,80,168,182,191,375,51,66,115,3,3,4,10,15,34,88,113,204,105,133,239,11244,11153,22396,87,84,170,66,103,170,11401,11343,22741,1987,1610,3600,21467,22406,43870
SED52301,113,233,343,2134,2554,4688,0,0,0,176,178,355,0,0,0,3977,4672,8649,31,27,60,39,24,64,99,151,255,22,24,37,52,97,152,0,0,3,77,93,175,243,312,559,160,156,316,30,45,73,89,93,183,322,454,774,445,569,1018,8,13,25,7906,9461,17370,94,77,168,264,300,563,10,10,13,0,3,10,20,9,31,50,71,120,68,91,160,8425,7562,15989,38,33,72,14,35,48,8477,7630,16113,2281,1923,4207,19214,19725,38940
SED52404,162,264,423,2512,3201,5710,0,0,0,260,248,509,0,0,0,4346,4835,9180,55,63,118,188,214,408,34,57,88,48,68,111,46,67,108,39,34,79,107,123,230,174,213,390,270,299,570,20,19,38,15,20,40,336,403,734,476,586,1065,16,18,32,8948,10476,19427,162,144,307,165,169,338,39,29,67,0,0,0,16,23,41,52,63,116,68,91,155,9979,9019,18998,66,39,106,30,52,87,10078,9104,19182,1097,863,1963,20723,21144,41866
SED52505,1102,1361,2461,1906,2243,4147,0,4,4,518,614,1125,52,55,108,5046,5593,10631,31,47,81,89,110,202,52,71,119,48,43,97,42,44,89,85,56,145,266,255,521,658,681,1339,526,559,1079,13,28,40,81,104,185,314,418,734,1306,1515,2824,40,44,82,11074,12480,23556,2116,2149,4264,1077,1090,2168,12,17,26,0,0,0,1093,1025,2118,120,117,236,1212,1143,2356,9673,9101,18773,62,53,112,13,34,51,9753,9186,18937,2290,1148,3440,28626,28579,57203
SED52604,215,316,538,2501,3059,5555,0,0,0,372,458,823,0,0,0,3857,4369,8220,49,59,106,169,173,340,45,68,108,34,39,78,45,24,65,50,46,97,130,149,276,259,297,554,357,346,705,6,16,22,26,30,54,263,312,573,635,731,1357,20,23,41,8808,10191,18999,224,200,422,251,249,497,18,23,33,0,0,0,44,47,86,55,89,149,99,138,234,9521,8329,17848,67,35,107,30,46,78,9619,8412,18031,1360,1024,2382,20589,20551,41137
SED52702,120,217,338,2393,2814,5199,0,0,0,381,427,802,141,124,258,3317,3624,6942,68,96,169,93,73,165,97,115,209,31,37,68,65,78,145,0,0,6,72,92,168,84,105,188,241,290,529,12,10,24,155,171,325,345,507,849,657,776,1434,67,57,125,8203,9395,17599,42,36,72,42,43,87,17,28,44,0,0,0,13,21,33,70,98,172,88,119,203,9679,9008,18690,77,54,128,23,50,77,9781,9114,18891,1229,1026,2250,19514,19969,39482
SED52803,150,237,385,1315,1241,2558,0,0,0,290,309,600,5,6,14,3101,2980,6082,146,189,335,50,46,96,72,82,151,121,144,260,76,67,138,10,3,12,139,146,288,142,154,289,211,200,416,26,30,55,76,91,172,220,280,506,690,775,1468,31,42,72,6714,6797,13513,218,181,402,192,126,319,12,5,15,7,3,7,47,49,93,49,53,103,97,110,205,8912,7129,16036,46,34,76,17,29,51,8977,7191,16164,3634,2276,5910,19984,16922,36906
SED52903,82,206,294,769,857,1620,0,0,0,147,166,316,0,0,0,3434,3971,7402,21,23,42,20,20,42,37,32,75,8,10,19,71,104,182,3,0,9,579,666,1244,263,344,610,109,107,214,9,12,18,40,59,92,247,342,592,581,649,1230,3,9,11,6342,7365,13707,68,43,106,81,61,142,7,8,11,170,174,349,12,11,27,41,35,77,227,227,449,6825,6476,13298,37,30,64,10,23,33,6877,6528,13406,3748,3479,7235,17430,17919,35352
SED53004,190,295,484,2393,2927,5318,0,0,0,288,337,623,0,0,3,4025,4753,8780,106,133,233,229,243,470,47,55,99,57,73,130,47,63,110,3,0,7,152,157,305,212,238,444,272,307,578,33,42,77,17,17,35,412,642,1054,610,707,1319,19,17,39,8922,10709,19633,195,167,355,140,163,297,27,31,63,0,0,0,26,25,51,60,91,151,87,115,203,9814,8942,18753,58,43,104,14,41,50,9890,9026,18908,989,771,1762,20431,21278,41711
SED53105,277,471,748,1719,2074,3792,0,0,0,307,329,633,0,0,0,4378,4840,9216,39,53,90,156,172,328,144,195,338,70,77,143,37,52,93,25,33,55,190,196,381,296,314,611,257,268,521,28,59,85,70,86,157,195,264,461,918,1080,1999,31,37,67,8848,10125,18980,698,668,1367,420,406,830,16,11,23,0,3,3,304,256,556,87,139,222,391,393,784,11607,10653,22263,86,62,142,31,64,103,11723,10776,22498,3018,1455,4473,25394,24307,49705
SED53204,846,1078,1920,1553,1918,3469,3,3,8,414,425,838,0,0,0,4863,5659,10523,67,89,157,779,794,1572,110,140,257,52,65,112,34,39,71,110,105,221,192,229,422,535,560,1089,232,258,493,20,22,48,45,68,110,196,274,475,1123,1236,2360,25,23,49,10362,11902,22261,1513,1435,2947,1303,1341,2640,22,32,54,0,0,0,137,127,258,110,131,234,245,257,497,8373,7602,15973,66,46,112,20,30,52,8457,7679,16141,1200,935,2136,23945,24654,48598
SED53306,143,310,458,2807,3846,6658,0,0,0,453,558,1015,0,4,8,3039,3661,6704,53,62,114,52,63,115,159,216,379,103,107,210,62,70,129,3,8,15,105,138,247,260,333,590,286,352,639,32,62,94,30,43,75,334,481,820,727,862,1594,29,32,59,8531,10906,19437,191,190,382,113,117,229,11,5,19,0,0,0,62,57,115,96,165,263,157,222,381,10635,10356,20989,70,45,111,34,80,113,10737,10481,21220,2097,1977,4074,21975,24212,46195
SED53402,532,772,1306,1402,1712,3108,0,0,0,174,200,369,0,0,0,4571,5147,9725,30,58,84,345,342,691,54,57,108,24,25,45,49,49,96,33,42,74,89,111,204,92,132,230,167,164,328,14,24,38,16,22,42,211,318,531,511,564,1075,16,25,42,7800,8978,16788,530,493,1024,533,429,965,85,83,167,0,0,0,121,113,241,91,90,179,215,212,425,10109,9657,19763,94,90,184,38,55,93,10246,9800,20041,1491,1236,2731,21437,22006,43449
SED53502,228,352,583,2108,2601,4709,0,0,0,296,344,640,35,27,62,4517,5013,9530,63,72,140,124,142,266,97,129,229,57,99,155,38,48,87,41,33,73,153,185,344,264,323,585,264,271,539,40,44,81,89,113,199,246,341,585,846,949,1793,42,52,95,9319,10780,20098,466,445,912,340,327,674,12,18,28,3,7,4,155,157,311,64,133,197,226,292,520,10514,9724,20239,86,70,159,37,75,114,10646,9872,20512,1976,1597,3573,23218,23685,46900
SED53602,1519,1742,3259,1130,1408,2535,0,0,0,904,933,1838,3,3,7,4271,4673,8947,37,60,98,889,910,1801,141,163,303,52,64,120,25,29,52,162,171,335,175,210,387,321,407,731,150,182,333,22,25,50,68,87,158,139,193,331,1181,1319,2496,20,23,47,9687,10876,20559,488,403,887,2668,2363,5027,46,56,103,5,7,8,298,246,548,98,155,255,402,406,811,7190,6288,13474,58,47,105,17,45,65,7269,6382,13648,2003,1814,3818,24087,24034,48121
SED53701,74,160,234,2912,3217,6124,0,0,0,208,216,429,54,49,108,2880,2983,5865,31,29,57,38,35,73,72,64,134,13,22,35,71,72,141,6,3,9,62,76,139,72,68,138,243,252,499,21,27,48,78,81,159,504,561,1063,457,517,975,15,24,43,7743,8294,16032,35,25,59,46,38,81,6,9,14,10,10,20,10,0,8,37,79,118,56,89,147,9022,7500,16524,34,25,62,30,28,58,9089,7551,16637,2848,2255,5102,19893,18415,38315
SED53802,929,1193,2122,1281,1622,2904,0,0,0,227,276,505,5,0,6,5894,6454,12345,51,78,133,852,871,1720,58,93,149,34,54,86,33,46,77,35,42,79,119,138,260,148,193,343,154,217,372,20,31,54,43,45,81,187,278,465,630,743,1378,17,23,45,9800,11219,21018,747,597,1339,1355,1273,2623,381,424,808,0,5,3,321,265,583,115,141,262,439,409,850,7232,6532,13768,63,63,128,38,48,87,7339,6649,13982,1448,1238,2684,22431,22996,45426
SED53902,551,782,1332,1425,1860,3279,0,0,0,170,216,382,4,0,6,4615,5463,10081,41,59,104,635,735,1370,49,58,107,31,45,77,39,45,79,17,8,25,65,100,168,74,137,209,137,163,295,16,29,43,14,31,48,222,383,604,417,573,988,14,15,27,7972,9921,17892,450,389,834,581,522,1099,934,1033,1964,0,0,0,96,104,194,81,98,182,174,207,380,8168,7892,16058,111,84,194,37,48,86,8314,8019,16331,1365,1171,2535,20339,22037,42377
SED54006,87,180,271,2762,3317,6082,0,0,0,337,392,731,3,0,6,3596,3922,7515,74,83,161,30,33,68,171,206,369,54,71,119,50,57,104,0,0,0,78,104,180,124,131,256,301,311,617,26,20,47,47,49,94,349,509,857,596,620,1214,14,21,40,8605,9851,18458,43,35,79,71,58,131,11,11,25,0,6,4,7,3,10,57,77,135,64,84,147,10812,9775,20588,54,36,89,29,48,77,10901,9858,20758,1962,1564,3529,21748,21651,43391
SED54104,468,667,1137,2559,3110,5670,4,0,0,211,215,429,0,0,0,3626,4513,8138,95,114,213,273,355,627,39,48,87,0,4,9,55,74,135,10,11,22,101,133,237,76,124,199,252,297,553,16,9,25,15,16,26,490,669,1166,461,630,1088,9,16,36,8298,10346,18647,498,497,994,418,425,846,107,109,216,0,3,3,47,43,93,103,102,205,147,152,297,10929,10304,21229,141,105,247,23,47,67,11099,10450,21546,1597,1393,2995,22632,24047,46676
SED54203,130,171,303,923,811,1736,0,0,0,107,90,198,0,0,0,1793,1587,3388,68,80,150,37,28,64,19,40,64,16,15,31,39,44,78,0,0,0,37,48,80,32,37,66,111,92,201,8,17,17,75,103,180,144,120,263,407,385,791,10,11,20,3834,3494,7328,45,26,76,74,47,117,4,7,10,147,145,289,6,0,6,22,32,60,172,175,351,5453,4405,9857,27,11,41,11,10,23,5488,4431,9915,2821,1948,4773,12579,10295,22875
SED54304,761,1120,1882,1486,1555,3040,0,0,0,196,230,426,0,0,0,4843,5112,9962,33,32,62,517,611,1131,53,57,110,21,11,31,56,56,108,23,16,37,107,133,236,142,155,291,200,206,405,12,16,24,25,14,47,208,284,496,617,764,1378,8,13,27,8534,9258,17794,717,687,1408,620,538,1163,147,159,304,0,0,3,44,43,95,122,154,273,164,198,366,13537,11895,25429,185,105,286,57,64,114,13771,12062,25833,2886,2011,4895,27607,26042,53651
SED54403,256,406,663,1363,1266,2629,0,0,0,347,362,713,0,0,0,3852,3388,7236,43,50,93,99,89,187,79,93,175,72,71,139,65,50,110,10,5,11,105,85,184,154,171,331,168,123,289,14,18,28,107,131,241,238,243,479,690,710,1403,23,21,49,7427,6859,14289,346,261,604,448,348,796,19,10,28,142,113,256,43,34,79,62,54,115,245,209,448,11675,9298,20971,63,33,95,25,32,54,11766,9360,21122,5931,3544,9466,26437,20991,47427
SED54505,1262,1556,2819,1772,2174,3942,0,0,0,509,584,1089,73,69,141,3483,3973,7453,75,82,161,94,112,203,36,50,84,32,33,67,43,52,97,59,63,115,214,254,463,375,438,809,545,603,1145,13,19,29,62,106,163,444,612,1061,968,1126,2092,19,30,43,8789,10376,19170,1527,1501,3031,871,860,1734,15,12,27,0,0,0,216,210,424,80,85,166,293,298,589,8605,7870,16472,67,37,97,26,43,73,8695,7944,16641,1023,874,1900,22483,23426,45908
SED54605,192,325,514,2541,3099,5641,0,0,0,246,313,558,0,0,0,3074,3456,6522,79,112,184,123,158,278,68,104,182,54,57,109,55,59,115,0,0,0,89,97,183,127,156,284,299,345,643,46,60,105,42,42,81,295,416,715,554,588,1145,24,21,46,7713,9090,16807,70,63,133,111,116,234,7,12,19,3,0,9,26,24,48,91,116,205,115,145,260,9974,8990,18964,70,38,104,32,73,101,10072,9102,19177,2158,1564,3724,20446,20415,40861
SED54701,93,144,232,2261,2431,4693,0,0,0,613,662,1277,41,35,85,2315,2483,4797,24,40,64,22,28,49,103,155,259,23,20,45,151,171,326,4,4,11,90,91,184,79,95,173,246,242,484,24,38,63,80,68,144,573,684,1252,683,705,1384,29,17,52,7359,7983,15338,37,36,76,217,188,405,0,8,8,3,3,9,13,17,30,33,56,89,59,72,132,8989,7815,16802,35,22,63,24,30,53,9050,7868,16920,2430,2127,4558,19238,18424,37662
SED54804,244,368,610,1922,2664,4582,0,0,0,163,215,384,0,0,0,4487,5359,9841,45,68,112,291,317,608,73,110,184,20,23,39,45,65,113,12,15,28,90,126,215,126,173,296,192,271,463,22,21,43,6,19,26,261,435,695,444,575,1016,13,19,31,8210,10475,18685,187,188,375,187,217,401,49,58,105,0,0,0,25,27,53,91,110,195,112,137,250,11064,10751,21815,91,67,159,43,67,109,11208,10884,22087,1724,1505,3234,21922,23827,45753
SED54905,581,780,1357,1838,2383,4217,0,0,0,212,291,502,26,22,48,4451,4924,9374,62,77,134,234,242,474,54,64,118,32,33,59,37,77,115,25,22,53,113,122,232,154,191,342,307,354,661,9,13,23,33,41,71,470,657,1131,517,665,1183,16,17,33,8587,10173,18763,443,429,871,590,497,1080,50,39,89,3,3,8,47,68,118,92,125,213,145,194,336,9159,8438,17597,101,66,171,25,46,74,9288,8552,17841,1474,1429,2905,21150,22091,43240
SED55005,856,1051,1912,1666,2019,3682,0,0,0,430,499,931,23,23,48,3968,4415,8386,41,50,94,79,84,166,44,63,110,43,45,84,45,43,88,72,67,141,174,200,376,500,554,1062,324,317,642,29,33,67,80,119,205,235,327,557,1019,1139,2156,41,60,94,8820,10066,18883,1486,1533,3017,2726,2630,5354,14,3,17,3,4,7,747,675,1427,74,124,190,826,798,1626,9055,8456,17514,47,40,83,22,32,55,9121,8532,17653,1470,1261,2731,25313,25878,51193
SED55102,204,324,532,2470,2892,5363,0,0,0,357,397,749,0,0,6,3799,4058,7861,39,49,90,149,139,290,85,121,205,59,71,129,57,60,112,26,12,40,127,134,257,269,328,596,267,303,569,21,35,59,63,59,118,246,303,554,846,996,1840,41,47,86,8926,9994,18928,357,352,705,375,409,786,16,8,32,3,3,5,320,301,618,68,99,164,391,407,794,11595,10957,22550,70,54,118,29,56,84,11687,11063,22754,3721,1451,5177,25682,24016,49692
