SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED10001,..,10183,10183,11139,834,11974,4170,148,4311,3938,51,3989,1831,14,1850,834,5,836,21911,11243,33152
SED10002,..,8024,8024,9626,1344,10972,6281,648,6926,5437,429,5869,2745,226,2975,2773,152,2925,26857,10831,37685
SED10003,..,8596,8596,10215,1181,11399,4345,383,4726,3887,164,4053,1573,61,1640,731,26,753,20745,10410,31153
SED10004,..,11660,11660,10833,1426,12264,4612,588,5204,4252,224,4471,1005,64,1065,231,24,251,20933,13987,34914
SED10005,..,5948,5948,6211,525,6734,4704,149,4856,4717,87,4798,2968,39,3002,2671,36,2706,21264,6785,28048
SED10006,..,9086,9086,8987,593,9572,3428,62,3491,2770,17,2780,1537,7,1547,851,0,852,17566,9759,27324
SED10007,..,9065,9065,10119,698,10817,3990,126,4115,3706,24,3734,1751,17,1769,870,0,876,20447,9932,30379
SED10008,..,3762,3762,7807,267,8079,5612,71,5688,6883,55,6943,2659,28,2691,1257,15,1274,24227,4205,28431
SED10009,..,9644,9644,12552,700,13252,3360,76,3436,2926,18,2947,1268,4,1277,686,0,685,20793,10443,31229
SED10010,..,5825,5825,7363,698,8062,5685,249,5933,5568,126,5691,2479,51,2525,1695,32,1726,22787,6978,29767
SED10011,..,7770,7770,9727,604,10332,4030,79,4111,3902,29,3926,1629,4,1635,675,0,678,19973,8492,28465
SED10012,..,3925,3925,5502,436,5941,4457,125,4578,4629,41,4666,2649,23,2678,2602,14,2616,19827,4567,24396
SED10013,..,5640,5640,10417,494,10911,7652,104,7754,9290,41,9332,4610,10,4621,2371,4,2376,34337,6294,40631
SED10014,..,6261,6261,7808,633,8438,5007,87,5096,4381,26,4403,2211,14,2224,1703,5,1710,21105,7029,28142
SED10015,..,7322,7322,8912,1024,9937,5779,321,6098,5286,178,5463,2218,67,2287,1394,47,1435,23589,8957,32550
SED10016,..,3527,3527,7908,294,8199,6138,57,6191,8463,23,8480,3660,13,3668,1701,0,1701,27864,3913,31777
SED10017,..,7081,7081,9660,639,10301,5105,91,5196,4953,14,4969,2212,10,2227,1140,6,1145,23069,7844,30918
SED10018,..,7177,7177,8994,662,9653,4319,200,4523,4747,75,4823,1810,15,1824,645,4,648,20517,8133,28647
SED10019,..,8633,8633,10944,850,11787,3731,70,3801,3101,24,3118,1495,0,1499,910,4,913,20179,9577,29755
SED10020,..,8195,8195,10054,822,10872,4088,147,4232,3716,48,3766,1686,16,1701,989,18,1011,20524,9247,29774
SED10021,..,9776,9776,10080,1982,12063,4466,705,5171,4297,158,4456,1342,35,1375,341,20,361,20526,12678,33207
SED10022,..,8710,8710,9907,549,10456,3324,47,3375,2856,19,2880,1659,9,1663,856,4,861,18601,9334,27933
SED10023,..,6929,6929,9103,602,9708,4190,90,4274,5128,20,5146,2204,3,2215,745,6,742,21371,7645,29011
SED10024,..,4253,4253,7436,247,7686,4702,48,4752,6465,26,6489,2592,12,2605,937,4,941,22138,4595,26732
SED10025,..,7961,7961,10602,909,11506,5182,219,5396,4807,56,4862,1636,18,1654,519,0,522,22743,9169,31912
SED10026,..,7984,7984,9239,709,9953,4232,143,4376,3892,40,3932,2031,16,2046,1030,13,1037,20424,8907,29332
SED10027,..,5050,5050,6774,392,7170,4536,95,4631,5118,40,5157,2609,13,2614,1768,10,1777,20803,5596,26404
SED10028,..,4741,4741,7980,457,8437,5539,120,5654,6840,52,6891,2384,24,2409,1132,9,1140,23882,5394,29274
SED10029,..,5365,5365,6001,459,6462,4548,111,4663,4610,54,4660,3068,26,3097,2992,19,3016,21228,6032,27249
SED10030,..,10255,10255,10072,961,11029,4430,141,4575,3938,28,3965,1463,6,1465,690,8,691,20586,11397,31985
SED10031,..,8170,8170,10652,538,11190,4012,67,4076,3932,19,3950,1948,7,1958,979,10,987,21517,8808,30329
SED10032,..,7124,7124,7365,1008,8376,5743,433,6180,5653,263,5919,2726,93,2822,2318,62,2382,23806,8994,32800
SED10033,..,5411,5411,7789,455,8239,4277,66,4346,4435,24,4457,2323,5,2327,1469,0,1472,20300,5960,26258
SED10034,..,5348,5348,8422,401,8818,4607,59,4661,5542,19,5561,2225,12,2235,754,0,757,21545,5840,27389
