SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10001,1931,257,2205,12750,4994,590,18333,45941,5031,69309
SED10002,1076,195,1282,17013,2457,188,19655,68764,9288,97708
SED10003,2078,332,2422,12268,4327,534,17128,46332,5598,69054
SED10004,898,170,1075,13899,1891,141,15933,50938,3966,70834
SED10005,1551,363,1919,14345,1982,152,16480,50345,7371,74197
SED10006,1646,380,2038,9503,3649,376,13531,38263,8140,59934
SED10007,1768,150,1941,11723,4457,531,16710,43557,5711,65979
SED10008,1312,231,1554,18385,3183,180,21745,46968,2138,70857
SED10009,2194,364,2582,9037,4112,491,13636,46730,5120,65484
SED10010,1256,133,1399,15649,2582,223,18456,50607,5163,74230
SED10011,1446,189,1644,12405,3071,273,15749,41666,2290,59708
SED10012,1289,440,1741,11027,2188,155,13373,51572,4869,69815
SED10013,1157,281,1443,29019,4457,532,34003,60204,4378,98596
SED10014,794,168,962,13990,2965,301,17256,44249,4651,66156
SED10015,1965,363,2355,14702,2059,145,16917,56394,5757,79063
SED10016,1134,153,1305,22698,3464,241,26409,52221,2369,80997
SED10017,1328,223,1561,15378,5326,601,21303,43384,5077,69765
SED10018,1951,253,2215,13609,4747,457,18812,40162,2554,61524
SED10019,2171,330,2524,9737,4272,507,14520,43768,6426,64716
SED10020,1878,421,2320,11666,4239,594,16491,43796,4504,64798
SED10021,1340,605,1959,14108,2038,152,16303,48870,4525,69698
SED10022,2017,234,2266,9864,4040,449,14361,39336,5598,59293
SED10023,1843,242,2102,14176,3617,221,18011,43852,2401,64271
SED10024,2253,220,2489,17351,2692,157,20201,42716,1736,64649
SED10025,1761,362,2140,14475,2373,133,16986,48503,3222,68709
SED10026,1533,282,1842,12794,4597,587,17988,40492,6772,65249
SED10027,1719,502,2236,14175,2252,185,16614,45918,4013,66547
SED10028,2344,525,2882,17683,2807,150,20644,48538,2711,71896
SED10029,1467,469,1946,11945,1880,142,13969,55295,6398,75660
SED10030,2091,319,2423,12345,3074,277,15701,45920,4042,65657
SED10031,1691,281,1996,12366,4503,508,17374,44767,5063,67195
SED10032,1294,113,1416,16913,2081,181,19175,55970,7672,82817
SED10033,1220,150,1388,13500,3199,324,17018,42950,3089,63057
SED10034,1310,489,1810,15495,3351,204,19049,41219,2243,62505
SED10035,1214,125,1358,15122,1989,150,17263,80418,6393,104085
SED10036,1099,422,1534,16102,2450,201,18758,47165,4558,70485
SED10037,1383,153,1550,16960,2735,188,19879,45677,1976,67533
SED10038,2008,300,2319,14952,3786,271,19008,45022,2910,66940
SED10039,1814,390,2215,12492,4664,553,17716,43038,4201,64951
SED10040,2044,445,2501,14766,2355,148,17262,57549,4656,79463
SED10041,2877,345,3235,18206,2823,159,21189,46730,2366,70283
SED10042,2201,348,2573,12169,4917,511,17598,45121,3405,66127
SED10043,1493,277,1786,15182,2037,180,17395,51008,6618,75022
SED10044,1671,676,2363,17014,2693,173,19877,49994,3470,73341
SED10045,1657,383,2052,10522,4077,538,15140,42972,5827,63936
SED10046,904,102,1012,14560,2270,204,17036,53408,5984,76428
SED10047,861,197,1060,23257,3778,468,27503,55515,8031,91048
SED10048,805,301,1104,21891,3515,351,25757,55443,5311,86510
SED10049,1277,206,1494,16746,5233,697,22682,45110,3166,70959
SED10050,1440,115,1558,16666,2690,221,19580,45597,2580,67759
SED10051,1652,442,2118,15331,2553,182,18062,49244,5454,72752
SED10052,2206,392,2612,14777,3008,170,17956,44655,2854,65469
SED10053,1105,138,1253,14386,4420,537,19339,45214,4507,69060
SED10054,928,233,1162,15785,2846,290,18918,48399,5530,72849
SED10055,652,48,711,16475,3241,288,20001,45620,2896,68518
SED10056,1924,442,2392,11904,4561,518,16986,45891,7165,70033
SED10057,2532,526,3075,8911,3785,429,13117,45871,5067,64054
SED10058,1521,341,1877,11536,4454,377,16367,47760,3924,68054
SED10059,740,206,954,8622,1310,112,10042,57722,5219,72986
SED10060,1586,207,1805,11937,2394,120,14448,50966,3196,68609
SED10061,1616,349,1980,10326,3878,486,14685,42431,7852,64966
SED10062,1919,440,2377,13787,2452,144,16383,46034,3192,65612
SED10063,1797,280,2104,12950,4594,654,18200,41152,4648,63999
SED10064,2056,282,2346,9815,4158,570,14539,44099,5918,64553
SED10065,1466,143,1622,20790,2304,159,23250,62554,5840,91643
SED10066,1209,359,1577,14477,3153,319,17948,45760,4605,68318
SED10067,2257,502,2778,13533,3408,223,17164,42015,3030,62205
SED10068,2703,505,3233,10741,4149,484,15370,49327,3866,68567
SED10069,1744,348,2101,10533,4319,445,15293,44827,3798,63917
SED10070,1454,299,1766,15034,2211,156,17409,49240,4211,70856
SED10071,629,47,683,29203,3158,303,32659,54530,5126,92315
SED10072,1806,444,2277,14149,2276,142,16571,57854,5723,80140
SED10073,2086,201,2301,17567,2519,131,20213,59983,4011,84212
SED10074,1508,209,1726,16402,2254,151,18810,47062,3666,69539
SED10075,1661,327,1997,15017,4560,420,20001,48252,3517,71773
SED10076,2249,286,2556,10093,4153,479,14724,45243,4470,64436
SED10077,1955,309,2294,14860,2259,138,17262,65462,5555,88279
SED10078,1881,208,2108,12302,1725,142,14160,52429,3566,70158
SED10079,1852,287,2152,11308,4439,375,16112,42343,3154,61614
SED10080,1005,270,1280,7807,1731,86,9620,70186,7150,86954
SED10081,1723,311,2042,12335,4369,584,17292,41877,5270,64434
SED10082,1918,679,2615,13485,3629,266,17377,42848,3420,63648
SED10083,1918,479,2415,12817,3236,332,16383,41992,3592,61968
SED10084,2835,464,3311,11860,4128,509,16504,46674,4671,67851
SED10085,1410,198,1626,12422,4273,476,17174,41290,5099,63562
SED10086,1550,427,1988,13241,2589,146,15977,47521,4181,67672
SED10087,1714,257,1993,13000,4736,572,18314,43005,4436,65748
SED10088,1887,299,2209,16499,2668,216,19385,45570,2660,67618
