SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10001,200,314,511,95,127,224,109,396,505,106,739,846,426,2034,2459,524,1400,1919,1599,881,2487,1301,1045,2348,1564,1075,2643,1868,722,2589,1398,549,1940,1479,353,1832,3040,562,3598,2103,84,2184,1574,109,1682,912,41,947,1821,178,2000,1436,113,1548,362,534,895,21911,11243,33152
SED10002,580,610,1186,113,114,232,185,319,505,235,732,968,565,1012,1578,596,578,1173,1452,522,1976,1390,684,2072,1861,927,2790,2118,786,2903,1639,768,2406,1643,617,2260,3532,1173,4711,2453,297,2753,1938,351,2287,1339,146,1483,3402,526,3924,1490,365,1852,334,289,621,26857,10831,37685
SED10003,173,291,463,91,144,232,75,274,355,103,580,685,332,1697,2026,392,1350,1738,1266,806,2071,1206,955,2167,1520,844,2368,1753,640,2394,1249,477,1727,1363,352,1716,2689,587,3275,1889,173,2061,1443,175,1617,891,57,950,2601,327,2931,1460,302,1758,248,364,610,20745,10410,31153
SED10004,186,557,742,80,143,224,67,379,445,69,748,818,198,1159,1360,218,745,963,417,724,1137,467,830,1298,633,1058,1692,719,957,1679,598,940,1536,727,814,1537,1810,1791,3602,1511,216,1723,1604,670,2273,1283,143,1433,9312,1499,10818,909,353,1262,121,253,366,20933,13987,34914
SED10005,463,390,853,116,76,195,181,383,562,214,799,1017,595,1278,1873,663,549,1211,1621,447,2059,1409,511,1926,1692,539,2231,1866,363,2234,1367,309,1677,1341,219,1560,2508,303,2802,1744,64,1806,1240,66,1304,814,29,847,1854,98,1950,1218,94,1310,363,271,636,21264,6785,28048
SED10006,307,345,649,106,134,243,94,387,480,129,769,897,462,2127,2588,488,933,1418,1485,574,2059,1168,861,2026,1323,733,2061,1393,532,1928,931,418,1352,1046,344,1391,2036,554,2590,1417,45,1463,1088,131,1225,657,21,680,1407,179,1581,1553,89,1640,475,592,1064,17566,9759,27324
SED10007,177,340,522,96,145,242,95,348,445,121,727,851,417,1949,2368,408,1103,1516,1435,676,2114,1233,891,2125,1474,836,2305,1650,594,2248,1162,543,1703,1233,371,1600,2598,578,3180,2026,70,2096,1447,106,1554,983,10,1000,2105,145,2254,1478,89,1568,297,402,700,20447,9932,30379
SED10008,264,186,449,135,64,198,84,120,195,67,179,242,251,526,777,259,377,640,684,281,966,709,324,1030,927,342,1270,1190,289,1482,948,318,1263,1084,227,1309,2479,443,2917,2169,49,2211,2138,107,2248,1704,20,1722,7823,190,8013,1153,52,1212,167,107,276,24227,4205,28431
SED10009,239,308,550,148,157,305,105,377,478,137,764,902,502,2216,2715,520,1391,1914,2055,888,2940,1656,965,2623,1915,897,2806,2214,554,2768,1294,421,1715,1372,285,1662,2464,384,2849,1562,34,1597,1074,83,1155,596,6,600,1245,146,1391,1390,92,1479,317,473,791,20793,10443,31229
SED10010,317,335,650,82,90,175,120,253,380,131,567,700,374,1140,1513,444,504,944,1168,410,1577,1036,601,1634,1300,609,1914,1723,484,2206,1460,368,1825,1465,293,1756,3368,508,3874,2502,111,2612,1984,112,2091,1270,58,1329,2581,155,2736,1197,134,1329,268,247,514,22787,6978,29767
