SED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED10001,0,57,0,58,..,100,16,109,0,109,..,4,4,5,0,5,..,73,16,87,0,94,..,801,168,970,28,999,..,4582,828,5406,85,5488,..,204,36,245,5246,5496,74011,4784,866,5651,5332,84989
SED10002,215,1867,17,1883,..,297,137,437,5,436,..,3278,1168,4443,23,4474,..,1771,667,2438,13,2453,..,5449,1760,7212,155,7364,..,60953,21614,82565,696,83260,..,947,367,1314,8797,10110,24451,61899,21985,83881,9492,117822
SED10003,4,13,0,13,..,179,29,205,0,205,..,15,0,15,6,21,..,57,16,76,0,79,..,999,78,1079,19,1105,..,5216,370,5588,72,5663,..,260,13,273,5931,6206,70544,5479,384,5856,6009,82405
SED10004,5,102,3,103,..,537,174,712,4,717,..,202,30,232,0,232,..,570,190,762,8,768,..,1448,134,1582,45,1623,..,15010,2230,17238,179,17417,..,288,41,325,3919,4248,61602,15299,2272,17565,4102,83273
SED10005,9,109,0,109,..,160,43,206,0,208,..,383,108,490,3,493,..,9100,5067,14160,95,14260,..,3196,701,3904,101,4006,..,47097,14167,61264,556,61824,..,494,152,644,7788,8438,24415,47590,14318,61908,8346,94669
SED10006,4,21,0,21,..,34,5,38,0,41,..,9,0,7,0,7,..,32,7,39,0,39,..,476,42,516,10,527,..,2047,217,2266,30,2289,..,189,10,206,9130,9342,62320,2241,229,2468,9161,73947
SED10007,7,92,4,91,..,86,44,127,0,127,..,8,0,9,0,9,..,94,21,116,0,116,..,601,54,663,19,676,..,3283,402,3692,54,3746,..,174,13,190,6043,6229,70515,3461,415,3880,6095,80490
SED10008,49,1758,14,1774,..,156,30,184,0,183,..,243,33,287,0,283,..,376,55,427,4,436,..,2081,204,2283,73,2362,..,33637,5118,38752,340,39091,..,344,65,412,1907,2315,47203,33979,5188,39162,2248,88614
SED10009,0,7,0,7,..,89,20,108,0,111,..,18,0,20,0,20,..,66,16,82,0,79,..,504,49,558,11,567,..,2511,266,2769,45,2817,..,182,10,193,5252,5437,68271,2688,272,2957,5296,76529
SED10010,190,1802,14,1813,..,159,43,197,3,202,..,578,190,767,0,765,..,240,73,317,0,317,..,4784,952,5738,125,5864,..,39344,5912,45254,413,45664,..,595,159,756,5289,6043,40552,39937,6070,46012,5696,92258
SED10011,0,18,0,18,..,132,25,154,0,156,..,16,0,21,0,21,..,118,19,137,3,146,..,903,101,1001,34,1035,..,4315,357,4666,70,4737,..,207,14,219,2341,2563,64968,4519,370,4889,2409,72271
SED10012,3,51,0,55,..,395,264,657,5,662,..,232,72,301,6,305,..,14215,9919,24128,147,24279,..,6611,2347,8955,84,9042,..,39693,20375,60077,421,60493,..,662,333,990,4456,5450,18486,40357,20709,61068,4880,84426
SED10013,16,321,4,320,..,245,55,302,7,305,..,315,44,362,0,364,..,614,187,801,15,816,..,4386,584,4970,90,5059,..,27134,3237,30372,357,30723,..,608,106,714,4365,5079,95460,27743,3344,31084,4718,131265
SED10014,9,201,3,205,..,272,92,360,6,367,..,53,16,64,0,64,..,524,167,692,12,705,..,2653,557,3210,52,3259,..,19441,2934,22371,223,22592,..,516,100,619,5104,5720,55566,19954,3037,22988,5325,83881
SED10015,9,123,0,123,..,448,158,600,12,613,..,338,78,418,0,426,..,2328,1020,3351,20,3370,..,2092,403,2494,73,2568,..,41009,13361,54374,478,54853,..,549,181,725,5394,6118,33092,41556,13542,55100,5875,94065
SED10016,42,1164,9,1170,..,171,33,204,0,208,..,214,22,236,0,236,..,318,50,366,0,369,..,2858,238,3100,80,3177,..,34241,4377,38612,354,38968,..,455,63,520,2214,2725,62212,34689,4438,39128,2563,103905
SED10017,0,75,0,75,..,130,44,169,0,169,..,14,4,15,0,16,..,64,57,121,0,122,..,497,97,598,20,618,..,3098,435,3530,56,3584,..,231,30,258,5178,5441,78727,3324,466,3785,5231,87750
SED10018,3,55,0,55,..,87,35,123,4,123,..,9,3,12,0,12,..,95,24,115,0,121,..,649,79,725,26,761,..,4172,546,4718,71,4785,..,238,19,255,2430,2685,68523,4404,564,4967,2500,75991
SED10019,0,3,0,3,..,61,16,74,6,76,..,7,0,7,0,7,..,26,4,30,0,33,..,545,45,594,15,604,..,1831,190,2015,36,2049,..,211,27,238,6632,6871,68764,2039,214,2251,6672,77685
SED10020,0,21,0,21,..,98,17,119,0,119,..,9,0,9,0,14,..,65,20,86,3,89,..,1612,699,2311,55,2364,..,5661,1456,7116,119,7229,..,270,43,316,4425,4740,66787,5931,1497,7429,4538,78759
SED10021,0,49,0,56,..,176,48,221,0,219,..,107,10,111,0,116,..,208,27,234,0,234,..,1772,115,1890,37,1927,..,14448,1305,15753,145,15896,..,261,21,283,4351,4632,62126,14711,1318,16030,4494,82648
SED10022,0,10,0,10,..,31,9,37,0,37,..,14,0,10,0,10,..,43,20,57,0,57,..,507,77,580,17,597,..,2168,463,2639,42,2681,..,185,10,188,5856,6048,63705,2357,473,2832,5897,72435
