SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED10011,0,7,14,40,21,9,3,0,0,83,0,0,0,0,9,15,14,11,3,51,0,0,0,3,4,3,0,0,0,12,0,19,23,182,167,162,160,116,45,871,47,131,90,260,173,154,162,150,132,1305,1770,4386,3444,8066,5233,5516,5153,2704,1034,37305,0,0,0,8,0,0,0,0,0,9,3458,8407,6771,12730,7540,7408,6687,3032,968,57008,0,0,0,3,0,5,0,0,0,5,0,0,0,6,3,0,4,4,0,17,0,0,9,23,10,8,10,0,0,49,0,0,3,17,11,4,3,0,0,40,0,5,8,53,49,34,32,13,3,200,0,0,3,30,27,28,24,11,8,120,0,11,15,77,37,46,33,20,3,243,0,0,0,3,9,26,15,14,0,68,0,5,0,0,4,14,21,11,3,50,6,58,90,387,591,948,1053,643,187,3959,0,0,0,16,11,18,19,8,0,77,0,7,0,37,25,29,30,5,6,156
SED10012,24,206,628,3064,2512,2113,1289,400,208,10443,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,89,160,547,501,644,582,282,138,2955,129,265,278,574,272,240,195,93,55,2088,2057,4907,5921,10862,5943,5866,4292,1963,1071,42874,12,6,8,36,7,5,5,0,0,85,3799,8319,8325,7471,1684,1591,909,437,161,32694,0,6,0,22,6,0,0,0,0,34,0,0,5,62,54,72,58,30,29,310,0,0,0,7,0,0,0,0,0,8,12,64,199,1069,915,976,689,259,118,4302,0,0,3,10,4,3,0,0,0,19,0,0,3,49,60,96,125,71,12,420,0,16,52,354,276,365,256,168,215,1697,0,0,0,99,86,170,250,210,120,932,0,3,5,26,14,24,20,29,8,129,0,18,3,23,29,78,84,48,20,309,0,13,15,163,86,149,76,26,10,541,0,0,9,12,5,7,9,0,0,39
SED10013,0,0,19,174,62,39,24,4,4,332,0,4,0,8,11,12,5,0,5,48,0,0,38,97,35,18,3,0,0,191,8,86,115,747,401,323,237,86,42,2050,158,320,260,686,204,168,148,86,54,2081,5806,10083,8013,21542,7907,6016,4280,2054,870,66578,0,5,8,96,32,18,3,5,0,177,11593,18704,13759,27683,10358,6863,4450,2060,793,96259,0,31,43,453,69,35,12,0,0,637,0,0,0,133,34,39,32,7,0,251,0,4,0,62,9,10,4,0,0,84,0,0,9,100,42,8,21,5,5,189,0,17,15,48,34,5,5,4,0,129,0,3,11,128,121,106,73,30,4,476,8,36,52,406,192,201,127,31,9,1060,0,5,0,81,29,90,96,64,13,385,4,41,18,160,42,47,47,32,6,397,10,110,116,482,497,650,548,360,111,2891,0,22,60,654,288,177,90,25,7,1316,0,0,0,22,12,7,6,3,0,61
SED10014,0,9,13,129,45,39,32,0,3,277,0,0,0,0,5,8,9,7,0,29,0,0,10,29,6,0,4,0,0,48,6,60,98,494,355,358,253,129,30,1792,174,377,308,751,274,229,234,166,104,2626,2956,5696,5446,12244,4925,4881,4097,1935,621,42794,0,0,10,94,19,22,14,6,0,169,5459,10120,8759,14033,5151,4868,4013,1697,440,54542,6,32,66,732,135,65,34,5,0,1072,0,5,0,20,28,20,15,7,0,97,0,0,0,28,4,3,0,0,0,37,0,3,9,76,35,26,39,12,0,196,5,4,7,20,8,12,4,0,0,57,0,0,5,72,90,88,98,68,6,434,0,27,23,244,95,116,100,43,11,661,0,0,0,24,7,41,34,39,8,159,0,13,25,107,36,51,60,27,15,339,9,34,39,174,228,491,526,352,94,1940,0,17,37,370,233,176,111,41,12,1005,0,0,0,13,11,5,13,5,0,48
SED10015,11,42,173,531,285,303,199,55,25,1617,0,0,0,7,0,0,0,0,0,3,0,0,4,7,9,3,0,0,0,22,8,91,100,853,398,456,398,260,107,2667,107,221,297,858,334,274,205,117,70,2489,2448,4704,5308,14054,6563,5599,4138,2774,1342,46931,0,0,0,10,0,0,0,0,0,13,4741,8478,7564,11733,5700,3259,1525,745,407,44151,3,32,59,580,91,48,18,5,0,835,0,0,0,23,10,19,18,5,0,85,8,20,24,323,40,29,13,4,4,459,0,0,8,14,16,14,20,4,0,85,0,5,10,44,18,12,0,4,0,90,4,0,6,43,39,29,31,15,4,173,20,106,407,2709,1696,1897,1094,430,306,8664,0,0,0,7,4,30,35,33,19,130,6,15,13,80,45,78,99,83,27,440,8,43,32,286,187,198,128,79,27,982,0,5,20,144,110,124,101,34,5,544,0,0,0,40,25,17,6,3,4,95
SED10016,0,8,6,65,54,43,22,3,0,205,0,5,4,10,6,8,9,4,4,39,0,5,19,41,32,21,6,0,0,121,15,127,104,463,295,246,165,94,40,1552,43,144,121,358,149,102,76,72,24,1094,3134,7981,6722,14621,7669,5489,4233,2139,731,52724,0,6,13,162,84,61,30,9,4,368,6063,13440,10749,12212,7247,4525,3440,1995,625,60289,0,12,10,201,58,49,28,7,0,366,0,0,0,14,21,25,6,4,0,66,0,12,9,63,25,13,4,0,0,122,0,4,4,16,17,7,3,0,0,60,3,22,17,65,26,22,6,0,0,171,0,5,10,29,48,29,33,18,0,171,12,240,195,2538,781,838,681,165,105,5561,0,0,0,17,30,41,46,49,13,201,4,134,37,270,87,72,88,42,17,744,16,174,246,485,573,544,422,293,84,2843,0,0,15,168,153,101,55,24,0,527,0,3,0,28,11,15,8,0,0,68
SED10017,0,0,3,41,13,0,0,0,0,68,0,0,0,3,3,7,9,0,0,25,0,0,3,20,3,0,0,0,0,26,0,10,12,81,41,44,47,39,7,280,118,215,230,472,223,219,213,162,90,1940,2900,5891,5165,11913,5370,5156,4398,2154,999,43938,0,3,0,9,0,0,0,0,0,10,5692,11341,9712,20729,9240,8548,7041,3197,1239,76744,0,6,0,36,8,0,0,0,0,39,0,0,0,3,0,3,0,0,0,18,0,0,0,9,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,11,0,4,3,27,13,14,6,0,0,70,0,0,0,4,3,9,0,0,0,15,0,0,11,90,37,23,18,8,4,181,0,0,5,0,6,6,9,10,0,32,0,0,3,9,0,9,10,0,0,34,0,26,37,190,221,376,409,246,74,1576,0,0,4,20,12,11,13,6,0,68,0,0,0,12,8,11,5,5,0,34
SED10018,0,0,4,37,14,5,3,0,0,64,0,0,0,9,6,4,3,0,0,33,0,0,4,9,3,4,6,0,0,21,0,28,36,169,83,57,66,62,25,525,42,158,123,312,138,136,144,162,81,1309,2058,4913,4220,9835,5043,4673,3994,2883,1402,39025,0,0,0,0,0,0,0,0,0,0,4190,9438,8031,15882,8253,7509,5912,3915,1721,64849,0,3,0,15,4,0,0,0,0,18,0,0,0,8,0,3,9,6,0,25,0,0,0,39,9,0,0,0,0,58,0,0,0,5,4,0,0,0,0,14,0,9,21,64,39,18,12,6,0,170,0,0,0,16,8,5,10,0,0,34,0,13,18,154,52,36,40,9,4,328,0,0,0,4,3,8,4,11,0,34,0,0,0,10,3,7,10,3,0,30,14,94,99,357,286,338,296,285,108,1866,0,0,3,21,7,7,4,0,0,50,0,8,4,20,12,11,3,4,0,60
SED10019,0,0,0,14,7,4,0,0,0,22,0,0,0,0,3,10,8,3,0,24,0,0,0,4,4,4,0,0,0,16,4,5,9,59,40,51,55,30,11,271,127,366,293,688,369,425,431,300,147,3151,1870,4463,3636,7667,4773,5944,5765,3352,1529,38996,0,0,0,4,0,0,0,0,0,4,3481,8279,6873,12691,7760,9593,9428,5213,2037,65353,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,18,0,0,0,8,3,0,0,0,0,12,0,10,10,27,16,14,17,8,0,98,0,0,0,9,5,6,6,0,0,22,0,5,6,34,21,21,7,0,0,94,0,0,0,0,0,0,0,3,0,10,0,0,0,4,0,0,5,0,0,13,0,25,16,143,139,406,481,363,110,1685,0,0,0,10,4,6,9,9,0,34,0,0,0,11,7,11,15,4,0,48
SED10020,0,0,3,32,5,0,3,0,0,46,0,0,0,5,4,16,8,6,4,36,0,0,3,6,9,4,3,0,0,25,8,55,90,294,113,94,91,60,28,830,93,239,217,572,256,299,257,284,181,2403,2021,4877,3996,9386,5136,5581,5252,3089,1402,40746,0,6,23,23,9,6,0,0,0,66,3781,8732,6811,13209,7606,8192,7776,4081,1587,61784,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,8,0,0,0,29,6,6,0,0,0,41,0,0,0,9,0,0,0,0,0,10,0,5,9,67,32,38,30,20,4,207,0,0,0,12,7,0,11,0,0,30,0,4,16,90,33,34,16,7,3,202,0,0,0,0,0,7,3,12,0,27,0,5,0,14,0,0,11,12,0,44,7,65,76,282,337,532,608,460,182,2546,0,4,0,28,22,26,13,3,3,94,0,0,3,26,12,14,15,7,3,86
SED10021,3,7,13,54,39,11,11,5,0,147,0,0,0,63,5,12,3,3,6,97,0,0,0,7,14,8,7,3,0,40,21,64,108,1290,367,312,365,265,197,2972,92,150,178,855,208,152,161,130,112,2026,2182,4146,4022,16819,5612,4142,3162,2022,1201,43308,0,0,0,8,4,0,0,0,0,8,4081,7141,5813,14207,5874,4410,2892,1639,843,46908,0,4,6,31,9,4,0,0,0,55,0,0,0,21,10,14,3,5,0,44,0,11,73,971,53,23,8,3,0,1141,0,0,3,0,8,0,3,0,0,16,3,24,20,252,95,42,26,12,5,471,0,6,14,233,29,24,31,24,3,362,0,48,110,461,155,174,117,56,41,1163,0,0,0,21,7,13,19,19,10,92,0,0,3,25,7,11,38,44,24,152,57,262,324,3584,1067,655,391,261,71,6674,0,0,0,39,33,28,24,6,6,136,3,44,58,552,96,36,38,18,8,840
SED10022,0,0,0,9,8,5,5,0,0,28,0,0,0,4,5,0,3,0,0,15,0,0,0,0,3,0,3,0,0,14,5,15,19,68,35,44,38,26,10,252,107,335,260,555,320,386,432,314,133,2843,1917,4498,3595,7273,4378,5092,4943,3048,1383,36124,0,0,0,9,0,0,0,0,0,9,3725,8290,6698,12160,7393,8598,8149,4801,1886,61708,0,4,0,14,0,0,0,0,0,25,0,0,0,6,0,0,0,3,0,7,0,0,0,5,3,0,0,0,0,6,0,0,0,13,0,3,0,0,0,16,0,0,0,10,7,6,5,3,0,38,0,0,0,4,6,0,9,0,0,22,5,20,23,165,31,18,15,7,3,282,0,0,0,0,6,7,9,4,0,21,0,0,0,11,4,0,5,0,0,22,0,7,21,72,102,267,324,214,54,1061,0,0,5,71,7,16,3,7,0,105,0,0,0,6,0,3,7,5,0,19
