SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED20604,3,52,0,14,6,0,77,8,65,6,12,0,0,90,38,371,13,97,11,0,531,213,165,35,167,21,12,612,248,72,7,194,15,5,538,741,108,14,249,167,9,1288,1228,36,12,311,55,4,1643,1306,8,0,144,16,6,1484,256,0,0,30,7,0,290,39,0,0,6,0,0,48,12,0,0,0,0,0,13,6,0,3,0,0,0,8,4,0,0,0,0,0,4,9,0,0,10,0,0,19,76,67,6,73,35,9,272,4179,961,96,1300,341,39,6919
SED20704,6,34,6,6,7,0,53,0,42,13,8,0,0,64,17,244,11,86,12,3,378,131,104,50,132,9,8,433,149,51,33,150,14,0,404,732,78,44,257,21,7,1138,1651,41,28,348,17,5,2095,1440,7,6,185,16,0,1659,302,0,0,40,8,0,346,37,0,0,10,5,0,56,8,5,0,4,0,0,18,4,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,0,0,8,53,44,9,69,16,10,201,4547,647,207,1318,112,37,6865
SED20804,9,46,3,12,0,0,75,0,55,7,11,4,0,71,31,346,21,93,12,0,505,159,138,53,187,22,3,566,191,61,21,184,9,0,470,711,104,26,272,29,0,1140,1502,41,30,414,22,7,2017,1018,3,15,198,11,0,1247,194,4,4,61,0,0,262,36,0,0,8,3,0,45,13,0,0,0,0,0,13,5,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,4,5,0,10,60,54,9,83,20,12,238,3920,858,189,1525,141,33,6663
SED20906,3,23,5,8,0,0,42,4,17,3,0,0,0,31,13,166,16,27,5,0,229,15,54,47,47,3,0,166,16,31,25,31,5,0,108,47,35,30,54,0,0,169,336,23,9,111,11,0,491,1139,21,8,188,14,0,1363,1299,5,0,167,10,0,1483,763,0,0,104,3,0,874,511,0,0,50,4,0,567,410,0,0,51,4,0,472,279,0,0,16,3,0,299,203,0,0,26,4,0,226,79,24,4,64,15,16,205,5122,414,154,948,71,25,6732
SED21001,9,14,4,14,0,0,43,3,8,7,12,0,0,30,19,89,26,42,10,0,182,64,23,29,91,18,5,234,105,24,19,62,10,0,223,171,24,12,93,13,0,315,818,12,12,211,19,0,1080,2865,9,11,345,53,3,3294,1608,9,13,197,28,6,1861,663,0,0,70,11,3,749,377,0,0,39,8,0,419,193,0,7,20,3,0,217,71,0,0,6,0,0,86,114,0,0,19,3,0,135,111,13,16,133,32,14,320,7198,216,157,1357,227,40,9186
SED21106,3,15,5,8,0,0,30,0,12,0,3,0,0,20,7,113,7,28,0,3,163,27,35,36,28,4,0,131,16,25,13,26,6,0,85,118,19,16,59,4,0,214,717,9,8,107,8,0,844,1409,8,6,183,7,3,1619,1159,4,6,158,11,0,1330,752,3,0,92,5,0,847,493,0,0,62,5,0,559,341,0,0,41,0,0,382,238,0,0,34,0,0,277,712,0,0,98,0,0,803,130,18,5,71,16,12,256,6128,269,100,995,57,27,7565
SED21203,0,52,4,4,0,0,66,4,78,0,7,0,0,94,15,415,8,44,24,4,500,34,234,23,59,26,0,374,26,102,16,41,12,0,204,100,107,17,108,83,6,421,1229,149,23,487,173,8,2070,2279,108,16,442,175,15,3037,320,12,0,68,18,0,424,33,3,0,5,5,5,44,11,0,0,5,5,0,30,13,3,0,0,0,0,19,7,0,0,3,3,0,15,33,0,0,12,3,0,52,93,113,12,110,46,38,413,4205,1393,126,1397,571,74,7768
SED21303,6,36,5,7,0,0,58,3,62,0,12,0,0,86,23,363,26,55,3,0,471,72,90,35,78,4,5,278,96,48,21,77,4,5,245,487,46,22,127,9,0,696,1942,35,37,288,17,8,2326,3711,27,11,423,8,0,4182,2382,9,0,358,8,0,2761,1417,0,4,218,3,0,1644,839,0,0,100,5,0,940,403,0,0,78,0,0,482,197,0,0,35,0,0,238,201,0,0,39,0,0,241,163,47,5,104,20,25,366,11938,770,175,2008,78,44,15014
SED21401,0,5,0,5,0,0,14,0,0,0,0,0,0,4,6,27,4,13,3,0,56,14,7,16,42,3,3,84,5,3,3,31,5,0,51,24,12,8,56,5,0,100,215,9,16,111,3,0,353,1381,12,14,194,15,0,1619,1273,0,0,172,16,4,1472,745,3,0,61,6,0,813,347,0,0,26,4,0,373,159,0,0,15,0,0,175,71,0,0,8,0,0,77,80,0,0,12,6,0,97,121,7,6,106,17,6,263,4435,79,65,854,87,18,5548
SED21503,3,17,0,12,0,0,37,5,12,6,5,3,0,22,11,150,0,46,6,0,221,36,57,16,70,13,0,188,23,41,11,40,9,0,121,70,29,15,67,16,0,204,766,24,12,192,28,0,1025,2140,34,11,248,34,4,2476,808,14,7,96,17,0,942,229,0,0,27,3,4,263,55,0,0,10,4,0,71,24,0,0,8,0,0,27,8,0,0,4,0,0,16,35,0,0,10,0,0,48,90,64,14,64,22,8,259,4312,443,95,891,155,23,5928
SED21608,3,25,4,16,9,0,52,9,31,0,8,0,0,54,41,221,12,89,7,4,377,131,86,49,127,10,4,407,145,47,18,134,13,0,353,763,71,33,236,20,9,1131,1491,10,14,279,18,6,1822,1082,4,0,134,10,0,1240,154,0,0,26,0,0,180,32,0,0,3,0,0,35,14,0,0,0,0,0,19,7,0,0,3,0,0,4,6,0,0,0,0,0,7,3,0,0,6,0,0,10,59,36,4,54,26,17,187,3928,542,146,1115,114,37,5878
SED21706,3,41,3,9,3,0,54,5,43,6,6,3,0,62,19,381,26,33,7,3,469,54,120,49,77,15,0,310,54,97,52,44,10,0,262,93,82,37,65,10,0,289,257,51,32,114,8,0,469,1444,53,18,204,18,3,1740,1132,18,6,145,11,0,1316,801,8,4,85,3,0,886,495,0,0,54,4,3,555,259,0,0,18,0,0,282,136,0,0,19,0,0,151,175,0,0,18,5,0,197,89,66,12,73,26,17,290,5008,954,241,963,128,39,7335
SED21805,8,22,4,7,4,0,39,3,22,9,5,0,0,38,16,128,17,31,9,6,215,22,63,25,57,31,0,200,39,28,16,54,38,0,181,119,40,17,99,77,3,358,844,35,17,244,74,5,1212,2446,20,14,308,38,10,2836,1004,3,0,83,11,0,1106,275,0,3,30,0,0,309,119,0,0,9,0,0,132,41,0,0,4,0,0,48,13,0,0,0,0,0,16,40,0,0,4,4,0,49,111,26,4,67,19,20,243,5097,402,129,1006,307,47,6986
SED21906,13,20,9,10,0,0,59,7,14,7,6,0,0,37,23,89,24,47,11,0,197,83,25,40,87,3,0,230,67,14,17,62,8,0,170,488,11,5,107,7,3,625,1332,13,10,218,16,0,1587,2546,10,11,299,22,4,2892,1688,3,0,246,13,6,1954,926,0,0,127,4,3,1058,505,0,0,82,5,5,594,313,0,0,82,3,0,401,178,0,0,37,0,0,221,305,0,0,59,6,0,368,145,18,14,117,10,24,327,8632,218,137,1588,107,56,10730
SED22005,6,21,5,3,0,0,33,16,25,4,5,3,0,55,27,200,13,71,14,0,333,57,67,25,123,28,0,299,44,47,0,63,11,0,164,157,36,15,102,10,0,320,1071,31,13,246,67,4,1425,2650,42,14,298,68,8,3077,1553,7,4,184,27,3,1778,631,5,0,70,5,0,715,226,0,0,35,6,0,262,82,0,0,9,0,0,96,30,0,0,7,0,0,39,57,0,0,15,3,0,76,138,34,14,135,37,27,379,6744,512,111,1369,283,43,9066
SED22105,9,13,4,10,0,0,34,9,11,0,9,0,0,28,22,102,6,47,8,0,178,27,66,17,53,6,4,163,19,20,6,26,6,0,88,78,37,17,100,12,6,250,1248,59,13,341,37,6,1707,5000,12,11,469,98,11,5599,901,3,0,91,14,0,1015,142,0,6,22,0,0,173,33,0,0,7,5,0,48,16,0,0,5,0,0,27,9,0,0,3,0,0,14,51,0,0,10,5,0,65,179,29,7,89,38,23,367,7733,361,91,1280,235,45,9748
SED22201,3,17,4,0,0,0,25,0,12,3,4,0,0,25,5,144,8,22,6,0,186,16,64,30,39,4,0,146,10,26,12,46,5,0,100,80,31,16,62,0,0,192,618,31,20,174,15,3,862,1936,28,9,263,18,3,2245,927,8,0,90,4,0,1031,213,0,0,13,0,0,229,72,0,0,6,0,0,86,28,0,0,6,0,0,34,8,0,0,0,0,0,8,26,0,0,4,0,0,37,69,39,8,49,11,13,193,4022,405,104,781,69,20,5396
SED22305,15,45,9,10,0,0,83,7,77,13,14,3,0,114,59,453,27,65,18,0,623,51,189,53,78,18,4,394,58,88,25,54,13,0,247,674,109,34,161,54,3,1031,2593,87,22,478,154,11,3350,2448,71,8,391,140,11,3068,342,13,0,66,23,6,455,47,8,0,14,3,0,69,23,3,0,0,3,0,31,14,0,0,7,0,0,25,5,0,0,3,0,0,10,57,0,0,12,0,0,70,139,111,16,94,33,38,431,6533,1258,205,1443,476,81,9999
SED22404,5,10,5,14,12,0,44,3,13,0,9,5,0,36,11,90,19,55,28,3,210,53,32,16,91,29,0,220,53,20,0,114,25,0,221,176,7,5,141,16,5,342,456,10,7,208,20,3,701,620,3,0,185,13,0,823,131,0,0,33,6,0,166,32,0,0,10,6,0,51,10,0,0,4,0,0,14,9,0,0,0,0,0,4,5,0,0,0,0,0,3,15,0,0,9,6,0,30,40,23,4,61,40,14,184,1611,206,54,930,204,28,3033
SED22501,8,5,0,4,0,0,20,0,4,0,4,0,0,7,0,53,15,16,7,0,92,7,18,34,27,11,7,96,9,12,9,21,0,0,46,23,0,8,43,7,0,75,155,3,0,91,4,0,253,678,10,0,116,4,0,808,560,6,0,89,4,0,658,272,0,0,28,0,0,303,101,0,0,6,0,0,106,31,0,0,4,0,0,33,5,0,0,4,0,0,10,18,0,0,6,0,0,30,31,22,4,29,8,5,101,1885,130,65,483,44,17,2625
SED22607,11,84,4,12,0,0,107,8,126,8,9,0,0,149,15,575,23,44,7,3,670,53,234,33,64,9,8,398,71,124,31,55,0,4,283,425,121,24,111,6,0,684,1717,126,27,228,10,3,2118,2708,52,18,281,25,5,3092,1433,8,0,159,9,0,1617,743,3,0,64,7,0,818,361,0,0,28,3,0,395,191,0,0,25,0,0,217,77,0,0,15,0,0,93,104,0,0,13,0,0,117,129,95,13,87,18,21,355,8045,1562,190,1185,94,38,11112
SED22704,7,30,8,19,20,7,85,3,31,0,16,13,0,60,33,234,33,109,45,8,461,198,99,27,161,49,0,537,181,41,6,177,23,4,437,497,66,8,219,152,10,950,866,31,0,214,76,6,1209,672,7,6,117,24,5,827,117,0,0,25,4,0,144,13,0,0,11,7,0,27,4,0,0,4,0,0,14,9,0,0,0,3,0,12,0,0,0,0,0,0,3,13,0,0,3,0,0,17,58,54,12,104,72,15,314,2664,595,105,1186,488,51,5092
SED22802,0,10,0,7,0,0,18,0,9,3,8,0,0,21,4,64,13,30,3,0,116,14,32,12,45,7,0,116,22,12,11,50,3,0,98,66,19,4,61,18,5,158,241,10,7,121,18,5,404,1110,7,3,245,12,3,1383,560,0,0,67,7,0,628,118,0,3,22,0,0,140,34,0,0,3,0,0,36,11,0,0,0,0,0,15,8,0,0,0,0,0,12,19,0,0,12,0,0,26,51,20,14,50,15,6,151,2256,181,67,715,85,20,3329
SED22901,8,8,0,8,0,0,25,0,7,6,0,0,0,18,4,115,8,21,11,0,165,17,48,9,21,0,0,93,11,20,12,33,0,0,77,29,24,21,39,9,4,128,285,21,35,130,5,4,485,1645,36,13,202,8,4,1905,1073,3,0,77,6,0,1164,261,0,0,30,0,0,297,79,0,0,10,0,0,92,19,0,0,6,0,0,18,3,0,0,0,0,0,6,24,0,0,6,0,0,33,59,14,12,53,10,11,155,3521,302,121,631,63,22,4662
SED23007,10,95,8,9,0,0,114,13,113,4,16,6,0,147,41,578,42,98,19,7,776,97,238,52,127,9,6,533,173,103,33,79,21,0,409,629,118,32,175,27,5,987,2223,106,32,461,73,10,2903,3688,50,15,401,70,6,4227,1646,20,3,193,19,0,1881,506,0,0,63,7,0,573,150,0,0,19,5,0,182,67,0,0,5,4,0,71,27,0,0,6,0,0,31,71,0,0,17,0,0,100,145,107,23,125,41,43,484,9490,1533,239,1784,291,84,13424
SED23101,0,13,9,7,0,0,32,0,13,14,0,0,0,32,6,151,15,36,13,3,222,15,57,20,37,9,3,144,3,16,8,33,15,5,82,21,22,21,50,16,0,126,134,12,20,94,9,3,275,1161,25,19,185,26,3,1422,1141,9,9,133,13,3,1300,443,0,3,46,7,0,501,158,0,0,21,4,0,179,56,0,0,8,0,0,69,14,0,0,0,0,0,19,31,0,0,6,3,0,38,64,38,3,98,27,18,253,3253,358,137,755,141,34,4692
SED23205,12,39,0,3,0,0,53,6,30,5,5,0,0,49,19,328,27,46,11,3,431,66,130,34,93,7,9,325,89,65,18,90,3,0,263,518,40,17,164,13,8,757,1770,79,28,291,16,4,2181,2327,32,11,245,25,6,2637,733,5,0,90,3,3,837,189,0,0,20,0,0,208,61,0,0,8,0,0,74,36,0,0,3,0,0,37,11,0,0,0,0,0,9,45,0,0,8,0,0,51,145,51,12,77,11,20,309,6005,802,149,1132,97,44,8232
SED23308,11,44,5,13,0,0,66,3,51,3,5,0,0,71,45,339,35,72,10,9,513,146,140,116,149,25,7,591,285,62,49,149,19,5,564,665,89,38,195,37,8,1022,1988,62,29,407,44,14,2530,2485,26,26,300,49,6,2901,830,3,4,98,10,3,948,241,0,0,32,5,0,279,91,0,0,24,0,0,123,40,0,0,8,0,0,48,10,0,0,0,0,0,13,22,0,0,3,5,0,32,107,60,19,75,24,15,302,6971,872,324,1536,236,60,10008
SED23402,3,4,0,4,0,0,17,0,5,0,7,0,0,16,10,30,7,19,3,0,78,15,21,16,46,5,0,112,17,9,8,43,8,0,83,58,10,9,66,26,0,173,1041,13,3,190,15,7,1264,2853,5,0,271,10,0,3143,541,0,6,59,3,0,609,113,0,0,8,0,0,127,38,0,0,3,0,0,47,18,0,0,4,0,0,21,10,0,0,0,0,0,8,23,0,0,4,0,0,31,97,11,5,45,18,9,186,4835,106,58,780,96,24,5904
SED23502,4,20,6,29,15,3,74,0,29,3,20,7,0,61,30,203,30,107,44,4,426,156,98,43,190,33,6,522,160,39,25,188,30,6,440,615,65,37,248,18,4,997,802,19,19,275,28,3,1147,587,3,0,119,11,5,722,86,5,6,17,4,0,106,6,4,3,5,0,0,15,0,0,0,0,0,0,5,0,0,0,4,0,0,7,3,0,0,0,0,0,0,5,0,0,3,7,0,11,48,44,18,88,45,20,258,2500,535,186,1281,235,52,4790
SED23602,3,24,0,23,9,0,61,3,26,8,12,5,0,64,31,165,32,96,36,6,368,170,74,36,140,37,0,463,220,31,19,139,19,3,432,565,42,19,195,76,3,900,821,18,12,184,85,5,1115,549,4,0,94,18,5,666,97,0,0,18,0,0,119,20,0,0,0,0,0,21,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,5,0,0,5,5,0,0,12,3,0,29,32,34,3,96,57,14,236,2523,423,137,1021,351,41,4488
SED23702,9,9,0,6,3,0,31,0,17,0,6,0,0,31,7,134,7,30,6,0,187,21,67,5,58,14,0,173,17,19,8,56,27,0,124,107,36,18,113,201,0,480,684,37,11,238,85,0,1055,1371,12,10,249,19,6,1665,485,0,0,74,9,0,569,91,0,0,13,0,0,99,25,0,0,10,0,0,36,25,0,0,3,0,0,31,6,0,0,4,0,0,10,17,0,0,5,3,0,25,61,40,7,83,29,8,224,2915,377,61,943,403,24,4728
SED23806,8,13,0,8,0,0,32,4,9,4,8,0,0,29,17,71,26,28,5,0,145,68,11,19,52,6,0,154,113,9,18,49,7,0,199,212,8,12,71,8,0,310,1134,5,0,178,15,0,1328,2510,5,0,288,18,0,2818,1554,0,0,215,8,0,1776,695,0,0,96,3,0,798,421,0,0,57,0,0,473,324,0,0,33,3,0,362,211,0,0,27,0,0,242,408,0,0,61,4,0,480,102,9,4,57,14,14,202,7774,136,99,1226,87,31,9352
SED23901,3,50,5,18,4,0,76,4,60,5,8,0,0,77,23,370,42,35,10,0,483,23,143,48,48,6,0,268,16,70,18,41,0,0,150,61,94,48,83,70,0,359,743,69,17,191,65,5,1095,2244,81,5,284,22,4,2654,1325,24,4,124,13,0,1497,589,0,0,69,0,0,661,186,6,0,26,0,0,218,90,0,0,11,0,0,108,40,0,0,3,0,0,42,64,0,0,8,3,0,75,86,111,19,67,21,15,315,5499,1089,214,1030,220,28,8074
SED24006,3,0,0,3,0,0,19,4,0,6,0,0,0,11,15,20,9,19,5,0,67,16,9,8,31,0,0,60,14,4,5,26,0,0,53,33,6,0,40,0,0,77,281,4,3,77,0,4,361,1167,4,0,140,14,0,1323,950,0,0,156,5,0,1116,641,0,0,86,7,0,732,440,0,0,44,5,0,484,272,0,0,30,0,0,306,190,0,0,18,4,0,209,419,0,0,41,4,0,469,86,12,5,86,12,12,214,4529,60,30,803,50,24,5503
SED24105,7,17,0,10,9,0,40,8,15,0,11,0,0,34,21,128,9,40,21,4,230,46,54,6,79,24,4,206,34,36,4,34,10,0,118,173,27,6,85,19,6,315,730,31,8,259,61,8,1097,1668,39,11,292,106,0,2125,722,5,6,93,27,4,849,271,0,0,21,10,3,308,74,0,0,12,4,0,94,32,0,3,8,0,0,40,7,0,0,0,0,0,5,45,0,0,10,4,0,56,96,20,5,94,25,20,263,3935,379,58,1057,314,48,5790
SED24207,4,15,0,7,4,0,32,0,19,0,0,5,3,26,10,82,14,32,16,3,157,20,59,12,55,36,5,186,21,32,17,43,27,0,140,60,46,28,89,20,0,242,781,40,23,348,66,8,1270,2825,20,9,336,49,14,3260,681,7,0,92,25,0,802,95,4,0,15,3,0,114,26,0,0,7,3,0,33,20,0,0,6,0,0,25,7,0,0,0,0,0,7,34,0,0,0,0,0,43,125,24,5,114,37,18,320,4712,349,113,1147,284,50,6652
SED24308,5,90,0,10,0,4,117,3,68,8,8,7,0,99,25,544,27,42,10,3,656,114,214,76,96,31,6,541,183,87,27,101,13,0,406,796,143,38,214,18,7,1219,1932,78,47,329,49,11,2440,1694,35,9,200,24,3,1961,457,6,0,39,5,0,498,81,0,0,10,0,0,93,36,5,0,8,0,0,47,11,0,0,0,0,0,12,10,0,0,3,0,0,9,17,0,0,4,0,0,26,94,82,14,71,40,17,322,5459,1344,248,1139,199,54,8446
SED24408,12,41,6,54,36,0,148,11,45,4,41,16,0,129,121,219,22,219,65,13,659,392,91,30,322,40,0,886,359,38,8,217,27,0,649,538,32,11,175,20,9,781,519,12,10,127,18,8,701,275,9,5,56,11,0,359,45,4,0,19,0,0,69,4,0,0,8,0,0,12,5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,6,0,0,11,47,32,11,103,73,10,286,2340,529,115,1353,312,49,4701
SED24504,0,6,0,9,5,0,31,0,13,6,6,5,0,31,5,72,26,46,14,5,166,14,30,30,73,6,0,157,18,18,9,60,7,0,110,73,18,14,90,8,0,206,272,22,6,218,8,0,526,674,8,6,209,17,3,918,408,0,0,103,0,0,510,172,0,0,15,0,0,187,55,0,0,13,0,0,70,20,0,0,0,0,0,19,6,0,0,0,0,0,6,18,0,0,12,0,0,30,39,18,11,72,22,6,159,1761,196,113,943,103,17,3132
SED24606,8,12,9,8,0,0,36,0,15,3,10,0,0,28,17,69,46,26,4,0,157,47,17,56,61,7,0,199,52,12,30,38,3,0,138,213,8,28,63,7,0,317,1011,10,7,135,6,0,1164,1914,7,0,197,18,3,2144,1129,4,0,150,9,0,1294,685,0,0,77,3,3,772,407,0,0,51,0,0,462,321,0,0,51,0,0,377,182,0,0,30,4,0,211,417,0,0,58,4,0,479,121,7,5,86,20,11,247,6532,171,181,1029,84,22,8024
SED24703,32,63,5,24,5,0,130,10,193,8,15,0,0,230,82,740,38,100,20,12,992,340,294,120,206,35,3,1003,501,149,74,198,27,0,959,1529,168,74,347,48,6,2171,6574,159,54,637,87,10,7527,10860,88,54,864,110,13,11995,5502,25,22,604,40,7,6190,2336,12,0,302,18,4,2674,1274,9,0,173,19,0,1477,714,4,5,117,3,0,847,370,0,0,74,3,0,445,715,0,0,121,11,0,854,446,144,24,330,49,41,1034,31296,2046,475,4106,494,97,38516
SED24808,7,23,3,7,4,0,46,4,30,0,4,5,0,41,26,171,9,35,4,5,245,33,102,52,68,16,7,277,44,42,21,86,3,0,192,429,52,32,166,14,3,689,2981,45,34,471,71,17,3609,2582,12,19,289,63,14,2979,156,0,0,42,8,6,210,39,0,0,14,0,0,56,14,0,0,3,6,0,26,10,0,0,0,3,0,13,4,0,0,0,0,0,9,17,0,0,13,0,0,27,139,32,18,98,24,19,326,6493,504,181,1288,215,62,8747
SED24904,4,37,13,40,52,9,156,8,57,17,28,30,4,138,70,283,50,179,122,13,722,263,185,51,269,73,15,858,334,74,15,252,38,6,713,723,75,32,304,66,6,1204,1237,35,28,316,60,11,1691,758,7,11,180,35,4,999,126,3,0,49,11,0,199,19,0,3,14,5,0,42,8,0,0,13,4,0,21,4,0,0,5,8,0,21,0,0,0,3,0,0,7,0,0,0,10,5,0,24,69,50,10,106,89,43,359,3628,810,221,1779,601,111,7154
SED25003,6,10,0,3,0,0,19,4,9,0,8,0,0,14,4,53,0,22,3,0,91,9,46,6,26,7,0,93,10,19,4,16,0,0,54,23,14,7,57,20,0,123,897,20,12,193,33,7,1164,2728,33,4,201,47,13,3026,405,8,0,39,7,0,456,50,0,0,3,0,0,60,17,0,0,4,0,0,20,4,0,0,0,0,0,9,8,0,0,0,0,0,8,36,0,0,3,3,0,41,98,17,4,63,9,8,204,4310,225,49,634,137,32,5380
SED25102,3,4,0,13,0,0,19,0,5,3,4,0,0,16,4,43,8,32,4,0,87,12,13,6,36,6,0,73,12,6,0,56,3,0,80,47,6,4,64,9,0,125,169,9,3,148,12,0,349,562,5,0,175,6,5,748,300,0,0,70,5,0,382,100,0,0,10,0,0,115,27,0,0,5,0,0,35,13,0,0,0,0,0,13,3,0,0,0,0,0,5,6,0,0,9,0,0,15,29,6,0,34,14,4,85,1293,93,32,648,60,10,2139
SED25205,7,18,3,7,0,0,27,0,25,3,4,0,0,41,5,176,17,28,6,4,240,29,63,30,43,8,0,170,21,35,17,57,0,0,125,139,23,8,66,3,0,243,629,22,7,148,3,3,814,1433,17,3,172,4,4,1633,1023,5,0,116,0,0,1150,483,3,0,36,0,0,525,273,0,0,17,0,0,292,108,0,0,13,0,0,121,35,0,0,3,0,0,43,56,0,0,9,0,0,70,79,43,10,56,14,8,202,4336,424,91,772,48,20,5700
SED25302,5,15,3,8,0,0,26,0,16,0,5,3,0,28,11,157,4,16,7,5,196,4,39,0,27,3,5,90,10,25,0,30,5,0,74,36,15,0,52,21,0,123,223,19,0,101,12,0,357,699,16,0,177,10,0,896,688,3,0,105,0,0,802,354,0,0,39,3,3,406,181,0,0,19,0,0,206,87,0,0,11,0,0,102,65,0,0,0,0,0,71,94,0,0,10,0,0,113,54,21,6,50,16,3,155,2523,331,19,653,82,19,3627
SED25402,11,57,7,18,7,3,107,7,65,18,13,6,0,111,123,347,29,95,12,8,612,465,165,47,197,23,3,901,535,88,19,233,19,8,901,912,75,33,271,24,5,1323,1027,17,23,191,24,4,1283,591,6,6,100,5,5,710,139,3,5,22,6,0,170,7,0,0,0,0,0,12,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,8,6,0,0,0,0,0,12,59,64,12,72,23,12,240,3899,885,194,1213,154,56,6403
SED25501,0,3,0,5,0,0,10,0,7,0,5,0,0,13,14,56,6,33,6,0,114,16,24,9,55,5,0,111,15,12,10,41,3,0,79,16,13,4,52,0,0,86,114,7,5,91,8,0,216,1378,5,3,197,15,0,1601,1527,5,3,194,23,6,1750,901,0,0,96,11,0,1009,399,0,0,37,0,0,441,169,0,0,15,0,0,189,57,0,0,10,0,0,69,86,0,0,15,0,3,107,71,13,8,99,24,12,222,4750,142,44,949,104,23,6010
