SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED70022,94,24,321,5,0,444,63,25,593,0,0,679,38,46,2326,0,9,2420,8,39,59,0,0,107,0,4,7,0,0,11,14,22,353,0,4,390,93,4,146,0,0,244,0,0,9,0,0,11,157,111,2890,0,16,3182,3,0,30,0,0,35,7,3,53,0,6,73,333,171,3887,10,28,4423
SED70023,560,7,59,46,0,677,1003,27,71,4,0,1098,255,53,74,0,0,389,153,4,4,0,0,163,3,0,0,0,0,7,169,28,46,0,0,250,20,11,8,8,0,39,10,0,0,0,0,10,612,102,132,8,0,858,24,0,7,5,0,34,34,0,0,0,0,37,2233,135,266,61,0,2700
SED70024,243,12,5,13,0,269,1842,56,24,0,0,1928,742,121,138,0,6,1006,17,18,16,0,0,53,3,0,3,0,0,9,157,13,9,4,0,188,126,12,3,0,0,139,3,0,0,0,0,6,1052,166,179,5,6,1406,36,4,0,0,0,45,31,3,8,0,0,40,3203,240,210,22,5,3683
SED70025,519,6,74,4,0,595,1122,27,146,0,0,1287,379,15,139,0,0,532,62,0,67,0,0,131,3,0,5,0,0,3,142,6,57,0,0,207,248,5,15,0,0,271,0,0,9,0,0,5,838,33,277,3,0,1146,30,0,4,0,0,41,17,0,8,0,0,34,2526,61,517,4,0,3103
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED80001,7849,1061,384,0,4,9302,11938,1538,653,0,0,14129,1544,705,481,0,3,2739,1087,494,187,0,4,1762,59,58,7,0,0,118,956,307,162,0,4,1431,136,41,11,0,3,195,9,9,5,0,0,20,3793,1620,842,0,12,6268,268,167,70,0,8,510,184,40,29,0,0,256,24027,4424,1981,0,30,30460
SED80002,7840,1490,485,0,0,9823,10875,2066,1159,0,4,14104,1948,1487,2354,0,4,5795,1278,534,188,0,10,1997,88,40,60,0,0,189,1161,600,633,0,3,2403,237,102,100,0,4,435,28,19,8,0,0,52,4740,2775,3336,0,19,10879,213,219,99,0,0,537,194,75,44,0,5,309,23857,6631,5126,0,31,35649
SED80003,5039,1140,2141,90,9,8420,4710,1590,4284,0,7,10590,1401,1203,6604,4,15,9222,725,528,680,18,3,1951,67,72,138,0,5,285,805,492,1667,3,9,2973,223,95,269,31,14,630,19,13,31,0,0,66,3245,2403,9390,53,43,15130,180,147,269,4,3,606,106,38,101,0,0,253,13278,5322,16187,160,63,35008
SED80004,8734,1400,719,0,8,10853,9378,1999,1755,0,11,13144,1763,1231,1843,0,3,4843,786,752,187,0,0,1726,41,76,23,0,0,139,793,449,476,4,3,1725,156,102,79,0,4,338,23,6,5,0,0,38,3556,2610,2618,4,15,8799,221,150,251,0,4,629,171,66,63,0,4,303,22063,6228,5403,4,33,33734
SED80005,5413,743,273,0,10,6430,11984,2645,1147,0,12,15786,2755,1622,1643,0,18,6035,521,402,202,0,3,1124,128,74,71,0,4,281,1085,500,388,0,9,1984,918,132,81,0,5,1135,26,13,9,0,0,43,5434,2745,2395,0,31,10607,138,136,114,0,4,398,236,56,42,0,0,331,23206,6321,3966,3,59,33549
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,442,29,28,0,5,494,252,13,6,0,4,280,104,3,4,0,0,111,59,31,49,0,0,139,39,0,3,0,0,42,154,21,22,0,3,198,74,8,17,0,0,104,0,0,0,0,0,0,432,62,94,0,5,600,78,5,8,0,3,94,53,0,10,0,4,65,1259,106,141,5,23,1533
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
