SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
10102100701,51,1613,689,210,1875,0.7,1583,2.3
10102100702,54,1622,818,270,2266,0.7,1774,2.3
10102100703,41,1625,834,350,1892,0.8,1542,2.4
10102100704,57,1603,732,300,1451,0.7,1182,2
10102100705,47,1855,779,385,2095,0.7,1468,2.1
10102100706,47,1430,757,390,1583,0.9,1328,2.4
10102100707,54,1268,725,300,1781,0.8,1305,2.2
10102100708,51,2041,805,275,1866,0.8,1429,2.4
10102100709,43,2167,1079,350,2519,0.9,2296,2.7
10102100710,55,1509,615,320,1490,0.9,1170,2
10102100801,39,2145,1009,450,2542,0.8,2150,2.5
10102100802,42,2080,1093,450,2603,0.7,2318,2.7
10102100803,33,1755,620,252,1444,0.8,1257,2.4
10102100804,35,1733,772,228,1666,0.8,1321,2.4
10102100805,31,2019,504,204,1100,0.8,959,2.5
10102100806,39,2089,830,465,1910,0.8,1812,2.7
10102100807,41,1950,900,363,2037,0.8,1701,2.2
10102100808,35,1733,891,400,2045,0.8,1932,2.6
10102100809,0,0,0,0,0,0,0,0
10102100810,41,2233,1191,440,2700,0.7,2625,2.9
10102100811,39,2100,1152,440,2821,0.8,2349,2.6
10102100812,36,2167,1447,480,3600,0.8,3107,2.9
10102100813,44,1799,1243,480,2970,0.8,2849,2.8
10102100814,41,2184,1151,450,2705,0.7,2356,2.4
10102100815,34,1785,924,280,2011,0.9,1437,2.1
10102100816,36,1733,657,200,1952,0.8,1468,2.4
10102100817,34,1903,1049,400,2272,0.9,1965,2.7
10102100818,38,1924,865,320,2038,0.9,1611,2.5
10102100819,40,1990,1246,395,3062,0.7,2916,3
10102100820,33,1970,879,350,2200,0.9,2125,3
10102100821,42,2080,1043,490,2700,0.8,2720,3.1
10102100822,42,2008,1062,625,2833,0.7,2625,2.8
10102100823,33,1900,1161,301,3021,0.8,2437,3.1
10102100901,43,1999,1093,400,2625,0.8,2133,2.4
10102100902,42,2600,977,400,2481,0.7,2323,2.8
10102100904,41,2167,1080,520,2783,0.7,2408,2.6
10102100905,42,1907,993,420,2700,0.7,2014,2.4
10102100907,34,1700,972,310,1963,1,1742,2.3
10102100908,33,1408,1010,320,2043,0.9,1571,1.8
10102100909,33,1155,930,280,1756,1,1456,1.9
10102100910,32,1213,969,310,1771,1,1382,1.8
10102100911,34,1733,985,300,2216,0.9,1634,2.2
10102100912,40,2000,890,300,2374,0.8,1857,2.4
10102100913,42,2000,1066,450,2592,0.8,2157,2.5
10102100914,39,1668,1025,425,2270,0.8,1783,2.3
10102100915,37,1480,996,300,2215,0.9,1503,1.9
10102100916,36,1733,1043,380,2407,0.9,1987,2.4
10102100917,47,1751,785,223,2562,0.9,1080,1.6
10102100918,57,1950,812,410,2359,0.7,1589,2
10102100919,37,1800,1091,395,2402,0.9,1970,2.3
10102100920,39,1139,920,280,2053,0.9,1397,1.8
10102100921,34,1428,1122,350,2147,0.9,1761,1.8
10102100923,37,2167,972,430,2352,0.8,2134,2.6
10102100924,38,3575,850,360,1125,1.2,1062,1.9
10102100925,33,1376,1140,400,2225,1,1842,1.9
10102100926,32,1075,988,350,2029,1,1608,2
10102100927,35,2037,1108,480,2632,0.8,2328,2.8
10102100928,37,1800,1013,300,2399,0.9,1528,1.9
10102100929,41,1517,808,350,2135,0.9,1562,1.9
10102101001,36,2000,1036,400,2083,0.9,1645,2
10102101002,49,2708,1375,700,3805,0.7,3639,2.8
10102101003,52,2167,1292,458,3416,0.7,3021,2.6
10102101004,40,2300,1331,525,3031,0.7,2523,2.6
10102101006,34,1192,986,250,1837,1,1268,1.6
10102101007,39,1733,927,330,1906,0.9,1649,1.9
10102101008,34,1622,1014,300,2162,1,1630,2
10102101009,39,1950,1050,400,2386,0.8,2042,2.4
10102101010,33,1517,1114,350,1954,0.9,1635,1.9
10102101011,51,2113,959,153,3250,0.9,2499,2.3
10102101012,33,1645,1178,410,2349,0.8,1687,2.2
10102101013,7,4100,2124,0,4749,1.2,4749,4.5
10102101014,52,2245,1170,625,2805,0.6,2791,2.6
10102101015,31,1083,978,300,1912,1,1323,1.8
10102101016,37,2182,1228,367,3011,0.8,2921,3
10102101017,32,1603,1282,350,2513,0.8,1895,1.9
10102101201,38,1970,1586,505,3531,0.7,2833,2.6
10102101202,39,3000,1711,690,4343,0.8,4463,3.3
10102101203,34,2318,1615,372,4068,0.8,3812,3.3
10102101204,34,3032,1834,440,4772,0.8,4772,3.7
10102101205,37,2599,1674,680,4704,0.8,4708,3.4
10102101206,41,3000,1658,670,4966,0.7,4926,3.2
10102101207,42,2256,1206,460,2937,0.7,2694,2.6
10102101208,41,2100,1104,370,2613,0.7,2100,2.4
10102101209,38,2600,1397,350,3576,0.8,3608,3.5
10102101210,38,2351,1418,550,3068,0.7,2779,2.7
10102101211,35,2492,1430,550,4058,0.8,3874,3.3
10102101212,35,2370,1357,540,3308,0.8,3073,2.9
10102101213,42,2353,1492,580,3420,0.7,3250,2.8
10102101214,38,2391,1527,450,3692,0.8,3646,3.2
10102101215,37,2277,1420,540,2971,0.8,2611,2.7
10102101216,39,2166,1463,565,3308,0.7,3166,2.9
10102101217,54,2600,833,350,2625,1.2,1374,2.1
10102101218,35,2100,1192,430,2661,0.8,2215,2.5
10102101219,35,1901,1161,345,2299,0.8,1862,2.1
10102101220,35,1950,1148,375,2542,0.8,2333,2.7
10102101221,29,2167,1245,325,2856,0.8,2874,3.2
10102101222,38,2250,1309,460,2976,0.8,2784,2.9
10102101223,36,2167,1300,480,2710,0.8,2374,2.6
10102101224,45,2500,1503,485,4408,0.7,3874,2.9
10102101225,0,0,0,0,0,0,0,0
10102101226,0,0,0,0,0,0,0,0
10102101227,41,3080,1653,700,4983,0.8,5139,3.5
10102101228,37,2158,1223,460,2764,0.7,2299,2.5
10102101229,34,1900,880,295,2107,0.8,1797,2.6
10102101230,34,1517,583,238,1575,0.8,1312,2.6
10102101231,45,3033,1521,458,3531,0.7,3527,2.7
10102101232,39,2383,1621,550,4229,0.7,4058,3
10102161001,31,1950,1519,490,2708,0.8,2377,2.4
10102161002,32,2600,1780,365,3727,0.8,3687,3
10102161003,30,2600,1592,700,3289,0.8,3335,3.3
10102161004,30,2800,1643,320,3444,0.8,3374,2.9
10102161005,32,2700,1655,375,3526,0.8,3526,3.3
10102161006,31,2846,1681,680,3874,0.8,3874,3.4
10102161007,31,2400,1545,550,3214,0.8,3050,2.7
10102161008,33,2550,1481,633,3538,0.9,3405,3.4
10102161009,34,2622,1426,720,3750,0.8,3471,3.3
10102161010,30,2399,1571,365,3227,0.9,3076,3
10102161011,33,2624,1731,655,3583,0.8,3567,3.2
10102161012,32,2829,1826,700,3839,0.8,3916,3.4
10102161013,31,2496,1664,660,3559,0.8,3555,3.3
10102161014,30,2600,1578,600,3339,0.8,3333,3
10102161015,31,2502,1724,610,3697,0.8,3658,3.3
10102161101,47,2500,1258,450,3150,0.7,3107,2.8
10102161102,45,2250,1478,610,3714,0.8,3643,3
10102161103,44,2600,1518,696,3321,0.7,3285,2.9
10102161104,38,2167,1184,450,3071,0.8,2727,2.8
10102161105,44,3077,1276,500,3785,0.8,3285,2.8
10102161106,39,2542,1297,620,3204,0.8,3181,3.1
10102161107,41,1961,900,400,2150,0.8,1947,2.6
10102161108,47,2448,1279,335,3053,0.8,2727,2.8
10102161109,34,2518,1615,600,3310,0.7,3241,2.9
10102161110,47,2108,1523,550,3643,0.8,3100,2.8
10102161111,47,2600,939,360,2288,0.9,1678,2.4
10102161112,36,2600,1217,650,3478,0.8,3542,3.5
10102161113,43,2947,1370,460,3527,0.8,3250,2.8
10102161114,41,2400,1171,360,2750,0.9,2562,2.8
10102161115,44,2600,1037,386,2937,0.8,2928,3.1
10102161116,44,2578,1201,370,3625,0.8,3549,3.2
10102161117,43,2383,1187,350,3399,0.7,3428,2.8
10102161118,48,2546,1211,760,3266,0.7,3312,3
10102161119,34,2600,1433,640,3517,0.8,3437,3.2
10102161120,48,1832,974,280,2250,0.8,1987,2.3
10102161121,45,2600,1163,405,3031,0.7,2416,2.5
10102161122,51,2600,1155,600,3083,0.7,2799,2.8
10102161123,32,2213,1137,455,2849,0.9,2600,3.1
10102161124,37,2143,1194,500,2738,0.8,2450,2.8
10102161125,46,2167,1112,410,2625,0.8,2324,2.6
10102161126,38,2118,1213,478,2643,0.8,2200,2.5
10102161127,36,2600,1514,598,3405,0.8,3166,3.2
10102161128,52,2123,1265,400,2416,0.7,2250,2.4
10102161129,39,1950,1345,370,3200,0.8,3471,3.2
10102161130,38,1300,981,300,2125,0.9,1508,2.4
10102161131,40,2392,1296,350,2905,0.9,2807,2.9
10102161132,44,3309,1206,550,3583,0.9,4125,3.3
10102161133,38,2753,1350,320,3795,0.8,3840,3.3
10102161134,47,2329,1067,231,2791,0.8,2550,2.8
10102161135,45,2557,1333,500,3265,0.7,3107,2.7
10102161136,47,3000,1345,550,3531,0.7,3480,3
10102161137,45,2600,1300,470,2963,0.7,3050,2.6
10102161138,45,3017,1457,520,3874,0.7,3750,3
