GCCSA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
1GSYD,..,3397,104587,227814,200201,175874,137333,75080,19311,943600,..,12692,75480,42936,29323,19687,9424,3161,451,193137,..,330,1837,6252,11482,9107,4394,2579,1752,37736,468237,..,..,..,..,..,..,..,..,468237,..,140025,..,..,..,..,..,..,..,140025,..,93612,76008,24281,14817,6518,1026,32,0,216297,..,14302,15419,6305,5680,7253,6128,3581,2008,60679,..,8898,16310,6538,4598,3485,1579,473,88,41969,..,22422,46214,14110,9078,8367,5772,2143,441,108557,..,7643,31281,30471,30281,34210,28433,17634,7871,187830,4994,5836,6864,4479,3616,2987,2108,925,343,32152,473230,309161,373993,363197,309080,267479,196198,105617,32269,2430219,..,8389,148330,239789,200986,167224,122042,52826,8353,947945,..,18747,78966,39127,26456,16253,6952,1793,204,188495,..,3037,18037,37351,48972,31448,14752,10316,6835,170746,442722,..,..,..,..,..,..,..,..,442722,..,144464,..,..,..,..,..,..,..,144464,..,64049,50977,13064,8556,5124,1177,60,0,143005,..,11846,10748,3918,5178,13061,16212,11775,6912,79649,..,8218,11342,3705,2352,1880,948,319,130,28893
1RNSW,..,1344,39983,78085,85990,97679,100302,58021,13470,474870,..,11604,38705,23539,20619,17262,10256,3266,477,125720,..,331,2077,5284,7973,5399,2756,1621,1093,26540,239615,..,..,..,..,..,..,..,..,239615,..,50058,..,..,..,..,..,..,..,50058,..,53231,24977,10811,8396,4624,785,19,0,102847,..,6540,4600,2136,2589,3673,3463,1895,888,25790,..,4479,5292,2349,2063,1588,924,318,74,17079,..,8922,12400,4192,4505,5942,4932,1841,349,43082,..,4559,13185,13293,19787,30120,29681,17644,7016,135281,3748,5036,4518,3234,3061,2871,2700,1174,358,26708,243365,146103,145724,142925,154985,169156,155817,85791,23723,1267591,..,2641,54186,86363,92778,102250,93134,43744,6417,481519,..,17179,40972,23833,20861,16445,7985,2151,258,129691,..,3710,17170,24725,26225,13716,7045,5893,4236,102714,226712,..,..,..,..,..,..,..,..,226712,..,53032,..,..,..,..,..,..,..,53032,..,34136,13530,4572,3629,3033,763,36,0,59697,..,5323,2673,1043,2169,5199,6274,4538,2732,29952,..,4534,3484,1207,1092,974,530,191,77,12095
19499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,239,260,455,361,287,227,184,54,4,2077,239,260,455,361,287,227,184,54,4,2077,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
19799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
2GMEL,..,2187,94765,213906,185273,158589,124189,70166,18411,867493,..,12149,81783,45914,30324,19178,8629,2765,415,201155,..,326,1728,6091,11586,9124,4032,2245,1534,36666,435587,..,..,..,..,..,..,..,..,435587,..,134119,..,..,..,..,..,..,..,134119,..,80859,65590,19826,13291,5761,887,19,0,186232,..,13552,16082,5595,4786,5698,4668,2560,1381,54322,..,7976,13929,4546,2873,2059,905,286,72,32646,..,25753,50262,12766,7403,6468,4315,1681,339,108991,..,8448,35209,31435,31460,32640,26911,16483,8074,190658,3917,5359,6783,4158,3370,2699,1955,975,305,29514,439501,290719,366143,344239,290363,242213,176498,97177,30522,2277382,..,5656,134684,221835,185120,151565,113387,51443,8267,871956,..,17713,85957,42528,28224,16038,6623,1599,208,198888,..,2152,15398,35291,48813,28845,12627,9197,5978,158298,412325,..,..,..,..,..,..,..,..,412325,..,138775,..,..,..,..,..,..,..,138775,..,55553,45136,10474,7341,4309,969,50,0,123834,..,11754,10852,3484,4328,10699,12283,8349,4909,66665,..,6945,8949,2305,1436,1085,552,184,83,21542
2RVIC,..,634,21797,44193,49031,56243,57367,31526,7078,267877,..,5744,23183,13808,12031,9496,5482,1672,208,71634,..,167,983,2588,4199,2792,1393,735,501,13357,131981,..,..,..,..,..,..,..,..,131981,..,29532,..,..,..,..,..,..,..,29532,..,28703,13674,5346,3971,1883,337,10,0,53925,..,3095,2498,1026,1251,1718,1583,753,422,12335,..,2117,2802,1025,834,597,355,119,20,7882,..,4930,7433,2422,2287,2660,2256,807,154,22950,..,2418,8350,8122,12093,17820,17550,9861,4011,80212,1592,2210,2297,1491,1473,1571,1525,667,169,12990,133575,79543,83020,80024,87169,94781,87847,46154,12564,704678,..,1250,29119,48938,52298,58781,53348,23820,3346,270915,..,8485,24388,13976,12110,8857,4274,1074,113,73281,..,1511,8536,13114,14829,7647,3535,2681,1874,53712,124933,..,..,..,..,..,..,..,..,124933,..,31598,..,..,..,..,..,..,..,31598,..,17703,7867,2461,1862,1317,299,9,0,31522,..,2500,1551,546,1033,2462,2677,1895,1058,13717,..,2114,1794,556,420,309,205,59,32,5493
29499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,159,170,305,253,223,140,108,22,0,1385,159,170,305,253,223,140,108,22,0,1385,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
29799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
3GBRI,..,1594,45442,95568,92176,78926,64474,34320,7169,419665,..,12259,44117,24953,17551,10822,4992,1548,176,116418,..,331,1783,5014,7130,4189,2039,1102,629,22213,235680,..,..,..,..,..,..,..,..,235680,..,60562,..,..,..,..,..,..,..,60562,..,44517,24379,9076,5610,2420,365,21,0,86382,..,8086,6874,2878,2567,3085,2753,1554,673,28475,..,5675,7459,2871,2101,1415,744,235,54,20546,..,14497,19717,6026,4604,4431,3016,1091,208,53604,..,4567,15420,15025,16294,16975,14973,8753,3534,95547,2604,3973,3898,2519,1959,1573,1280,527,143,18479,238286,156064,169097,163939,150000,123838,94630,49151,12577,1157575,..,3182,61872,104454,93838,76614,58572,24548,3230,426307,..,17608,46346,23791,16485,9422,3798,955,99,118501,..,2802,13914,23295,25365,12622,6021,4029,2495,90544,223109,..,..,..,..,..,..,..,..,223109,..,62135,..,..,..,..,..,..,..,62135,..,30019,14992,4411,3352,2003,507,25,0,55303,..,7157,4971,1745,2512,5592,6615,4513,2300,35401,..,5527,4963,1531,1048,865,476,173,47,14628
3RQLD,..,1566,36118,74033,83162,85790,82326,46370,9625,418985,..,12118,38257,24199,19869,15257,8492,2828,429,121452,..,356,1998,5317,7302,4526,2163,1244,793,23704,226993,..,..,..,..,..,..,..,..,226993,..,47764,..,..,..,..,..,..,..,47764,..,45622,20112,8575,6222,2941,497,12,0,83976,..,6887,4946,2400,2510,3204,2978,1705,822,25447,..,5023,5814,2549,2262,1629,1005,350,85,18715,..,8698,13067,4840,5030,5856,4749,1899,292,44430,..,4859,12614,12913,17883,23943,22738,13196,4786,112934,3182,4316,4056,2804,2879,2963,2515,1025,236,23983,230177,137209,136984,137633,147116,146104,127455,68633,17073,1148391,..,3035,50499,86118,90117,89464,75383,33374,4341,432321,..,18023,41624,24743,20071,14180,6456,1802,194,127074,..,3231,15397,24670,25193,11748,5935,4497,2892,93570,214098,..,..,..,..,..,..,..,..,214098,..,49950,..,..,..,..,..,..,..,49950,..,29416,11232,3798,3091,2464,583,22,0,50610,..,5865,2969,1231,2394,5292,5982,4345,2340,30429,..,5166,4192,1389,1223,1118,614,207,57,13968
39499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,302,284,461,357,268,293,277,82,5,2333,302,284,461,357,268,293,277,82,5,2333,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
39799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
4GADE,..,722,24876,49474,47404,46241,41647,24012,6299,240673,..,4282,19969,11776,9152,6866,3509,1049,163,56770,..,144,838,2662,4245,2965,1231,611,450,13146,116497,..,..,..,..,..,..,..,..,116497,..,33977,..,..,..,..,..,..,..,33977,..,24952,16787,5572,3747,1834,246,3,0,53132,..,3971,3673,1369,1214,1471,1203,586,356,13844,..,2617,3397,1182,730,587,281,54,13,8860,..,6829,10242,3124,2380,2318,1529,496,90,27005,..,2290,8579,8981,11264,13129,11189,6362,3282,65084,1480,2039,2252,1466,1200,931,669,290,101,10433,117981,81832,90598,85609,81343,76340,61506,33461,10767,639436,..,1714,34231,53498,48295,45994,39098,18351,2863,244034,..,6477,21310,11664,8904,6281,2902,700,81,58336,..,1070,6305,12278,14472,8508,3749,2569,1782,50729,110271,..,..,..,..,..,..,..,..,110271,..,35120,..,..,..,..,..,..,..,35120,..,16841,10238,2433,1710,1248,277,15,0,32770,..,3522,2448,700,1056,2694,2811,1807,1097,16133,..,2502,2451,605,351,264,130,35,17,6346
4RSAU,..,224,4825,9162,11246,14370,16038,9315,1996,67177,..,1534,4912,3039,2931,2734,1568,457,54,17232,..,60,298,720,1152,696,334,200,134,3590,30846,..,..,..,..,..,..,..,..,30846,..,5948,..,..,..,..,..,..,..,5948,..,6891,2890,1206,914,433,54,3,0,12395,..,947,554,283,296,454,364,172,76,3142,..,429,432,203,207,172,78,17,11,1544,..,733,1058,544,587,715,546,192,48,4423,..,890,2303,2220,3791,5811,5261,2850,1201,24323,544,751,664,533,529,626,615,254,64,4575,31388,18400,17933,17911,21652,26008,24863,13458,3583,175195,..,442,6522,10721,12444,15389,15086,7000,940,68557,..,2347,5253,3152,3086,2587,1259,287,39,18013,..,479,2214,3085,3135,1513,741,577,374,12115,29335,..,..,..,..,..,..,..,..,29335,..,6168,..,..,..,..,..,..,..,6168,..,3974,1413,495,376,299,84,0,0,6639,..,656,282,124,266,514,539,420,247,3042,..,409,276,98,84,78,48,20,4,1008
49499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,82,85,131,109,100,83,53,11,3,669,82,85,131,109,100,83,53,11,3,669,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
49799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5GPER,..,1023,36475,81298,77138,68540,57745,31076,7525,360824,..,6756,32030,19291,13052,9039,4420,1347,228,86161,..,180,1140,3522,5502,3631,1643,765,478,16872,196251,..,..,..,..,..,..,..,..,196251,..,51843,..,..,..,..,..,..,..,51843,..,37622,21687,7126,4321,1861,333,3,0,72967,..,6130,5493,2057,1668,1949,1615,899,468,20282,..,3119,4658,1862,1169,727,371,134,23,12055,..,8072,13971,4624,3258,2884,1951,713,151,35630,..,3708,14183,14210,14247,15804,13957,8078,3503,87691,2206,2696,2868,2104,1567,1260,1021,516,150,14385,198454,121146,132510,136099,121925,105704,83063,43529,12530,954962,..,2438,54745,91785,80814,68535,52571,22584,3576,377040,..,10853,36569,19374,13152,8129,3368,869,109,92426,..,1611,9754,17641,19577,10863,4747,3015,2014,69223,185600,..,..,..,..,..,..,..,..,185600,..,53329,..,..,..,..,..,..,..,53329,..,26344,13160,3222,2090,1495,376,13,0,46697,..,5557,3565,1208,1643,3849,4595,2857,1724,24998,..,2928,2970,893,549,449,202,63,26,8077
