LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA13310,155,114,48,30,41,17,5,404,50,53,43,21,38,10,0,219,64,74,51,30,33,10,0,268,1089,1082,654,472,485,90,22,3895,5,6,6,0,0,0,0,24,1365,1331,799,556,589,130,32,4803,4,15,19,11,16,0,0,61,18,29,18,8,8,3,0,92,0,15,18,15,14,4,0,63,282,386,247,157,158,25,8,1271,0,4,9,3,3,0,0,22,306,453,309,191,198,38,10,1506,1674,1784,1102,750,791,173,45,6314
LGA13340,16,16,10,9,3,3,0,56,20,26,14,11,20,3,0,87,23,23,28,12,4,8,0,105,464,492,333,210,265,57,10,1836,3,6,0,0,3,0,0,9,524,561,379,240,295,76,17,2095,4,0,0,0,0,0,0,8,0,8,0,4,3,3,0,18,3,5,3,3,9,0,0,21,72,92,77,48,67,8,0,365,0,4,5,5,0,0,0,13,77,109,87,58,82,13,4,425,596,675,466,296,379,84,20,2521
LGA13450,370,332,162,97,153,46,14,1172,91,73,33,22,33,6,0,262,79,71,26,16,25,0,0,214,808,824,524,352,440,76,28,3041,12,6,3,5,9,0,0,34,1357,1303,749,490,655,128,43,4720,30,43,35,19,27,12,6,173,33,40,19,10,15,0,0,118,7,9,11,3,5,0,0,39,170,224,135,92,107,19,4,752,10,19,9,7,9,0,0,52,256,326,208,132,159,33,11,1130,1613,1624,956,621,812,159,54,5848
LGA13550,22,27,9,12,15,0,0,93,14,18,5,7,5,0,0,62,43,38,15,5,4,0,0,109,606,619,332,212,206,39,11,2033,0,4,4,0,0,0,0,5,693,709,376,235,238,43,11,2297,0,3,0,0,0,0,0,4,11,8,3,0,3,0,0,24,4,4,4,4,0,0,0,18,134,200,132,78,56,5,0,609,6,3,5,4,0,0,0,19,158,218,145,83,59,4,3,672,854,921,518,323,296,45,12,2970
LGA13660,0,9,0,3,0,0,0,16,0,4,3,6,4,0,0,15,4,5,0,4,6,0,0,17,152,227,135,68,61,7,0,656,0,0,0,0,0,0,0,0,158,246,148,67,74,11,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,34,55,29,26,28,3,0,172,3,3,0,0,0,0,0,12,42,57,32,21,31,8,0,193,198,304,174,98,101,16,0,892
LGA13800,208,170,140,89,115,60,34,812,219,231,166,112,155,46,28,958,231,240,142,86,130,43,22,895,2792,2612,1653,1047,1213,429,177,9917,13,18,9,15,0,0,0,47,3458,3272,2099,1349,1609,582,263,12640,12,26,9,15,14,7,7,93,27,37,46,41,53,22,9,236,17,40,24,26,32,11,11,154,431,607,354,261,319,100,41,2117,7,15,9,0,10,0,0,34,492,728,439,337,427,134,64,2627,3950,3998,2543,1687,2037,722,329,15268
LGA13850,10,6,6,0,0,0,0,23,8,12,7,3,0,0,0,27,0,5,0,0,0,0,0,0,98,83,57,24,38,3,0,303,0,5,0,0,0,0,0,3,121,102,65,32,41,4,0,361,0,0,0,3,0,0,0,3,4,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,17,21,17,9,16,3,0,87,0,0,0,0,0,0,0,5,22,24,21,15,14,3,0,110,140,126,89,45,57,9,0,471
LGA13910,61,50,27,16,23,8,0,185,36,33,15,18,24,4,0,126,45,57,32,14,12,0,0,162,703,722,460,287,304,60,14,2553,0,4,6,0,0,0,0,14,852,865,535,334,368,75,17,3042,8,14,7,5,9,0,0,49,10,25,15,8,17,0,0,77,3,13,6,3,8,0,0,29,156,212,146,95,106,19,0,739,5,11,7,4,3,0,0,37,189,275,187,121,135,25,0,927,1044,1139,720,453,501,93,14,3966
LGA14000,3304,4741,2713,1571,1993,1356,831,16521,624,712,507,338,450,245,122,2998,804,949,538,333,456,246,149,3471,2213,2750,1963,1420,1813,1082,534,11780,19,23,11,13,4,0,3,69,6969,9179,5731,3669,4722,2928,1637,34845,112,357,295,200,326,214,147,1641,48,84,67,62,112,55,35,466,46,86,73,62,80,40,32,419,163,306,305,200,327,151,86,1539,8,13,9,3,6,5,0,43,377,844,748,520,852,474,296,4109,7344,10021,6479,4195,5570,3400,1935,38951
LGA14100,103,129,83,56,82,60,41,553,74,100,76,57,100,56,17,479,83,83,45,48,48,32,19,364,249,339,252,185,248,168,83,1525,0,0,0,0,0,0,0,7,514,662,465,343,477,320,159,2937,7,20,11,6,25,14,12,94,7,9,8,14,22,11,0,65,0,3,7,4,12,3,4,47,15,28,20,27,22,19,12,138,0,0,3,0,0,0,0,4,31,61,54,54,85,47,25,350,544,716,509,402,558,365,183,3288
LGA14170,1873,1822,1023,563,701,459,244,6688,1324,1225,733,450,532,271,108,4643,1249,1066,618,334,424,229,82,4009,3637,3140,1877,1179,1508,777,329,12444,31,40,15,3,3,3,0,99,8121,7295,4265,2533,3172,1734,771,27882,114,234,221,158,216,159,111,1204,104,190,149,105,158,96,47,855,49,146,115,84,132,76,40,636,245,426,364,282,369,196,88,1965,30,15,15,9,10,3,3,91,544,1016,858,637,880,525,294,4754,8662,8309,5122,3171,4054,2259,1060,32640
LGA14220,14,28,17,17,23,3,0,107,20,22,14,16,6,0,0,77,32,30,7,0,11,3,0,88,565,608,383,242,278,51,11,2142,0,7,7,3,0,0,0,17,640,691,426,281,321,58,11,2426,3,0,0,6,0,0,0,15,11,8,9,8,6,0,0,41,8,8,0,3,4,0,0,21,229,282,180,124,125,15,3,957,4,7,3,0,0,0,0,12,251,314,195,137,139,15,4,1057,886,1004,620,416,458,74,15,3482
LGA14300,16,12,7,0,0,0,0,37,10,11,4,4,0,0,0,29,7,11,3,4,3,0,0,31,207,216,138,88,103,16,9,768,6,0,0,0,0,0,0,7,244,246,155,94,113,15,9,873,4,0,0,0,0,0,0,6,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,62,75,47,35,26,6,0,251,0,0,0,0,0,0,0,6,69,81,46,39,31,6,0,273,313,329,201,134,136,21,9,1145
LGA14350,44,29,19,15,14,6,0,126,37,49,26,18,15,0,0,151,40,49,25,23,23,0,0,165,817,792,584,349,385,81,18,3037,12,13,8,3,7,0,0,39,950,935,662,410,441,88,21,3512,3,6,3,3,5,0,0,23,14,36,17,10,8,3,0,94,7,15,9,5,12,0,0,50,378,451,309,210,237,27,12,1622,19,20,22,7,7,3,0,80,424,529,358,241,277,39,13,1870,1374,1467,1017,644,715,129,35,5388
LGA14400,45,74,51,22,48,17,11,258,76,88,70,38,52,24,7,356,124,88,40,35,29,16,6,336,757,879,463,324,423,169,82,3087,0,0,0,0,0,0,0,4,996,1126,624,417,552,223,103,4042,8,8,4,0,14,0,3,41,13,24,11,10,11,0,4,71,5,17,10,9,15,3,0,62,62,109,80,57,78,23,10,418,3,0,5,0,0,0,0,13,89,163,114,76,113,32,13,601,1083,1289,732,497,667,257,114,4641
LGA14500,2499,4078,2390,1462,1824,1240,745,14238,533,729,528,403,562,357,182,3298,636,902,633,392,490,285,168,3508,1443,1944,1488,1127,1736,1250,581,9574,25,27,8,4,3,3,8,74,5131,7685,5054,3392,4619,3136,1682,30697,122,406,315,243,400,262,164,1918,34,68,72,63,65,48,40,395,32,67,65,60,109,63,35,430,83,144,148,163,221,149,66,982,7,15,9,4,3,0,6,35,274,701,609,529,798,527,315,3755,5406,8377,5660,3921,5417,3662,1998,34446
LGA14550,10,9,5,7,10,0,0,45,13,20,11,16,10,0,0,71,30,23,14,11,13,8,0,95,208,231,190,110,126,35,8,900,0,5,0,0,0,0,0,8,262,303,215,137,156,41,3,1116,0,0,3,0,0,0,0,6,0,3,7,0,8,0,0,22,5,12,10,4,0,0,0,35,89,99,91,52,54,5,4,390,4,0,8,0,4,0,0,20,107,117,116,64,70,5,4,482,362,422,329,204,226,46,12,1592
LGA14600,19,21,0,3,0,0,0,49,4,0,3,0,0,0,0,10,8,13,6,4,5,0,0,37,255,276,168,65,81,9,0,857,0,0,0,0,0,0,0,5,288,307,181,70,88,15,3,949,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,13,0,0,3,0,3,0,0,8,52,82,56,37,28,0,0,255,0,3,0,0,0,0,0,6,58,96,59,43,32,0,0,278,344,400,237,114,120,9,3,1235
LGA14650,696,680,411,231,319,152,70,2566,625,719,432,283,337,116,50,2562,748,700,400,254,277,116,62,2561,7539,7909,4432,2948,3515,1283,614,28240,32,37,16,9,9,0,0,108,9633,10047,5696,3726,4455,1663,794,36026,21,59,59,44,61,33,13,292,147,188,142,118,113,44,20,763,48,111,98,71,85,27,21,458,1474,2247,1556,1121,1217,367,165,8152,49,53,24,20,16,0,0,173,1744,2660,1876,1379,1499,471,221,9838,11378,12712,7575,5103,5952,2138,1015,45864
LGA14700,896,908,367,215,263,172,100,2921,265,269,142,97,144,69,53,1035,283,300,148,113,157,69,33,1094,705,669,424,342,447,292,136,3012,0,0,0,0,0,0,0,6,2151,2142,1082,763,1013,602,318,8068,25,98,48,34,50,50,27,338,20,40,27,20,21,21,12,142,22,36,24,16,14,10,8,129,43,71,62,51,74,54,21,377,8,8,6,0,3,0,0,18,117,258,160,121,163,131,66,1013,2265,2401,1244,888,1172,729,381,9074
LGA14750,69,60,38,24,25,4,3,225,20,13,14,9,4,0,0,72,36,16,10,5,3,4,0,79,360,443,227,143,198,29,10,1412,7,0,0,0,4,0,0,8,498,538,290,183,244,41,12,1804,0,6,3,0,4,0,0,20,0,6,8,3,0,0,0,22,0,4,3,0,4,0,0,9,117,151,104,63,62,6,0,507,3,3,0,0,0,0,0,11,125,170,117,71,77,7,0,568,629,706,405,253,314,54,12,2369
LGA14850,84,108,62,35,37,11,8,339,129,107,78,65,71,12,6,471,110,134,72,52,51,12,3,428,1190,1360,897,576,677,164,48,4906,6,11,3,3,0,0,0,35,1518,1726,1117,730,838,198,59,6179,11,19,11,10,24,5,3,78,28,48,36,33,49,16,3,214,18,34,36,20,28,0,4,143,334,469,341,277,318,59,17,1810,19,14,19,8,3,0,0,65,402,589,442,354,418,78,25,2310,1922,2311,1555,1077,1251,278,85,8486
LGA14870,33,35,22,10,23,12,3,137,22,29,30,20,18,10,0,127,31,28,24,9,15,3,4,118,596,673,413,289,298,75,28,2379,0,6,3,4,0,0,0,17,690,779,490,336,355,97,27,2771,0,10,8,0,13,0,0,32,3,14,3,14,8,5,0,49,6,10,7,4,6,0,0,34,160,262,162,130,117,15,8,857,11,11,4,8,3,0,0,36,187,309,189,153,144,23,5,1015,880,1082,675,488,505,120,34,3783
LGA14900,6749,7664,4538,3055,4004,2693,1634,30333,1571,1431,765,527,636,313,164,5405,1247,1090,579,358,402,174,93,3936,3813,3305,1830,1140,1459,638,286,12472,85,108,56,27,19,14,9,322,13461,13595,7763,5109,6519,3838,2185,52476,661,1133,863,688,918,560,379,5202,313,446,272,175,206,86,41,1544,174,242,160,99,137,56,24,887,912,1004,597,407,473,167,74,3636,103,132,55,43,25,14,9,386,2161,2959,1940,1420,1761,885,532,11650,15626,16554,9707,6529,8279,4720,2719,64128
LGA14920,14,9,4,0,0,0,0,27,6,12,4,0,3,0,0,26,17,15,5,0,3,0,0,43,227,254,149,117,134,26,8,914,0,0,7,0,0,0,0,3,256,286,170,119,141,25,9,1016,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,10,0,0,5,0,4,0,0,11,80,113,78,52,32,8,0,357,5,0,8,0,0,0,0,14,82,114,91,55,36,8,0,387,342,403,261,175,184,37,12,1407
LGA14950,4,0,4,4,0,0,0,13,3,5,0,0,0,0,0,11,5,10,5,3,0,5,0,21,139,166,114,60,57,17,7,550,0,0,0,0,0,0,0,0,153,183,117,67,59,19,7,599,3,0,0,0,0,0,0,4,0,5,0,0,3,0,0,6,0,0,0,0,0,0,0,0,27,29,13,14,17,3,0,114,0,3,0,0,0,0,0,7,31,39,15,14,21,3,0,128,186,219,135,83,77,24,10,723
LGA15050,415,439,211,122,162,75,42,1469,267,284,143,108,120,28,16,967,254,250,126,103,92,42,12,879,3941,3717,2257,1481,1587,490,242,13716,16,16,13,8,0,0,0,61,4897,4709,2741,1817,1964,638,311,17086,26,31,17,17,40,12,3,149,51,89,50,33,54,18,7,301,35,57,34,32,31,10,3,197,892,1268,801,537,589,132,61,4288,16,18,10,8,12,0,0,74,1018,1474,914,629,718,173,77,5010,5914,6180,3658,2452,2684,811,394,22094
LGA15240,149,139,97,50,63,15,4,516,139,155,104,70,76,18,0,556,119,168,106,77,73,12,5,561,2187,2499,1706,1144,1268,228,62,9086,14,30,14,10,8,0,0,84,2613,2984,2026,1351,1483,278,72,10803,15,18,19,12,14,3,0,80,58,68,53,35,33,13,0,262,12,33,42,14,31,5,4,146,801,1132,751,576,538,98,20,3916,50,61,42,30,12,3,0,202,941,1308,909,671,634,120,27,4605,3554,4289,2934,2020,2111,396,97,15408
LGA15270,36,43,19,4,20,7,0,136,46,45,35,21,30,6,0,186,60,54,29,19,26,0,0,189,1033,1151,653,436,451,79,9,3816,0,3,7,0,0,0,0,22,1179,1298,743,489,518,93,15,4340,0,0,0,0,0,0,0,9,11,12,11,9,9,0,0,47,0,11,4,7,6,3,0,35,203,311,191,122,109,16,8,957,7,5,8,7,0,0,0,30,225,353,214,143,121,23,8,1083,1398,1654,958,627,643,113,20,5418
LGA15300,20,23,16,6,4,0,0,79,16,12,3,4,4,0,0,39,20,31,14,0,5,0,0,75,420,458,240,133,132,29,18,1433,3,7,0,0,0,0,0,15,480,531,279,148,141,31,20,1633,6,0,5,0,0,0,0,8,4,5,3,0,0,0,0,16,0,6,5,0,0,0,0,8,149,158,117,75,52,5,0,558,14,9,7,8,0,0,0,42,172,177,134,90,52,5,0,631,652,706,413,239,199,42,20,2267
LGA15350,335,394,287,180,232,137,54,1621,135,175,145,76,118,72,33,748,190,200,112,93,91,59,28,774,442,487,348,253,338,213,126,2204,3,8,0,0,0,0,0,18,1105,1265,887,604,783,481,241,5364,13,59,41,22,48,31,22,231,11,37,23,19,23,21,10,137,6,18,19,20,16,10,6,94,20,47,58,43,66,33,16,288,3,9,0,0,0,0,0,12,54,164,135,108,145,96,54,756,1153,1427,1022,713,937,575,296,6119
LGA15520,31,23,12,5,3,3,0,82,11,12,6,0,8,0,0,46,10,16,8,9,7,0,0,57,484,514,319,202,239,63,20,1835,0,0,3,0,0,0,0,5,535,564,349,219,255,75,19,2025,0,0,0,0,0,0,0,3,0,0,6,0,6,0,0,15,6,0,0,3,0,0,0,4,69,87,83,55,58,3,0,365,0,0,0,0,0,0,0,4,78,94,91,63,67,3,0,399,615,656,440,281,318,81,21,2425
LGA15560,13,5,5,0,4,0,0,26,0,6,0,0,0,0,0,8,4,4,4,0,0,0,0,16,119,107,67,41,46,8,3,392,0,0,0,0,0,0,0,0,142,122,75,41,57,8,3,442,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,18,33,23,21,12,0,0,112,3,0,0,0,0,0,0,4,25,38,21,20,16,6,0,123,165,156,97,64,67,7,6,563
LGA15650,51,72,43,26,24,5,0,230,31,29,21,11,8,0,0,109,33,33,24,13,16,0,0,129,612,687,367,257,302,51,13,2284,3,3,5,6,3,0,0,17,740,828,469,311,357,59,8,2772,4,0,5,0,4,0,0,9,11,11,9,5,6,0,0,38,4,6,4,0,0,0,0,18,191,278,157,118,114,9,3,875,4,12,11,7,5,0,0,38,202,308,175,137,133,12,3,975,941,1139,641,447,491,70,18,3748
LGA15700,42,11,15,7,11,6,0,86,28,36,24,20,22,7,0,139,39,40,34,18,20,5,0,162,544,546,346,270,283,57,16,2052,6,7,0,0,0,0,0,11,652,632,418,325,339,71,15,2455,0,13,6,3,4,0,0,33,15,20,12,15,15,0,0,76,3,7,6,3,13,3,0,40,195,250,157,129,124,29,3,887,16,11,8,8,7,0,0,54,231,304,186,161,168,31,4,1082,892,933,607,483,505,99,24,3539
LGA15750,16,17,9,0,5,0,0,43,10,14,10,9,7,0,0,39,16,26,12,6,4,0,0,74,522,515,360,195,213,39,10,1856,0,0,3,0,0,0,0,8,560,575,393,210,227,46,9,2030,0,5,0,0,0,0,0,7,3,10,3,0,3,0,0,23,0,4,0,0,3,0,0,7,109,154,97,74,71,6,0,510,11,9,4,0,4,0,0,30,124,178,109,77,78,6,0,576,691,753,501,290,311,48,9,2608
LGA15800,10,9,9,3,5,0,0,39,0,7,5,4,6,0,0,16,11,16,4,3,6,0,0,44,180,214,141,87,94,13,3,730,0,0,0,0,0,0,0,4,205,248,160,93,102,15,3,832,0,6,0,0,4,0,0,11,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,79,100,57,39,43,4,0,312,3,4,0,0,0,0,0,5,85,103,58,47,42,7,0,342,289,354,217,139,145,21,3,1171
LGA15850,0,12,3,6,0,3,0,20,8,10,3,0,5,0,0,23,24,10,7,5,0,0,0,43,243,245,165,94,96,25,8,865,5,3,0,0,0,0,0,9,271,275,170,104,105,29,5,958,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,69,99,73,49,48,4,0,346,3,0,3,0,0,0,0,7,75,99,81,51,49,4,0,360,342,377,254,152,156,29,9,1318
LGA15900,976,1048,568,315,396,197,98,3606,581,570,310,210,281,118,35,2113,601,662,356,195,231,89,41,2170,5069,4828,2876,1789,2315,983,438,18301,18,17,8,10,3,0,0,55,7249,7122,4122,2517,3228,1382,617,26237,75,102,93,57,86,39,32,497,97,167,115,81,130,36,28,656,43,86,72,53,72,28,7,365,822,1293,898,698,808,267,150,4931,26,29,13,11,6,7,0,90,1069,1670,1196,901,1107,376,219,6536,8317,8793,5318,3423,4331,1762,838,32778
LGA15950,1117,972,403,227,290,174,94,3280,417,312,157,99,118,67,35,1213,472,342,179,94,134,77,35,1335,1036,646,352,224,294,197,81,2837,10,15,6,0,0,0,0,35,3060,2288,1105,647,839,518,248,8693,47,140,91,52,101,83,42,557,30,70,45,39,44,36,29,290,26,63,44,33,34,32,22,262,60,122,109,71,119,67,43,585,17,16,3,3,0,5,0,42,182,413,288,198,294,225,141,1739,3241,2702,1392,844,1131,742,385,10436
LGA15990,3205,3793,2397,1523,1834,1067,540,14349,1765,2003,1303,907,1153,524,258,7907,1887,2124,1322,841,1032,470,229,7904,5914,6199,4070,2822,3699,1998,896,25607,39,36,10,10,11,3,4,116,12805,14160,9098,6098,7733,4054,1932,55888,126,234,254,244,309,152,113,1433,148,281,246,199,264,105,63,1305,106,220,186,151,194,81,60,1000,335,639,554,476,685,384,206,3280,32,27,10,8,3,4,4,92,748,1402,1252,1075,1459,733,441,7111,13561,15564,10349,7182,9194,4785,2376,62996
LGA16100,22,16,6,7,4,0,0,52,4,3,4,3,9,0,0,28,5,7,6,3,0,0,0,27,169,191,110,86,69,13,5,648,0,5,3,0,0,0,0,10,198,220,132,99,79,19,8,760,0,0,3,3,0,0,0,7,3,0,3,0,0,0,0,9,0,5,5,0,0,0,0,12,42,42,37,25,30,5,0,175,0,0,0,3,0,0,0,6,45,48,50,32,31,7,0,211,242,271,182,134,110,26,8,970
LGA16150,275,224,102,78,82,23,13,792,105,117,73,54,52,7,7,415,121,110,61,45,47,6,6,391,1838,1813,1054,680,718,152,37,6293,4,11,3,4,0,0,0,35,2343,2280,1284,855,903,193,53,7915,6,17,10,3,7,0,0,53,32,41,39,24,25,4,0,169,14,10,21,13,15,3,3,82,415,573,377,254,281,38,9,1949,10,24,12,10,3,4,0,59,480,663,461,302,335,55,11,2315,2826,2942,1750,1160,1237,244,63,10228
LGA16200,22,27,16,17,17,5,0,98,14,23,10,13,8,0,0,70,28,22,18,13,14,7,0,94,575,539,341,238,247,44,8,1996,3,4,3,6,0,0,0,16,644,616,394,277,289,48,9,2281,3,0,0,3,4,0,0,13,7,12,3,7,3,0,0,30,0,3,3,3,10,0,0,20,180,235,159,116,100,10,4,802,5,4,0,3,3,0,0,12,187,255,170,133,119,10,4,878,830,869,563,406,406,63,13,3155
LGA16260,9542,9883,4747,2458,2940,2113,1381,33070,886,792,443,293,408,205,89,3114,1108,933,488,305,320,179,77,3412,2701,2434,1453,982,1282,689,354,9895,51,59,21,5,5,4,0,157,14291,14108,7151,4046,4961,3190,1904,49649,477,943,598,486,666,545,394,4115,119,220,116,89,110,61,29,748,87,166,101,86,87,55,32,616,312,443,311,254,345,164,87,1920,53,50,32,21,15,5,3,174,1053,1824,1160,933,1224,832,552,7574,15345,15935,8314,4976,6181,4020,2454,57224
LGA16350,3154,3380,1779,1082,1391,841,457,12080,1005,910,553,391,428,176,77,3534,852,783,457,294,337,155,58,2928,7098,6296,3592,2320,2695,941,394,23347,56,51,25,20,3,3,0,152,12161,11425,6393,4111,4850,2119,988,42049,246,339,238,178,242,137,90,1470,298,316,206,178,166,74,38,1267,100,189,155,96,107,39,19,702,1825,2222,1402,870,1037,298,114,7772,76,93,52,26,10,4,3,268,2540,3158,2053,1348,1565,549,263,11476,14703,14583,8447,5451,6415,2667,1253,53518
LGA16380,188,247,133,99,133,21,13,838,225,256,183,103,145,31,13,963,249,259,175,104,117,25,7,949,2189,2612,1710,1147,1426,313,116,9523,10,5,10,12,8,0,0,42,2864,3388,2215,1463,1829,402,151,12308,20,17,15,19,28,8,9,108,53,80,52,53,50,8,6,303,26,49,26,24,40,7,4,174,613,825,651,467,522,100,33,3210,23,33,14,11,3,0,0,96,739,1000,756,579,645,125,40,3889,3601,4391,2972,2044,2473,525,193,16201
LGA16400,166,179,125,84,93,41,10,694,167,198,122,97,100,31,20,739,221,212,120,78,107,30,16,777,2254,2567,1605,1102,1243,341,161,9267,10,11,3,7,5,0,0,35,2813,3162,1972,1365,1541,440,208,11504,12,29,18,17,15,9,7,109,43,66,53,42,37,9,3,261,12,29,29,29,33,11,0,144,557,842,564,461,447,85,35,2998,15,19,15,11,10,0,0,75,637,985,687,565,549,115,47,3580,3452,4147,2661,1931,2092,557,249,15087
LGA16490,578,503,226,150,181,96,24,1760,284,228,159,90,112,58,23,955,321,279,145,97,123,56,20,1043,2370,2239,1377,860,1090,344,142,8429,10,15,5,7,8,0,0,40,3557,3269,1915,1207,1515,555,213,12227,24,33,43,12,30,9,6,153,44,68,36,30,45,4,5,229,16,38,23,32,21,5,3,149,306,438,297,196,224,76,37,1585,16,14,7,12,0,0,0,45,413,598,412,280,323,94,45,2167,3964,3868,2333,1485,1837,650,260,14396
LGA16550,2182,1989,1067,641,825,532,333,7574,793,755,498,297,375,186,94,2998,861,860,480,299,359,171,92,3107,2114,2071,1289,829,1135,654,321,8408,16,20,7,3,3,0,0,56,5965,5693,3341,2063,2691,1546,831,22136,109,186,156,125,180,132,94,979,77,162,121,94,117,57,27,650,50,123,85,50,75,35,26,449,209,334,254,193,272,153,73,1480,30,26,10,8,12,3,3,94,476,822,622,475,651,383,224,3645,6434,6515,3965,2535,3345,1932,1053,25782
LGA16610,10,18,14,8,13,3,0,72,21,28,22,12,17,0,0,105,34,40,32,15,15,3,0,138,709,855,538,370,374,70,24,2935,5,6,5,3,0,0,0,21,780,959,609,410,423,76,24,3276,0,3,3,7,0,0,0,17,12,16,10,11,9,4,0,59,0,5,10,3,0,0,0,21,246,314,243,136,158,19,7,1115,7,9,0,5,0,0,0,27,273,337,270,155,166,25,7,1241,1052,1294,879,566,588,101,35,4511
LGA16700,3694,3692,1564,891,1013,849,544,12243,554,488,281,201,279,160,69,2028,686,630,353,197,239,128,66,2297,1554,1511,950,665,975,562,265,6478,24,32,13,5,4,3,0,86,6513,6351,3161,1961,2503,1693,945,23131,198,389,232,166,288,209,174,1659,57,80,59,37,70,31,20,354,52,82,56,43,52,32,7,334,114,193,156,129,148,74,53,864,18,6,7,6,5,0,3,49,443,759,518,380,568,347,251,3258,6952,7100,3676,2344,3073,2042,1198,26391
LGA16900,214,271,176,108,123,76,39,1011,221,246,207,135,161,71,27,1068,267,266,139,101,124,57,23,981,2867,2759,1622,1079,1286,378,169,10161,19,14,10,0,0,0,0,46,3584,3556,2160,1425,1694,585,258,13267,9,26,20,17,27,18,13,118,59,89,63,53,64,23,12,359,16,44,44,30,37,20,9,198,657,821,599,413,437,104,44,3074,29,25,12,11,11,0,4,94,768,1012,739,517,574,167,77,3854,4355,4570,2893,1944,2274,746,337,17117
LGA16950,252,262,128,85,122,39,13,901,198,232,166,118,132,38,11,890,292,310,173,116,139,33,12,1076,3261,3189,1885,1277,1493,327,95,11528,17,21,11,10,5,0,4,61,4020,4019,2365,1601,1889,429,134,14455,11,25,22,20,25,11,0,118,54,77,79,38,73,13,8,341,20,51,34,23,38,5,8,185,837,1137,764,575,565,110,30,4014,32,37,15,14,0,0,0,108,955,1322,914,672,700,145,44,4753,4974,5342,3277,2274,2589,572,176,19208
