LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10050,19,131,1882,8344,6231,877,159,218,17855,11,418,2372,516,36,4,6,84,3447,0,126,180,96,13,3,0,8,431,9,544,2552,614,46,8,6,94,3878,0,87,98,21,0,0,0,8,219,4,8,64,0,0,0,0,0,69,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,96,184,27,4,0,0,12,325,12,17,23,16,3,0,0,5,74,0,0,3,12,7,0,0,18,49,39,783,4646,9011,6297,885,164,348,22182
LGA10180,23,147,931,4044,2845,694,182,108,8967,6,140,573,177,14,5,0,28,943,0,31,78,46,10,0,0,6,161,6,165,655,216,21,3,0,32,1108,8,133,216,44,5,0,3,6,416,0,7,35,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,145,250,54,5,5,3,7,468,3,8,16,6,4,0,0,21,55,0,6,6,7,8,0,0,10,33,39,472,1860,4324,2880,703,181,170,10636
LGA10250,38,210,1395,5511,4641,947,202,180,13126,3,106,1021,953,99,10,3,51,2245,3,113,567,717,90,9,7,22,1530,8,226,1592,1671,189,19,4,67,3776,4,77,379,147,12,3,0,12,629,0,4,102,46,0,0,0,3,156,0,10,25,37,0,0,0,0,67,0,0,12,3,0,0,0,0,19,3,19,7,4,3,0,0,0,47,5,108,519,246,14,6,3,12,921,18,105,177,51,6,0,0,40,397,6,30,10,11,8,0,0,8,64,72,672,3702,7482,4853,974,213,311,18281
LGA10300,0,16,70,327,199,28,9,16,660,0,9,12,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,25,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,3,0,0,0,0,0,0,10,0,0,5,6,8,5,0,3,26,5,23,102,333,208,32,8,14,733
LGA10470,24,141,1008,5237,5490,1188,282,165,13526,0,134,661,373,52,5,3,24,1257,6,93,97,126,34,0,0,13,366,3,231,750,499,89,9,3,44,1633,20,142,417,72,10,0,4,20,677,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,0,5,19,20,150,421,77,9,0,4,17,699,0,13,12,10,0,4,0,7,41,0,10,5,9,11,0,5,4,39,50,537,2200,5822,5602,1195,294,236,15942
LGA10500,46,211,2453,10109,6373,2276,609,292,22373,20,182,1972,2067,221,34,9,53,4552,3,184,517,1887,679,83,11,45,3418,28,363,2489,3950,902,120,18,101,7970,83,588,1904,365,40,16,11,55,3059,56,609,4701,999,27,0,4,123,6516,58,2251,9087,1692,59,3,3,214,13367,39,2393,6298,1728,72,3,0,144,10682,4,49,92,53,24,12,7,9,255,237,5889,22089,4838,229,32,26,534,33875,11,117,198,91,21,8,4,15,462,3,30,66,20,14,0,3,23,157,324,6617,27293,19008,7533,2430,661,959,64833
LGA10550,107,421,1730,5732,3364,628,164,196,12340,4,92,436,193,18,0,0,22,766,0,37,231,208,27,0,0,9,504,4,120,672,397,43,3,0,29,1267,12,76,405,119,10,0,0,17,638,0,3,26,11,0,0,0,0,37,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,3,3,0,0,19,12,81,438,130,7,0,0,18,700,27,87,89,26,7,0,0,7,241,0,10,16,24,11,0,0,7,73,152,727,2948,6311,3440,642,169,248,14630
LGA10600,36,196,745,2171,1207,226,71,65,4721,0,23,69,35,5,3,0,3,150,0,0,25,19,0,0,0,0,46,4,23,92,47,12,3,4,7,198,0,24,105,11,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,11,0,25,105,14,5,3,0,0,157,13,35,15,11,7,0,0,10,87,0,0,4,4,0,0,0,0,22,51,293,973,2256,1229,238,71,82,5185
LGA10650,10,59,355,1543,855,117,27,78,3041,0,24,166,39,0,0,0,6,239,0,0,0,0,0,0,0,0,0,0,24,166,39,0,0,0,6,239,3,0,13,10,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,10,3,0,0,0,34,6,7,8,5,5,0,0,0,24,0,6,9,8,3,0,0,6,30,20,99,547,1605,868,121,27,97,3373
LGA10750,125,844,5439,38481,40288,9968,1853,1394,98390,25,279,1064,2112,546,68,15,82,4189,28,428,1395,5719,2325,193,36,169,10286,59,704,2457,7832,2865,254,51,250,14480,126,527,206,184,24,0,0,49,1118,0,50,376,47,0,0,0,16,486,36,490,4356,637,16,3,0,90,5624,0,16,144,49,3,0,0,7,224,12,48,343,153,69,32,16,30,705,168,1130,5426,1066,118,34,21,198,8158,0,10,30,30,18,6,0,0,98,4,24,46,43,62,16,0,17,213,363,2711,13399,47456,43354,10276,1921,1857,121337
