LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA10050,1626,8453,8061,2444,1241,21830,353,22182
LGA10180,774,4140,3676,1239,629,10457,181,10636
LGA10250,878,6659,7041,2203,1191,17968,306,18281
LGA10300,42,229,265,109,72,716,18,733
LGA10470,925,5381,5866,2186,1361,15722,221,15942
LGA10500,9392,29979,17491,4562,2291,63711,1118,64833
LGA10550,588,5258,5698,1900,935,14386,249,14630
LGA10600,180,1901,1991,666,365,5111,75,5185
LGA10650,122,1181,1263,457,252,3272,97,3373
LGA10750,8045,43133,46060,14648,7523,119420,1918,121337
LGA10800,89,663,770,351,220,2098,55,2151
LGA10850,77,789,1059,496,302,2725,41,2763
LGA10900,1786,11315,11405,3669,2052,30231,302,30528
LGA10950,48,278,310,147,95,883,41,923
LGA11150,74,257,231,100,64,724,49,774
LGA11200,88,165,108,38,35,436,35,473
LGA11250,700,3068,2366,718,297,7148,161,7308
LGA11300,3302,6033,3184,875,449,13834,304,14137
LGA11350,418,4425,4990,1740,1026,12603,272,12875
LGA11400,116,1173,1993,900,651,4836,82,4913
LGA11450,843,9286,16894,5933,3865,36818,355,37171
LGA11500,4395,21338,20515,6671,3566,56471,900,57368
LGA11520,3547,15664,11034,2620,1250,34115,394,34512
LGA11570,13355,45613,36390,12281,7054,114695,2336,117031
LGA11600,53,254,361,155,112,938,26,965
LGA11650,8428,49354,47282,15539,9222,129832,1884,131713
LGA11700,88,224,137,58,50,566,27,591
LGA11720,990,7155,8473,3407,2214,22247,313,22556
LGA11730,994,7767,7739,2651,1347,20498,434,20932
LGA11750,93,488,500,187,106,1372,35,1409
LGA11800,1590,11034,11016,3611,2005,29251,520,29774
LGA12000,61,482,592,298,186,1618,33,1649
LGA12150,106,456,410,170,112,1262,47,1303
LGA12160,310,1597,1565,577,352,4402,90,4490
LGA12350,308,1787,1806,690,384,4978,109,5081
LGA12380,8904,29161,21135,6748,3911,69859,1808,71666
LGA12390,1038,6608,7268,2546,1472,18923,348,19279
