LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,182,278,463,3099,3986,7081,0,0,0,244,261,509,75,75,148,5740,6600,12331,11,20,35,143,143,282,79,125,200,29,27,53,376,568,943,12,13,15,53,60,117,266,342,610,653,794,1444,38,48,86,99,110,207,703,1020,1723,513,593,1108,14,20,32,12141,14787,26928,676,595,1268,186,141,328,21,21,35,0,3,3,378,312,685,80,107,189,459,419,877,11241,10788,22030,69,48,117,31,41,77,11346,10874,22224,2084,1890,3974,27087,29007,56093
LGA10180,124,179,308,2392,2758,5147,0,0,0,112,136,248,89,77,162,2279,2656,4930,7,7,18,33,36,67,30,44,72,19,15,42,19,23,45,0,4,6,44,33,79,92,117,207,467,541,1004,32,47,76,73,78,149,291,401,697,254,315,568,15,11,30,6248,7305,13555,218,219,435,194,174,370,15,9,23,8,8,17,45,50,97,296,362,655,350,416,769,5175,5016,10192,62,45,108,16,36,58,5257,5099,10356,1598,1707,3305,14005,15115,29124
LGA10250,183,308,491,3110,3826,6929,0,0,0,230,290,525,0,0,6,4255,4868,9119,5,4,16,56,62,118,121,145,268,25,30,55,53,64,117,7,0,8,49,62,107,197,283,479,673,812,1487,27,44,73,94,128,222,627,847,1476,446,535,977,24,32,52,10007,12031,22036,80,78,156,34,34,66,33,31,64,10,13,25,51,47,96,51,89,144,110,149,265,10048,9550,19604,68,52,124,47,100,152,10168,9709,19871,1649,1683,3336,22271,24019,46296
LGA10300,13,17,33,105,135,239,0,0,0,3,3,8,0,0,0,339,330,666,0,4,4,0,0,0,0,7,9,0,6,5,4,4,5,0,0,0,11,6,12,0,0,0,50,54,101,0,0,0,0,6,6,29,39,61,35,33,69,0,0,0,563,617,1186,9,6,8,8,7,8,0,0,0,0,0,0,4,3,8,0,0,0,4,4,9,348,286,636,0,0,0,0,0,0,348,286,636,162,166,327,1116,1098,2208
LGA10470,131,169,294,3157,3677,6833,0,0,0,215,255,468,89,84,177,5862,6526,12392,14,20,34,78,78,155,57,50,106,17,12,33,31,45,75,8,8,13,60,66,125,137,140,282,704,777,1477,34,46,80,34,50,86,564,707,1266,313,354,666,5,11,14,11379,12902,24288,224,216,438,158,122,283,5,4,9,6,16,22,81,75,161,62,73,137,152,169,323,7394,6716,14115,75,45,121,7,33,40,7480,6795,14270,2324,1332,3658,21857,21705,43567
LGA10500,3292,4477,7766,3941,4386,8329,164,159,321,562,643,1205,3,6,11,18909,20685,39590,50,61,112,10045,10598,20645,136,196,329,112,124,239,89,84,173,885,882,1764,339,375,716,536,681,1219,883,943,1826,64,78,137,69,86,156,666,789,1462,2411,2851,5262,34,34,73,39909,43650,83555,4190,3473,7664,8030,7243,15275,638,631,1273,9,4,13,146,116,263,235,260,492,395,377,766,23892,21617,45506,253,178,429,96,126,216,24235,21921,46153,6633,6091,12729,87327,87860,175184
LGA10550,116,228,345,2724,3161,5885,0,0,0,136,152,293,0,0,0,2592,2852,5443,0,9,12,60,53,113,104,162,266,23,22,45,35,50,89,3,0,3,88,89,184,71,88,158,322,362,679,24,35,58,46,54,100,409,569,981,318,379,698,8,16,24,6967,8061,15029,57,58,116,30,23,56,13,24,32,3,3,11,8,5,13,59,73,134,68,87,154,8619,8228,16846,67,43,118,45,62,103,8732,8338,17065,1636,1494,3136,17628,18307,35942
LGA10600,71,107,174,883,980,1863,0,0,0,34,28,56,0,0,0,699,855,1555,0,0,6,13,6,20,3,20,22,3,4,7,0,12,13,0,0,0,25,17,40,35,39,70,119,139,257,0,8,14,11,13,26,200,264,470,117,159,277,9,12,20,2162,2544,4706,17,11,31,4,7,15,24,12,34,0,0,0,6,3,13,34,67,97,40,69,108,3395,3341,6735,31,22,53,24,56,82,3455,3420,6873,663,658,1310,6423,6827,13253
LGA10650,6,13,22,601,707,1311,0,0,0,12,12,26,0,0,0,998,1043,2040,0,0,0,9,11,17,3,6,13,17,31,48,18,20,34,3,3,10,13,10,18,8,15,21,208,210,422,5,6,16,3,0,3,239,301,540,50,62,116,7,0,3,2196,2445,4644,19,13,25,6,10,17,3,0,3,4,0,3,8,9,13,6,16,25,18,25,39,1536,1409,2947,3,3,7,0,4,3,1543,1415,2961,472,476,948,4261,4402,8665
LGA10750,3456,4132,7591,13393,15582,28971,139,116,252,2236,2519,4754,53,51,105,46846,51183,98026,421,462,886,3072,3225,6302,504,639,1145,1062,1165,2223,155,174,325,2030,2019,4048,1646,1803,3455,3337,3815,7152,2471,2907,5377,163,221,379,925,1088,2022,2464,2852,5314,6563,7081,13640,154,188,347,87620,97096,184719,26268,25534,51801,16159,15606,31759,80,77,151,12,26,40,9799,8333,18134,975,1093,2070,10785,9452,20241,38301,33621,71923,340,285,630,180,243,429,38824,34153,72975,14678,12860,27538,197876,198905,396776
LGA10800,5,12,17,558,659,1223,0,0,0,17,20,34,0,0,0,676,725,1403,3,5,8,0,4,5,9,18,29,3,0,7,46,47,87,0,0,0,6,18,23,6,5,14,153,135,292,12,10,20,0,6,8,148,152,296,94,109,202,0,0,0,1753,1915,3663,10,10,21,3,3,10,0,0,0,0,0,0,0,0,3,3,7,13,8,12,16,679,534,1215,4,5,6,0,0,0,685,537,1221,330,268,595,2790,2758,5547
LGA10850,8,25,32,729,755,1481,0,0,0,63,66,134,0,0,0,882,962,1850,0,0,0,4,7,13,4,5,11,0,0,0,15,11,23,0,0,0,12,14,16,32,42,68,114,139,246,11,14,22,3,6,9,175,197,369,72,73,140,0,4,4,2116,2274,4388,0,5,3,11,9,20,0,3,3,0,0,0,0,0,3,10,24,33,11,22,32,1272,1137,2406,5,5,12,3,0,4,1276,1149,2424,300,286,589,3721,3778,7497
LGA10900,422,657,1089,4837,5749,10583,4,6,7,780,881,1663,136,140,269,6159,7302,13458,32,33,60,295,286,582,120,163,282,67,83,146,109,122,231,21,16,34,112,140,250,373,402,783,789,943,1731,60,78,141,44,80,121,742,1005,1751,1061,1203,2273,39,55,96,15775,18689,34467,146,130,279,112,127,242,86,92,180,8,12,23,25,24,47,209,304,513,241,338,576,18595,17746,36340,245,180,423,116,202,317,18951,18126,37079,2122,2088,4213,37865,40258,78121
LGA10950,3,9,13,263,275,540,0,0,0,15,10,21,0,0,0,379,399,773,0,0,0,0,3,3,4,3,3,0,0,0,4,0,6,0,0,0,0,0,7,5,4,10,24,22,47,0,0,0,3,0,5,73,84,155,12,14,25,0,0,0,775,822,1599,12,9,26,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,290,611,0,0,0,0,0,0,322,290,611,119,89,206,1240,1225,2467
