LGA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
LGA10050,3,41,0,42,..,11,0,13,0,13,..,77,3,87,0,87,..,15,0,11,0,11,..,142,12,148,0,147,..,44,6,50,0,50,..,26,0,24,0,24,..,21,4,21,0,21,..,0,0,3,0,3,..,26,7,29,0,31,..,331,53,385,9,400,..,2022,321,2340,35,2379,..,76,18,93,1521,1610,23099,2095,332,2436,1556,27087,25032,..,..,..,..,25032,..,21,0,23,0,23,..,28,8,35,0,35,..,29,0,30,0,30,..,15,3,22,0,25,..,97,22,120,0,122,..,5,0,3,0,3,..,116,30,145,0,147,..,30,0,30,0,30,..,32,4,35,0,35,..,63,0,63,3,61,..,59,14,66,0,66,..,31,7,33,0,33,..,26,3,31,0,31,..,77,5,82,0,82,..,210,175,387,0,387,..,302,32,328,6,335,..,27,4,28,0,28,..,27,0,30,0,30,..,10,0,17
LGA10180,0,30,0,23,..,5,0,6,0,6,..,14,0,17,0,16,..,13,0,13,0,13,..,56,3,62,0,67,..,46,0,46,0,46,..,13,0,13,0,13,..,15,4,16,0,15,..,8,0,8,0,8,..,34,13,47,0,47,..,348,130,483,7,488,..,1240,190,1434,21,1447,..,51,16,62,1296,1356,11198,1290,205,1494,1311,14005,11999,..,..,..,..,11999,..,12,0,12,0,12,..,42,13,56,0,56,..,18,0,18,0,19,..,31,11,42,0,42,..,92,19,111,0,118,..,3,0,3,0,3,..,131,29,160,0,160,..,3,0,3,0,3,..,37,0,37,0,38,..,48,3,45,0,45,..,17,0,17,0,15,..,45,3,49,0,51,..,7,0,7,0,7,..,22,0,20,0,20,..,128,11,134,0,134,..,49,8,57,0,60,..,40,0,40,0,46,..,16,3,17,0,17,..,5,0,5
LGA10250,0,10,0,10,..,6,0,5,0,5,..,10,0,10,0,11,..,3,0,3,0,3,..,30,0,30,0,27,..,65,5,68,0,69,..,5,0,0,0,0,..,36,5,43,0,43,..,3,0,3,0,4,..,12,4,15,0,15,..,170,21,194,6,203,..,858,81,936,22,960,..,49,0,51,1175,1228,20090,909,81,991,1198,22271,21460,..,..,..,..,21460,..,23,0,23,0,23,..,6,0,6,0,6,..,39,0,39,0,39,..,25,9,31,0,31,..,35,0,35,0,35,..,9,0,9,0,9,..,69,12,78,0,78,..,9,0,9,0,9,..,78,0,78,0,79,..,94,4,95,6,97,..,12,0,12,0,12,..,5,0,5,0,5,..,6,0,6,0,6,..,11,0,11,0,11,..,15,0,15,0,15,..,49,3,49,0,49,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3
LGA10300,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,10,0,11,0,11,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,9,3,4,0,4,..,17,6,22,0,22,..,79,36,109,0,113,..,4,0,4,148,147,852,81,36,119,145,1116,843,..,..,..,..,843,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,4,11,0,11,..,0,0,0,0,0,..,6,4,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA10470,0,20,0,27,..,7,0,7,0,7,..,41,0,46,0,46,..,10,0,10,0,10,..,84,3,87,0,86,..,36,3,39,0,41,..,28,0,29,0,29,..,12,12,22,0,22,..,0,0,0,0,0,..,31,4,32,0,32,..,170,24,198,4,202,..,1022,117,1141,17,1154,..,40,4,45,1917,1964,18745,1065,118,1185,1932,21857,19432,..,..,..,..,19432,..,34,0,34,0,34,..,47,3,56,3,59,..,39,0,39,0,36,..,21,16,31,0,31,..,51,6,57,0,57,..,5,0,9,0,9,..,82,19,97,0,97,..,13,0,12,0,12,..,18,0,18,0,18,..,37,0,35,0,35,..,10,0,10,0,10,..,28,0,31,3,35,..,12,0,14,0,14,..,31,5,37,0,37,..,78,8,86,8,90,..,71,11,73,0,77,..,21,0,22,0,22,..,32,4,36,0,40,..,8,0,8
LGA10500,13,461,3,464,..,1735,140,1875,18,1902,..,648,25,677,15,685,..,293,41,332,6,337,..,3128,221,3351,38,3389,..,2131,296,2420,8,2430,..,169,4,174,0,176,..,386,135,526,0,527,..,551,91,641,3,645,..,824,134,953,18,975,..,2220,664,2882,81,2958,..,37473,5728,43206,390,43595,..,539,153,694,4926,5620,38115,38009,5887,43898,5311,87327,35845,..,..,..,..,35845,..,40,0,40,0,41,..,4041,653,4694,32,4728,..,31,0,31,0,31,..,2501,937,3437,17,3460,..,5032,1448,6483,39,6513,..,252,80,333,3,337,..,7791,2469,10251,60,10314,..,341,55,391,0,394,..,297,20,314,3,320,..,131,0,131,0,130,..,4480,1029,5509,26,5532,..,1156,160,1319,12,1335,..,84,8,93,0,93,..,693,34,724,7,723,..,1889,136,2021,18,2037,..,98,5,103,0,103,..,90,11,92,0,92,..,174,15,190,3,193,..,147,0,148
LGA10550,0,7,0,12,..,4,0,4,0,4,..,12,0,13,0,13,..,0,0,0,0,5,..,25,0,25,0,26,..,41,0,40,0,40,..,0,0,0,0,0,..,20,0,20,0,25,..,5,0,4,0,4,..,7,0,15,0,15,..,75,8,86,0,89,..,468,41,514,10,520,..,38,0,41,1188,1226,15883,509,45,550,1192,17628,16448,..,..,..,..,16448,..,13,0,13,0,13,..,4,0,3,0,3,..,15,0,15,0,15,..,12,4,16,0,16,..,20,8,34,0,34,..,0,0,0,0,0,..,41,16,52,0,52,..,10,0,10,0,10,..,35,0,39,0,39,..,75,0,74,0,76,..,16,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,14,0,14,0,14,..,19,3,22,0,25,..,7,0,7,0,7,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0
LGA10600,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,19,0,21,0,21,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,55,6,66,5,65,..,183,21,202,5,204,..,18,3,17,483,497,5726,199,19,214,482,6423,6043,..,..,..,..,6043,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,6,..,9,3,7,0,7,..,0,0,0,0,0,..,11,4,15,0,15,..,4,0,4,0,4,..,13,0,13,0,13,..,53,0,54,0,58,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA10650,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,27,0,24,..,107,11,124,0,123,..,12,0,10,406,416,3722,125,14,138,401,4261,3837,..,..,..,..,3837,..,0,0,0,0,0,..,7,0,7,0,8,..,8,0,8,0,8,..,0,5,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,5,10,16,0,16,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
LGA10750,93,3469,26,3495,..,758,62,816,12,831,..,6462,209,6671,36,6711,..,421,30,452,0,454,..,11015,394,11410,78,11492,..,1263,168,1432,3,1434,..,3796,286,4078,48,4131,..,181,51,236,3,240,..,1033,219,1249,9,1259,..,502,140,647,6,656,..,10572,1644,12222,285,12507,..,80417,8690,89114,943,90057,..,1172,249,1424,11436,12862,94962,81598,8938,90536,12378,197876,93829,..,..,..,..,93829,..,247,6,250,0,250,..,4803,1030,5827,43,5874,..,87,0,88,0,88,..,1362,676,2036,4,2044,..,2500,1269,3772,30,3796,..,144,46,186,3,195,..,4005,1987,5995,39,6033,..,611,99,710,9,713,..,337,19,363,6,364,..,199,12,211,0,214,..,847,178,1028,0,1027,..,2059,176,2236,21,2253,..,4118,457,4575,46,4620,..,8234,517,8757,55,8808,..,1949,252,2200,23,2223,..,8438,946,9388,84,9477,..,1357,76,1430,3,1433,..,3664,452,4114,57,4172,..,1502,94,1597
