LGA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
LGA10050,0,0,0,0,0,0,0,0,0,10,3,3,6,40,23,15,5,0,0,92,0,0,0,0,4,7,4,5,4,28,0,0,0,0,0,0,0,0,0,4,0,9,25,70,55,133,119,97,38,547,0,0,0,10,3,9,0,0,0,24,0,0,5,0,3,0,0,0,0,9,0,0,0,10,6,17,46,44,11,134,0,0,0,0,0,0,4,15,4,23,0,0,0,3,0,0,5,0,0,18,6,19,29,333,19,19,14,6,4,450,0,0,0,15,8,0,0,0,0,28,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,5,0,5,0,21,0,4,0,0,0,0,13,10,11,33,0,0,0,9,0,0,0,0,0,11,0,0,4,19,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,10,0,0,0,12,8,3,0,0,0,32
LGA10180,0,0,0,3,3,0,0,0,0,4,0,8,7,49,15,5,4,0,0,89,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,18,39,29,63,62,53,12,279,0,0,0,8,3,0,0,0,0,10,0,0,5,12,0,0,0,0,0,20,0,3,0,10,6,11,8,3,7,45,0,3,0,0,0,0,0,0,3,5,0,0,0,3,6,7,0,0,0,13,0,15,19,88,8,10,3,6,0,140,0,0,3,6,6,4,0,0,0,21,0,0,0,19,0,0,0,0,0,19,12,94,85,78,26,8,0,0,0,310,0,0,0,3,5,7,0,0,0,12,0,0,0,0,0,3,3,0,0,12,0,6,0,11,5,5,0,0,0,31,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,8,0,0,0,3,3,0,3,0,0,18
LGA10250,0,0,0,13,5,3,7,0,0,24,0,0,4,8,10,8,7,0,0,38,0,0,0,0,0,0,5,3,0,4,0,0,0,5,0,0,0,0,0,6,5,22,30,150,112,162,181,155,66,878,0,0,0,7,0,8,5,5,0,21,0,0,0,27,8,3,5,0,0,46,0,0,0,30,10,14,26,20,5,106,0,0,0,0,0,0,3,0,0,6,0,0,0,7,8,6,0,0,0,21,0,3,4,47,12,7,4,5,5,86,0,0,3,6,5,4,7,0,0,31,0,0,0,5,3,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,6,0,0,31,0,0,4,9,4,3,14,5,0,42,0,0,4,31,9,6,5,3,0,57,0,0,0,9,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,3,13,0,0,38
LGA10300,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,7
LGA10470,0,0,0,6,0,0,4,3,0,8,0,6,0,21,8,8,6,0,0,53,0,0,0,5,0,9,0,4,0,16,0,0,0,3,0,0,5,0,0,10,0,4,20,48,60,97,93,69,29,422,0,0,0,10,10,5,5,3,0,24,0,0,0,7,6,0,0,0,0,12,0,0,0,4,5,7,16,12,4,51,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,16,10,107,8,7,3,0,0,152,0,4,0,3,3,0,3,0,0,22,0,0,0,8,3,0,4,0,0,18,0,0,0,4,0,0,0,0,0,3,0,0,0,10,3,5,14,5,3,42,0,0,0,0,0,0,5,3,7,21,0,0,4,5,11,0,0,0,3,21,0,0,4,10,5,0,0,0,0,16,0,0,0,0,0,0,6,0,0,13,0,0,0,10,16,0,3,0,0,29
LGA10500,0,6,11,101,71,62,96,63,10,429,14,52,741,3107,761,1069,581,222,134,6685,0,0,0,30,25,36,73,87,27,276,0,14,12,111,83,124,220,142,90,793,12,25,53,486,204,179,148,111,51,1269,0,3,15,137,97,104,70,29,11,459,0,8,9,99,26,15,10,4,0,168,0,8,9,64,31,24,22,25,6,193,7,19,24,85,81,212,526,828,320,2108,10,13,90,387,109,174,172,25,12,995,21,75,84,809,111,76,66,34,19,1299,7,28,435,1184,318,193,151,58,15,2382,4,0,3,112,21,23,11,5,7,191,0,14,20,97,59,37,26,12,5,275,6,12,39,604,51,41,23,17,13,803,6,0,17,117,49,66,150,224,173,797,0,3,22,189,89,47,10,9,0,367,3,4,20,218,77,39,17,11,0,387,11,33,51,376,397,405,252,92,32,1634,0,5,45,348,79,103,114,28,12,736
LGA10550,0,0,0,0,3,0,0,4,0,9,0,0,0,12,5,3,0,3,0,28,0,0,0,0,0,5,3,5,0,14,0,0,0,0,0,0,4,0,0,3,3,8,5,43,73,189,255,154,52,780,0,0,0,5,7,0,5,0,0,11,0,0,0,4,4,8,8,0,0,26,0,3,0,15,15,33,53,19,5,145,0,0,0,0,0,4,3,0,0,10,0,4,0,0,0,3,0,4,0,13,0,3,4,24,5,4,4,0,0,46,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,8,6,0,37,0,0,0,0,0,0,6,0,0,11,0,0,0,4,7,5,0,0,0,16,0,0,0,0,6,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,25
LGA10600,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,26,43,76,60,50,19,290,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,14,0,0,0,7,0,19,7,7,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,3,28,34,25,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
LGA10750,0,3,8,67,61,60,81,38,21,346,8,74,113,1494,591,681,385,160,62,3563,0,0,6,51,62,105,129,100,37,479,7,63,106,257,108,164,179,96,27,1004,6,110,108,379,320,476,445,319,121,2298,6,62,200,1479,892,713,420,204,30,4003,0,0,0,25,10,25,12,13,9,89,4,7,17,61,27,44,121,90,65,432,0,3,10,13,20,44,105,111,43,351,4,14,34,157,104,158,88,10,0,573,202,1661,1890,14121,2246,1276,882,272,73,22617,5,21,62,435,232,158,119,30,12,1070,3,43,85,535,156,141,66,25,7,1076,3,81,122,416,186,163,75,23,9,1076,0,18,22,68,32,40,40,31,6,261,0,8,6,49,38,97,178,138,79,590,5,13,15,45,31,17,7,3,0,129,3,33,73,400,272,191,104,47,11,1124,3,20,38,220,188,240,203,48,23,969,5,52,54,282,137,164,161,48,14,924
