LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,3,8,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19499,0,0,0,0,0,4,3,28,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,10,0,0,0,5,4,0,5,5,0,0,0,4,3,0,0,29,0,8,3,3,0,0,0,0,0,0,8,0,4,0,0,31,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,14,0,0,0,0,0,0,10,0,0,0,3,6,0,0,0,21,0,0,7,3,3,3,0,0,4,0,0,0,0,0,0,20,0,0,4,3,6,0,0,9,4,10,12,9,7,3,4,67,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,17,0,9,3,0,5,0,0,4,0,0,3,0,0,5,0,37,0,4,8,22,52,42,17,16,0,0,5,0,0,5,8,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,22,12,116,62,13,0,0,0,0,0,0,0,0,0,0,20,233,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,7,5,0,0,3,4,0,0,0,27,0,0,0,0,0,0,3,11,0,0,7,8,0,0,0,30,3,39,4,9,0,0,5,7,0,0,0,0,0,0,0,80,0,0,6,34,32,26,35,14,0,4,0,3,0,0,12,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,13,4,6,6,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,14,0,25,7,4,0,0,0,0,0,0,0,0,0,0,0,37,0,0,5,9,29,27,36,22,3,0,6,3,8,0,35,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,7,13,0,0,3,0,4,0,3,35
LGA20570,0,0,9,4,4,0,0,72,0,0,0,0,0,3,21,10,6,11,3,0,0,0,0,51,3,10,26,23,26,16,27,25,8,6,3,4,0,0,3,181,8,76,34,14,0,3,4,7,0,3,3,0,0,0,11,173,0,5,3,0,4,14,38,18,0,3,0,0,0,0,3,88,0,0,0,0,11,12,23,15,0,0,0,0,0,0,0,66,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,14,4,0,18,20,37,15,70,45,15,8,8,14,4,0,0,249,0,0,0,0,0,0,20,36,20,42,37,43,10,0,6,212,16,353,36,19,15,10,15,3,0,4,0,0,0,0,17,495,3,18,45,153,185,166,172,115,15,12,27,15,11,9,31,969,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,3,52,56,17,11,19,16,8,0,9,184
LGA20660,37,37,40,25,14,3,9,753,0,0,3,0,0,39,22,18,0,0,3,0,0,0,6,89,0,6,50,46,89,48,95,65,3,11,6,3,0,8,9,439,90,928,630,85,50,27,44,57,6,5,9,4,0,0,80,2014,0,3,0,6,37,49,91,43,5,5,5,9,0,5,3,262,0,0,0,3,21,23,133,54,0,7,5,3,0,0,0,252,5,16,50,117,92,23,19,7,3,0,3,0,0,0,3,353,0,5,44,124,274,130,269,135,47,48,36,20,9,3,11,1159,0,0,0,0,0,10,31,16,20,16,29,38,4,0,7,172,5,98,16,18,10,17,29,13,11,0,5,0,0,0,8,233,9,20,63,135,226,284,351,226,29,26,32,25,7,19,31,1482,0,28,152,86,66,42,21,10,0,5,0,0,0,0,13,427,0,0,0,8,10,20,39,46,6,13,11,17,4,0,3,176
LGA20740,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,24,14,8,13,4,0,0,0,0,0,0,0,106,14,120,63,12,10,0,3,16,4,0,0,0,0,0,18,268,0,0,0,3,3,3,6,6,0,0,4,4,0,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,6,11,5,14,5,3,5,0,0,0,0,0,55,0,0,0,0,0,0,14,10,4,6,3,6,0,0,0,36,4,180,20,14,16,8,5,8,0,0,0,0,0,0,13,275,0,12,57,111,139,101,98,44,11,0,4,0,0,0,32,613,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
LGA20830,5,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,4,19,8,17,5,8,13,0,0,0,3,0,0,0,88,5,91,43,14,3,5,3,3,4,0,3,0,0,0,5,178,0,0,5,0,0,0,12,6,0,3,0,0,6,0,0,30,0,0,0,0,3,0,4,4,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,4,5,0,12,3,4,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,19,241,46,14,41,7,11,9,0,0,0,4,0,0,3,395,6,0,44,87,144,120,143,44,11,8,4,3,0,6,24,651,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,5,11,7,7,0,4,0,0,0,31
LGA20910,0,8,4,6,0,0,9,179,0,0,0,3,0,9,7,5,0,0,0,0,0,0,0,26,6,17,33,39,86,55,161,142,7,22,16,16,8,4,10,621,48,256,174,46,17,20,24,39,5,9,0,4,3,0,29,685,6,0,0,9,16,58,54,34,9,7,15,15,27,6,6,267,0,0,0,3,15,12,42,13,4,9,13,7,0,0,0,116,0,0,15,42,26,11,11,0,0,4,0,0,0,0,4,113,0,8,38,62,117,62,73,37,14,12,11,5,11,0,8,461,0,0,0,0,0,11,7,3,4,0,12,10,6,0,0,47,12,92,22,14,22,30,71,22,4,6,11,13,0,3,11,334,13,21,80,216,297,282,449,209,24,25,27,28,23,7,42,1737,0,5,9,16,9,10,6,0,0,0,3,0,0,0,0,61,0,0,0,8,4,9,0,9,0,0,0,0,0,0,0,45
LGA21010,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,4,0,6,0,0,0,3,4,0,5,37,3,8,5,0,0,0,0,0,0,0,3,0,0,0,9,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,19,4,36,7,11,4,0,3,0,0,0,0,0,0,0,0,64,3,0,13,22,31,24,13,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15
LGA21110,37,45,53,54,11,8,10,817,0,0,0,0,3,14,22,34,0,0,9,0,0,0,0,88,0,30,47,38,84,41,108,76,14,7,3,5,5,0,4,460,80,643,347,61,31,39,51,65,14,9,25,6,5,0,52,1418,5,5,7,24,47,79,93,56,7,19,9,20,13,3,12,398,0,0,0,11,61,107,246,97,17,21,18,29,27,0,10,640,0,13,32,39,14,16,6,5,0,0,0,0,0,0,7,129,11,36,201,541,1029,471,678,330,95,89,82,72,60,10,38,3749,0,0,0,0,0,3,18,30,15,33,36,42,8,0,0,199,17,92,28,24,18,22,42,25,4,10,12,12,4,0,4,311,23,47,139,249,318,415,594,315,52,50,62,56,38,18,39,2413,0,15,35,15,9,17,8,4,0,0,0,0,0,0,0,107,0,0,0,12,32,23,37,78,14,18,33,30,11,0,4,294
LGA21180,7,8,10,3,9,8,12,440,0,0,4,8,11,55,84,96,309,200,120,267,75,3,15,1256,0,10,28,24,22,6,41,30,5,0,4,0,0,0,9,185,57,953,1247,222,75,41,51,69,5,10,9,0,0,0,87,2819,0,0,0,4,11,22,54,12,12,5,5,4,0,0,5,127,0,0,0,3,14,18,49,27,3,8,7,0,0,0,5,145,0,0,72,230,156,98,94,55,14,8,14,14,7,6,31,795,0,0,10,45,205,121,256,226,53,52,93,31,8,3,27,1140,0,0,0,0,4,14,198,130,84,160,197,217,57,3,26,1098,3,100,15,10,10,0,7,0,0,0,0,0,0,0,8,153,0,6,14,105,216,386,734,628,114,82,102,92,29,18,76,2601,3,8,836,1161,370,243,186,81,10,5,19,7,0,4,93,3033,0,0,0,13,52,58,291,859,85,140,139,146,75,33,33,1910
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,13,11,10,11,4,0,0,0,5,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,5,3,9,10,9,0,0,0,0,0,0,0,50,11,61,30,13,0,0,3,0,0,0,0,5,0,0,17,143,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,8,9,12,8,13,0,0,0,0,57,0,0,0,0,0,0,4,10,3,5,9,3,0,0,0,31,10,48,10,3,6,0,3,0,0,0,0,0,0,0,5,94,0,0,29,59,66,73,91,30,5,3,14,3,5,3,15,397,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,10
LGA21450,6,3,0,5,0,0,3,105,0,0,0,0,0,10,11,18,11,4,9,5,0,0,0,66,3,9,22,30,43,11,50,51,13,0,4,0,0,0,9,251,15,130,115,31,5,5,18,24,3,3,0,10,0,0,21,389,0,0,0,3,3,12,26,8,3,0,5,4,0,3,3,75,0,0,0,0,3,4,60,29,0,5,0,7,0,0,0,108,0,0,4,13,13,9,24,11,0,0,0,4,0,0,0,73,0,0,14,8,32,28,103,120,9,19,12,22,7,0,4,376,0,0,0,0,0,5,36,42,9,6,11,4,0,0,0,100,31,328,58,48,55,14,35,6,5,0,0,0,0,0,15,598,10,14,51,172,300,324,449,343,53,59,40,48,9,11,57,1941,0,0,6,8,13,4,4,8,0,0,0,0,0,0,0,37,0,0,0,0,5,29,194,269,47,62,21,33,10,12,6,700
LGA21610,121,150,61,95,12,11,17,1855,0,0,6,9,11,184,286,151,79,37,6,23,13,0,10,814,0,23,111,101,113,27,77,103,9,14,13,3,0,0,14,604,53,441,681,173,69,47,68,54,4,9,5,9,0,0,76,1690,0,0,0,0,13,33,99,26,3,8,3,3,0,0,0,194,0,0,0,3,23,72,429,148,10,25,18,4,3,0,14,745,3,0,55,186,168,145,118,46,15,15,11,3,0,4,25,793,3,0,25,92,328,195,709,388,116,83,71,53,19,5,16,2105,0,0,0,0,0,44,275,167,36,34,51,57,17,0,16,691,42,616,136,67,87,15,32,22,3,0,3,0,0,0,24,1053,9,11,98,396,939,1290,2241,1685,218,252,227,256,102,73,203,8006,4,9,65,109,128,91,77,18,3,8,3,0,4,0,18,532,0,0,3,17,89,268,1013,1550,208,352,294,297,131,86,58,4373
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,9,6,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,8,5,10,5,0,0,0,0,31,0,50,16,4,5,0,0,0,0,0,0,0,0,0,0,77,0,0,12,32,26,17,7,3,0,4,0,0,4,0,8,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA21750,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,8,10,0,0,0,4,0,0,0,37,9,22,15,0,0,0,0,3,0,0,0,0,0,0,4,53,0,0,0,0,0,3,7,8,0,3,0,3,0,0,0,21,3,0,0,0,0,0,5,0,0,0,0,6,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,4,9,8,5,6,0,0,26,0,0,0,0,0,0,3,7,0,0,4,4,0,0,0,26,0,49,6,5,11,3,5,6,3,0,0,0,0,0,5,81,0,0,15,33,42,29,66,27,0,0,5,5,0,0,10,233,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,4,4,0,3,0,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,15,0,50,5,0,5,4,3,0,0,0,0,0,0,5,3,85,0,3,7,18,34,50,105,38,12,0,0,7,8,0,19,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21890,11,11,21,16,0,3,4,422,0,0,0,5,5,74,62,45,4,4,5,0,3,0,0,219,0,10,21,36,76,44,140,87,13,10,15,11,4,0,3,467,133,1999,2060,257,78,64,92,196,47,25,22,19,4,5,229,5220,0,0,0,9,16,72,144,46,17,11,7,5,5,0,5,345,0,0,0,11,20,22,74,42,10,12,5,5,3,0,9,202,0,41,218,339,218,121,83,43,4,12,5,15,11,3,54,1166,0,8,24,67,206,114,213,133,74,58,38,41,16,0,18,1010,0,0,0,0,4,8,111,149,92,159,267,233,52,5,18,1108,0,42,15,13,19,22,32,14,4,5,0,0,3,0,0,174,3,11,46,167,291,398,726,483,68,78,73,78,23,15,38,2488,10,70,345,300,197,85,65,18,3,7,4,5,0,0,37,1153,0,0,0,0,8,25,61,135,31,28,47,38,20,4,10,405
LGA22110,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,9,17,16,7,5,8,0,0,0,0,0,0,0,3,69,8,77,42,7,0,5,3,0,0,0,0,0,0,0,10,157,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,7,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,3,12,12,3,9,13,7,0,0,0,92,0,0,0,0,0,0,0,8,8,5,0,0,0,0,0,21,6,192,36,10,17,3,7,0,0,0,0,0,0,0,15,292,9,15,49,107,101,76,56,29,3,8,7,4,3,0,36,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,28
LGA22170,4,5,8,4,3,0,0,127,0,0,0,6,0,12,16,5,7,0,3,0,0,0,0,46,3,25,57,61,107,36,76,90,13,3,5,0,0,0,14,499,33,172,187,54,23,14,28,37,10,5,4,5,0,0,25,593,0,0,0,0,4,21,43,13,4,0,3,0,3,0,0,93,0,0,0,8,16,11,40,16,15,0,3,0,0,0,0,118,0,3,18,37,30,32,17,7,3,0,0,0,0,3,3,167,0,4,15,50,75,46,101,41,14,16,9,0,4,0,7,375,0,0,0,0,0,0,20,17,3,15,10,5,3,0,3,83,23,303,79,25,35,12,33,15,8,4,0,0,0,0,34,567,7,23,113,316,629,506,728,392,46,43,45,38,12,18,81,2994,0,3,6,16,8,12,8,0,0,4,0,0,0,0,0,58,0,0,12,7,9,13,23,19,3,4,7,0,0,0,0,94
LGA22250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,32,0,0,4,11,14,7,7,6,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA22310,7,5,12,9,4,5,0,243,0,0,5,4,4,16,14,10,0,0,0,0,0,0,0,57,0,12,44,38,82,33,188,206,56,52,80,67,27,3,9,894,46,342,280,65,30,26,60,111,20,15,10,16,4,0,29,1045,0,3,7,34,47,98,201,117,35,22,33,69,29,16,30,733,0,0,0,9,38,78,250,159,32,39,20,32,14,10,7,684,3,11,31,51,25,12,10,3,0,0,0,3,0,0,6,154,0,8,46,119,247,154,337,198,63,62,78,55,26,0,22,1397,0,0,0,0,0,11,45,77,44,86,113,95,22,0,13,508,13,56,19,17,28,15,28,25,8,9,3,3,0,0,0,216,7,18,71,239,343,322,536,318,72,61,76,77,25,32,33,2225,0,0,7,0,19,8,19,6,3,0,0,0,0,0,4,63,0,0,0,7,5,12,24,39,10,13,24,11,5,0,0,148
LGA22410,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,3,0,0,0,0,0,0,0,0,26,3,14,4,4,0,0,0,0,0,0,0,0,5,0,3,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,5,6,11,9,9,0,0,0,0,40,4,60,13,4,10,0,0,4,0,0,0,0,0,0,5,98,0,4,10,49,66,52,59,26,4,3,0,0,0,0,10,286,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22490,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,3,13,3,0,0,0,0,0,0,0,46,0,15,11,0,0,0,3,0,0,0,0,0,0,0,4,42,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,14,4,7,3,7,5,0,0,0,0,0,0,3,120,0,0,12,40,50,46,37,20,7,0,6,0,0,0,10,231,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22620,9,0,4,0,0,0,0,56,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,25,0,13,19,15,21,13,26,16,0,0,0,0,0,0,8,134,9,65,50,8,10,5,3,6,0,3,0,0,0,0,10,169,0,0,0,0,5,0,12,6,0,0,3,6,0,0,0,35,0,0,0,0,7,6,9,17,3,4,12,0,0,0,3,68,0,0,0,0,6,4,6,0,8,0,0,0,0,0,4,24,0,5,15,23,34,19,54,28,18,22,25,26,5,0,7,284,0,0,0,0,0,0,22,25,22,19,13,15,11,0,0,127,15,143,39,15,9,3,5,11,0,0,0,3,0,0,10,261,3,9,51,155,164,144,184,65,5,29,10,10,9,6,41,868,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,29,39,18,4,14,4,0,0,0,116
