SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL10001,0,0,0,0,0,0,0,0
SAL10002,624,34,10,0,0,0,3,673
SAL10003,595,33,9,0,0,0,0,647
SAL10004,118,23,6,0,0,0,5,153
SAL10005,0,0,0,0,0,0,0,4
SAL10006,195,37,11,7,0,0,0,254
SAL10007,173,35,12,0,0,0,3,229
SAL10008,14,0,0,0,0,0,0,16
SAL10009,730,131,64,4,3,0,12,939
SAL10010,241,40,16,0,0,0,3,299
SAL10011,37,0,7,0,0,0,0,41
SAL10012,0,0,0,0,0,0,0,4
SAL10013,3,0,0,0,0,0,0,3
SAL10014,600,37,13,7,0,0,0,660
SAL10015,15,3,3,0,0,0,0,25
SAL10016,581,55,21,0,0,0,3,667
SAL10017,736,55,18,6,0,0,0,815
SAL10018,78,15,3,0,0,0,0,98
SAL10019,9,0,0,0,0,0,0,11
SAL10020,0,0,0,0,0,0,0,0
SAL10021,117,8,4,3,3,0,0,134
SAL10022,228,21,18,8,6,0,3,288
SAL10023,7,4,0,0,0,0,0,16
SAL10024,7,0,0,0,0,0,0,14
SAL10025,1563,213,103,20,3,0,13,1907
SAL10026,508,96,60,14,3,0,9,696
SAL10027,359,59,6,0,0,0,0,426
SAL10028,56,7,5,0,0,0,0,66
SAL10029,18,0,0,0,0,0,0,18
SAL10030,660,51,8,0,0,0,3,724
SAL10031,482,32,9,3,0,0,0,533
SAL10032,6,0,0,0,0,0,0,11
SAL10033,0,0,0,0,0,0,0,0
SAL10034,9,0,0,0,0,0,0,11
SAL10035,10,0,0,0,0,0,0,10
SAL10036,1049,70,19,10,0,0,5,1142
SAL10037,8,0,0,0,0,0,0,9
SAL10038,584,38,11,10,0,0,4,642
SAL10039,4,3,0,0,0,0,0,6
SAL10040,14,0,0,0,0,0,0,19
SAL10041,14,5,0,0,0,0,0,15
SAL10042,6,0,0,0,0,0,0,6
SAL10043,7,0,0,0,0,0,0,7
SAL10044,24,0,0,0,0,0,0,20
SAL10045,52,0,0,0,0,0,0,56
SAL10046,451,59,16,6,0,0,9,546
SAL10047,5,0,0,0,0,0,0,11
SAL10048,3,0,0,0,0,0,0,0
SAL10049,614,80,52,19,7,0,11,779
SAL10050,0,0,0,0,0,0,0,0
SAL10051,0,0,0,0,0,0,0,0
SAL10052,3,5,0,0,0,0,0,5
SAL10053,10,0,0,0,0,0,0,8
SAL10054,3,0,0,0,0,0,0,8
SAL10055,4,0,0,0,0,0,0,10
SAL10056,11,0,0,0,0,0,0,15
SAL10057,0,0,0,0,0,0,0,0
SAL10058,5,0,0,0,0,0,0,9
SAL10059,13,5,0,0,0,0,0,22
SAL10060,32,9,0,0,0,0,0,46
SAL10061,314,50,16,7,0,0,4,401
SAL10062,973,68,18,5,0,0,5,1066
SAL10063,201,15,6,0,0,0,0,218
SAL10064,427,43,27,4,0,0,3,510
SAL10065,4,0,0,0,0,0,0,3
SAL10066,5,0,0,0,0,0,0,6
SAL10067,0,0,0,0,0,0,0,0
SAL10068,9,0,5,0,0,0,0,7
SAL10069,0,0,0,0,0,0,0,0
SAL10070,27,0,0,0,0,0,0,28
SAL10071,14,5,0,0,0,0,0,14
SAL10072,0,0,0,0,0,0,0,0
SAL10073,187,15,5,0,0,0,0,211
SAL10074,119,23,3,0,0,0,3,153
SAL10075,0,0,0,0,0,0,0,0
SAL10076,16,0,0,0,0,0,0,20
SAL10077,27,0,9,0,0,0,0,27
SAL10078,4,0,0,0,0,0,0,4
SAL10079,88,10,7,4,0,0,0,112
SAL10080,9,6,3,0,0,0,0,17
SAL10081,0,0,0,0,0,0,0,0
SAL10082,41,6,3,0,0,0,0,45
SAL10083,0,0,0,0,0,0,0,3
SAL10084,0,0,0,0,0,0,0,0
SAL10085,18,0,0,0,0,0,0,18
SAL10086,1697,192,98,19,4,3,22,2038
SAL10087,1205,83,15,10,0,0,4,1322
SAL10088,0,0,0,0,0,0,0,0
SAL10089,10,0,0,0,0,0,0,11
SAL10090,55,8,0,0,0,0,0,66
SAL10091,1231,78,11,4,0,0,0,1324
SAL10092,6,0,0,0,0,0,0,6
SAL10093,4,0,0,0,0,0,0,4
SAL10094,489,19,10,4,0,0,0,521
SAL10095,15,0,0,0,0,0,0,16
SAL10096,16,3,0,0,0,0,0,30
SAL10097,0,0,0,0,0,0,0,0
SAL10098,335,23,16,9,0,0,0,389
SAL10099,1973,114,21,15,0,0,0,2127
SAL10100,35,6,10,0,0,0,3,48
SAL10101,30,3,5,0,0,0,0,39
SAL10102,190,35,11,4,0,0,4,256
SAL10103,536,90,27,9,5,0,0,661
SAL10104,873,65,8,7,0,0,0,961
SAL10105,3,0,0,0,0,0,0,7
SAL10106,52,7,4,0,0,0,0,62
SAL10107,3971,197,61,54,3,0,16,4300
SAL10108,11,0,4,0,0,0,0,17
SAL10109,350,29,10,3,0,0,4,388
SAL10110,892,62,29,8,0,0,4,999
SAL10111,16,0,0,3,0,0,0,16
SAL10112,1235,138,26,10,0,0,0,1415
SAL10113,4,0,0,0,0,0,0,4
SAL10114,16,4,0,0,0,0,0,21
SAL10115,556,59,13,3,0,0,4,632
SAL10116,0,0,0,0,0,0,0,0
SAL10117,162,15,9,8,0,0,0,191
SAL10118,20,3,0,0,0,0,0,25
SAL10119,44,8,3,0,0,0,4,56
SAL10120,16,0,0,0,0,0,0,22
SAL10121,9,0,0,0,0,0,0,18
SAL10122,0,0,0,0,0,0,0,0
SAL10123,0,0,0,0,0,0,0,0
SAL10124,9,0,0,0,0,0,0,9
SAL10125,3,0,0,0,0,0,0,4
SAL10126,0,0,0,0,0,0,0,0
SAL10127,0,0,0,0,0,0,0,0
SAL10128,0,0,0,0,0,0,0,0
SAL10129,0,0,0,0,0,0,0,0
SAL10130,10,0,0,0,0,0,0,8
SAL10131,17,3,4,0,0,0,0,21
SAL10132,5,0,0,0,0,0,0,5
SAL10133,14,6,0,0,0,0,0,18
SAL10134,0,0,0,0,0,0,0,0
SAL10135,6,0,0,0,0,0,0,5
SAL10136,3,0,0,0,0,0,0,3
SAL10137,5,0,0,0,0,0,0,3
SAL10138,5,0,0,0,0,0,0,7
SAL10139,5,0,0,0,0,0,0,3
SAL10140,6,0,0,0,0,0,0,5
SAL10141,0,0,0,0,0,0,0,0
SAL10142,0,0,0,0,0,0,0,0
SAL10143,6,0,0,0,0,0,0,6
SAL10144,63,7,3,0,0,0,0,77
SAL10145,13,0,0,0,0,0,0,13
SAL10146,91,12,9,0,0,0,0,110
SAL10147,7,0,0,0,0,0,0,7
SAL10148,33,5,0,0,0,0,0,38
SAL10149,0,0,0,0,0,0,0,0
SAL10150,0,0,0,0,0,0,0,0
SAL10151,5,0,0,0,0,0,0,5
SAL10152,7,0,0,0,0,0,0,6
SAL10153,6,0,0,0,0,0,0,3
SAL10154,1007,80,14,0,0,0,0,1106
SAL10155,570,46,19,0,0,0,0,635
SAL10156,659,52,13,6,0,0,3,728
SAL10157,3,0,0,0,0,0,0,0
SAL10158,12,3,0,0,0,0,0,13
SAL10159,4,0,0,0,0,0,0,4
SAL10160,16,0,0,0,0,0,0,15
SAL10161,13,0,0,0,0,0,0,17
SAL10162,17,0,0,0,0,0,0,19
SAL10163,507,74,31,3,0,0,10,627
SAL10164,0,0,0,0,0,0,0,0
SAL10165,1102,95,23,0,0,0,0,1219
SAL10166,173,18,4,0,0,0,0,194
SAL10167,84,9,3,0,0,0,0,98
SAL10168,53,10,4,0,0,0,0,66
SAL10169,87,9,7,0,0,0,0,107
SAL10170,3,0,0,0,0,0,0,3
SAL10171,0,0,0,0,0,0,0,0
SAL10172,13,0,0,0,0,0,0,15
SAL10173,0,0,0,0,0,0,0,0
