SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL10001,0,0,0,0,0,0,7,21,5,29
SAL10002,48,0,49,555,154,6,713,2706,124,3542
SAL10003,152,55,212,894,190,9,1094,3252,288,4630
SAL10004,3,0,3,223,91,8,328,530,28,880
SAL10005,0,0,0,0,0,0,0,17,3,22
SAL10006,29,3,30,429,168,25,621,1319,75,2018
SAL10007,31,4,36,322,98,5,430,1125,110,1670
SAL10008,0,0,0,27,3,0,28,63,6,93
SAL10009,31,0,31,1451,353,52,1860,2883,158,4897
SAL10010,26,0,24,469,159,35,657,1225,90,1972
SAL10011,3,0,3,45,19,5,72,179,14,260
SAL10012,0,0,0,4,0,0,4,18,10,26
SAL10013,0,0,0,6,0,0,5,18,8,27
SAL10014,20,0,16,858,134,6,993,1814,42,2856
SAL10015,3,3,6,27,12,0,43,209,50,295
SAL10016,104,3,109,1055,327,40,1423,3615,231,5264
SAL10017,130,14,143,1201,313,31,1554,2738,94,4387
SAL10018,20,0,23,123,56,5,180,564,44,798
SAL10019,0,0,0,10,7,0,22,36,23,79
SAL10020,0,0,0,0,0,0,0,19,5,26
SAL10021,9,0,10,175,51,6,232,532,38,802
SAL10022,13,0,16,486,97,15,600,1462,332,2387
SAL10023,4,0,4,14,12,0,26,91,18,139
SAL10024,0,0,3,11,5,0,18,44,7,68
SAL10025,169,116,285,2638,780,89,3506,6967,490,10968
SAL10026,203,16,220,1013,407,27,1451,3975,285,5709
SAL10027,140,4,145,653,299,21,975,3058,209,4235
SAL10028,9,0,9,100,44,0,144,408,790,1337
SAL10029,0,0,0,24,12,0,33,84,10,126
SAL10030,33,3,44,1302,136,10,1447,6671,471,8587
SAL10031,28,0,35,484,168,11,663,1895,38,2597
SAL10032,0,0,0,11,11,0,19,46,0,65
SAL10033,0,0,0,0,0,0,0,7,0,4
SAL10034,0,0,0,12,9,0,22,52,0,74
SAL10035,0,0,4,14,0,0,18,62,5,88
SAL10036,177,101,276,1558,256,20,1828,3666,257,5757
SAL10037,0,0,0,11,4,0,15,46,0,63
SAL10038,76,6,84,843,115,3,964,3426,234,4629
SAL10039,0,0,0,12,4,0,18,24,3,47
SAL10040,0,0,0,21,11,0,30,76,10,122
SAL10041,4,0,4,33,5,0,37,100,16,157
SAL10042,0,0,0,0,4,0,4,41,0,50
SAL10043,0,0,0,4,3,0,8,26,8,46
SAL10044,0,0,0,27,4,0,36,84,0,123
SAL10045,6,0,6,66,30,3,103,258,19,372
SAL10046,314,39,358,824,357,50,1228,3479,261,4973
SAL10047,7,0,7,15,0,0,12,52,8,70
SAL10048,0,0,0,6,0,0,6,18,6,26
SAL10049,43,4,42,1181,269,28,1479,3678,450,5605
SAL10050,0,0,0,0,3,0,4,15,13,33
SAL10051,0,0,0,5,0,0,5,3,0,7
SAL10052,0,0,0,3,4,0,9,25,0,32
SAL10053,0,0,0,13,3,0,18,22,4,47
SAL10054,0,0,0,7,3,0,6,34,0,40
SAL10055,0,0,4,18,3,0,22,30,8,54
SAL10056,0,0,0,23,10,0,32,109,10,149
SAL10057,0,0,0,0,0,0,4,24,4,31
SAL10058,3,0,3,7,7,0,9,50,16,74
SAL10059,8,0,8,25,26,0,48,121,0,169
SAL10060,3,0,3,51,13,0,60,225,35,326
SAL10061,65,14,82,514,227,31,775,2599,214,3589
SAL10062,119,11,133,1726,215,19,1952,5541,472,7967
SAL10063,27,3,27,219,83,0,304,907,39,1247
SAL10064,19,0,23,730,126,21,879,1350,109,2328
SAL10065,0,0,0,6,0,0,13,23,3,37
SAL10066,0,0,0,6,0,0,8,25,0,30
SAL10067,0,0,0,6,0,0,6,6,0,13
SAL10068,0,0,0,12,8,3,22,61,12,95
SAL10069,0,0,0,0,0,0,11,9,5,13
SAL10070,20,3,19,35,34,5,72,308,17,403
SAL10071,3,0,3,27,14,0,38,133,12,180
SAL10072,0,0,0,0,0,0,0,4,0,4
SAL10073,19,0,28,250,73,6,328,842,63,1227
SAL10074,30,0,32,227,115,11,358,789,46,1191
SAL10075,0,0,0,4,0,0,6,29,17,53
SAL10076,7,0,7,22,10,3,32,117,8,159
SAL10077,11,5,16,40,24,6,64,304,31,401
SAL10078,0,0,0,0,3,0,3,13,0,18
SAL10079,29,6,36,197,75,9,286,793,58,1131
SAL10080,0,0,0,20,9,0,35,115,24,169
SAL10081,0,0,0,5,0,0,5,4,3,10
SAL10082,13,0,14,67,31,5,103,227,28,359
SAL10083,0,0,0,0,0,0,4,20,0,26
SAL10084,0,0,0,5,4,0,5,4,4,18
SAL10085,0,0,0,18,3,0,29,71,27,130
SAL10086,482,113,599,3213,1111,132,4462,13242,1992,19697
SAL10087,172,70,246,1808,273,15,2102,7019,1014,10131
SAL10088,0,0,0,0,0,0,0,4,3,6
SAL10089,26,3,29,15,24,0,36,502,37,576
SAL10090,8,0,13,87,48,0,133,357,15,514
SAL10091,147,12,156,2049,196,15,2264,4991,315,7564
SAL10092,0,0,0,8,7,0,12,25,3,38
SAL10093,0,0,0,6,6,0,7,19,5,34
SAL10094,67,0,66,635,98,13,738,1954,85,2774
SAL10095,4,0,4,34,18,0,51,200,30,280
SAL10096,5,0,3,40,19,0,60,169,25,254
SAL10097,0,0,0,0,0,0,0,20,0,18
SAL10098,41,12,53,478,78,10,562,1839,330,2734
SAL10099,772,39,816,3121,465,24,3610,15749,954,20315
SAL10100,25,0,24,59,19,3,85,429,48,560
SAL10101,0,0,0,70,7,0,87,140,47,269
SAL10102,97,9,108,437,178,19,638,2040,288,2962
SAL10103,49,9,56,862,310,37,1205,2328,98,3632
SAL10104,63,3,69,1427,158,10,1596,3105,144,4847
SAL10105,0,0,0,11,6,0,14,42,0,56
SAL10106,4,0,5,96,36,4,136,272,23,433
SAL10107,413,98,515,5197,767,62,6018,23104,3342,32463
SAL10108,4,0,4,26,7,0,36,59,0,97
SAL10109,31,3,38,553,152,7,714,1413,48,2173
SAL10110,47,92,140,1415,151,10,1582,3031,491,5106
SAL10111,3,0,3,12,6,0,14,97,19,135
SAL10112,222,64,292,1982,538,36,2557,5528,324,8414
SAL10113,0,0,0,10,3,0,15,17,3,31
SAL10114,0,0,0,22,16,0,36,141,12,184
SAL10115,49,5,54,937,218,15,1169,2433,135,3728
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,13,0,15,286,109,7,399,924,69,1391
SAL10118,0,0,0,25,5,8,35,87,9,123
SAL10119,3,0,8,79,31,8,115,213,13,344
SAL10120,4,0,4,27,16,3,40,131,9,178
SAL10121,3,0,3,21,3,0,26,87,23,134
SAL10122,0,0,0,0,0,0,0,11,0,14
SAL10123,0,0,0,0,0,0,0,4,0,4
SAL10124,0,0,0,18,0,0,18,15,5,33
SAL10125,0,0,0,4,0,0,4,13,0,13
SAL10126,0,0,0,0,0,0,0,15,5,22
SAL10127,0,0,0,0,0,0,0,4,0,7
SAL10128,0,0,0,0,0,0,0,4,0,4
SAL10129,0,0,0,0,0,0,0,10,3,21
SAL10130,0,0,0,15,13,0,23,49,3,78
SAL10131,4,0,4,24,8,0,36,90,9,130
SAL10132,0,0,0,5,0,0,5,9,4,18
SAL10133,6,0,6,21,7,0,30,90,22,134
SAL10134,0,0,0,4,0,0,4,5,0,10
SAL10135,0,0,0,7,6,0,7,57,15,80
SAL10136,0,0,0,4,0,0,4,19,6,22
SAL10137,0,0,0,11,0,0,14,25,4,42
SAL10138,0,0,0,7,6,0,13,16,7,35
SAL10139,0,0,0,4,3,0,10,36,10,52
SAL10140,0,0,0,9,3,0,13,29,0,34
SAL10141,0,0,0,0,0,0,0,13,9,18
SAL10142,0,0,0,0,0,0,0,12,0,13
SAL10143,0,0,0,9,0,4,8,43,8,54
SAL10144,10,0,11,99,39,8,143,292,16,449
SAL10145,5,0,5,14,3,0,23,81,10,107
SAL10146,18,5,17,153,48,6,208,588,33,822
SAL10147,0,0,0,15,5,0,19,14,0,34
SAL10148,3,0,3,62,17,0,80,171,8,254
SAL10149,0,0,0,4,0,0,4,9,0,15
SAL10150,0,0,0,0,0,0,0,8,6,13
SAL10151,0,0,0,3,0,0,3,39,3,53
SAL10152,0,0,0,11,0,0,13,33,0,52
SAL10153,0,0,0,14,3,0,16,12,14,42
SAL10154,155,4,161,1787,258,31,2073,4175,206,6453
SAL10155,82,0,87,844,122,6,969,1667,56,2693
SAL10156,113,11,128,1017,308,17,1337,3159,169,4671
SAL10157,0,0,0,4,4,0,10,7,0,14
SAL10158,5,0,5,18,12,0,27,71,21,114
SAL10159,0,0,0,8,0,0,8,17,0,23
SAL10160,0,0,0,21,13,0,32,67,31,131
SAL10161,0,0,0,13,6,0,22,55,10,82
SAL10162,5,0,5,27,11,0,43,126,31,194
SAL10163,733,167,900,1049,442,32,1523,6358,696,8576
SAL10164,0,0,0,0,0,0,0,0,0,3
SAL10165,119,13,136,2002,287,25,2313,5966,369,8653
SAL10166,25,9,33,299,51,3,356,1179,95,1636
SAL10167,12,0,11,119,49,3,171,424,16,609
SAL10168,4,0,4,77,26,3,107,256,30,394
SAL10169,33,7,44,156,53,6,216,659,140,1012
SAL10170,0,0,0,4,5,0,10,25,0,36
SAL10171,0,0,0,0,0,0,0,0,0,0
SAL10172,4,0,4,22,20,0,45,69,0,111
SAL10173,0,0,0,0,0,0,5,4,0,3
SAL10174,16,0,15,127,58,3,189,456,32,668
SAL10175,53,5,63,528,109,12,651,1291,200,2135
SAL10176,4,0,4,5,3,0,12,24,0,35
SAL10177,6,0,6,20,10,0,24,68,0,94
SAL10178,114,43,155,1058,302,14,1375,2953,136,4463
SAL10179,68,5,76,536,78,8,622,1961,128,2718
SAL10180,0,0,0,71,9,0,82,285,83,447
SAL10181,486,142,627,5486,645,52,6175,19058,2598,27836
SAL10182,0,0,0,0,0,0,0,5,0,5
SAL10183,0,0,0,4,3,0,11,39,0,44
SAL10184,4,0,4,20,9,0,33,71,13,115
SAL10185,0,0,0,3,0,0,0,12,0,16
SAL10186,841,95,936,2276,849,106,3221,10014,721,13957
SAL10187,0,0,0,0,0,0,4,28,0,28
SAL10188,13,0,15,175,74,6,254,807,65,1130
SAL10189,0,0,4,19,8,0,20,63,28,112
SAL10190,0,0,0,4,0,0,4,13,0,20
SAL10191,31,5,36,100,33,5,140,407,95,639
SAL10192,0,0,0,22,5,0,26,145,37,209
SAL10193,0,0,0,0,0,0,0,0,0,0
SAL10194,60,0,63,742,222,8,973,2361,49,3382
SAL10195,8,0,8,1573,160,23,1754,1971,222,3951
SAL10196,60,0,59,393,84,9,483,1403,61,1940
SAL10197,42,4,52,408,74,3,484,1323,96,1908
SAL10198,17,0,17,58,31,0,91,261,36,382
SAL10199,69,7,78,756,214,29,1002,2442,158,3602
SAL10200,84,19,102,148,73,13,236,1032,97,1363
SAL10201,0,0,0,0,0,0,0,0,0,0
SAL10202,0,0,0,30,13,0,47,97,11,155
SAL10203,4,0,7,58,12,0,67,219,32,325
SAL10204,0,0,0,0,0,0,0,0,0,0
SAL10205,14,0,14,301,152,11,458,931,31,1416
SAL10206,36,6,40,285,124,9,421,1054,108,1586
SAL10207,55,9,62,147,72,7,227,828,94,1150
SAL10208,126,9,135,928,311,42,1282,3379,247,4907
SAL10209,11,5,14,105,36,3,148,430,34,614
SAL10210,0,0,0,22,13,0,36,80,8,122
SAL10211,4,0,4,13,10,0,15,73,0,91
SAL10212,0,0,0,0,0,0,0,7,0,11
SAL10213,0,0,0,0,0,0,0,0,0,0
SAL10214,4,0,4,25,16,0,42,122,14,179
SAL10215,0,0,0,5,0,0,0,11,0,15
SAL10216,0,0,0,4,3,0,8,16,4,28
SAL10217,6,0,8,56,30,0,82,235,20,339
SAL10218,0,0,0,0,0,0,0,0,0,0
SAL10219,0,0,0,27,3,0,27,91,7,124
SAL10220,0,0,0,0,0,0,0,0,3,3
SAL10221,6,0,6,24,0,0,21,74,18,106
SAL10222,0,0,0,0,0,0,0,13,7,15
SAL10223,55,4,57,235,93,15,345,901,79,1322
SAL10224,183,51,239,1531,233,22,1783,5192,821,7798
SAL10225,0,0,0,0,0,0,0,5,0,5
SAL10226,0,0,0,15,9,0,28,43,10,82
SAL10227,450,163,616,2126,561,46,2732,6691,686,10112
SAL10228,90,4,94,160,93,12,266,1284,136,1684
SAL10229,69,3,71,138,67,8,208,1048,137,1394
SAL10230,0,0,0,4,0,0,3,20,8,37
SAL10231,277,26,304,804,319,33,1159,4561,393,6108
SAL10232,49,0,45,144,68,5,218,752,89,1062
SAL10233,655,31,693,8309,1214,73,9599,18922,785,29310
SAL10234,4,0,6,42,19,0,63,139,15,216
SAL10235,7,0,11,112,53,4,172,508,46,719
SAL10236,0,0,0,0,0,0,0,0,0,0
SAL10237,266,39,305,469,209,9,678,2481,187,3345
SAL10238,146,18,162,1584,293,22,1895,4142,200,6234
SAL10239,3,0,3,193,20,11,224,766,36,1019
SAL10240,0,0,0,3,0,4,6,41,6,52
SAL10241,0,0,0,20,3,0,21,27,0,50
SAL10242,4,0,4,12,13,0,23,77,7,106
SAL10243,40,7,48,2036,236,22,2294,4596,124,7012
SAL10244,0,0,0,29,4,0,35,47,3,93
SAL10245,6,0,4,26,13,3,45,108,11,159
SAL10246,0,0,0,12,3,0,15,20,0,39
SAL10247,7,0,4,26,3,3,32,51,10,95
SAL10248,17,0,17,163,59,11,236,438,38,711
SAL10249,234,55,292,2083,406,14,2508,5458,320,8286
SAL10250,0,0,0,0,0,0,0,0,0,0
SAL10251,0,0,4,58,23,0,77,187,18,282
SAL10252,0,0,0,11,0,0,11,16,0,26
SAL10253,124,66,198,715,325,46,1081,2619,359,4061
SAL10254,0,0,3,27,13,0,44,44,4,91
SAL10255,0,0,0,3,0,0,8,8,4,18
SAL10256,0,0,0,17,5,0,15,86,0,109
SAL10257,153,7,159,1102,169,8,1277,3775,257,5309
SAL10258,0,0,0,33,23,0,55,80,9,143
SAL10259,0,0,0,0,0,0,4,6,0,11
SAL10260,3,0,3,30,11,0,38,50,8,89
SAL10261,0,0,0,95,31,3,133,302,31,463
SAL10262,0,0,0,10,0,0,14,25,3,33
SAL10263,74,0,79,1616,344,21,1984,4660,191,6832
SAL10264,62,4,65,591,179,15,788,2251,270,3303
SAL10265,0,0,0,5,3,0,14,69,12,98
SAL10266,4,0,4,33,9,5,42,137,28,210
SAL10267,0,0,0,8,3,0,11,94,5,107
SAL10268,22,9,27,422,172,14,607,1103,91,1796
SAL10269,11,4,15,149,43,7,200,434,16,650
SAL10270,9,0,9,29,29,8,68,174,28,274
SAL10271,166,12,177,1860,444,25,2323,6028,414,8772
SAL10272,0,0,0,17,0,0,14,44,7,67
SAL10273,75,24,99,658,195,55,912,1932,261,3098
SAL10274,0,0,0,21,5,0,24,63,12,93
SAL10275,0,0,0,12,3,0,15,8,5,21
SAL10276,257,64,323,989,505,31,1525,4311,397,6232
SAL10277,186,22,205,1086,428,21,1531,3420,179,5124
SAL10278,24,4,23,135,85,11,226,651,40,919
SAL10279,251,88,348,1976,281,14,2273,8125,1162,11563
SAL10280,0,0,0,39,20,4,63,129,25,219
SAL10281,0,0,0,3,0,0,4,14,0,16
SAL10282,0,0,0,0,4,0,6,0,0,5
SAL10283,423,26,462,1672,307,22,2004,4958,164,7125
SAL10284,11,4,9,78,30,0,114,335,45,495
SAL10285,0,0,0,8,3,0,10,48,0,66
SAL10286,0,0,0,27,4,0,26,64,7,99
SAL10287,0,0,0,15,11,0,27,102,19,147
SAL10288,3,0,3,19,5,0,19,81,9,107
SAL10289,18,5,19,70,33,3,103,261,47,409
SAL10290,0,0,0,16,11,0,25,91,19,130
SAL10291,0,0,6,44,9,0,60,126,9,196
SAL10292,0,0,0,26,5,0,33,42,6,84
SAL10293,0,0,0,18,7,0,24,37,40,96
SAL10294,0,0,0,4,0,0,4,9,0,7
SAL10295,0,0,0,0,0,0,0,0,0,0
SAL10296,0,0,0,16,4,0,19,32,4,53
SAL10297,20,0,20,552,107,14,668,1236,48,1953
SAL10298,5,0,9,29,15,3,49,133,5,187
SAL10299,146,15,169,1122,209,19,1350,5500,544,7392
SAL10300,0,3,3,19,6,0,29,57,3,89
SAL10301,67,8,76,509,185,35,721,1858,138,2715
SAL10302,0,0,0,20,12,4,36,101,10,155
SAL10303,187,34,220,1093,382,37,1516,4369,430,6313
SAL10304,125,87,213,1760,378,59,2191,4423,444,7063
SAL10305,8,0,8,151,59,8,221,596,1146,1964
SAL10306,0,0,0,0,0,0,0,0,0,0
SAL10307,63,9,72,196,68,11,278,1193,153,1623
SAL10308,51,5,55,997,157,17,1171,2521,69,3765
SAL10309,70,7,75,1176,214,13,1404,2667,77,4146
SAL10310,0,0,0,20,6,0,24,117,9,152
SAL10311,9,0,11,57,27,6,91,298,22,412
SAL10312,7,0,9,51,27,0,77,183,39,294
SAL10313,5,0,6,10,0,0,14,55,0,72
SAL10314,0,0,0,6,0,0,6,26,0,27
SAL10315,29,4,36,210,61,0,276,700,101,1080
SAL10316,0,0,0,6,0,0,6,16,7,29
SAL10317,38,33,70,141,55,4,202,759,123,1088
SAL10318,6,0,6,32,4,0,37,142,3,190
SAL10319,15,0,18,107,50,0,158,452,87,695
SAL10320,0,0,0,7,0,0,8,18,0,26
SAL10321,172,68,237,416,173,22,618,1811,229,2649
SAL10322,0,0,0,19,0,0,18,43,3,71
SAL10323,0,0,0,4,0,0,4,21,3,29
SAL10324,4,0,4,13,20,0,35,125,7,166
SAL10325,0,0,0,8,3,3,20,35,0,53
SAL10326,0,0,0,12,9,0,17,71,10,95
SAL10327,0,0,0,7,11,0,16,96,11,125
SAL10328,0,0,0,5,0,0,3,20,14,35
SAL10329,102,53,155,469,81,5,556,1452,154,2165
SAL10330,283,16,298,1721,335,15,2064,6286,393,8752
SAL10331,3,0,3,7,10,0,19,48,0,69
SAL10332,3,0,4,88,43,4,134,238,54,425
SAL10333,562,235,798,3250,516,34,3807,11135,1173,16112
SAL10334,142,6,150,754,116,7,885,2474,172,3525
SAL10335,0,0,0,23,5,0,22,32,8,61
SAL10336,0,0,0,8,5,0,13,46,4,67
SAL10337,0,0,0,20,9,0,23,48,14,87
SAL10338,0,0,0,5,0,0,6,20,0,23
SAL10339,20,6,24,497,114,22,633,2015,422,3071
SAL10340,3,0,3,10,5,0,22,68,5,91
SAL10341,0,0,0,10,5,0,9,36,25,71
SAL10342,0,0,0,11,7,0,19,28,0,53
SAL10343,0,0,0,0,3,0,3,13,0,15
SAL10344,5,0,5,17,8,3,27,71,6,109
SAL10345,4,0,4,33,18,0,50,159,21,233
SAL10346,10,0,10,66,27,0,100,234,29,361
SAL10347,66,41,107,577,176,20,768,1880,238,2884
SAL10348,9,0,8,84,39,7,133,294,58,480
SAL10349,5,0,5,43,14,0,59,146,11,216
SAL10350,59,4,70,743,142,7,894,1938,84,2917
SAL10351,0,0,0,5,0,0,6,20,3,25
SAL10352,0,0,0,0,0,0,0,7,0,7
SAL10353,4,0,4,12,8,0,18,74,18,104
SAL10354,4,0,4,37,6,0,42,118,45,208
SAL10355,0,0,3,8,0,0,15,47,13,68
SAL10356,0,0,0,43,12,0,55,91,0,151
SAL10357,9,0,9,102,29,0,129,377,33,545
SAL10358,0,0,0,0,0,0,0,0,0,0
SAL10359,0,0,4,10,0,0,13,38,5,57
SAL10360,0,0,0,21,8,0,32,53,4,90
SAL10361,9,0,11,82,29,3,113,286,42,440
SAL10362,3,0,6,48,16,0,67,135,23,228
SAL10363,0,0,0,0,0,0,0,20,10,31
SAL10364,85,0,87,97,55,5,153,933,81,1167
SAL10365,0,0,0,6,0,0,0,22,11,32
SAL10366,3,0,3,20,16,0,36,136,23,190
SAL10367,0,0,0,0,7,0,6,19,6,29
SAL10368,3,0,6,24,9,0,32,67,24,117
SAL10369,9,4,10,36,15,4,55,203,24,284
SAL10370,7,0,7,31,8,0,43,103,21,171
SAL10371,6,0,6,60,16,0,80,405,75,567
SAL10372,0,0,0,27,3,0,30,60,0,93
SAL10373,35,5,37,654,114,7,774,1797,92,2664
SAL10374,0,0,0,5,4,0,3,27,0,36
SAL10375,0,0,0,9,0,0,10,30,4,48
SAL10376,42,5,48,291,97,10,400,1676,185,2257
SAL10377,0,0,0,12,0,0,12,25,0,37
SAL10378,80,3,78,456,91,3,551,1971,161,2687
SAL10379,0,0,0,29,16,0,52,116,7,172
SAL10380,4,0,4,29,9,0,39,79,17,133
SAL10381,0,0,0,5,11,0,8,34,0,44
SAL10382,0,0,0,4,0,0,4,6,0,15
SAL10383,42,6,46,81,62,0,146,718,21,883
SAL10384,5,5,3,81,46,3,129,289,18,430
SAL10385,0,0,0,0,0,0,0,10,4,11
SAL10386,7,0,7,45,11,3,57,170,23,247
SAL10387,0,0,0,38,11,0,50,121,11,181
SAL10388,0,0,4,27,11,0,39,104,32,181
SAL10389,70,7,74,411,227,31,669,1583,82,2337
SAL10390,57,5,58,502,184,19,707,1949,111,2763
SAL10391,16,0,17,462,125,9,595,1658,407,2656
SAL10392,102,7,108,677,153,12,847,2939,246,4036
SAL10393,0,0,0,5,0,0,3,11,3,17
SAL10394,4,0,9,9,11,0,24,118,29,169
SAL10395,59,9,62,253,137,3,401,1133,100,1633
SAL10396,835,118,960,8670,1326,107,10100,27858,3177,41130
SAL10397,0,0,0,15,0,0,19,59,36,107
SAL10398,40,5,45,291,88,3,384,1133,113,1630
SAL10399,15,0,15,454,97,9,556,1584,106,2245
SAL10400,4,0,4,64,11,0,78,208,34,312
SAL10401,0,0,0,16,7,0,22,87,6,115
SAL10402,216,61,282,1100,224,24,1350,3825,307,5481
SAL10403,0,0,0,8,5,0,16,50,10,70
SAL10404,0,0,0,8,6,0,16,12,16,38
SAL10405,0,0,5,25,4,0,27,134,26,183
SAL10406,98,7,106,1434,350,13,1797,3978,156,5934
SAL10407,0,0,0,10,8,0,26,62,13,98
SAL10408,7,0,7,105,24,5,134,318,12,466
SAL10409,86,3,95,564,167,26,760,1854,120,2732
SAL10410,35,6,41,1270,235,40,1543,3063,178,4788
SAL10411,3,0,3,39,12,3,48,66,16,138
SAL10412,0,0,0,0,0,0,0,0,0,3
SAL10413,34,0,41,113,48,0,157,720,58,942
SAL10414,72,4,75,1286,273,46,1604,3208,207,5019
SAL10415,0,0,0,17,5,0,22,140,35,192
SAL10416,0,0,0,0,0,0,0,0,0,0
SAL10417,0,0,0,3,0,0,4,10,0,17
SAL10418,0,0,0,14,0,0,16,38,9,62
SAL10419,10,0,12,29,14,0,37,159,27,221
SAL10420,19,0,21,284,99,10,396,988,81,1466
SAL10421,107,10,112,861,304,53,1216,2893,149,4263
SAL10422,0,0,0,12,0,0,16,34,9,57
SAL10423,0,0,0,0,5,0,4,10,0,18
SAL10424,20,0,21,163,87,4,253,532,30,817
SAL10425,0,0,0,5,0,0,5,18,3,26
SAL10426,3,0,3,20,0,0,22,92,12,123
SAL10427,6,0,6,9,15,3,24,62,10,96
SAL10428,15,0,15,79,20,0,104,438,50,590
SAL10429,0,0,0,0,3,0,10,13,0,27
SAL10430,0,0,0,0,0,0,4,0,0,14
SAL10431,0,0,0,20,3,3,30,75,14,109
SAL10432,0,0,0,10,11,0,20,30,9,53
SAL10433,7,0,5,75,47,3,126,515,66,705
SAL10434,3,0,3,8,10,0,18,39,8,66
SAL10435,0,0,0,17,7,0,20,46,3,72
SAL10436,0,0,0,11,0,0,11,22,0,34
SAL10437,3,0,5,50,13,0,59,118,27,203
SAL10438,49,13,66,619,173,24,824,1616,188,2622
SAL10439,4,0,4,4,6,0,7,49,16,71
SAL10440,7,4,9,79,47,8,135,420,245,797
SAL10441,34,11,50,163,55,0,216,617,153,986
SAL10442,0,0,0,0,0,0,0,0,0,0
SAL10443,0,0,0,20,14,0,36,87,48,176
SAL10444,4,0,4,14,4,0,21,43,8,67
SAL10445,0,0,4,3,0,0,6,25,0,29
SAL10446,0,0,0,5,7,0,13,53,4,68
SAL10447,0,0,0,16,8,0,22,48,3,75
SAL10448,58,12,69,289,115,14,419,1212,107,1740
SAL10449,15,0,15,244,90,11,342,668,56,1061
SAL10450,29,0,29,774,217,27,1020,1498,64,2580
SAL10451,0,0,0,0,0,0,0,0,0,0
SAL10452,206,12,220,866,368,44,1282,3971,372,5622
SAL10453,0,0,0,0,0,0,0,15,8,22
SAL10454,47,0,49,178,78,6,264,771,96,1132
SAL10455,0,0,0,19,8,0,26,66,18,115
SAL10456,9,0,9,102,26,4,137,222,15,376
SAL10457,4,0,4,31,6,0,31,102,4,148
SAL10458,9,0,9,31,16,0,47,187,18,257
SAL10459,0,0,0,10,0,0,10,29,12,44
SAL10460,0,0,0,9,0,0,9,26,3,32
SAL10461,11,3,8,17,5,4,32,253,20,301
SAL10462,162,19,185,1468,220,13,1706,6722,661,9091
SAL10463,105,48,152,1485,247,22,1747,7727,769,10253
SAL10464,0,0,0,0,0,0,0,0,0,0
SAL10465,219,38,255,1401,210,15,1630,6694,764,9096
SAL10466,76,5,85,652,215,37,899,2259,160,3310
SAL10467,22,0,23,430,101,9,548,1243,32,1817
SAL10468,64,3,68,396,182,13,595,1920,87,2602
SAL10469,115,72,187,1340,278,22,1642,5743,539,7920
SAL10470,78,3,85,939,221,14,1178,4635,271,6088
SAL10471,0,0,0,10,9,0,17,75,20,110
SAL10472,41,3,47,497,176,17,692,1588,96,2375
SAL10473,0,0,0,18,6,0,24,83,3,114
SAL10474,0,0,0,24,0,0,30,42,27,95
SAL10475,35,8,45,203,53,5,254,896,84,1238
SAL10476,0,0,0,20,5,0,24,63,14,105
SAL10477,0,0,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0,0,0
SAL10479,0,0,0,9,6,0,17,50,8,73
SAL10480,30,0,28,249,105,13,374,907,73,1348
SAL10481,0,0,0,10,5,0,12,4,3,20
SAL10482,0,0,0,15,3,0,19,49,5,75
SAL10483,0,0,0,0,0,0,0,0,0,0
SAL10484,0,0,0,24,3,0,27,47,5,81
SAL10485,0,0,0,74,8,3,83,230,29,344
SAL10486,0,0,0,22,0,0,26,26,5,58
SAL10487,5,0,5,20,4,0,26,78,69,172
SAL10488,0,0,0,0,5,0,5,12,0,14
SAL10489,0,0,0,13,7,0,16,16,0,35
SAL10490,0,0,0,8,7,0,17,17,7,41
SAL10491,0,0,0,0,0,0,0,10,6,19
SAL10492,4,0,4,20,9,0,27,90,10,121
SAL10493,53,96,150,188,102,9,302,826,262,1391
SAL10494,0,0,4,71,30,3,102,226,39,363
SAL10495,0,0,0,4,0,0,7,7,0,20
SAL10496,0,0,0,4,3,0,6,3,0,14
SAL10497,0,0,0,11,5,0,16,40,6,61
SAL10498,0,0,0,6,0,0,4,21,0,20
SAL10499,0,0,3,413,68,7,484,761,40,1284
SAL10500,0,0,0,8,3,0,15,16,0,30
SAL10501,56,13,66,218,95,6,315,1015,230,1553
SAL10502,3,0,3,13,15,0,30,117,12,157
SAL10503,0,0,0,0,0,0,0,0,0,0
SAL10504,0,0,0,12,0,0,15,49,3,70
SAL10505,0,0,0,19,3,0,20,45,10,84
SAL10506,0,0,0,0,0,0,0,16,10,22
SAL10507,0,0,0,20,0,0,27,61,11,95
SAL10508,0,0,0,0,0,0,0,0,0,0
SAL10509,0,0,0,16,5,0,20,47,0,74
SAL10510,6,0,6,33,5,0,34,112,13,160
SAL10511,7,4,8,87,38,4,127,235,22,383
SAL10512,0,0,0,11,0,0,13,61,7,83
SAL10513,346,34,380,1893,373,20,2278,9789,688,12762
SAL10514,6,0,6,21,5,0,25,75,13,115
SAL10515,111,41,161,2642,398,35,3075,6757,644,10479
SAL10516,0,0,0,38,4,0,44,40,18,89
SAL10517,0,0,0,8,0,0,9,28,0,33
