SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL41560,42,134,107,41,29,348,0,349
SAL41561,0,22,41,4,7,80,5,82
SAL41562,0,30,54,23,10,118,0,121
SAL41563,0,0,9,4,0,17,0,17
SAL41564,90,762,793,254,138,2034,18,2052
SAL41565,0,0,0,3,0,9,0,9
SAL41566,118,547,612,183,95,1560,16,1575
SAL41567,69,250,225,69,25,638,4,644
SAL41568,163,1146,1127,284,190,2908,36,2941
SAL41569,40,430,556,168,70,1261,13,1279
SAL41570,0,0,3,4,0,10,0,7
SAL41571,37,172,160,42,26,425,0,425
SAL41572,0,0,3,0,0,5,0,5
SAL41573,56,293,351,133,62,896,7,894
SAL41574,0,9,11,17,7,41,0,45
SAL41575,0,0,3,0,0,10,0,10
SAL41576,0,0,5,4,0,5,0,5
SAL41577,0,5,19,8,8,41,0,41
SAL41578,0,4,0,0,6,8,0,8
SAL41579,0,26,32,4,10,75,0,84
SAL41580,0,0,0,0,0,0,0,0
SAL41581,0,3,8,3,0,15,0,22
SAL41582,0,0,0,0,3,3,0,3
SAL41583,0,20,43,23,22,110,0,114
SAL41584,0,0,3,3,8,14,0,18
SAL41585,103,520,525,205,118,1472,14,1482
SAL41586,0,0,0,0,0,0,0,0
SAL41587,26,249,306,100,63,745,6,748
SAL41588,370,1083,790,295,120,2666,65,2726
SAL41589,58,378,374,152,102,1058,11,1070
SAL41590,526,1134,732,227,114,2733,93,2826
SAL41591,0,3,8,0,0,17,0,17
SAL41592,0,5,5,0,3,17,0,21
SAL41593,0,0,0,0,0,4,0,4
SAL41594,0,8,15,17,17,53,0,55
SAL41595,0,8,18,0,5,35,0,35
SAL41596,0,3,3,0,0,5,0,5
SAL41597,0,7,16,0,4,21,0,21
SAL41598,0,9,11,13,11,45,0,45
SAL41599,0,0,8,4,7,25,0,25
SAL41600,75,577,516,189,103,1452,16,1472
SAL41601,0,0,0,0,0,0,0,0
SAL41602,14,242,415,221,160,1047,13,1064
SAL41603,0,3,0,0,6,4,0,4
SAL41604,0,0,0,0,3,5,0,5
SAL41605,0,0,0,0,0,0,0,5
SAL41606,0,3,6,3,5,14,0,14
SAL41607,0,7,9,0,3,24,0,24
SAL41608,0,0,3,3,7,13,0,13
SAL41609,0,0,0,0,0,0,0,0
SAL41610,25,257,390,144,88,913,14,918
SAL41611,5,6,16,3,15,48,0,47
SAL41612,0,30,67,31,20,152,0,152
SAL41613,0,19,47,33,22,129,0,126
SAL41614,3,71,88,42,28,233,12,240
SAL41615,0,17,10,15,8,51,0,54
SAL41616,170,889,863,246,110,2272,30,2302
SAL41617,32,85,48,18,17,194,5,197
SAL41618,0,20,57,33,12,129,0,134
SAL41619,0,0,0,0,0,0,0,0
SAL41620,0,3,3,3,5,15,0,15
SAL41621,5,51,56,35,26,172,0,175
SAL41622,0,0,0,0,0,0,0,0
SAL41623,0,0,3,5,0,13,0,12
SAL41624,0,54,32,13,0,104,0,104
SAL41625,0,13,9,9,8,31,0,29
SAL41626,0,11,18,12,9,52,0,52
SAL41627,0,18,44,22,17,106,0,106
SAL41628,0,0,0,0,0,0,0,0
SAL41629,0,6,7,4,5,23,0,24
SAL41630,3,14,30,15,9,69,0,73
SAL41631,0,0,0,0,0,0,0,0
SAL41632,0,7,17,9,0,31,0,36
SAL41633,0,0,8,6,0,17,0,17
SAL41634,0,0,0,0,0,0,0,0
SAL41635,0,0,6,9,0,19,0,19
SAL41636,0,9,35,26,15,88,7,90
SAL41637,178,1419,1667,596,380,4243,30,4276
SAL41638,5,119,179,38,19,365,5,369
SAL41639,0,7,22,4,6,39,0,43
SAL41640,0,3,6,7,0,22,0,24
SAL41641,0,13,35,5,11,66,0,72
SAL41642,14,318,391,144,108,973,12,986
SAL41643,77,350,262,116,48,841,7,849
SAL41644,128,337,263,91,31,850,21,869
SAL41645,111,380,337,107,66,1004,23,1022
SAL41646,66,240,232,84,49,669,9,680
SAL41647,83,457,493,179,80,1295,15,1311
SAL41648,106,608,573,168,66,1519,10,1528
SAL41649,0,23,22,8,3,67,0,63
SAL41650,0,0,0,0,0,9,0,9
SAL41651,0,0,0,3,4,9,0,9
SAL41652,0,3,3,0,5,10,0,10
SAL41653,0,0,12,0,12,27,0,21
SAL41654,0,0,0,0,0,8,0,8
SAL41655,0,37,22,7,3,66,0,73
SAL41656,0,0,0,0,0,4,0,4
SAL41657,5,74,175,77,73,407,7,410
SAL41658,0,0,3,3,5,15,0,16
SAL41659,14,65,87,35,23,228,0,230
SAL41660,0,5,11,3,5,20,0,20
SAL41661,0,4,16,8,14,31,0,31
SAL41662,0,7,13,9,7,26,0,26
SAL41663,146,960,1218,437,240,2998,27,3022
SAL41664,0,20,17,9,5,45,0,43
SAL41665,0,20,22,9,8,61,3,60
SAL41666,0,0,0,0,0,0,0,3
SAL41667,4,31,98,56,53,238,4,240
SAL41668,0,0,0,0,0,5,0,5
SAL41669,23,27,14,0,0,64,7,74
SAL41670,0,8,9,13,3,40,0,40
SAL41671,0,0,0,0,0,0,0,0
SAL41672,0,0,0,0,0,4,0,4
SAL41673,0,0,0,5,0,9,0,9
SAL41674,0,5,4,3,3,17,0,17
SAL41675,11,173,141,62,31,414,0,421
SAL41676,0,0,3,0,0,4,0,4
SAL41677,0,0,0,0,0,0,0,0
SAL41678,0,0,4,0,0,3,0,3
SAL41679,0,5,6,3,3,6,0,6
SAL41680,0,9,32,17,23,88,0,88
SAL41681,0,4,0,8,0,8,0,8
SAL41682,0,7,38,28,26,101,5,107
SAL41683,0,6,10,6,6,25,0,25
SAL41684,0,0,0,0,0,0,0,0
SAL41685,0,3,3,6,0,8,0,8
SAL41686,0,0,0,3,0,8,0,8
SAL41687,0,9,6,7,3,23,0,29
SAL41688,0,0,4,5,0,8,0,8
SAL41689,27,145,151,56,29,405,8,414
SAL41690,0,39,35,17,16,102,0,106
SAL41691,0,0,0,0,0,0,0,0
SAL41692,0,3,6,4,4,21,0,21
SAL41693,0,0,0,0,0,0,0,0
SAL41694,0,11,20,16,12,58,0,58
SAL41695,0,17,10,0,4,28,0,28
SAL41696,0,4,0,0,0,13,0,13
SAL49494,0,0,0,0,0,0,0,0
SAL49797,0,0,0,0,0,0,0,0
SAL50001,0,0,8,5,5,29,0,29
SAL50002,12,128,207,63,31,444,7,453
SAL50003,0,4,9,5,9,29,0,33
SAL50004,0,0,7,3,8,15,0,15
SAL50005,0,0,3,0,6,10,0,10
SAL50006,39,247,206,67,22,577,7,587
SAL50007,0,0,3,3,5,15,3,15
SAL50008,87,660,1104,482,295,2623,25,2649
SAL50009,0,0,4,0,0,3,0,3
SAL50010,40,353,482,124,74,1069,5,1078
SAL50011,71,1340,1561,373,145,3490,39,3521
SAL50012,0,4,6,0,4,9,0,9
SAL50013,0,41,74,53,43,217,0,213
SAL50014,0,13,12,9,10,40,0,46
SAL50015,0,0,0,0,3,5,0,5
SAL50016,0,19,64,49,34,167,0,167
SAL50017,0,3,16,3,7,26,0,29
SAL50018,0,0,0,0,0,0,0,0
SAL50019,4,22,33,15,27,94,3,96
SAL50020,0,0,6,3,0,15,0,11
SAL50021,0,0,0,0,0,0,0,0
SAL50022,102,961,1158,341,206,2760,31,2790
SAL50023,0,0,8,0,12,18,5,24
SAL50024,47,566,736,208,102,1657,13,1668
SAL50025,0,30,95,40,35,202,4,202
SAL50026,611,2473,1562,480,241,5367,122,5489
SAL50027,0,6,7,3,0,14,0,14
SAL50028,0,0,0,0,0,5,0,5
SAL50029,0,0,9,4,0,23,5,28
SAL50030,0,3,10,9,6,28,0,28
SAL50031,35,416,508,135,62,1154,7,1162
SAL50032,63,489,415,112,54,1138,7,1148
SAL50033,0,0,0,0,0,0,0,0
SAL50034,43,208,206,53,31,541,5,550
SAL50035,73,700,1044,343,212,2369,16,2386
SAL50036,61,805,1324,516,286,2991,28,3017
SAL50037,28,578,1085,314,101,2102,13,2109
SAL50038,26,256,260,77,26,645,8,652
SAL50039,131,1650,2456,896,400,5535,61,5598
SAL50040,52,1399,2259,671,279,4654,46,4701
SAL50041,0,0,3,0,0,0,0,0
SAL50042,0,0,0,0,0,3,0,3
SAL50043,0,0,8,0,7,16,0,16
SAL50044,0,5,4,0,0,13,0,13
SAL50045,0,4,6,0,3,15,0,15
SAL50046,0,0,0,5,0,8,0,8
SAL50047,0,0,0,0,0,5,0,5
SAL50048,0,8,22,10,6,43,0,45
SAL50049,0,4,4,0,0,3,0,5
SAL50050,0,3,3,5,8,14,0,14
SAL50051,7,71,177,91,71,420,9,426
SAL50052,0,9,20,17,7,50,0,50
SAL50053,343,1951,1602,421,210,4528,71,4594
SAL50054,216,3917,5539,1700,884,12260,134,12397
SAL50055,408,2321,1816,449,179,5178,133,5313
SAL50056,5,98,90,43,19,254,3,254
SAL50057,0,3,3,0,3,11,0,11
SAL50058,0,0,0,0,0,0,0,0
SAL50059,0,8,8,15,6,32,0,37
SAL50060,0,0,0,0,0,0,0,0
SAL50061,194,1693,2452,1073,702,6120,62,6177
SAL50062,0,5,5,0,3,15,0,15
SAL50063,0,11,12,12,0,35,0,39
SAL50064,0,5,6,4,3,21,0,21
SAL50065,0,0,8,6,7,26,0,24
SAL50066,0,30,56,23,19,121,0,125
SAL50067,5,7,0,0,0,8,0,8
SAL50068,3,69,169,81,127,450,3,452
SAL50069,98,1198,1688,496,214,3702,52,3754
SAL50070,0,0,0,0,0,0,0,0
SAL50071,0,4,3,6,8,23,0,23
SAL50072,0,0,4,0,0,10,0,10
SAL50073,0,3,0,0,0,6,0,6
SAL50074,0,0,9,5,5,14,0,14
SAL50075,3,50,84,80,77,293,5,294
SAL50076,0,0,0,0,0,0,0,0
SAL50077,3,15,32,29,25,107,5,112
SAL50078,304,1690,1658,488,219,4355,49,4406
SAL50079,29,386,574,182,95,1265,14,1276
SAL50080,0,0,0,0,0,0,0,0
SAL50081,22,280,615,229,120,1276,22,1296
SAL50082,35,403,514,179,98,1220,12,1231
SAL50083,377,2400,2401,585,275,6046,62,6111
SAL50084,88,264,201,51,19,620,10,627
SAL50085,0,9,21,3,7,47,0,47
SAL50086,170,772,818,199,108,2069,26,2096
SAL50087,0,0,0,0,0,0,0,0
SAL50088,0,0,9,8,3,22,0,22
SAL50089,0,3,10,0,3,16,0,17
SAL50090,125,1176,1223,431,230,3184,61,3242
SAL50091,113,809,933,234,95,2183,26,2212
SAL50092,4,98,349,244,242,945,5,950
SAL50093,170,1044,1211,494,270,3183,68,3250
SAL50094,0,4,12,17,5,43,0,46
SAL50095,0,4,0,0,0,8,0,8
SAL50096,0,0,0,3,3,13,0,13
SAL50097,0,0,14,13,3,39,0,39
SAL50098,84,783,1345,461,228,2908,30,2937
SAL50099,0,0,0,0,8,9,0,9
SAL50100,0,3,7,11,13,31,0,29
SAL50101,0,13,27,12,5,55,0,56
SAL50102,39,493,667,243,98,1551,12,1563
SAL50103,0,7,27,24,26,95,0,93
SAL50104,42,252,223,83,37,640,7,650
SAL50105,217,1167,966,316,139,2810,49,2860
SAL50106,0,27,25,13,11,78,0,80
SAL50107,0,8,21,20,11,59,0,59
SAL50108,0,0,3,5,0,11,0,11
SAL50109,0,8,23,9,6,53,0,53
SAL50110,34,352,736,338,222,1682,22,1704
SAL50111,474,1346,847,326,190,3180,78,3252
SAL50112,39,247,241,74,21,615,14,629
SAL50113,0,0,9,4,7,14,0,14
SAL50114,0,0,0,0,0,0,0,0
SAL50115,59,581,888,283,127,1936,22,1962
SAL50116,18,151,163,74,45,450,8,461
SAL50117,111,691,885,337,190,2210,22,2231
SAL50118,0,36,77,69,49,234,4,236
SAL50119,146,978,1089,315,189,2713,27,2742
SAL50120,0,4,0,0,0,8,0,8
SAL50121,4,44,35,16,4,104,0,104
SAL50122,0,0,0,0,4,4,0,4
SAL50123,12,154,182,79,54,480,9,498
SAL50124,0,0,0,0,0,0,0,0
SAL50125,0,7,5,3,8,19,0,22
SAL50126,9,106,162,91,54,421,0,424
SAL50127,0,0,0,0,0,0,0,4
SAL50128,0,0,0,0,0,0,0,0
SAL50129,4,144,234,80,35,497,8,508
SAL50130,0,0,7,4,9,18,0,18
SAL50131,0,4,12,8,4,25,0,26
SAL50132,30,225,202,61,34,550,5,556
SAL50133,0,14,18,0,4,39,0,39
SAL50134,0,4,6,4,3,17,0,17
SAL50135,0,5,0,5,3,15,0,15
SAL50136,0,3,4,5,4,13,0,13
SAL50137,10,130,149,71,34,399,12,406
SAL50138,0,3,0,0,3,13,0,14
SAL50139,0,3,4,3,4,16,0,18
SAL50140,0,13,21,10,4,47,0,49
SAL50141,0,0,9,6,0,11,0,11
SAL50142,0,8,27,21,17,68,4,73
SAL50143,0,8,18,11,6,46,0,46
SAL50144,0,0,0,0,0,4,0,4
SAL50145,0,3,14,8,11,48,5,49
SAL50146,0,3,0,3,0,11,0,11
SAL50147,0,0,0,0,0,0,0,0
SAL50148,124,752,833,280,121,2107,25,2134
SAL50149,0,5,4,0,0,6,0,6
SAL50150,0,0,0,0,0,0,0,0
SAL50151,0,19,20,11,10,66,0,66
SAL50152,0,4,6,3,4,19,0,19
SAL50153,0,3,4,0,4,14,0,14
SAL50154,0,0,0,0,0,4,0,4
SAL50155,0,3,8,6,0,20,0,20
SAL50156,0,0,5,3,0,9,0,9
SAL50157,0,4,20,12,3,39,0,41
SAL50158,0,3,13,3,6,26,0,26
SAL50159,92,526,586,251,142,1600,33,1633
SAL50160,0,3,9,3,3,19,0,19
SAL50161,3,124,159,62,36,388,10,397
SAL50162,0,20,71,36,21,149,0,152
SAL50163,0,4,8,6,3,29,3,30
SAL50164,0,3,9,6,8,31,0,31
SAL50165,0,4,11,14,10,37,0,43
SAL50166,0,0,4,3,6,13,0,13
SAL50167,0,3,14,6,3,25,0,25
SAL50168,6,66,110,48,27,249,3,255
SAL50169,4,110,169,98,68,449,12,458
SAL50170,0,3,3,0,0,11,0,11
SAL50171,0,0,0,3,8,8,0,8
SAL50172,14,115,125,53,42,354,10,365
SAL50173,29,807,1492,358,142,2827,28,2854
SAL50174,0,4,21,12,4,31,5,34
SAL50175,0,0,8,0,0,15,0,15
SAL50176,0,0,4,0,6,11,0,8
SAL50177,0,50,77,32,16,177,0,176
SAL50178,67,344,295,94,47,841,14,853
SAL50179,0,0,0,0,0,0,0,0
SAL50180,41,456,481,175,100,1258,15,1270
SAL50181,0,33,131,84,72,320,0,325
SAL50182,0,6,0,0,3,13,0,13
SAL50183,70,608,624,187,79,1570,27,1596
SAL50184,0,23,103,48,41,215,0,215
SAL50185,49,147,124,23,8,349,3,358
SAL50186,0,3,3,0,0,7,0,7
SAL50187,59,335,373,118,77,959,16,973
SAL50188,0,15,28,19,17,83,0,84
SAL50189,15,78,101,43,30,260,8,264
SAL50190,167,392,332,132,83,1102,63,1165
SAL50191,0,3,12,15,8,36,0,36
SAL50192,0,28,31,9,12,86,0,83
SAL50193,0,10,12,12,20,54,3,56
SAL50194,0,0,0,0,0,0,0,0
SAL50195,0,18,21,6,3,48,0,45
SAL50196,9,92,105,37,28,262,3,264
SAL50197,9,128,162,79,46,433,11,439
SAL50198,0,0,5,3,3,11,0,11
SAL50199,0,0,13,3,6,17,0,17
SAL50200,39,244,378,154,95,907,18,929
SAL50201,123,992,1225,338,165,2847,30,2874
SAL50202,0,0,0,0,0,0,0,0
SAL50203,0,0,3,12,13,26,0,26
SAL50204,4,19,26,11,7,67,0,66
SAL50205,0,5,7,0,4,12,0,12
SAL50206,0,0,0,0,0,3,0,3
SAL50207,28,385,690,378,345,1827,26,1852
SAL50208,0,0,0,0,0,0,0,0
SAL50209,0,0,3,7,3,13,0,13
SAL50210,101,745,615,153,57,1668,29,1695
SAL50211,0,0,0,0,0,7,0,7
SAL50212,0,0,0,0,0,6,0,6
SAL50213,0,0,5,5,7,16,3,20
SAL50214,0,0,9,3,0,16,0,16
SAL50215,0,0,4,3,5,13,0,13
SAL50216,0,0,0,0,0,0,0,0
SAL50217,0,48,117,64,40,269,5,279
SAL50218,0,0,0,0,0,8,0,8
SAL50219,0,4,7,0,5,14,0,14
SAL50220,0,0,0,0,0,0,0,0
SAL50221,10,190,669,240,138,1250,8,1260
SAL50222,0,17,50,15,11,94,0,95
SAL50223,0,6,9,10,7,35,0,35
SAL50224,0,0,6,0,0,3,0,3
SAL50225,0,0,0,0,0,0,0,0
SAL50226,82,630,437,79,24,1255,12,1273
SAL50227,0,57,157,27,15,262,0,262
SAL50228,82,418,247,70,27,840,21,860
SAL50229,217,1831,1766,560,229,4594,65,4659
SAL50230,81,1560,2735,1002,540,5914,70,5984
SAL50231,97,595,669,268,118,1747,54,1794
SAL50232,0,6,3,3,7,18,0,18
SAL50233,0,0,0,0,0,0,0,0
SAL50234,3,17,32,14,9,76,0,75
SAL50235,94,401,209,74,38,812,16,830
SAL50236,0,0,9,7,3,24,0,24
SAL50237,0,0,4,0,0,3,0,3
SAL50238,58,40,18,3,6,125,9,133
SAL50239,0,0,0,0,0,4,0,4
SAL50240,67,608,599,203,120,1598,18,1616
SAL50241,0,0,6,0,0,12,0,11
SAL50242,0,0,0,0,0,4,0,4
SAL50243,0,3,0,9,7,18,0,18
SAL50244,0,0,0,0,0,4,0,4
SAL50245,142,2491,4707,1926,1089,10355,89,10444
SAL50246,211,1118,861,243,96,2529,45,2577
SAL50247,0,0,0,0,0,0,0,0
SAL50248,6,103,91,31,15,241,6,253
SAL50249,0,3,0,0,0,3,0,3
SAL50250,0,0,0,0,0,4,0,5
SAL50251,24,283,374,198,84,959,20,974
SAL50252,0,8,16,10,14,46,0,47
SAL50253,0,0,0,0,0,0,0,0
SAL50254,0,0,0,3,4,8,0,8
SAL50255,0,18,39,34,39,126,0,131
SAL50256,0,6,0,6,0,10,0,10
SAL50257,0,0,0,0,0,0,0,0
SAL50258,0,9,21,4,5,43,0,43
SAL50259,0,12,12,6,7,45,0,45
SAL50260,0,32,123,91,108,357,6,362
SAL50261,224,992,695,204,69,2189,47,2231
SAL50262,29,577,1278,370,197,2446,10,2458
SAL50263,248,1206,1014,260,98,2819,38,2864
SAL50264,0,8,11,7,3,36,0,36
SAL50265,0,25,90,56,52,225,0,225
SAL50266,4,49,64,20,13,157,3,161
SAL50267,3,39,23,8,5,67,0,67
SAL50268,0,0,0,0,0,0,0,0
SAL50269,39,491,1034,440,271,2271,14,2293
SAL50270,0,0,7,3,6,17,0,17
SAL50271,0,4,0,4,9,19,0,19
SAL50272,0,8,15,5,6,33,0,33
SAL50273,36,452,610,208,105,1406,10,1420
SAL50274,3,28,75,66,73,245,7,251
SAL50275,0,0,0,7,0,8,0,8
SAL50276,0,19,18,8,19,64,0,64
SAL50277,42,644,1162,373,168,2394,24,2420
SAL50278,39,201,84,23,12,351,9,357
SAL50279,3,57,89,32,12,190,7,195
SAL50280,0,13,19,10,13,53,0,56
SAL50281,15,154,200,68,48,483,13,491
SAL50282,0,0,0,6,4,5,0,5
SAL50283,0,3,6,5,7,22,0,22
SAL50284,0,7,16,8,6,42,4,41
SAL50285,0,9,13,4,6,39,0,39
SAL50286,0,11,12,6,0,20,0,20
SAL50287,0,4,8,0,5,25,0,25
SAL50288,0,7,0,6,3,13,0,13
SAL50289,0,0,0,0,0,0,0,0
SAL50290,0,136,230,148,124,641,10,652
SAL50291,3,59,151,71,72,354,3,358
SAL50292,0,0,4,0,4,9,0,11
SAL50293,34,483,574,165,67,1322,9,1337
SAL50294,85,491,1004,418,292,2287,18,2309
SAL50295,0,30,49,29,19,129,3,134
SAL50296,249,1702,1344,318,139,3754,41,3798
SAL50297,208,1898,2025,625,230,4980,57,5039
SAL50298,0,0,0,0,0,3,0,3
SAL50299,0,0,3,0,0,4,0,0
SAL50300,0,0,0,0,0,0,0,0
SAL50301,262,1325,1187,355,183,3306,96,3402
SAL50302,0,0,4,8,0,13,0,15
SAL50303,0,0,0,0,0,0,0,0
SAL50304,63,438,197,33,18,737,6,745
SAL50305,0,0,0,0,0,0,0,0
SAL50306,0,0,7,3,8,18,0,17
SAL50307,0,10,13,7,6,35,0,33
SAL50308,0,0,0,0,0,4,0,4
SAL50309,8,127,193,85,27,445,3,446
SAL50310,162,964,1058,439,263,2885,69,2950
SAL50311,0,4,5,4,3,20,0,20
SAL50312,3,77,106,37,25,255,6,254
SAL50313,0,24,29,11,10,82,0,82
SAL50314,0,0,5,6,0,13,0,13
SAL50315,0,0,0,4,7,5,0,7
SAL50316,403,3015,2339,529,185,6479,62,6539
SAL50317,0,21,34,17,10,84,7,86
SAL50318,8,345,588,229,125,1299,11,1310
SAL50319,0,3,3,0,0,6,0,6
SAL50320,152,822,525,190,84,1774,51,1825
SAL50321,44,497,848,327,198,1912,11,1924
SAL50322,0,36,89,38,48,210,0,210
SAL50323,0,0,0,0,0,0,0,0
SAL50324,221,1054,861,232,101,2467,46,2515
SAL50325,18,157,245,103,59,583,0,583
SAL50326,0,0,0,0,0,0,0,0
SAL50327,18,89,82,55,23,273,12,283
SAL50328,0,0,3,0,0,3,0,3
SAL50329,164,1017,887,330,139,2539,45,2587
SAL50330,0,21,41,26,36,132,7,135
SAL50331,0,8,11,11,7,37,0,37
SAL50332,0,4,11,4,4,22,0,25
SAL50333,0,16,18,4,19,49,0,49
SAL50334,0,51,95,60,32,237,9,244
SAL50335,0,23,27,9,13,73,0,74
SAL50336,0,0,0,0,0,0,0,0
SAL50337,0,0,8,3,6,22,0,22
SAL50338,6,35,13,0,7,63,0,64
SAL50339,0,0,0,0,0,6,0,6
SAL50340,6,121,114,29,19,289,11,297
SAL50341,3,8,0,0,0,21,0,20
SAL50342,0,0,0,0,0,0,0,0
SAL50343,80,953,1211,417,208,2867,24,2892
SAL50344,0,0,4,8,4,20,0,20
SAL50345,0,3,4,0,0,10,0,10
SAL50346,0,4,11,0,5,21,0,21
SAL50347,11,181,375,139,59,761,15,769
SAL50348,0,0,0,0,3,8,0,8
SAL50349,0,0,4,0,3,12,0,12
SAL50350,80,951,1092,311,148,2578,27,2611
SAL50351,0,0,3,7,0,15,0,15
SAL50352,8,64,58,40,16,177,0,184
SAL50353,171,604,288,54,17,1127,12,1139
SAL50354,0,10,37,20,15,83,0,89
SAL50355,0,8,19,20,9,57,0,57
SAL50356,0,12,14,6,5,37,0,37
SAL50357,5,46,58,40,32,178,0,183
SAL50358,0,0,3,0,0,9,0,8
SAL50359,0,20,23,11,5,58,12,66
SAL50360,0,0,0,0,0,8,0,8
SAL50361,3,4,0,0,0,7,0,8
SAL50362,0,4,4,0,0,9,0,9
SAL50363,0,0,0,0,0,0,0,0
SAL50364,17,84,113,54,24,288,0,293
SAL50365,4,0,14,0,6,18,0,18
SAL50366,0,0,0,0,6,7,0,7
SAL50367,63,690,1025,403,216,2396,17,2415
SAL50368,0,14,25,6,8,53,0,53
SAL50369,0,4,4,7,3,15,0,15
SAL50370,0,0,0,0,0,0,0,0
SAL50371,33,262,227,55,25,605,0,605
SAL50372,0,11,24,15,16,67,0,70
SAL50373,0,7,6,4,3,19,0,19
SAL50374,25,245,659,299,180,1407,18,1423
SAL50375,6,74,114,33,23,251,5,256
SAL50376,93,957,1429,535,226,3242,35,3277
SAL50377,0,11,16,12,16,54,0,54
SAL50378,7,72,175,73,48,376,8,388
SAL50379,0,0,0,0,0,0,0,0
SAL50380,73,138,54,19,0,289,15,306
SAL50381,0,0,3,4,0,6,0,10
SAL50382,0,22,49,17,28,116,0,116
SAL50383,0,5,0,0,0,7,0,7
SAL50384,22,414,985,443,261,2128,20,2149
SAL50385,0,0,5,0,0,7,0,7
SAL50386,4,60,102,34,18,223,0,222
SAL50387,3,31,80,67,55,229,0,237
SAL50388,3,41,58,22,25,144,0,144
SAL50389,6,73,205,93,136,512,0,513
SAL50390,10,256,612,263,157,1291,11,1305
SAL50391,0,0,9,8,0,19,0,19
SAL50392,0,0,0,0,4,3,0,3
SAL50393,0,3,4,5,3,10,0,10
SAL50394,0,0,0,3,3,11,0,11
SAL50395,0,3,4,0,0,3,0,3
SAL50396,42,798,1128,372,180,2523,31,2546
SAL50397,26,533,878,247,86,1775,9,1781
SAL50398,0,0,3,0,0,8,0,8
SAL50399,6,32,36,22,17,110,0,114
SAL50400,0,47,108,67,72,298,0,296
SAL50401,0,5,5,3,7,27,0,27
SAL50402,0,10,12,6,3,35,0,32
SAL50403,25,131,98,30,28,304,13,318
SAL50404,44,504,394,95,29,1063,18,1080
SAL50405,110,314,225,79,59,786,37,827
SAL50406,0,0,6,0,0,8,0,8
SAL50407,0,6,5,10,5,26,0,26
SAL50408,0,0,3,0,0,10,0,10
SAL50409,594,3562,3506,1110,707,9473,107,9579
SAL50410,0,0,0,0,0,0,0,0
SAL50411,0,13,25,20,10,68,0,69
SAL50412,5,14,22,15,10,57,0,57
SAL50413,0,0,0,0,0,0,0,0
SAL50414,0,0,6,6,5,16,0,23
SAL50415,55,234,422,163,80,963,15,981
SAL50416,21,204,199,69,37,538,10,547
SAL50417,0,4,3,4,9,17,0,17
SAL50418,0,0,0,0,0,4,0,4
SAL50419,30,383,446,162,99,1123,12,1136
SAL50420,0,6,6,0,6,13,0,13
SAL50421,0,3,6,6,4,26,0,26
SAL50422,0,0,0,0,0,0,0,0
SAL50423,213,1244,1565,400,176,3597,30,3629
SAL50424,4,67,69,28,9,182,5,186
SAL50425,0,0,8,3,4,16,0,16
SAL50426,6,129,274,91,37,542,5,545
SAL50427,0,0,0,0,0,0,0,0
SAL50428,0,0,0,0,0,3,4,10
SAL50429,0,0,3,7,0,13,0,13
SAL50430,0,3,4,3,9,19,0,19
SAL50431,124,1201,1017,338,130,2810,40,2853
SAL50432,0,3,4,5,0,6,0,6
SAL50433,0,0,7,0,6,8,0,8
SAL50434,0,0,0,3,0,7,0,7
SAL50435,0,18,36,20,17,88,0,90
SAL50436,0,9,15,16,10,59,0,57
SAL50437,3,37,46,11,14,106,6,116
SAL50438,130,1417,2700,807,440,5494,50,5543
SAL50439,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0
SAL50441,23,739,1074,253,96,2183,43,2222
SAL50442,8,11,6,4,4,32,0,34
SAL50443,0,7,5,0,8,22,0,21
SAL50444,0,0,0,0,0,0,0,0
SAL50445,0,0,3,3,4,8,0,8
SAL50446,7,57,72,36,17,191,0,190
SAL50447,0,13,14,5,3,32,3,33
SAL50448,0,5,6,3,0,17,0,22
SAL50449,0,0,3,0,8,10,0,10
SAL50450,0,7,17,15,3,34,0,34
SAL50451,0,0,9,3,0,16,0,16
SAL50452,107,727,624,197,89,1747,16,1762
SAL50453,85,694,887,280,171,2113,47,2158
SAL50454,15,75,120,38,24,272,4,273
SAL50455,0,0,5,0,3,10,0,10
SAL50456,0,0,0,4,0,4,0,4
SAL50457,124,1037,1197,371,168,2897,19,2913
SAL50458,0,3,0,0,0,3,0,4
SAL50459,0,8,8,3,3,14,0,14
SAL50460,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,5,0,5
SAL50462,0,3,11,0,3,20,0,20
SAL50463,0,0,0,3,5,7,0,7
SAL50464,986,3253,1047,147,50,5484,82,5564
SAL50465,0,12,14,21,28,81,0,80
SAL50466,0,4,0,0,6,12,0,12
SAL50467,18,105,25,10,0,164,9,172
SAL50468,303,1735,1546,377,166,4120,50,4172
SAL50469,0,0,0,5,3,4,0,4
SAL50470,0,0,4,0,0,9,0,9
SAL50471,0,5,22,10,8,42,0,43
SAL50472,111,1134,1255,465,219,3185,39,3223
SAL50473,59,492,560,175,93,1375,20,1396
SAL50474,43,521,777,245,119,1714,16,1730
SAL50475,0,3,9,0,3,15,0,15
SAL50476,9,444,604,117,53,1237,4,1237
