SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL10001,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,8,17
SAL10002,313,641,12,85,58,295,14,71,197,840,286,1294,70,326,68,254,246,850,384,1432,673,2725,6,17,7,24,7,15,30,88,45,143,5,24,13,27,88,243,112,299,153,442,21,46,1162,3867
SAL10003,679,1365,5,11,48,216,6,33,349,1278,412,1538,28,117,80,268,128,404,233,788,647,2323,0,0,12,41,0,6,72,169,86,220,7,24,38,83,92,202,141,308,230,525,28,53,1585,4275
SAL10004,115,233,6,20,14,76,7,31,75,311,104,434,6,27,14,48,29,92,54,174,153,613,0,0,6,26,3,6,16,53,28,88,0,5,4,17,13,23,20,45,49,128,0,0,322,973
SAL10005,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15
SAL10006,237,475,3,23,20,108,19,78,129,501,173,717,9,50,15,44,53,175,79,268,254,986,3,23,12,56,4,24,87,228,109,331,7,20,12,22,59,132,77,176,190,506,11,26,681,1993
SAL10007,253,500,5,34,25,102,20,73,125,462,168,678,12,52,15,43,36,109,63,208,229,887,0,3,4,23,3,27,30,79,45,139,0,0,4,9,28,51,31,68,78,206,8,10,563,1597
SAL10008,17,27,0,0,0,3,0,7,6,38,10,45,0,0,5,10,4,11,6,21,16,69,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,28,103
SAL10009,591,1176,18,112,88,400,33,148,560,2219,702,2881,42,177,54,174,142,462,234,814,939,3694,8,34,27,84,11,35,150,404,194,553,12,40,19,44,90,199,118,283,311,835,13,29,1858,5732
SAL10010,234,464,14,70,12,67,13,66,164,664,203,863,15,47,18,49,71,228,100,327,299,1192,3,21,7,26,12,30,66,198,90,276,0,13,5,7,48,108,52,124,144,405,11,23,688,2080
SAL10011,22,48,0,5,3,18,4,35,16,60,29,120,0,8,8,10,10,30,19,51,41,170,0,0,0,0,0,4,3,19,7,23,0,3,0,0,6,19,14,22,16,43,3,7,83,267
SAL10012,9,10,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,23
SAL10013,4,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,3,6,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,5,0,0,7,21
SAL10014,268,549,4,31,64,279,17,67,360,1387,453,1763,35,152,55,202,117,395,212,753,660,2508,4,7,6,29,10,26,41,107,61,173,9,32,11,24,48,122,68,178,127,352,5,18,1064,3430
SAL10015,43,83,0,3,0,13,0,0,16,56,17,68,0,0,0,3,3,11,4,13,25,81,0,0,0,6,0,0,0,0,0,6,0,3,0,3,9,16,12,16,5,20,0,0,74,193
SAL10016,639,1263,4,33,69,319,12,58,382,1474,473,1882,31,144,66,229,90,305,192,677,667,2554,0,3,14,44,6,22,103,259,126,330,13,31,43,91,104,223,152,345,280,671,40,84,1627,4579
SAL10017,592,1170,12,54,83,386,5,24,484,1939,585,2399,30,114,84,308,119,376,228,794,815,3190,0,0,13,43,5,29,52,136,78,207,6,27,18,48,79,172,109,246,187,456,23,54,1617,4873
SAL10018,130,256,0,0,12,50,7,35,46,167,61,256,5,32,6,20,25,64,36,118,98,376,0,0,0,10,0,5,6,18,10,32,0,0,9,14,12,35,22,45,30,73,3,11,265,710
SAL10019,8,17,0,0,3,13,0,0,5,16,7,31,0,0,0,0,3,9,5,10,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58
SAL10020,4,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,8,4,8,0,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,18
SAL10021,100,199,4,19,13,69,9,61,51,214,81,364,10,48,9,20,38,117,53,182,134,551,0,3,0,3,3,3,13,32,16,48,5,16,4,8,19,42,27,71,45,113,3,5,281,870
SAL10022,111,236,10,61,29,165,25,109,140,583,206,929,9,33,16,42,64,211,84,287,288,1218,12,66,21,88,26,122,140,436,202,703,10,36,16,25,96,238,118,301,328,1008,25,55,754,2516
SAL10023,24,45,0,0,0,0,0,4,4,26,7,31,0,15,0,3,9,17,10,29,16,61,0,5,0,0,0,0,0,9,3,14,0,0,0,0,0,4,0,4,8,22,0,4,44,128
SAL10024,8,19,0,0,0,0,0,0,3,14,5,17,0,0,3,9,4,13,9,17,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55
SAL10025,1407,2831,39,228,175,806,62,276,967,3783,1242,5094,121,526,108,387,433,1432,665,2343,1907,7437,15,55,44,162,20,83,252,670,331,970,32,99,44,83,231,513,300,690,630,1662,44,85,3993,12010
SAL10026,778,1553,15,92,58,267,30,154,323,1275,433,1793,26,113,30,109,207,667,261,884,696,2681,4,10,19,58,23,78,165,479,211,629,16,49,29,70,174,379,218,497,426,1128,38,76,1929,5435
SAL10027,605,1198,6,12,45,189,3,21,239,928,294,1151,20,85,41,141,68,213,139,446,426,1594,0,3,16,54,3,10,76,195,96,264,3,9,17,47,66,140,90,192,189,458,11,23,1236,3283
SAL10028,105,218,4,15,8,21,3,11,30,128,43,177,5,22,4,18,14,44,25,78,66,262,0,11,0,4,0,5,15,36,16,52,4,9,0,0,11,18,7,28,28,75,3,7,202,566
SAL10029,21,39,0,0,0,11,0,0,10,36,14,50,0,3,0,0,5,17,10,24,18,69,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,4,11,0,0,43,114
SAL10030,1531,3042,0,4,40,157,4,19,564,1989,611,2167,17,67,53,166,46,153,112,387,724,2555,0,7,11,32,0,4,93,199,109,240,8,13,28,55,52,107,83,179,190,421,49,103,2493,6121
SAL10031,293,594,14,64,58,259,8,33,182,758,251,1120,41,198,53,197,179,622,279,1007,533,2130,0,3,8,19,5,9,19,43,27,76,4,22,11,23,41,87,54,138,79,213,8,14,908,2952
SAL10032,11,25,0,0,0,0,3,10,6,21,4,29,0,0,0,0,4,18,4,18,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75
SAL10033,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,7
SAL10034,17,33,4,14,0,3,0,9,4,14,6,37,0,0,0,0,0,5,4,6,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,24,77
SAL10035,7,21,0,6,0,0,0,0,5,16,3,19,0,3,4,4,0,3,4,12,10,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,7,6,7,4,13,0,0,28,65
SAL10036,594,1206,18,78,129,587,14,83,603,2443,770,3188,67,286,140,515,166,551,376,1355,1142,4539,4,24,4,27,6,22,59,157,76,230,10,29,19,48,90,214,116,286,196,521,14,23,1942,6292
SAL10037,14,25,0,0,0,0,0,0,0,12,0,12,0,0,0,6,3,4,3,14,9,26,0,0,0,4,0,6,0,0,5,5,0,0,0,3,0,0,0,5,6,15,0,0,24,61
SAL10038,558,1144,4,41,31,151,5,38,366,1323,419,1553,28,121,55,194,141,451,224,767,642,2316,0,0,13,39,6,9,62,144,76,198,8,39,37,72,115,251,165,369,236,562,46,99,1480,4116
