SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL10021,0,0,0,4,6,3,15,12,6,43,0,0,0,0,0,3,0,0,0,6,4,0,3,7,7,7,8,0,0,38,42,62,120,103,162,137,96,33,10,757
SAL10022,0,3,14,21,27,38,49,20,5,172,0,0,3,3,5,5,10,3,0,34,45,33,58,68,49,46,38,19,4,346,158,218,465,443,337,299,219,95,16,2243
SAL10023,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,11,6,6,21,16,19,32,23,7,4,130
SAL10024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,3,0,7,9,12,12,12,5,3,64
SAL10025,3,4,10,16,21,51,110,95,51,364,0,3,8,9,14,6,6,8,0,44,23,25,59,71,38,52,51,69,115,498,420,894,1868,1716,1871,1690,1109,590,285,10434
SAL10026,0,4,8,8,15,48,98,87,61,332,0,3,0,3,11,15,8,6,0,48,15,30,46,51,42,37,38,45,22,316,185,459,919,759,787,923,793,455,220,5510
SAL10027,0,4,3,0,6,7,14,21,24,86,0,0,4,0,0,0,0,0,0,13,15,10,30,37,37,32,27,30,5,226,101,266,564,575,678,644,698,370,145,4048
SAL10028,0,0,0,0,0,5,21,15,4,42,0,0,0,0,0,0,0,0,0,3,18,115,324,215,78,31,5,8,8,799,25,142,380,287,128,140,126,68,9,1315
SAL10029,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,4,22,9,14,31,21,12,0,120
SAL10030,0,0,0,3,3,3,22,11,7,53,0,0,4,3,6,4,7,3,6,33,3,37,186,102,48,34,30,19,6,463,71,581,3143,2109,1243,732,399,155,44,8477
SAL10031,0,0,0,0,0,8,30,16,9,69,0,0,0,0,0,4,10,4,3,28,9,3,3,10,4,0,10,7,0,50,91,211,334,319,406,584,360,109,35,2454
SAL10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,12,10,10,4,0,61
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SAL10034,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,14,8,15,13,5,0,67
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,5,3,8,20,15,23,7,4,83
SAL10036,0,0,0,4,3,19,30,40,17,123,0,0,0,0,9,3,0,6,0,22,7,7,17,14,24,11,34,49,100,263,161,381,499,945,1221,804,645,480,276,5420
SAL10037,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,4,14,12,13,0,0,59
SAL10038,0,0,3,4,12,24,32,47,19,143,0,0,11,10,6,8,20,3,6,70,9,26,47,37,22,23,29,13,8,227,83,442,1153,806,590,653,468,233,84,4503
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,12,4,13,9,3,0,0,42
SAL10040,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,8,4,6,13,23,29,29,8,0,117
SAL10041,0,0,0,0,0,3,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,16,4,5,15,17,37,24,23,13,4,149
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,3,0,50
SAL10043,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,5,4,0,7,0,5,3,4,4,17,3,11,0,42
SAL10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,16,16,32,14,11,0,109
SAL10045,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,4,0,31,6,18,27,39,74,105,65,26,6,362
SAL10046,0,0,8,6,11,18,48,63,66,215,0,0,0,0,0,4,0,0,3,16,14,16,25,34,35,22,33,54,53,285,125,210,476,589,707,790,865,670,358,4785
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,4,10,10,6,12,9,9,7,68
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,3,5,3,16,9,3,0,0,26
SAL10049,0,4,5,21,36,58,68,54,20,257,0,4,6,0,7,13,9,6,3,52,35,40,82,91,60,45,50,22,3,444,234,511,987,974,811,883,656,231,42,5329
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,0,8,3,8,14,0,33
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,7
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,14,0,0,0,29
SAL10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,6,9,3,4,0,38
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,7,13,4,0,0,42
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,6,0,0,11,15,12,9,3,4,53
SAL10056,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,7,8,19,19,20,28,34,4,0,142
SAL10057,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,8,8,4,0,30
SAL10058,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,0,0,0,4,11,12,29,13,3,71
SAL10059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,26,31,60,9,8,169
SAL10060,0,0,0,0,3,6,14,4,0,30,0,0,0,0,0,0,0,0,0,0,4,0,5,10,3,3,0,4,0,29,19,28,34,45,69,54,41,19,3,314
SAL10061,0,0,0,3,8,25,42,26,9,111,0,0,0,5,0,0,0,3,0,4,12,11,16,13,27,39,49,72,16,251,114,166,343,362,501,658,733,524,82,3473
SAL10062,0,0,0,4,0,5,23,23,25,84,0,0,0,0,0,9,10,8,6,26,22,26,98,83,66,69,69,45,28,508,160,548,1648,1581,1444,1052,814,343,133,7725
SAL10063,0,0,0,0,0,6,6,12,8,38,0,0,0,0,0,0,0,0,0,0,3,3,4,4,8,13,4,0,3,39,49,129,115,160,219,218,155,91,27,1169
SAL10064,0,0,3,3,6,10,23,10,3,59,0,0,0,0,4,0,0,3,0,14,4,6,16,25,15,17,13,7,0,96,86,175,449,508,377,314,198,92,23,2221
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,9,10,6,5,0,36
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,0,0,22
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,11
SAL10068,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,4,0,0,11,0,9,7,17,9,18,24,9,0,97
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,15
SAL10070,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,4,19,10,9,31,33,57,108,98,34,19,394
SAL10071,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,12,3,11,16,16,29,45,35,18,3,177
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10073,0,0,4,0,3,0,0,7,3,19,0,0,0,0,0,0,3,0,0,8,4,3,0,12,9,3,11,7,0,62,49,69,129,139,223,213,179,119,28,1149
SAL10074,0,0,0,0,0,10,8,5,7,40,0,0,0,0,0,0,0,0,0,3,3,0,6,6,9,7,9,4,3,50,41,80,139,155,204,234,173,92,32,1145
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,6,3,0,0,20,3,7,3,4,5,20,11,0,0,53
SAL10076,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,7,17,11,26,25,38,12,7,153
SAL10077,0,0,0,0,0,9,11,9,6,33,0,0,0,0,0,0,0,0,0,5,0,0,6,0,7,6,3,8,0,23,12,17,39,32,56,85,87,52,16,395
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,12
SAL10079,0,0,0,7,6,14,22,11,8,74,0,0,4,8,9,0,5,0,0,23,0,5,7,10,11,8,7,10,4,66,31,75,190,196,166,173,144,76,36,1086
SAL10080,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,10,3,4,0,29,6,8,18,15,26,43,33,17,0,168
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,3,0,0,10
SAL10082,0,0,0,0,3,3,12,3,3,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,13,3,0,35,4,15,25,53,52,54,99,34,14,345
SAL10083,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,4,4,0,0,24
SAL10084,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,0,0,6,0,0,18
SAL10085,0,0,0,0,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,6,6,4,9,0,0,0,22,4,4,11,22,22,33,18,5,0,123
SAL10086,15,29,42,52,47,92,138,151,98,662,3,21,50,40,24,18,22,14,4,193,340,352,314,195,170,176,152,200,119,2023,1103,2102,3251,2626,2521,2756,2254,1539,599,18765
SAL10087,0,0,12,15,37,63,107,121,46,411,0,3,12,11,25,53,42,48,37,229,56,89,257,152,111,92,70,93,77,1002,261,862,2848,1920,1318,1081,765,509,246,9809
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10089,0,0,0,5,0,0,9,13,7,41,0,0,0,0,0,0,0,0,0,4,0,4,6,9,9,7,8,17,5,62,8,31,73,30,42,77,148,131,29,571
SAL10090,0,0,0,0,0,0,4,6,0,12,0,0,6,0,0,0,0,0,0,6,0,0,5,0,4,3,4,0,0,15,11,29,47,78,90,93,107,31,13,492
SAL10091,0,0,5,3,6,11,22,16,20,85,0,0,5,18,6,7,10,9,4,56,9,11,73,80,48,26,40,22,12,325,125,472,1458,1925,1230,869,698,341,156,7273
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,6,4,7,11,4,0,39
SAL10093,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,9,4,4,10,0,0,0,34
SAL10094,0,0,0,3,3,11,69,72,24,187,0,0,0,0,0,3,18,15,12,58,5,10,13,8,8,11,12,4,0,74,94,200,260,397,523,485,365,213,66,2607
SAL10095,0,0,0,0,3,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,13,7,3,0,33,5,13,14,22,32,73,82,42,4,277
SAL10096,0,0,0,0,0,0,7,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,4,6,0,0,25,6,10,12,27,38,80,52,5,3,248
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,5,0,14
SAL10098,0,0,14,32,29,44,43,25,5,197,0,0,6,14,27,35,20,7,3,122,25,18,54,60,53,46,46,25,12,336,129,257,464,476,412,420,235,130,53,2575
SAL10099,5,4,21,30,53,78,169,238,171,759,0,6,44,33,25,46,45,55,57,309,24,92,262,129,104,126,115,144,202,1198,313,1947,5264,3530,2556,2368,1818,1237,813,19838
SAL10100,0,0,0,0,3,9,18,17,11,54,0,0,0,0,0,0,4,3,0,10,7,0,8,4,14,7,15,12,3,65,20,18,41,41,83,119,113,70,24,536
SAL10101,0,0,0,0,0,3,7,4,0,17,0,0,0,0,0,0,0,0,0,3,4,0,11,6,9,9,3,8,0,46,15,14,59,30,48,57,28,13,0,260
SAL10102,6,3,16,10,19,39,46,38,19,196,0,0,4,4,5,9,3,0,5,26,26,37,55,51,52,37,50,18,20,348,137,324,488,387,425,427,387,182,108,2863
SAL10103,0,0,4,0,5,12,21,10,13,70,0,0,0,3,0,3,0,0,0,10,9,4,24,12,16,17,21,22,11,136,167,255,493,598,661,586,426,194,56,3428
SAL10104,0,0,0,0,7,5,10,18,6,52,0,0,0,8,3,10,3,3,0,34,12,11,21,35,23,17,6,20,3,149,118,331,929,1232,775,547,436,206,69,4634
SAL10105,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,9,10,3,14,8,0,52
SAL10106,0,0,0,0,0,3,11,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,5,3,0,0,29,17,16,56,74,79,73,74,24,5,422
SAL10107,3,46,221,307,409,409,437,294,114,2246,6,56,308,292,393,343,256,184,81,1923,126,442,865,498,373,335,247,135,100,3126,893,4562,8983,5293,3984,3644,2275,1180,513,31329
SAL10108,0,0,0,0,0,0,4,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,14,19,22,12,8,4,96
SAL10109,0,0,0,0,4,3,7,6,5,24,0,0,0,0,0,0,0,0,0,0,0,0,7,14,6,7,3,3,0,41,56,107,269,362,364,406,321,142,38,2067
SAL10110,0,0,9,17,28,34,57,55,27,223,0,0,5,16,11,19,34,24,7,120,23,19,83,79,47,45,36,65,98,495,134,380,1489,1170,594,453,327,202,140,4890
SAL10111,0,0,0,0,3,0,0,6,4,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,11,11,7,13,8,29,26,15,18,3,124
SAL10112,0,0,0,4,0,6,14,16,7,50,0,0,0,0,0,4,3,0,3,10,18,12,25,42,46,30,33,39,64,320,239,528,652,1145,1525,1599,1305,646,292,7934
SAL10113,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,6,4,4,0,31
SAL10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,8,10,14,14,27,44,37,17,0,172
SAL10115,0,0,0,0,4,0,12,8,5,38,0,0,3,0,0,0,0,0,0,11,3,6,14,27,22,17,16,15,5,133,127,236,313,574,743,657,540,257,54,3501
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,0,3,4,0,16,18,20,6,63,0,0,0,0,0,0,0,5,0,7,0,3,8,8,8,10,25,12,0,71,30,97,256,188,191,276,192,98,15,1348
SAL10118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,4,12,11,37,28,19,0,0,119
SAL10119,0,0,0,0,0,0,5,5,3,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4,0,17,12,29,45,40,74,67,38,19,8,322
SAL10120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,7,5,17,24,18,26,46,23,11,4,175
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,4,0,26,3,9,19,20,7,32,22,14,3,132
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,14
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,10,14,4,0,0,0,27
SAL10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,13
SAL10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,3,5,0,15
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,5,0,0,9,0,21
SAL10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,6,12,5,3,29,9,12,0,77
SAL10131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,4,7,13,20,23,15,30,8,4,123
SAL10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,7,0,0,18
SAL10133,0,0,0,0,0,3,16,4,0,23,0,0,0,0,0,0,0,3,0,12,3,0,0,3,0,0,5,5,0,24,8,0,17,26,20,15,29,14,6,132
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
SAL10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,5,0,0,14,6,0,5,11,12,13,19,6,0,75
SAL10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,0,0,5,5,3,0,0,0,22
SAL10137,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,11,10,3,0,35
SAL10138,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,7,3,8,6,7,0,0,31
SAL10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,17,12,8,4,0,52
SAL10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,11,15,8,0,0,36
SAL10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,4,5,4,5,0,18
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,13
SAL10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,6,11,10,16,6,3,0,51
SAL10144,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,3,0,0,21,10,29,62,85,88,65,56,29,11,435
SAL10145,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,7,5,3,16,36,15,9,5,100
SAL10146,0,0,3,0,0,8,5,9,4,24,0,0,0,0,0,0,0,0,0,0,6,0,0,5,9,6,3,4,0,25,27,55,113,107,126,129,115,96,17,789
