SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL10001,..,0,0,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,11,0,12
SAL10002,..,119,119,306,9,317,261,0,261,287,0,287,149,0,149,96,0,96,1105,128,1233
SAL10003,..,667,667,785,44,825,372,3,377,290,3,290,79,0,79,22,0,22,1546,719,2267
SAL10004,..,63,63,127,5,130,67,4,69,74,0,74,33,0,33,13,0,13,314,74,388
SAL10005,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10
SAL10006,..,300,300,288,23,314,150,4,151,138,0,138,48,0,48,37,0,37,665,327,990
SAL10007,..,247,247,276,17,299,109,0,113,95,0,95,65,0,65,18,0,18,558,265,827
SAL10008,..,3,3,11,0,14,3,0,3,7,0,7,3,0,3,0,0,0,28,6,40
SAL10009,..,282,282,638,36,673,417,6,422,452,0,455,220,0,225,82,0,82,1813,325,2143
SAL10010,..,199,199,252,30,283,147,0,146,150,0,152,71,0,71,38,0,38,653,238,892
SAL10011,..,14,14,25,0,31,20,0,20,17,0,17,9,0,9,7,0,7,83,15,103
SAL10012,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8
SAL10013,..,4,4,3,0,8,4,0,4,0,0,0,0,0,0,0,0,0,8,0,13
SAL10014,..,106,106,243,7,251,265,5,265,325,5,330,119,0,119,52,0,52,1003,117,1125
SAL10015,..,52,52,48,0,49,11,0,11,11,0,11,3,0,3,3,0,3,75,52,131
SAL10016,..,748,748,727,108,836,366,53,417,341,17,355,132,0,135,39,0,39,1602,927,2531
SAL10017,..,354,354,634,28,660,306,16,319,428,8,437,173,6,170,49,0,49,1584,407,1991
SAL10018,..,125,125,143,8,156,38,0,38,41,0,41,21,0,21,8,0,8,256,135,388
SAL10019,..,7,7,11,0,11,3,0,3,3,0,3,5,0,5,0,0,0,21,7,26
SAL10020,..,7,7,4,0,3,3,0,3,0,0,0,0,0,0,0,0,0,7,12,17
SAL10021,..,50,50,96,3,98,48,0,48,50,0,50,36,0,36,29,0,29,255,52,307
SAL10022,..,236,236,213,28,235,195,0,197,150,0,152,86,0,86,81,0,81,726,267,990
SAL10023,..,18,18,27,0,27,7,0,7,3,0,3,0,0,0,0,0,0,48,19,68
SAL10024,..,9,9,10,6,6,4,0,4,4,0,4,0,0,0,0,0,0,18,8,25
SAL10025,..,765,765,1507,49,1558,827,18,843,938,7,943,404,6,405,188,0,187,3861,839,4704
SAL10026,..,644,644,879,63,944,401,3,406,329,9,340,143,0,143,100,0,100,1855,710,2567
SAL10027,..,860,860,703,73,771,226,7,241,196,6,201,83,0,83,18,0,18,1228,948,2173
SAL10028,..,60,60,100,0,98,43,3,45,29,0,29,17,0,17,11,0,11,194,60,259
SAL10029,..,18,18,18,3,21,7,0,7,3,0,3,5,0,5,0,0,0,39,15,60
SAL10030,..,1577,1577,1576,307,1884,491,105,597,333,31,365,58,6,68,23,4,24,2482,2032,4510
SAL10031,..,70,70,272,7,277,176,0,175,244,0,244,125,0,125,52,0,52,861,80,941
SAL10032,..,4,4,11,0,11,4,0,4,4,0,4,5,0,5,0,0,0,26,4,25
SAL10033,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10034,..,3,3,15,0,15,3,0,3,3,0,3,0,0,0,3,0,3,22,3,32
SAL10035,..,17,17,13,4,20,5,0,5,0,0,0,4,0,4,0,0,0,25,18,41
SAL10036,..,442,442,550,18,573,358,5,360,598,5,602,271,6,275,93,0,93,1862,474,2339
SAL10037,..,7,7,13,0,13,9,0,9,5,0,5,0,0,0,0,0,0,22,7,32
SAL10038,..,491,491,566,75,646,428,23,456,281,8,291,104,5,113,46,0,50,1427,607,2039
SAL10039,..,9,9,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,13,9,14
SAL10040,..,13,13,19,0,18,4,0,4,5,0,5,3,0,3,0,0,0,37,22,50
SAL10041,..,34,34,25,0,25,6,0,6,9,0,9,10,0,10,0,0,0,45,34,80
SAL10042,..,5,5,16,0,14,5,0,5,0,0,0,0,0,0,0,0,0,16,6,25
SAL10043,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
SAL10044,..,9,9,14,0,14,10,0,10,10,0,10,3,0,3,0,0,0,44,7,52
SAL10045,..,21,21,58,8,66,42,0,38,19,0,19,7,0,7,9,0,9,125,32,157
SAL10046,..,788,788,884,45,927,298,8,305,263,3,270,127,0,128,43,0,43,1614,848,2461
SAL10047,..,9,9,12,0,9,4,0,4,6,0,6,0,0,0,0,0,0,24,9,34
SAL10048,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10
SAL10049,..,426,426,710,40,755,458,3,459,353,0,358,186,0,186,145,0,145,1857,478,2335
SAL10050,..,7,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,7,17
SAL10051,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10052,..,4,4,5,0,5,0,0,0,4,0,4,6,0,6,0,0,0,11,4,14
SAL10053,..,4,4,3,0,3,3,0,3,3,0,3,0,0,0,3,0,3,19,4,19
SAL10054,..,3,3,3,0,4,5,0,5,0,0,0,5,0,5,0,0,0,11,3,16
SAL10055,..,6,6,4,0,4,4,0,4,4,0,4,0,0,0,0,0,0,17,6,21
SAL10056,..,14,14,23,0,24,9,0,9,3,0,3,4,0,4,0,0,0,42,14,61
SAL10057,..,7,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,7,20
SAL10058,..,11,11,17,0,15,0,0,0,3,0,3,0,0,0,0,0,0,18,10,33
SAL10059,..,19,19,38,0,36,10,0,10,7,0,7,7,0,7,0,0,0,60,19,81
SAL10060,..,31,31,26,3,29,24,0,24,19,0,19,9,0,9,12,0,12,84,31,120
SAL10061,..,461,461,696,38,737,198,6,205,186,0,186,77,0,77,44,0,44,1204,504,1707
SAL10062,..,1196,1196,1125,138,1261,543,56,603,552,23,577,126,0,129,28,0,28,2378,1418,3794
SAL10063,..,41,41,118,0,116,53,0,56,86,0,88,54,0,54,53,0,53,363,48,406
SAL10064,..,125,125,230,11,245,189,0,190,221,0,221,117,0,117,68,0,68,833,141,972
SAL10065,..,4,4,8,0,8,3,0,3,0,0,0,4,0,4,0,0,0,14,4,17
SAL10066,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,13
SAL10067,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10
SAL10068,..,8,8,17,0,23,0,0,0,3,0,3,9,0,9,0,0,0,35,12,39
SAL10069,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL10070,..,39,39,93,0,99,22,0,22,12,0,12,8,0,8,0,0,0,137,44,182
SAL10071,..,30,30,39,0,43,9,0,9,4,0,4,10,0,10,0,0,0,59,37,92
SAL10072,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,..,62,62,129,8,139,76,4,76,88,0,88,48,0,48,42,0,42,377,68,447
SAL10074,..,118,118,213,9,220,82,0,82,75,0,75,36,0,36,13,0,13,410,126,544
SAL10075,..,9,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,4,17
SAL10076,..,16,16,35,0,33,7,0,8,8,0,8,0,0,0,0,0,0,50,18,71
SAL10077,..,86,86,77,9,87,17,0,17,13,0,13,4,0,4,6,0,6,121,94,214
SAL10078,..,0,0,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,8,0,5
SAL10079,..,172,172,185,26,209,78,0,86,55,6,60,20,6,21,18,0,18,359,203,561
SAL10080,..,18,18,30,3,29,12,0,12,7,0,7,5,0,5,4,0,4,54,27,79
SAL10081,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10082,..,54,54,72,8,77,16,0,16,15,0,15,13,0,13,8,0,8,121,59,178
SAL10083,..,0,0,8,0,8,7,0,7,3,0,3,0,0,0,0,0,0,9,0,9
SAL10084,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6
SAL10085,..,22,22,13,0,14,8,0,8,7,0,7,6,0,6,0,0,0,33,23,59
SAL10086,..,2883,2883,2782,270,3055,1076,70,1148,981,40,1020,422,0,423,257,5,259,5517,3269,8785
SAL10087,..,918,918,1184,191,1369,651,59,713,540,29,567,257,3,262,231,9,236,2859,1200,4063
SAL10088,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10089,..,140,140,120,5,123,16,0,19,15,3,19,0,0,0,10,3,15,153,155,306
SAL10090,..,32,32,90,5,92,36,0,38,29,4,31,14,0,14,7,0,9,173,46,215
SAL10091,..,914,914,992,161,1148,696,25,720,623,5,632,157,5,161,51,0,51,2517,1110,3629
SAL10092,..,0,0,6,0,6,0,0,0,5,0,5,3,0,3,0,0,0,13,0,15
SAL10093,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11
SAL10094,..,170,170,315,10,331,197,4,202,266,0,264,105,0,105,36,0,40,919,186,1107
SAL10095,..,36,36,72,0,72,6,0,6,10,0,10,8,0,8,0,0,0,95,38,129
SAL10096,..,19,19,47,3,51,16,0,16,12,0,12,7,0,7,3,0,3,85,23,113
SAL10097,..,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SAL10098,..,253,253,214,16,232,174,3,173,146,0,144,119,0,119,122,0,122,775,275,1053
SAL10099,..,2978,2978,2614,490,3103,1384,178,1561,1001,69,1071,329,27,362,178,20,201,5502,3764,9266
SAL10100,..,97,97,95,10,108,32,0,32,19,0,19,7,0,7,14,0,14,169,103,273
