SAL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SAL10001,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,8,..,26,22
SAL10002,1210,4047,10,19,7,18,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1233,4098,27,..,1258,4098
SAL10003,651,1850,42,93,327,736,371,831,483,928,379,716,372,805,0,0,0,3,1237,2447,0,0,0,0,0,0,14,26,14,26,0,0,2267,5158,204,..,2478,5158
SAL10004,373,1057,11,25,0,4,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,1082,12,..,403,1082
SAL10005,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,7,..,21,24
SAL10006,794,2075,173,305,13,31,185,337,10,21,0,0,0,0,0,0,0,3,12,23,0,0,0,0,0,0,0,0,0,0,0,0,990,2441,73,..,1062,2441
SAL10007,742,1805,42,59,0,0,42,59,0,14,0,0,0,0,0,0,0,0,0,14,0,0,39,49,0,0,0,0,39,49,0,0,827,1935,74,..,901,1935
SAL10008,40,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,115,13,..,51,115
SAL10009,1978,5960,153,339,0,6,153,342,0,8,0,0,0,0,0,0,4,8,10,15,0,0,0,0,0,0,0,0,0,0,0,0,2143,6324,95,..,2235,6324
SAL10010,850,2347,38,55,0,0,38,55,4,4,0,0,0,0,0,0,5,17,9,18,0,0,0,0,0,0,0,0,0,0,0,9,892,2433,34,..,930,2433
SAL10011,104,298,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,307,7,..,105,307
SAL10012,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,24,0,..,14,24
SAL10013,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,..,14,24
SAL10014,956,3162,9,29,149,440,158,468,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1125,3633,19,..,1137,3633
SAL10015,127,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,131,267,53,..,184,267
SAL10016,1714,4576,200,322,234,465,440,786,265,420,81,127,24,35,0,0,3,9,374,588,0,0,0,0,0,0,6,15,7,16,0,3,2531,5971,170,..,2701,5971
SAL10017,1889,5298,18,40,35,71,52,117,39,85,5,3,0,0,0,0,3,6,49,91,0,0,0,0,0,0,0,7,0,7,0,0,1991,5510,96,..,2084,5510
SAL10018,366,837,8,13,0,3,11,19,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,9,10,11,4,9,388,880,46,..,433,880
SAL10019,19,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,62,8,..,30,62
SAL10020,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,17,28,11,..,20,28
SAL10021,304,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,0,0,0,12,307,961,16,..,323,961
SAL10022,812,2492,50,132,112,261,167,393,0,0,0,0,0,0,0,0,11,36,11,36,0,0,0,0,0,0,0,0,0,0,4,9,990,2932,104,..,1097,2932
SAL10023,68,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,157,16,..,83,157
SAL10024,28,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,66,0,..,25,66
SAL10025,4004,11824,379,731,290,695,672,1426,23,36,0,0,0,0,0,0,6,11,23,44,0,0,0,0,0,0,4,3,4,3,7,10,4704,13308,134,..,4840,13308
SAL10026,2003,5433,366,632,174,344,536,976,18,30,0,0,0,0,0,0,3,12,23,45,0,0,0,0,0,0,3,4,3,4,5,4,2567,6464,130,..,2701,6464
SAL10027,1360,3195,466,702,200,293,665,1000,65,107,37,52,32,45,0,0,5,0,129,207,0,0,0,0,0,0,17,29,17,29,8,14,2173,4440,344,..,2511,4440
SAL10028,255,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,666,20,..,277,666
SAL10029,60,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,145,8,..,66,145
SAL10030,214,541,434,934,874,2214,1309,3142,147,269,562,992,2145,3840,90,143,0,0,2939,5251,0,0,0,0,0,0,25,67,25,67,26,31,4510,9036,518,..,5034,9036
SAL10031,930,3051,0,0,8,28,8,28,0,6,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,6,941,3086,21,..,965,3086
SAL10032,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78,5,..,31,78
SAL10033,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,3,7
SAL10034,26,79,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,84,0,..,27,84
SAL10035,41,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,95,3,..,48,95
